Gene,Ramos_19O2_NoCyclo_1,Ramos_1O2_NoCyclo_3,Ramos_1O2_NoCyclo_2,Ramos_19O2_NoCyclo_3,Ramos_1O2_NoCyclo_1,Ramos_1O2_PlusCyclo_1,Ramos_1O2_PlusCyclo_3,Ramos_1O2_PlusCyclo_2,Ramos_19O2_NoCyclo_2
RP11-34P13.18,0.395053347898388,0.4022293925522135,0.12365637892596801,0.359650756740677,0.35013509675146937,0.4485229047523864,0.2673289027871056,0.25511496058116945,0.19085694131537012
AP006222.1,0.07381826514487805,0.06479389096339129,0.0,0.24943745032563858,0.06457938137046833,0.0,0.0,0.1954397363164819,0.06646422075930239
RP4-669L17.4,0.07381826514487805,0.06479389096339129,0.18172451437769732,0.06651754206888319,0.06457938137046833,0.0,0.0,0.1331892163867052,0.06646422075930239
RP11-206L10.17,0.07381826514487805,0.29828001417669503,0.18172451437769732,0.06651754206888319,0.12639142691120803,0.14297998896334413,0.32707995933853756,0.06813106173977744,0.13000084680118784
RP5-857K21.9,0.07381826514487805,0.2433546888038468,0.06315263964659786,0.13010289304856804,0.0,0.209484929347119,0.13984756122247813,0.1331892163867052,0.06646422075930239
RP5-857K21.8,5.151536382673814,5.468297992894291,5.695765280366037,5.135968744710435,5.416352606816016,5.560879881926861,5.449573136682312,5.560152817644959,5.371737488481938
RP5-857K21.6,0.9202746924067369,1.040202690519753,1.052354005686588,0.7721289938604934,0.8671373321531797,0.7460486744018767,0.7325961279952776,0.7458895114207535,0.9582439007729582
RP5-857K21.7,0.07381826514487805,0.2433546888038468,0.12365637892596801,0.24943745032563858,0.06457938137046833,0.3339489948515846,0.0716176320150323,0.1331892163867052,0.13000084680118784
RP5-857K21.10,6.863496738252753,7.019670939481525,6.991794360193651,6.972356163713125,6.926901692895602,7.100894192628587,7.04107517162939,6.980099206239061,6.877103833962198
RP5-857K21.11,0.2750001996387016,0.06479389096339129,0.23754557374182672,0.13010289304856804,0.18566359313568445,0.07326054505705015,0.0716176320150323,0.25511496058116945,0.06646422075930239
RP11-206L10.2,1.3936663241457299,1.2773900461316956,0.661477640676257,1.3276574670836885,0.9718690339635617,1.1700547589788433,0.8993333372297874,1.0787651035696806,0.9582439007729582
