Gene,EvidenceScore
RP11-34P13.18,1
AP006222.1,1
RP4-669L17.4,1
RP11-206L10.17,1
RP5-857K21.9,1
RP5-857K21.8,1
RP5-857K21.6,1
RP5-857K21.7,1
RP5-857K21.10,1
RP5-857K21.11,1
RP11-206L10.2,1
RP11-206L10.9,1
RP11-206L10.8,1
RP11-206L10.11,1
NCRNA00115,1
NOC2L,2
KLHL17,1
ISG15,2
AGRN,1
C1orf159,1
RP11-465B22.5,1
SDF4,2
B3GALT6,1
C1QTNF12,1
RP5-902P8.12,1
UBE2J2,1
RP5-902P8.10,1
SCNN1D,1
ACAP3,1
PUSL1,1
INTS11,1
RP5-890O3.9,1
CPTP,1
TAS1R3,1
DVL1,1
AURKAIP1,1
CCNL2,2
RP4-758J18.2,1
MRPL20,2
RP4-758J18.13,1
ATAD3C,1
ATAD3B,2
RP5-832C2.8,1
ATAD3A,2
TMEM240,1
SSU72,2
RP5-832C2.5,1
C1orf233,1
RP11-345P4.9,1
MIB2,2
CDK11B,3
RP11-345P4.10,1
SLC35E2B,1
CDK11A,1
RP1-283E3.8,1
RP1-283E3.4,1
SLC35E2,1
NADK,3
GNB1,2
RP1-140A9.1,1
TMEM52,1
PRKCZ,1
RP11-181G12.2,1
FAAP20,2
SKI,1
MORN1,1
RP4-740C4.5,1
RP4-740C4.7,1
RER1,2
PEX10,1
PLCH2,1
PANK4,2
RP3-395M20.12,1
RP3-395M20.8,1
TNFRSF14,1
RP3-395M20.9,1
FAM213B,1
TTC34,1
TPRG1L,1
WRAP73,1
TP73,1
RP5-1092A11.5,1
TP73-AS1,1
SMIM1,1
LRRC47,2
CEP104,1
DFFB,2
C1orf174,2
RP13-15E13.1,1
RP11-718D19.2,1
NPHP4,1
KCNAB2,2
CHD5,1
RPL22,2
ICMT,1
LINC00337,1
GPR153,1
ACOT7,2
RP1-202O8.3,1
ESPN,1
TNFRSF25,1
PLEKHG5,1
NOL9,2
TAS1R1,1
ZBTB48,1
KLHL21,1
PHF13,1
THAP3,1
DNAJC11,2
RP11-312B8.1,1
CAMTA1,1
VAMP3,1
RP3-467L1.6,1
PER3,1
PARK7,2
RF00019,1
CTA-215D11.6,1
ERRFI1,1
CTA-215D11.4,1
RERE,2
RP5-1115A15.1,1
ENO1,3
RP3-477M7.3,1
RP3-477M7.4,1
SLC2A7,1
SLC2A5,2
GPR157,1
H6PD,1
SPSB1,1
CTD-2510L9.2,1
CTD-2510L9.1,1
SLC25A33,1
RP13-15M17.1,1
TMEM201,3
PIK3CD,2
C1orf200,1
RP11-558F24.4,1
CLSTN1,2
CTNNBIP1,1
RP11-84A14.5,1
LZIC,2
RP11-84A14.4,1
NMNAT1,1
RN7SKP269,1
UBE4B,3
