Gene,Phosphoproteomics,Proteomics,Transcriptomics,Contrast
RP11-34P13.18,0.0,0.0,0.008468574055408684,"19% O2, CyA-_vs_1% O2, CyA+"
AP006222.1,0.0,0.0,0.06476006663777915,"19% O2, CyA-_vs_1% O2, CyA+"
RP4-669L17.4,0.0,0.0,0.02453693719545287,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-206L10.17,0.0,0.0,0.0892847853422367,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-857K21.9,0.0,0.0,0.07071210933451787,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-857K21.8,0.0,0.0,0.3037877401293141,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-857K21.6,0.0,0.0,0.14203775774075966,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-857K21.7,0.0,0.0,0.028499760327205803,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-857K21.10,0.0,0.0,0.13637061152298635,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-857K21.11,0.0,0.0,0.023858058597773624,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-206L10.2,0.0,0.0,0.17713816407469052,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-206L10.9,0.0,0.0,0.03771537450833129,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-206L10.8,0.0,0.0,0.02212506577347287,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-206L10.11,0.0,0.0,0.10140336914036618,"19% O2, CyA-_vs_1% O2, CyA+"
NCRNA00115,0.0,0.0,0.09045125058479164,"19% O2, CyA-_vs_1% O2, CyA+"
NOC2L,0.0,0.06189141574154,0.08591392168872947,"19% O2, CyA-_vs_1% O2, CyA+"
KLHL17,0.0,0.0,0.1176578073622101,"19% O2, CyA-_vs_1% O2, CyA+"
ISG15,0.0,0.036318170262774174,0.07559601390681703,"19% O2, CyA-_vs_1% O2, CyA+"
AGRN,0.0,0.0,0.15142884123769562,"19% O2, CyA-_vs_1% O2, CyA+"
C1orf159,0.0,0.0,0.03167687971508659,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-465B22.5,0.0,0.0,0.107340821913291,"19% O2, CyA-_vs_1% O2, CyA+"
SDF4,0.0,0.647208418544037,0.13110676891539708,"19% O2, CyA-_vs_1% O2, CyA+"
B3GALT6,0.0,0.0,0.2177702239824839,"19% O2, CyA-_vs_1% O2, CyA+"
C1QTNF12,0.0,0.0,0.0012560408710723947,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-902P8.12,0.0,0.0,0.043877578216774,"19% O2, CyA-_vs_1% O2, CyA+"
UBE2J2,0.0,0.0,0.09998406642509394,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-902P8.10,0.0,0.0,0.04746429183479748,"19% O2, CyA-_vs_1% O2, CyA+"
SCNN1D,0.0,0.0,0.003184937455828707,"19% O2, CyA-_vs_1% O2, CyA+"
ACAP3,0.0,0.0,0.20150470065608994,"19% O2, CyA-_vs_1% O2, CyA+"
PUSL1,0.0,0.0,0.0630268574130568,"19% O2, CyA-_vs_1% O2, CyA+"
INTS11,0.0,0.0,0.17026254887873815,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-890O3.9,0.0,0.0,0.013970179782437975,"19% O2, CyA-_vs_1% O2, CyA+"
CPTP,0.0,0.0,0.0823967670032344,"19% O2, CyA-_vs_1% O2, CyA+"
TAS1R3,0.0,0.0,4.701449484345588e-05,"19% O2, CyA-_vs_1% O2, CyA+"
DVL1,0.0,0.0,0.07911027618711142,"19% O2, CyA-_vs_1% O2, CyA+"
AURKAIP1,0.0,0.0,0.07108834767486094,"19% O2, CyA-_vs_1% O2, CyA+"
CCNL2,0.7215728253197611,0.0,0.13473728613594105,"19% O2, CyA-_vs_1% O2, CyA+"
RP4-758J18.2,0.0,0.0,0.017563836642013442,"19% O2, CyA-_vs_1% O2, CyA+"
MRPL20,0.0,0.02945208874022409,0.03707763190787006,"19% O2, CyA-_vs_1% O2, CyA+"
RP4-758J18.13,0.0,0.0,0.19726137131533683,"19% O2, CyA-_vs_1% O2, CyA+"
ATAD3C,0.0,0.0,0.19865317148033523,"19% O2, CyA-_vs_1% O2, CyA+"
ATAD3B,0.0,0.053694432911720824,0.28451646565715283,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-832C2.8,0.0,0.0,0.14090953091218722,"19% O2, CyA-_vs_1% O2, CyA+"
ATAD3A,0.0,0.030710281931801475,0.013300028780960815,"19% O2, CyA-_vs_1% O2, CyA+"
TMEM240,0.0,0.0,0.04790863051966106,"19% O2, CyA-_vs_1% O2, CyA+"
SSU72,0.0,0.04859427669863248,0.02875370311501957,"19% O2, CyA-_vs_1% O2, CyA+"
RP5-832C2.5,0.0,0.0,0.03588073569161526,"19% O2, CyA-_vs_1% O2, CyA+"
C1orf233,0.0,0.0,0.13761375829779476,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-345P4.9,0.0,0.0,0.19739624838003633,"19% O2, CyA-_vs_1% O2, CyA+"
MIB2,0.3266488688238276,0.0,0.2088876623607132,"19% O2, CyA-_vs_1% O2, CyA+"
CDK11B,0.0842231229584911,0.02929443297968426,0.08458565649560779,"19% O2, CyA-_vs_1% O2, CyA+"
RP11-345P4.10,0.0,0.0,0.048848339350852504,"19% O2, CyA-_vs_1% O2, CyA+"
SLC35E2B,0.0,0.0,0.06241515094262695,"19% O2, CyA-_vs_1% O2, CyA+"
