,Condition,Gene,Transcriptomics,Proteomics,Phosphoproteomics
0,"1% O2, CyA+",AATF,7.323397607653646,8.214319120800766,10.025416444544186
1,"1% O2, CyA+",ABCC4,6.418721370803263,4.161887682376894,6.8740592031411465
2,"1% O2, CyA+",ABCF1,7.579002741626338,10.869593843240784,9.606960344510274
3,"1% O2, CyA+",ABCF3,5.85695693467656,9.189824558880018,6.2964574073712445
4,"1% O2, CyA+",ABI1,6.807610807820451,6.954196310386875,10.417852514885897
5,"1% O2, CyA+",ABLIM1,9.40760309947395,8.948367231584678,11.593764587728042
6,"1% O2, CyA+",ABR,7.036798343855448,9.31741261376487,9.592830744054496
7,"1% O2, CyA+",ACACA,7.410964902576192,10.671541066711884,10.472893878443859
8,"1% O2, CyA+",ACAP2,7.103630526589486,9.357552004618084,10.402052749381477
9,"1% O2, CyA+",ACBD6,5.677923237419478,7.129283016944966,6.230741002626909
10,"1% O2, CyA+",ACIN1,8.059821185351723,11.16804526822409,11.57582284183742
11,"1% O2, CyA+",ACLY,8.996685231324994,12.258860431409756,11.664802803288284
12,"1% O2, CyA+",ACSS2,4.693236957024995,7.022367813028454,9.672778900370739
13,"1% O2, CyA+",ACTB,11.752863636583468,13.425347051432823,8.311975314461156
14,"1% O2, CyA+",ACTN4,8.034354226237685,12.536490073199161,7.555356038635833
15,"1% O2, CyA+",ACTR2,9.509959314254798,10.00982861736811,7.288173968112302
16,"1% O2, CyA+",ADAM17,6.8342770241609,7.800899899920305,8.581577215536518
17,"1% O2, CyA+",ADAM19,7.273119731844232,7.499845887083206,8.259743263690781
18,"1% O2, CyA+",ADAR,8.672432716878308,10.66266837551754,9.166163082646113
19,"1% O2, CyA+",ADD1,6.705989735353145,8.930737337562887,7.349612971824522
20,"1% O2, CyA+",ADD3,6.584280651542557,7.98299357469431,9.775774868637292
21,"1% O2, CyA+",ADNP,7.829599249633493,8.118941072723507,8.300581359795972
22,"1% O2, CyA+",AEBP2,5.637853838361357,4.307428525192248,8.713214652998547
23,"1% O2, CyA+",AFTPH,6.392754559446822,3.1858665453113337,8.002252451731378
24,"1% O2, CyA+",AGAP2,5.0749762290324085,7.491853096329675,9.339627347580395
25,"1% O2, CyA+",AGFG1,6.02537019240327,7.0,9.404290064444837
26,"1% O2, CyA+",AGGF1,4.528156312703529,4.087462841250339,7.899054756194414
27,"1% O2, CyA+",AGPS,7.086696233718074,9.995767150877802,6.791814071161826
28,"1% O2, CyA+",AHCTF1,7.731326807408066,9.627533884472792,8.529820946528694
29,"1% O2, CyA+",AHSA1,8.428873267683745,10.782179193831208,4.8529975876133165
30,"1% O2, CyA+",AIMP1,6.248204639949772,10.732167425663384,8.357112091505698
31,"1% O2, CyA+",AKAP1,6.994077021208994,9.098032082960527,9.721441019070326
32,"1% O2, CyA+",AKAP11,7.49484178735454,4.270528942380718,9.217715411350675
33,"1% O2, CyA+",AKAP13,8.066353752921056,10.367414751246828,9.620036498098777
34,"1% O2, CyA+",AKAP17A,6.150259729762758,6.285402218862249,8.671010241278452
35,"1% O2, CyA+",AKAP2,0.9926751287589405,10.55170826162069,10.371667757584342
36,"1% O2, CyA+",AKAP9,6.679884794381416,10.193525360501216,8.021257620560519
37,"1% O2, CyA+",AKNA,7.983968438947679,7.643856189774724,8.87528859822269
38,"1% O2, CyA+",AKT1S1,4.548824519652562,3.3074285251922473,10.44024628710574
39,"1% O2, CyA+",ALDOA,3.061772158102744,12.380190466749834,9.922733049876836
40,"1% O2, CyA+",ALKBH5,6.5751152268375765,7.930737337562887,9.002815015607053
41,"1% O2, CyA+",ALYREF,7.577730098193221,9.489847960439297,5.368069876532083
42,"1% O2, CyA+",AMFR,7.401708444734694,5.507794640198696,8.64169052255661
43,"1% O2, CyA+",AMMECR1,6.722970604701189,6.327328082629952,4.689299160535892
44,"1% O2, CyA+",AMPD2,4.858925988268398,8.312882955284355,10.760304125286382
45,"1% O2, CyA+",ANAPC1,8.27969041802401,8.546894459887637,8.421644094048272
46,"1% O2, CyA+",ANAPC2,5.5268369789402065,7.459431618637297,7.234577959784565
47,"1% O2, CyA+",ANAPC4,5.7083755562968275,5.797012977836145,8.442528868732527
48,"1% O2, CyA+",ANKHD1,1.7622165500654987,8.686500527183219,8.651410525912999
49,"1% O2, CyA+",ANKLE1,7.031765560157517,4.20163386116965,6.768184324776926
50,"1% O2, CyA+",ANKLE2,6.53493429148757,7.330916878114617,8.387586565819353
51,"1% O2, CyA+",ANKRD11,6.772013043604692,3.560714954474479,6.2630344058337934
52,"1% O2, CyA+",ANKRD17,8.00012350333553,7.199672344836364,10.094737505048093
53,"1% O2, CyA+",ANKRD28,7.030274116121419,7.876516946564999,9.468624042918018
54,"1% O2, CyA+",ANKZF1,5.286943864289531,7.011227255423254,8.179411523174034
55,"1% O2, CyA+",ANLN,6.310427592087798,8.45532722030456,8.787249608467912
56,"1% O2, CyA+",ANP32B,9.10532778211315,9.35974956032233,8.99802621579958
57,"1% O2, CyA+",AP3B1,6.6179239651820545,9.388017285345136,11.01262453886506
58,"1% O2, CyA+",AP3D1,7.098598080659083,9.64565843240871,9.316055208890491
59,"1% O2, CyA+",AP4E1,5.79828761856486,4.292781749227846,6.359310316890443
60,"1% O2, CyA+",APBB1IP,7.955636970953805,9.667111542075027,12.48255589154897
61,"1% O2, CyA+",APBB2,6.422888512312009,3.070389327891398,7.723148957047578
62,"1% O2, CyA+",APC,6.0683536122466775,5.462706750670158,9.712870867689904
63,"1% O2, CyA+",APIP,5.670932550474939,8.290018846932618,9.890416291671784
64,"1% O2, CyA+",APLP2,9.362455210766385,8.543031820255237,8.454916137514804
65,"1% O2, CyA+",APPL1,5.8813713709071855,6.9886846867721655,7.708739041359579
66,"1% O2, CyA+",AQR,6.911961725485049,9.5980525001616,3.84799690655495
67,"1% O2, CyA+",ARAF,5.990114409946608,6.94251450533924,7.303780748177103
68,"1% O2, CyA+",ARFGAP1,5.542703803363191,9.149747119504681,8.541871008841488
69,"1% O2, CyA+",ARFGAP2,6.477525616757291,9.164906926675688,10.685800019744892
70,"1% O2, CyA+",ARFGAP3,4.916534138584075,9.084808387804362,8.683696454306515
71,"1% O2, CyA+",ARFGEF1,6.859907803808566,9.52552080909507,9.485829308701904
72,"1% O2, CyA+",ARFGEF2,6.957931622334939,6.5668151540108965,9.970824901362617
73,"1% O2, CyA+",ARFIP1,4.982013406042603,7.189824558880018,8.787576120869643
74,"1% O2, CyA+",ARGLU1,5.637410785925093,9.63662462054365,11.080950734297023
75,"1% O2, CyA+",ARHGAP1,5.727495207808912,7.994353436858858,10.587121170475651
76,"1% O2, CyA+",ARHGAP15,5.446445185137284,9.590587049915035,9.187599512535789
77,"1% O2, CyA+",ARHGAP17,4.565874403860842,8.515699838284043,8.814422246566794
78,"1% O2, CyA+",ARHGAP24,3.424080205654203,5.8875252707415875,9.608624459448773
79,"1% O2, CyA+",ARHGAP25,5.0018934440102685,8.113742166049189,10.466076461396252
80,"1% O2, CyA+",ARHGAP30,7.4203538095360235,8.682994583681683,7.66746640495737
81,"1% O2, CyA+",ARHGAP35,7.990631478647151,7.971543553950772,8.747185966886576
82,"1% O2, CyA+",ARHGAP4,5.330092948460669,8.118941072723507,9.40981519582048
83,"1% O2, CyA+",ARHGAP9,4.09430853550671,6.832890014164741,7.206526015877427
84,"1% O2, CyA+",ARHGEF1,7.534287705493227,10.644757592516257,7.514911264861354
85,"1% O2, CyA+",ARHGEF18,3.86654408629716,9.098032082960527,9.74550626586916
86,"1% O2, CyA+",ARHGEF2,7.026845793730609,10.502831804066744,8.931328484893791
87,"1% O2, CyA+",ARHGEF6,7.802001525019737,10.023754353299417,10.649166343148789
88,"1% O2, CyA+",ARHGEF7,7.067180432671422,9.434628227636725,9.958697702621816
89,"1% O2, CyA+",ARID1A,7.970237822677071,9.262094845370179,11.411352092143098
90,"1% O2, CyA+",ARID1B,7.173590806240916,8.43879185257826,11.515749109814276
91,"1% O2, CyA+",ARID2,6.1622370852071064,6.149747119504682,7.855491443101874
92,"1% O2, CyA+",ARID4A,5.2646112771740965,5.590961241342599,8.314696525656286
93,"1% O2, CyA+",ARID4B,5.64262605795018,7.554588851677638,9.897845456005511
94,"1% O2, CyA+",ARIH2,7.233267029093969,7.348728154231077,7.00337736020232
95,"1% O2, CyA+",ARL6IP4,0.23656150044684476,7.994353436858858,9.509379148914688
96,"1% O2, CyA+",ARMC1,6.0747594533740985,8.118941072723507,4.877744249949002
97,"1% O2, CyA+",ARMC10,5.981193369393942,5.643856189774724,6.8529975876133165
98,"1% O2, CyA+",ARMCX3,4.663190679617462,7.86418614465428,8.602513297451836
99,"1% O2, CyA+",ARNT,5.940247676021557,4.867896463992655,8.786923022152791
100,"1% O2, CyA+",ARPC1B,3.4682236676446165,9.306061689428342,10.193402153272746
101,"1% O2, CyA+",ARPC5L,6.150259729762758,7.546894459887636,9.03342300153745
102,"1% O2, CyA+",ASCC3,7.212242055790392,9.14210705730255,8.333602628268281
103,"1% O2, CyA+",ASF1A,6.0461571096547395,8.383704292474052,7.80928581019891
104,"1% O2, CyA+",ASF1B,7.355122254457158,7.954196310386875,6.876516946564999
105,"1% O2, CyA+",ASMTL,5.357611503656072,5.501439145158873,6.191799501065075
106,"1% O2, CyA+",ASPSCR1,4.086764009902917,7.20945336562895,8.5913353357414
107,"1% O2, CyA+",ATAD2,7.771649376458648,9.350939181546432,10.546315722817274
108,"1% O2, CyA+",ATAD2B,4.835490495420288,4.247927513443585,7.864805194241504
109,"1% O2, CyA+",ATF2,5.6883461617263,7.294620748891627,7.880807948362805
110,"1% O2, CyA+",ATF7IP,6.600503103561932,3.655351828612554,9.633358550637105
111,"1% O2, CyA+",ATG16L1,4.282423045048418,5.141596278383818,7.2992080183872785
112,"1% O2, CyA+",ATG2B,6.058781082739955,5.757556688939453,7.940754047474802
113,"1% O2, CyA+",ATG4B,5.80080128850493,8.076815597050832,5.675251386050259
114,"1% O2, CyA+",ATM,7.157858928951767,8.326429487122303,8.002815015607053
115,"1% O2, CyA+",ATP11C,6.355452142254328,6.94251450533924,7.727920454563199
116,"1% O2, CyA+",ATP1A1,8.454055822032778,11.806146803320525,9.625160880137999
117,"1% O2, CyA+",ATP2B1,7.13915607120344,8.113742166049189,6.383704292474052
118,"1% O2, CyA+",ATP6V0A2,6.748107691296077,8.044394119358454,7.151777654732053
119,"1% O2, CyA+",ATR,7.386571266307837,8.758223214726724,10.230620933129867
120,"1% O2, CyA+",ATRIP,4.3761438009305484,6.5219929564016725,9.758556362180206
121,"1% O2, CyA+",ATRX,6.654546261001261,9.388017285345136,10.242221395098369
122,"1% O2, CyA+",ATXN10,7.683672750155231,10.512740462803498,8.04220656012069
123,"1% O2, CyA+",ATXN2,5.6865889097880435,8.266786540694902,8.929850162148504
124,"1% O2, CyA+",ATXN2L,8.055765911014378,10.421012855779226,11.565863696454226
125,"1% O2, CyA+",AUP1,6.6493365633274015,8.076815597050832,4.9354597478052895
126,"1% O2, CyA+",BABAM1,4.692636016919068,5.760220946466509,7.788555214928864
127,"1% O2, CyA+",BACH2,9.1003017588148,8.861086905995395,10.462502272597265
128,"1% O2, CyA+",BAD,2.8356705855230033,3.2016338611696504,10.249706056969705
129,"1% O2, CyA+",BAG3,2.582700788366181,4.035623909730721,5.74416109557041
130,"1% O2, CyA+",BAG4,5.341758356710724,8.233619676759702,7.447909748742077
131,"1% O2, CyA+",BAG6,8.212604556595002,8.625708843064466,7.536830005048058
132,"1% O2, CyA+",BAZ1A,7.529250901218792,9.741466986401146,9.971399852068997
133,"1% O2, CyA+",BAZ1B,9.390830709614356,11.393926675640417,9.50521609609692
134,"1% O2, CyA+",BAZ2A,7.940537899116717,7.507794640198696,9.663024332845005
135,"1% O2, CyA+",BCKDK,4.939808251262386,5.4886435398537845,8.357112091505698
136,"1% O2, CyA+",BCL11A,5.8856272093044195,4.666756591884804,8.891479945970975
137,"1% O2, CyA+",BCL2L13,6.116522988779825,8.154818109052105,7.587214952452535
138,"1% O2, CyA+",BCL6,8.529596173854658,6.4212232992251375,10.098163709714953
139,"1% O2, CyA+",BCL7A,7.728252586953985,7.266786540694901,6.92955431573285
140,"1% O2, CyA+",BCL7B,6.294783283876243,4.77082904603249,5.738767836800191
141,"1% O2, CyA+",BCLAF1,8.781250457836592,10.580258567499788,12.046407841338416
142,"1% O2, CyA+",BCR,7.55869443276977,7.839203788096944,7.41193462479118
143,"1% O2, CyA+",BEND3,4.940717579606841,5.332707933640605,5.862947248020921
144,"1% O2, CyA+",BET1L,5.11216489742146,7.546894459887636,7.993221467368938
145,"1% O2, CyA+",BICD1,5.392731104885312,3.4329594072761065,5.542258049766918
146,"1% O2, CyA+",BICD2,7.9769846915054226,10.644757592516257,10.24436383512051
147,"1% O2, CyA+",BIN2,2.60243085563682,6.652486494918165,9.39360496863922
148,"1% O2, CyA+",BIRC2,5.743177498112036,4.177917792195843,7.693486957499325
149,"1% O2, CyA+",BIRC6,7.742532732658319,8.820178962415188,6.746850183098051
150,"1% O2, CyA+",BLM,6.650175341670936,7.539158811108031,8.329123596291566
151,"1% O2, CyA+",BLNK,6.432566193188037,8.661778097771988,9.441076734698616
152,"1% O2, CyA+",BLOC1S3,3.2536323322068363,6.232660756790275,6.175923742063755
153,"1% O2, CyA+",BMP2K,5.507636763594866,7.087462841250339,7.174925682500679
154,"1% O2, CyA+",BMS1,7.499708751517252,9.936637939002571,7.946028989515477
155,"1% O2, CyA+",BOD1L1,6.790690606805961,8.980139577639157,11.741298437415514
156,"1% O2, CyA+",BOP1,6.7901276879007755,9.721099188707186,7.862327400517986
157,"1% O2, CyA+",BPTF,8.079242611725821,9.467605550082997,8.716305039844418
158,"1% O2, CyA+",BRAF,5.96282710181521,8.974414589805527,8.687900522480746
159,"1% O2, CyA+",BRAP,5.485376135074153,7.700439718141092,8.786269627648466
160,"1% O2, CyA+",BRAT1,5.4426884249234195,7.714245517666122,8.001126665454285
161,"1% O2, CyA+",BRCA1,7.155476073340818,6.537606691495291,9.422905742612183
