,pathway,code,nodes,"1% O2, CyA+-1% O2, CyA-","1% O2, CyA--19% O2, CyA-","19% O2, CyA--1% O2, CyA+"
0,Hepatocellular carcinoma,05225,"['MTOR', 'APC', 'RB1', 'TP53', 'ARID2', 'BAD', 'BRD7', 'ARAF', 'BRAF', 'RAF1', 'SHC1', 'PLCG2', 'PRKCG', 'RPS6KB1', 'AKT1', 'DVL3', 'ARID1B', 'ARID1A', 'SMARCC1', 'SMARCA2', 'SMARCA4', 'GSTP1', 'ACTB', 'PHF10', 'SMARCD2']",3.29398037213721,0.382387402108867,0.07867502203283759
1,Viral life cycle - HIV-1,03250,"['CXCR4', 'NUP153', 'XPO1', 'AFF4', 'ELL', 'EP300', 'SAMHD1', 'SUPT5H', 'NELFA', 'NELFE', 'MLLT1', 'MLLT3', 'CCNT1', 'CCNT2']",0.8987211594743245,0.13619427927426447,0.08112085928717482
2,Melanoma,05218,"['BRAF', 'BAD', 'TP53', 'RB1', 'RAF1', 'ARAF', 'AKT1']",1.8682204756340983,0.1751924579667892,0.1988630983908358
3,C-type lectin receptor signaling pathway,04625,"['LSP1', 'NFKB1', 'RAF1', 'SYK', 'PTPN11', 'IKBKG', 'CYLD', 'PLCG2', 'RELB', 'RRAS2', 'IKBKB', 'NFATC1', 'NFATC2', 'NFATC3', 'ITPR1', 'ITPR3', 'PPP3CB', 'AKT1']",1.0771429816053342,0.08383183952985472,0.13426945997011158
4,Acute myeloid leukemia,05221,"['RUNX1', 'BAD', 'MTOR', 'EIF4EBP1', 'ZBTB16', 'NFKB1', 'STAT3', 'STAT5A', 'PML', 'IKBKB', 'IKBKG', 'BRAF', 'RAF1', 'ARAF', 'RPS6KB1', 'AKT1']",0.9287488239001679,0.09331900289624814,0.08095232650061876
5,Phagosome,04145,"['NCF2', 'CANX', 'SEC22B', 'RAB5B', 'RAB7A', 'DYNC1H1', 'DYNC1LI2', 'TUBA1C']",1.6500633804738112,0.43338444715786517,0.08973948014170612
6,Non-small cell lung cancer,05223,"['BAD', 'PDPK1', 'STK4', 'RB1', 'RASSF1', 'TP53', 'PRKCG', 'PLCG2', 'BRAF', 'RAF1', 'ARAF', 'EML4', 'STAT3', 'STAT5A', 'AKT1']",0.5532290448394176,0.04038040987886363,0.11218793217629759
7,cGMP-PKG signaling pathway,04022,"['SRF', 'RAF1', 'BAD', 'PRKCE', 'PPP1R12A', 'ITPR1', 'ITPR3', 'NFATC1', 'NFATC2', 'NFATC3', 'MEF2A', 'MEF2B', 'MEF2C', 'MEF2D', 'CREB1', 'ATF2', 'VDAC1', 'VDAC2', 'IRS1', 'PPP3CB', 'ATP1A1', 'ATP2B1', 'GTF2I', 'AKT1']",1.498665679494641,0.12551020250392797,0.23184725105672382
8,HIF-1 signaling pathway,04066,"['ARNT', 'EP300', 'SLC2A1', 'MTOR', 'PFKFB3', 'STAT3', 'EIF4EBP1', 'RPS6', 'PLCG2', 'PRKCG', 'NFKB1', 'EGLN1', 'AKT1', 'LDHA', 'LDHB', 'CAMK2D', 'PFKL', 'PFKP', 'ALDOA', 'ENO1', 'PGK1', 'EIF4E2', 'RPS6KB1', 'MKNK2']",4.3427322460376985,0.5545256067998404,0.05900527223986114
9,Parkinson disease,05012,"['XBP1', 'TP53', 'DAXX', 'MAP3K5', 'VDAC1', 'VDAC2', 'PSMA3', 'PSMD2', 'PSMD11', 'ITPR1', 'ITPR3', 'UBA1', 'RPS27A', 'CAMK2D', 'KLC1', 'KLC2', 'KLC4', 'TUBA1C']",5.54962512188166,0.7700752102866208,0.08387229901242217
