"F1....f1aonly","F2....f2aonly","F3....f3aonly","F1F2....f1f2aonly","F1F3....f1f3aonly","F2F3....f2f3aonly","F1gF2....f1gf2","F1gF3....f1gf3","F2gF1....f2gf1","F2gF3....f2gf3","F3gF1....f3gf1","F3gF2....f3gf2","F1gF2F3....f2f3","F2gF1F3....f1f3","F3gF1F2....f1f2","Overlap....overlap"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,-4.00000000000011,0,-4.00000000000011,0,0,0,0,0
1,0,1,0,0,0,0,-3.00000000000012,-3.00000000000012,-3.00000000000012,-3.00000000000012,0,0,0,0,0
2,1,1,0,0,0,-2.33333333333342,-2.33333333333342,-20.1853151994765,-2.33333333333342,-20.1853151994765,-2.33333333333342,0,0,0,0
2,1,1,0,0,0,-1.85714285714282,-1.85714285714282,-15.006922121967,-1.85714285714282,-15.006922121967,-1.85714285714282,0,0,0,0
2,2,1,0,0,0,-11.5578048200593,-1.49999999999996,-11.5578048200593,-1.49999999999996,-11.5578048200593,-11.5578048200593,0,0,0,0
2,2,1,0,0,0,-9.15442933289513,-1.22222222222206,-9.15442933289513,-1.22222222222206,-9.15442933289513,-9.15442933289513,0,0,0,0
2,2,1,0,0,0,-7.42434879957141,-1.0000000000001,-7.42434879957141,-1.0000000000001,-7.42434879957141,-7.42434879957141,0,0,0,0
2,2,1,0,0,0,-6.15161645765161,-0.81818181818177,-6.15161645765161,-0.81818181818177,-6.15161645765161,-6.15161645765161,0,0,0,0
2,2,1,0,0,0,-5.2053706218198,-0.666666666666678,-5.2053706218198,-0.666666666666678,-5.2053706218198,-5.2053706218198,0,0,0,0
2,2,2,0,0,0,-4.5019224769402,-4.5019224769402,-4.5019224769402,-4.5019224769402,-4.5019224769402,-4.5019224769402,0,0,0,0
2,2,2,0,0,0,-3.97730500499651,-3.97730500499651,-3.97730500499651,-3.97730500499651,-3.97730500499651,-3.97730500499651,0,0,0,0
2,2,2,0,0,0,-3.56437863851399,-3.56437863851399,-3.56437863851399,-3.56437863851399,-3.56437863851399,-3.56437863851399,0,0,0,0
2,2,2,0,0,0,-3.18390521064261,-3.18390521064261,-3.18390521064261,-3.18390521064261,-3.18390521064261,-3.18390521064261,0,0,0,0
2,2,2,0,0,0,-2.75788835452235,-2.75788835452235,-2.75788835452235,-2.75788835452235,-2.75788835452235,-2.75788835452235,0,0,0,0
2,2,2,0,0,0,-2.23615899706656,-2.23615899706656,-2.23615899706656,-2.23615899706656,-2.23615899706656,-2.23615899706656,0,0,0,0
2,2,2,0,0,0,-1.61537180116688,-1.61537180116688,-1.61537180116688,-1.61537180116688,-1.61537180116688,-1.61537180116688,0,0,0,0
2,2,2,0,0,0,-0.936563656918092,-0.936563656918092,-0.936563656918092,-0.936563656918092,-0.936563656918092,-0.936563656918092,0,0,0,0
