"","pathway","transcriptome_pval","transcriptome_padj","proteome_pval","proteome_padj","phosphoproteome_pval","phosphoproteome_padj","combined_pval","combined_padj","Contrast","negativelog10FDR","Pathway","Algorithm"
"1","(KEGG) Glycolysis / Gluconeogenesis",0.785276073619632,0.99777941227978,0.0565410199556541,0.571064301552106,0.00903152381201911,0.582533285875232,0.96899763996215,1,"X1O2NoCyA - X1O2PlusCyA",0,"Glycolysis / Gluconeogenesis","multiGSEA"
"2","(KEGG) Citrate cycle (TCA cycle)",0.0134640810497689,0.364753086419753,1.34532625871081e-05,0.00172068901673112,0.107981220657277,0.942982456140351,0.164492867040349,1,"X1O2NoCyA - X1O2PlusCyA",0,"Citrate Cycle (Tca Cycle)","multiGSEA"
"3","(KEGG) Pentose phosphate pathway",0.0205750144673732,0.364753086419753,0.539877300613497,0.945329814828967,0.0666666666666667,0.942982456140351,0.949204598687113,1,"X1O2NoCyA - X1O2PlusCyA",0,"Pentose Phosphate Pathway","multiGSEA"
"4","(KEGG) Pentose and glucuronate interconversions",0.231316725978648,0.719395017793594,0.255905511811024,0.901620582310932,NA,NA,0.907185927891098,1,"X1O2NoCyA - X1O2PlusCyA",0,"Pentose And Glucuronate Interconversions","multiGSEA"
"5","(KEGG) Fructose and mannose metabolism",0.278333333333333,0.786924242424242,0.602803738317757,0.945329814828967,0.102409638554217,0.942982456140351,0.98917005121084,1,"X1O2NoCyA - X1O2PlusCyA",0,"Fructose And Mannose Metabolism","multiGSEA"
"6","(KEGG) Galactose metabolism",0.606635071090047,0.99777941227978,0.386075949367089,0.945329814828967,0.314285714285714,0.94823154491213,0.999773308934072,1,"X1O2NoCyA - X1O2PlusCyA",0,"Galactose Metabolism","multiGSEA"
"7","(KEGG) Ascorbate and aldarate metabolism",0.0291828793774319,0.364753086419753,0.0810234541577825,0.665868538441354,NA,NA,0.523330242910001,1,"X1O2NoCyA - X1O2PlusCyA",0,"Ascorbate And Aldarate Metabolism","multiGSEA"
"8","(KEGG) Fatty acid biosynthesis",0.555555555555556,0.979994958225295,0.351689612015019,0.945329814828967,0.21978021978022,0.942982456140351,0.998746519041505,1,"X1O2NoCyA - X1O2PlusCyA",0,"Fatty Acid Biosynthesis","multiGSEA"
"9","(KEGG) Fatty acid elongation",0.522314049586777,0.975155144256941,0.0234278668310728,0.35191637630662,0.457142857142857,0.94823154491213,0.96809714990026,1,"X1O2NoCyA - X1O2PlusCyA",0,"Fatty Acid Elongation","multiGSEA"
"10","(KEGG) Fatty acid degradation",0.764857881136951,0.99777941227978,0.000610480322212821,0.026425076804355,0.571153846153846,0.951582618025751,0.931010275647289,1,"X1O2NoCyA - X1O2PlusCyA",0,"Fatty Acid Degradation","multiGSEA"
"11","(KEGG) Synthesis and degradation of ketone bodies",0.559139784946237,0.979994958225295,0.024390243902439,0.35191637630662,0.0980769230769231,0.942982456140351,0.969849482799444,1,"X1O2NoCyA - X1O2PlusCyA",0,"Synthesis And Degradation Of Ketone Bodies","multiGSEA"
"12","(KEGG) Steroid biosynthesis",0.00887071983372239,0.306532652031962,0.434944237918216,0.945329814828967,0.173674588665448,0.942982456140351,0.938809916432639,1,"X1O2NoCyA - X1O2PlusCyA",0,"Steroid Biosynthesis","multiGSEA"
"13","(KEGG) Primary bile acid biosynthesis",0.931818181818182,0.99777941227978,0.201863354037267,0.839458869993221,NA,NA,0.996669504825164,1,"X1O2NoCyA - X1O2PlusCyA",0,"Primary Bile Acid Biosynthesis","multiGSEA"
"14","(KEGG) Ubiquinone and other terpenoid-quinone biosynthesis",0.4957805907173,0.963973577235772,0.600375234521576,0.945329814828967,NA,NA,0.99189443124525,1,"X1O2NoCyA - X1O2PlusCyA",0,"Ubiquinone And Other Terpenoid-Quinone Biosynthesis","multiGSEA"
"15","(KEGG) Steroid hormone biosynthesis",0.0461538461538462,0.434965034965035,0.285302593659942,0.939637889988723,NA,NA,0.836816954118465,1,"X1O2NoCyA - X1O2PlusCyA",0,"Steroid Hormone Biosynthesis","multiGSEA"
