pathway,transcriptome_pval,transcriptome_padj,proteome_pval,proteome_padj,phosphoproteome_pval,phosphoproteome_padj,combined_pval,combined_padj,Contrast,Pathway
(KEGG) Glycolysis / Gluconeogenesis,0.785276074,0.997779412,0.05654102,0.571064302,0.009031524,0.582533286,0.96899764,1,X1O2NoCyA - X1O2PlusCyA,Glycolysis / Gluconeogenesis
(KEGG) Citrate cycle (TCA cycle),0.013464081,0.364753086,1.35E-05,0.001720689,0.107981221,0.942982456,0.164492867,1,X1O2NoCyA - X1O2PlusCyA,Citrate Cycle (Tca Cycle)
(KEGG) Pentose phosphate pathway,0.020575014,0.364753086,0.539877301,0.945329815,0.066666667,0.942982456,0.949204599,1,X1O2NoCyA - X1O2PlusCyA,Pentose Phosphate Pathway
(KEGG) Pentose and glucuronate interconversions,0.231316726,0.719395018,0.255905512,0.901620582,NA,NA,0.907185928,1,X1O2NoCyA - X1O2PlusCyA,Pentose And Glucuronate Interconversions
(KEGG) Fructose and mannose metabolism,0.278333333,0.786924242,0.602803738,0.945329815,0.102409639,0.942982456,0.989170051,1,X1O2NoCyA - X1O2PlusCyA,Fructose And Mannose Metabolism
(KEGG) Galactose metabolism,0.606635071,0.997779412,0.386075949,0.945329815,0.314285714,0.948231545,0.999773309,1,X1O2NoCyA - X1O2PlusCyA,Galactose Metabolism
(KEGG) Ascorbate and aldarate metabolism,0.029182879,0.364753086,0.081023454,0.665868538,NA,NA,0.523330243,1,X1O2NoCyA - X1O2PlusCyA,Ascorbate And Aldarate Metabolism
(KEGG) Fatty acid biosynthesis,0.555555556,0.979994958,0.351689612,0.945329815,0.21978022,0.942982456,0.998746519,1,X1O2NoCyA - X1O2PlusCyA,Fatty Acid Biosynthesis
(KEGG) Fatty acid elongation,0.52231405,0.975155144,0.023427867,0.351916376,0.457142857,0.948231545,0.96809715,1,X1O2NoCyA - X1O2PlusCyA,Fatty Acid Elongation
(KEGG) Fatty acid degradation,0.764857881,0.997779412,0.00061048,0.026425077,0.571153846,0.951582618,0.931010276,1,X1O2NoCyA - X1O2PlusCyA,Fatty Acid Degradation
(KEGG) Synthesis and degradation of ketone bodies,0.559139785,0.979994958,0.024390244,0.351916376,0.098076923,0.942982456,0.969849483,1,X1O2NoCyA - X1O2PlusCyA,Synthesis And Degradation Of Ketone Bodies
(KEGG) Steroid biosynthesis,0.00887072,0.306532652,0.434944238,0.945329815,0.173674589,0.942982456,0.938809916,1,X1O2NoCyA - X1O2PlusCyA,Steroid Biosynthesis
(KEGG) Primary bile acid biosynthesis,0.931818182,0.997779412,0.201863354,0.83945887,NA,NA,0.996669505,1,X1O2NoCyA - X1O2PlusCyA,Primary Bile Acid Biosynthesis
(KEGG) Ubiquinone and other terpenoid-quinone biosynthesis,0.495780591,0.963973577,0.600375235,0.945329815,NA,NA,0.991894431,1,X1O2NoCyA - X1O2PlusCyA,Ubiquinone And Other Terpenoid-Quinone Biosynthesis
(KEGG) Steroid hormone biosynthesis,0.046153846,0.434965035,0.285302594,0.93963789,NA,NA,0.836816954,1,X1O2NoCyA - X1O2PlusCyA,Steroid Hormone Biosynthesis
(KEGG) Oxidative phosphorylation,0.834724541,0.997779412,0.925970874,0.968493151,0.960093897,0.980320465,0.999952982,1,X1O2NoCyA - X1O2PlusCyA,Oxidative Phosphorylation
(KEGG) Arginine biosynthesis,0.107081174,0.603174603,0.711382114,0.945329815,NA,NA,0.906106592,1,X1O2NoCyA - X1O2PlusCyA,Arginine Biosynthesis
(KEGG) Purine metabolism,0.3904209,0.906126118,1,1,0.417266187,0.948231545,0.981355287,1,X1O2NoCyA - X1O2PlusCyA,Purine Metabolism
(KEGG) Caffeine metabolism,0.610655738,0.997779412,0.488272921,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Caffeine Metabolism
(KEGG) Pyrimidine metabolism,0.323782235,0.825913761,0.042527961,0.506688963,0.21,0.942982456,0.928363472,1,X1O2NoCyA - X1O2PlusCyA,Pyrimidine Metabolism
"(KEGG) Alanine, aspartate and glutamate metabolism",0.120401338,0.603174603,0.581772784,0.945329815,0.975824176,0.981865727,0.988825049,1,X1O2NoCyA - X1O2PlusCyA,"Alanine, Aspartate And Glutamate Metabolism"
"(KEGG) Glycine, serine and threonine metabolism",0.012133305,0.364753086,0.18227216,0.834739852,0.694230769,0.951582618,0.906714762,1,X1O2NoCyA - X1O2PlusCyA,"Glycine, Serine And Threonine Metabolism"
(KEGG) Cysteine and methionine metabolism,0.086153846,0.603174603,0.592017738,0.945329815,0.94239291,0.976455304,0.986850859,1,X1O2NoCyA - X1O2PlusCyA,Cysteine And Methionine Metabolism
"(KEGG) Valine, leucine and isoleucine degradation",0.362940276,0.874995548,1.60E-07,4.84E-05,0.615023474,0.951582618,0.26498361,1,X1O2NoCyA - X1O2PlusCyA,"Valine, Leucine And Isoleucine Degradation"
(KEGG) Lysine degradation,0.071097372,0.552782071,0.0003382,0.017079087,0.087118786,0.942982456,0.407516533,1,X1O2NoCyA - X1O2PlusCyA,Lysine Degradation
(KEGG) Arginine and proline metabolism,0.114832536,0.603174603,0.153482881,0.830452016,0.540384615,0.951582618,0.951700398,1,X1O2NoCyA - X1O2PlusCyA,Arginine And Proline Metabolism
(KEGG) Histidine metabolism,0.063079777,0.530211102,0.015587143,0.282884999,NA,NA,0.362236558,1,X1O2NoCyA - X1O2PlusCyA,Histidine Metabolism
(KEGG) Tyrosine metabolism,0.522920204,0.975155144,0.333333333,0.945329815,NA,NA,0.994131932,1,X1O2NoCyA - X1O2PlusCyA,Tyrosine Metabolism
(KEGG) Phenylalanine metabolism,0.660482375,0.997779412,0.664596273,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,Phenylalanine Metabolism
(KEGG) Tryptophan metabolism,0.495098039,0.963973577,0.016805049,0.282884999,0.571153846,0.951582618,0.952102533,1,X1O2NoCyA - X1O2PlusCyA,Tryptophan Metabolism
"(KEGG) Phenylalanine, tyrosine and tryptophan biosynthesis",0.639344262,0.997779412,0.357142857,0.945329815,NA,NA,0.999166472,1,X1O2NoCyA - X1O2PlusCyA,"Phenylalanine, Tyrosine And Tryptophan Biosynthesis"
(KEGG) beta-Alanine metabolism,0.130578512,0.620429293,0.000264023,0.015999817,0.571153846,0.951582618,0.459208486,1,X1O2NoCyA - X1O2PlusCyA,Beta-Alanine Metabolism
