"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","APBB1IP",-12.5117909423599,8.19855322243742,-87.6083901168009,1.01605639263336e-13,1.10481904782558e-10,17.7860027796873
"2","FTH1",-11.8219194405854,7.67215251281165,-82.7248110718761,1.64289439172904e-13,1.10481904782558e-10,17.6548306138035
"3","GFPT1",-11.2637197738195,7.56042259881523,-81.814833499697,1.80240218431565e-13,1.10481904782558e-10,17.6282125654089
"4","EIF2A",-10.8934603202549,7.38119827991401,-78.5991542585757,2.52188899616436e-13,1.10481904782558e-10,17.5280067314231
"5","MRGBP",-10.0832266668728,6.82719396288258,-77.6213802050236,2.8006794336895e-13,1.10481904782558e-10,17.4955082357682
"6","ARGLU1",-11.0724835749725,7.4528867996323,-77.4885361378036,2.8411515413777e-13,1.10481904782558e-10,17.4910155963707
"7","DNAJC5",-10.8561893277403,7.26706668037416,-76.3133710580361,3.22911621493906e-13,1.10481904782558e-10,17.4504428306448
"8","PDLIM5",-9.86944837908525,6.72004772073755,-73.6197153783938,4.36308084486069e-13,1.18386662697504e-10,17.3515025140022
"9","NAP1L1",-9.4791830547788,6.447331700971,-72.9535367860197,4.7082031298307e-13,1.18386662697504e-10,17.3256761226252
"10","CDK16",-9.67759937838816,6.69368602316476,-71.4183102574917,5.62610859863677e-13,1.18386662697504e-10,17.2639672191371
"11","PSMA5",-9.41418376051203,6.38477835644221,-71.2769838897081,5.72021085284937e-13,1.18386662697504e-10,17.2581278615201
"12","LUC7L3",-9.53779362737989,6.45152171560373,-70.3902932651802,6.35239511368169e-13,1.18386662697504e-10,17.2208585929356
"13","PGM1",-9.24671013703866,6.40123032918497,-70.2935218536329,6.42599839276638e-13,1.18386662697504e-10,17.2167239905228
"14","PTBP1",-9.75903749436856,5.26043754208961,-69.3820325730308,7.16810979252633e-13,1.22075410944128e-10,17.1771144923616
"15","PPP1R9B",-10.0638350131178,6.77594663627611,-67.9562480576612,8.52924809339437e-13,1.22075410944128e-10,17.1126565919074
