"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","BBS12",0.63698680360357,4.27436610926461,6.08872676272401,0.000273811667058231,0.855582818798325,-2.42220662208872
"2","ALDH3A2",0.439940603905114,6.13414972510629,4.83394192677155,0.00123724602996184,0.855582818798325,-2.73560716598878
"3","EEFSEC",-0.655350714230785,4.23725227679746,-4.07999808754673,0.00340991889851417,0.855582818798325,-2.99881575640611
"4","DCAF5",-0.289184324859705,4.36695765563535,-4.0036081827277,0.00379643571264951,0.855582818798325,-3.02935045248893
"5","HACL1",0.240653405247852,7.20847324584867,3.89159793242534,0.00445055939065733,0.855582818798325,-3.07551158655383
"6","MAP2K4",0.378586067693958,5.98761036834634,3.79790864770305,0.00509047674266044,0.855582818798325,-3.11541368885979
"7","RPS6KA4",-0.222972785185805,6.59207867706302,-3.74808543836584,0.00547020983510662,0.855582818798325,-3.13711958561932
"8","KMT2C",1.82054981462904,1.83292526689423,3.71071413911908,0.00577482878061684,0.855582818798325,-3.15362438527074
"9","NEMP1",0.240624194150796,7.03713136451842,3.67209455472555,0.00610869304978742,0.855582818798325,-3.17088310133609
"10","KIF14",0.278043141753177,6.93631717714712,3.63759363569819,0.00642435093036113,0.855582818798325,-3.18647620171439
"11","CDC34",-0.245703626378629,4.71228683688916,-3.61033641441121,0.00668599006680323,0.855582818798325,-3.19891262692044
"12","ALDH6A1",0.31546357089379,7.96408051398112,3.60482587551407,0.00674024824367331,0.855582818798325,-3.20143947555353
"13","BCAR3",0.485489786601228,3.66305548981674,3.44971998368415,0.00847602386595524,0.855582818798325,-3.27431060499559
"14","FAM208B",-0.269378896711323,5.58748754147182,-3.39847193074346,0.00914890694157782,0.855582818798325,-3.29913263148604
"15","ACAP1",0.336926886941084,6.21479934494743,3.36795472152752,0.00957619983291399,0.855582818798325,-3.31408986412318
"16","ACADVL",0.227973481449327,7.39935024172508,3.35465807565462,0.0097689141046031,0.855582818798325,-3.32064801828009
"17","PCK2",0.217415753068016,9.5923761931177,3.34751364250565,0.00987414650335283,0.855582818798325,-3.32418209771609
"18","KIAA0391",0.310892767652714,4.87988887298233,3.29082587827173,0.0107526607119948,0.855582818798325,-3.35247870828672
"19","BCL6",-0.253227033607415,6.51590589183416,-3.26837649517046,0.0111229743767783,0.855582818798325,-3.3638098981363
"20","HBA1",0.20074138440396,9.73178647519581,3.25923341515293,0.0112776146272077,0.855582818798325,-3.36844513992996
"21","FYN",0.55362528705934,5.45094358057983,3.21446563207026,0.0120680660991385,0.855582818798325,-3.39131046974037
"22","SH2D3C",0.345178609170316,6.1727726670039,3.20864903652982,0.0121749584667839,0.855582818798325,-3.3943019525462
"23","SHMT2",0.165239551650497,11.8484693237161,3.1987112582308,0.0123598902392489,0.855582818798325,-3.39942392264164
"24","UBP1",0.28435573689392,7.20964434339135,3.17970519369397,0.0127218227228046,0.855582818798325,-3.40925817506921
"25","CALCOCO2",0.237158882384163,8.61123630709079,3.15939049974573,0.0131209785170056,0.855582818798325,-3.41982527280912
"26","RUNX1",0.180390452924918,6.31161013995323,3.15632206416576,0.0131823997813937,0.855582818798325,-3.42142637776265
"27","SKA1",0.331029633347172,5.28140073478396,3.15082697716692,0.0132931488980538,0.855582818798325,-3.42429697821257
"28","TNRC6A",0.357023400347957,5.25907886336879,3.14945587353411,0.0133209339138685,0.855582818798325,-3.4250138889082
"29","CEP57",0.190542262452647,5.10374235510501,3.14553144763794,0.0134007976802999,0.855582818798325,-3.42706730226542
"30","ALB",-1.86620765960519,8.65930819221666,-3.11855645392336,0.0139634821254382,0.855582818798325,-3.44123948875665
"31","WEE1",0.237657934466641,7.57346456968735,3.11759678489428,0.0139839496547629,0.855582818798325,-3.4417455382635
"32","IDH2",0.302413122509575,7.40233545965176,3.0977287730587,0.0144148059568213,0.855582818798325,-3.45225084964704
"33","PPIF",0.181902811269346,8.43219246796076,3.08329865381037,0.0147364134020218,0.855582818798325,-3.45991495461467
"34","SDHB",0.175254443045223,8.96114510847656,3.03969181892602,0.0157545734773616,0.855582818798325,-3.48324887393433
"35","CENPN",-1.01078991385188,4.81335645821304,-3.02305847744253,0.0161620186047733,0.855582818798325,-3.49221766747896
"36","FBXO38",-0.330365249600184,6.16344666001002,-3.00981020701269,0.0164943858704353,0.855582818798325,-3.49938805228462
"37","THG1L",0.212928896472072,6.27308111306815,2.98912974459344,0.0170274921505082,0.855582818798325,-3.510628343239
"38","IARS2",0.172054453818411,10.0802922774703,2.96900280320511,0.0175635432321747,0.855582818798325,-3.5216229564533
