"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","INHBE",1.2707347847317,1.55083884978133,22.0722262374663,2.91585740959113e-09,1.68269828324045e-05,11.3768819288372
"2","TRAC",-0.846285813005844,5.87335560680555,-21.7643102298913,3.30946658125764e-09,1.68269828324045e-05,11.2819499415787
"3","WARS",0.913320696141012,7.01127225946963,20.4167826716113,5.8829531246236e-09,1.99412501080991e-05,10.8402587104754
"4","SEC24D",0.690903408308039,6.71344168867687,19.1414806527824,1.04975189764913e-08,2.6687317617985e-05,10.379074585941
"5","HBEGF",-0.793025489539831,4.82772386534471,-18.2908657026224,1.5772397823745e-08,2.9918924579262e-05,10.0453848333377
"6","HIVEP3",-1.34114622097448,3.06205899974171,-18.0619477223153,1.76530187310033e-08,2.9918924579262e-05,9.9517319139326
"7","SSR4",0.611772311432333,6.45648794424755,17.592280377982,2.23388721037706e-08,3.24519986318919e-05,9.75420082533657
"8","ATF3",0.806914316749121,0.662480937336677,17.2016829460372,2.72948540503643e-08,3.46951713547693e-05,9.58420013304857
"9","PHGDH",0.673065891193516,7.72074456647718,16.157652124902,4.76617139286304e-08,5.38524409933603e-05,9.10252701503047
"10","IL7R",-0.758658932500003,3.57618857454914,-15.5688887023427,6.62603041762139e-08,6.73801033167919e-05,8.81207819490343
"11","SEC61A1",0.610371305531348,7.29785881891447,15.2347019892398,8.03035585529944e-08,7.42369897204909e-05,8.64073489729116
"12","PLPP5",0.795183809410331,3.75730880058222,14.5323969858312,1.21862666250857e-07,9.73179247300365e-05,8.26439539114156
"13","SEC61B",0.516082963964529,6.97020665717156,14.2918312222966,1.41183553532789e-07,9.73179247300365e-05,8.13016833875714
"14","VIMP",0.593238793525246,4.92378988706571,14.2322928585177,1.46472270241819e-07,9.73179247300365e-05,8.09651288677452
"15","SLC43A1",0.612773863128784,5.01400772623563,14.1715106506199,1.52098176932516e-07,9.73179247300365e-05,8.06197368609266
"16","PYCR1",0.621769655655758,5.65204879977054,14.0008883023847,1.69207700382239e-07,9.73179247300365e-05,7.96403196776763
"17","SLC1A5",0.574377332026634,7.17926613727278,13.9522515104221,1.74466509395766e-07,9.73179247300365e-05,7.93584381020404
"18","ARFGAP3",0.584763828968785,4.52999424469173,13.8999179332795,1.80327484122077e-07,9.73179247300365e-05,7.90537822392257
"19","ADA",0.559516432469803,6.61633393960052,13.8867943137436,1.8183111120766e-07,9.73179247300365e-05,7.89771638048122
"20","SND1",0.495865768125961,9.31992489524063,13.3101644927594,2.63806318854694e-07,0.000134132322821669,7.55211988158348
"21","PSAT1",0.549579903159141,7.49662294364309,13.202385007317,2.83269894677712e-07,0.000137170074237031,7.485527450791
"22","FMO1",-0.859895268814219,2.69998905533222,-13.0601144859313,3.11431271359619e-07,0.000143491030726867,7.39662923908461
"23","SESN2",0.646707237782579,4.9846201996899,12.9986392420265,3.24544567481359e-07,0.000143491030726867,7.35786134388807
"24","ULBP1",1.19477728032677,2.0205099285859,12.9273026228305,3.40530727625186e-07,0.000144285707050855,7.31260312612616
"25","PDIA4",0.433980047690415,8.49264291733047,12.5318921163495,4.46505890956931e-07,0.000176084240641514,7.05633675367208
"26","HYOU1",0.502072529737563,7.89248618176734,12.5200072721631,4.50210468746126e-07,0.000176084240641514,7.04848954178337
"27","CD72",-0.692201726014779,4.68381928848435,-12.4045334770746,4.88023807880821e-07,0.000183804226012595,6.97179654986528
"28","C19ORF10",0.587852000165127,5.81947536976297,12.2131762853672,5.58641088601727e-07,0.000197941048375561,6.84288783547852
"29","DNASE2",0.483505571045145,4.21937160735543,12.174622062815,5.74192604880592e-07,0.000197941048375561,6.8166372421811
"30","CARS",0.646819502836086,4.99546460664899,12.1510053509755,5.83954317166568e-07,0.000197941048375561,6.80051061651219
"31","SLC6A9",1.30484646417788,2.577573041277,12.0745094714317,6.16851365420164e-07,0.000202347146288956,6.74803103244459
"32","HM13",0.481366976979983,6.77507871807114,11.9454330784403,6.77094661875122e-07,0.000206204374009717,6.65862329789433
"33","SSR3",0.529743636368764,8.36137542161205,11.9236225764527,6.87901110087094e-07,0.000206204374009717,6.6434086024439
"34","P4HB",0.478927662044924,8.34136455185907,11.9205408680829,6.89443280197696e-07,0.000206204374009717,6.64125633242989
"35","TLR10",-0.730079968185723,6.48403393402404,-11.8716179430915,7.14443346738532e-07,0.000207576411228118,6.60700483290357
"36","TMED9",0.390529609444184,6.99192666586963,11.8264749968636,7.38400874623088e-07,0.000208577735945616,6.57525953686977
"37","YARS",0.422473301287234,7.99608113712097,11.7351339342485,7.89632452495715e-07,0.000217020875930511,6.5106120163208
"38","GMPPA",0.527840935233037,5.25940344619635,11.6832154652402,8.20491161557308e-07,0.00021956775320727,6.47361664570485
"39","PCK2",0.863611027805602,4.85735765229662,11.5778508684169,8.8728675594267e-07,0.000231354333876436,6.39797524707214
"40","CCNE2",-0.543717222181693,5.33354133217828,-11.262508838951,1.12576705049173e-06,0.00028619812841126,6.16699685857393
"41","SLC7A5",0.438569669623892,9.10947536116323,10.9333942029281,1.45242547811921e-06,0.000360236943585225,5.91833907722494
"42","SSR2",0.485053388192786,6.73983902083526,10.8438743023122,1.5584473623213e-06,0.000377329791129649,5.84931801545957
"43","SP110",-0.375436797023165,4.09559122309597,-10.6589234193834,1.80555232904573e-06,0.00042699213102479,5.70479018973475
"44","MSI2",-0.519317216088422,7.25773482612565,-10.6219117536781,1.86001427343059e-06,0.00042987466242081,5.67555138719719
"45","HERPUD1",0.466637395346766,7.09243429192331,10.4979472581604,2.05602343554978e-06,0.000464615607024572,5.57684005097193
"46","MMD",-0.542425476955627,4.77323772270419,-10.4411529185168,2.15333195889548e-06,0.000476026797608873,5.53120979134572
"47","IKZF1",-0.393908910014221,8.03259817578444,-10.3399803262352,2.33948391166725e-06,0.000506174721228602,5.44928506640194
"48","GARS",0.447943191483427,8.4575664739842,10.2102288402515,2.60462530549285e-06,0.000551672583739092,5.3430034357757
"49","MED10",0.385966373879255,4.4926810418518,10.1768602429963,2.67804461207445e-06,0.000551672583739092,5.31544723773553
"50","CLEC17A",-0.783759930701034,2.27515575030852,-10.1615364970297,2.71252130858045e-06,0.000551672583739092,5.30276182214596
"51","RPN1",0.397570259826075,8.20551416165899,10.0321322656592,3.02393828647238e-06,0.000597946302780327,5.19485605543679
"52","SDF2L1",0.47577514652756,5.01866543106897,9.99756896992364,3.11363195860039e-06,0.000597946302780327,5.16579648879905
"53","SPNS3",0.932868382616181,2.3069811355116,9.99650182604186,3.11644744294988e-06,0.000597946302780327,5.16489766112094
"54","HSP90B1",0.446939649248513,8.35217138019051,9.95986371233133,3.21483071167058e-06,0.000605400250129225,5.13397957131286
"55","HID1",0.859131597121704,1.43750094946121,9.91008785005372,3.35400855825303e-06,0.000620125691434092,5.09179114581189
"56","CREB3L2",0.488381162771267,6.49780563865408,9.85232977262905,3.52387168357519e-06,0.000639296085873869,5.04257024730324
"57","STT3A",0.445230156845602,7.59469130091645,9.83280095560653,3.58342776033145e-06,0.000639296085873869,5.02586270345108
"58","LMO2",1.0032348044005,1.80375337949765,9.74392740859234,3.86880876714461e-06,0.000678308902639543,4.94940864280374
"59","CHPF",0.582705247894549,4.14758688810792,9.69451643419415,4.03821752213681e-06,0.000686233143556142,4.90660258259551
