Pathway name,Uniquegenes,Uniquemetabol.,Metabolomics,Metabolomics(FDR BH),Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Combined pValue(Stouffer),Combined pValue(Stouffer)[FDR BH]
Ribosome,133,,0.669017421,1,2.87E-11,9.74E-09,1,1,0.064559221,1
Coronavirus disease - COVID-19,174,,0.914509186,1,1.25E-08,2.11E-06,0.99922766,1,0.066391619,1
Autoimmune thyroid disease,28,,0.709779881,1,3.67E-06,0.000414195,0.621185676,1,0.007527361,0.649082805
Allograft rejection,28,,0.709779881,1,1.74E-05,0.001181613,0.621185676,1,0.013650324,0.649082805
Graft-versus-host disease,29,,0.709779881,1,1.74E-05,0.001181613,0.660713491,1,0.015138958,0.649082805
Staphylococcus aureus infection,38,,0.52363579,1,5.99E-05,0.002899722,0.547716412,1,0.007902881,0.649082805
Systemic lupus erythematosus,96,,0.390922785,1,0.044313668,0.681672993,0.001421356,0.320248552,0.007407288,0.649082805
Type I diabetes mellitus,31,,0.7735513,1,5.99E-05,0.002899722,0.731616473,1,0.038495688,0.910806944
Cell adhesion molecules,81,,0.507926523,1,0.000258751,0.009746296,0.362222893,0.991424631,0.008714395,0.649082805
Asthma,19,,0.628136217,1,0.000222996,0.009449471,0.813914937,1,0.042486621,0.910806944
Cushing syndrome,110,,0.015947539,0.551419467,0.404484985,1,0.052270027,0.755748916,0.014300828,0.649082805
Tuberculosis,127,,0.189466483,1,0.003678969,0.105009098,0.603831591,1,0.013338185,0.649082805
HIF-1 signaling pathway,88,,0.289988131,1,0.07333961,0.852757963,0.020711637,0.527115666,0.018266745,0.696165949
Rheumatoid arthritis,63,,0.628136217,1,0.011745863,0.284417685,0.059846676,0.760274436,0.0317001,0.910806944
Intestinal immune network for IgA production,35,,0.823351222,1,0.001166785,0.039554013,0.594226412,1,0.100831948,1
Viral myocarditis,51,,0.367537376,1,0.003717136,0.105009098,0.712519877,1,0.040543841,0.910806944
Alcoholism,140,,0.848168271,1,0.722235721,1,0.001867338,0.320248552,0.476210431,1
Linoleic acid metabolism,9,,-,,-,,0.041731617,0.7533655,0.041731617,0.910806944
Terpenoid backbone biosynthesis,21,,1,1,0.081602726,0.892365294,0.022499656,0.527115666,0.993659364,1
Hematopoietic cell lineage,53,,0.619447607,1,0.017019838,0.339395584,0.179285078,0.991424631,0.062885017,1
