"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","BNIP3",-1.15017792989912,7.09542437074754,-10.2905841937625,6.04715824066153e-06,0.0275448057862133,1.50704562772855
"2","PFKFB1",-1.35766578170507,4.23781487799313,-9.14949901805523,1.46891932739661e-05,0.0334546376814579,1.2062710254661
"3","HMGCR",0.823679712473558,5.26303129843572,6.98489211347553,0.000105391442672608,0.160019340457909,0.369721567385759
"4","CHKA",0.523547534647015,6.85202174832219,5.97552224263546,0.000311034420814856,0.267481808096251,-0.193890161605255
"5","ALDOC",-0.539720000681221,9.79011088740839,-5.92238800243301,0.000330395423472684,0.267481808096251,-0.227521929765192
"6","P4HA1",-0.51142218681316,9.15051666254649,-5.76306557279571,0.000396841680169461,0.267481808096251,-0.33097349138216
"7","BBS12",0.586838369024211,4.27436610926461,5.60937599124071,0.000475067195062732,0.267481808096251,-0.43457215964165
"8","ATP6V0A1",-0.397988510446421,4.49434032864618,-5.55360681572558,0.000507512408479006,0.267481808096251,-0.473112924232829
"9","HK2",-0.416098256859284,11.4042617620449,-5.50709311249895,0.000536433354717294,0.267481808096251,-0.505650329048173
"10","CYP51A1",-0.425339516573633,8.61371104399683,-5.43168835171599,0.000587226801528543,0.267481808096251,-0.559165847617814
"11","RPL21",0.314227671506391,9.64067437911877,5.28596113490841,0.000700967823500165,0.290264403276659,-0.665329207725586
"12","JCHAIN",0.768411906822164,8.70261130954324,4.73391351008653,0.00140859221893423,0.534678129770452,-1.1017570284655
"13","EGLN1",-0.475052143695132,8.64389824590837,-4.35013893142117,0.00234861266795968,0.75055293201877,-1.43876600870523
"14","APOB",0.551017994503903,7.93328747548547,4.342331819306,0.00237370013386385,0.75055293201877,-1.44591719891045
"15","PLOD1",-0.677761680856968,7.5137159442398,-4.31268531375462,0.00247163424375007,0.75055293201877,-1.47318112035462
"16","BCAR3",0.586459772299962,3.66305548981674,4.16717725473346,0.00301979283783466,0.756421283462934,-1.60948273410356
"17","FAM162A",-0.48652686921099,7.81964675504484,-4.16007002331083,0.00304972625834959,0.756421283462934,-1.61624624503938
"18","EDRF1",0.375672297054015,8.49925588956448,4.08058272179351,0.0034071290448638,0.756421283462934,-1.69256162437728
"19","IQSEC1",-0.328660030465366,8.39384450027181,-4.05386535688402,0.00353716448642655,0.756421283462934,-1.71848973287899
"20","IVNS1ABP",-0.339018576194167,5.05505408960973,-4.02901811941445,0.0036628891800863,0.756421283462934,-1.74272780532418
"21","GNL3L",0.264311223236186,8.26893752132409,3.9715027937183,0.00397268675380491,0.756421283462934,-1.79929383294298
"22","KPNA2",0.256555380227416,10.7126661679175,3.89578735178701,0.00442403282678978,0.756421283462934,-1.87473741134414
"23","SIPA1",-0.25340766440517,8.10063834723636,-3.8195867327733,0.00493413169572288,0.756421283462934,-1.95177967516573
"24","SLC43A2",0.326806672009624,7.15928824647513,3.81099726049387,0.00499545775094543,0.756421283462934,-1.96053377162621
"25","RPL12",0.253819125138723,10.8679486491087,3.80488133905226,0.00503961940260264,0.756421283462934,-1.96677548981356
"26","RPS28",0.359365320968108,8.35835094414827,3.79301646873662,0.00512648623688503,0.756421283462934,-1.97890473323598
"27","FAIM",0.266483599836809,6.91290003347091,3.78569364047186,0.00518089591996903,0.756421283462934,-1.98640410065675
"28","USP33",0.308802721118887,6.98501077690233,3.76649556428688,0.00532648766524035,0.756421283462934,-2.00611336724872
"29","RPS25",0.357138791455876,10.065708387919,3.73848455800369,0.00554679675374087,0.756421283462934,-2.03499547482417
"30","MBD4",0.306371477025319,7.03205834448393,3.73530337082962,0.00557242482714938,0.756421283462934,-2.03828496457629
"31","UBE2T",0.413477053645352,8.59444039313535,3.72774642874671,0.00563381203000027,0.756421283462934,-2.04610682802225
"32","PLXNB2",-0.190995120487073,8.05346832773661,-3.72503158664377,0.00565604112461828,0.756421283462934,-2.04891946946517
"33","RPL34",0.283645887735696,10.4095628419618,3.72035356434349,0.00569456432010876,0.756421283462934,-2.05376926636191
"34","NCF4",0.348742762342219,8.25061169526042,3.71349019877513,0.00575159054263105,0.756421283462934,-2.06089209727736
"35","OSBPL11",0.353912902202985,6.81485220864477,3.69716374157151,0.00588970293738235,0.756421283462934,-2.07787129383738
"36","SHCBP1",0.299586633197346,6.61884691875437,3.68321691343486,0.00601048322745641,0.756421283462934,-2.09241524794086
"37","PCLAF",0.500554276067362,8.96611960148693,3.65905117778567,0.0062260458342833,0.756421283462934,-2.11770153221867
"38","CCNB1",0.564167305561682,9.83365692051643,3.60590641860941,0.00672957218218144,0.756421283462934,-2.17369128298786
"39","PDCD4",-0.342642339695388,8.55659416771073,-3.59973314629185,0.00679080860695605,0.756421283462934,-2.18022874103521
"40","HECTD1",0.349244827011196,8.6561270248694,3.5984090726547,0.00680401982889179,0.756421283462934,-2.18163183642338
"41","TTC5",-0.266975097516792,6.68436619299678,-3.58257915072946,0.00696409741901685,0.756421283462934,-2.19843132719074
"42","MRFAP1",0.605482608702147,6.9044540258911,3.55879922013683,0.00721212694033213,0.756421283462934,-2.22375356449316
"43","KHNYN",-0.436377687010545,5.88612387582021,-3.54168734353427,0.00739639764731619,0.756421283462934,-2.24203868906385
"44","KDM4B",-0.410230929551215,5.55881785259287,-3.53592149834254,0.00745960706117654,0.756421283462934,-2.24821176159784
"45","PDE6D",-0.20927849746443,8.53438420949402,-3.53260380833593,0.00749623739889938,0.756421283462934,-2.25176648390394
"46","KMT2C",1.71475186207875,1.83292526689423,3.49507271296113,0.00792414991111541,0.756421283462934,-2.29211630409601
"47","UBE2C",0.50735322719961,8.54313283296723,3.47740689571641,0.00813445403333851,0.756421283462934,-2.31119568821544
"48","RPS7",0.37235256053952,8.29766118587736,3.41226616969448,0.00896241323666474,0.756421283462934,-2.38202240438991
"49","RPL36A",0.357781861258319,10.2550727543758,3.40893122677406,0.00900712954471395,0.756421283462934,-2.38566828779826
"50","JMY",-0.70674552747145,3.4101378178066,-3.40770781944349,0.00902359252756856,0.756421283462934,-2.38700624229439
"51","GNL2",0.249203677857643,10.157026605105,3.38682065312693,0.00930962043366483,0.756421283462934,-2.40988869504714
"52","RPL19",0.367178566169409,9.25349633850411,3.37810606955018,0.00943177278748791,0.756421283462934,-2.41945779774856
"53","PLK1",0.270562243256435,8.38895530952623,3.37387205190732,0.0094917304065926,0.756421283462934,-2.42411164934011
"54","RPL26",0.292620758353191,9.85234066492352,3.35505171574875,0.0097631505417121,0.756421283462934,-2.4448348877081
"55","EEFSEC",-0.53662369878073,4.23725227679746,-3.34084272316305,0.00997348342865755,0.756421283462934,-2.46052004131527
"56","RPL29",0.411869906359751,8.908130349107,3.33099191899922,0.0101221023416982,0.756421283462934,-2.47141405849658
"57","DCAF5",-0.23976808250148,4.36695765563535,-3.31946573357861,0.0102989647460086,0.756421283462934,-2.48418137252237
"58","NACA",0.261273072877037,9.38494408514664,3.31886894154134,0.0103082103274081,0.756421283462934,-2.48484302609491
"59","GBE1",-0.361101460550288,5.6611052645384,-3.3137320222829,0.0103881544635702,0.756421283462934,-2.49054067836389
"60","SSBP3",-0.405933579298596,4.77392549613405,-3.29844034341571,0.0106300204891505,0.756421283462934,-2.50752728196898
"61","PPAT",-0.204845821628027,8.22617670899722,-3.28716987199296,0.0108120732366492,0.756421283462934,-2.52007148889657
"62","TAF7",0.286365757908031,5.82781632040794,3.27806734114114,0.0109615003760118,0.756421283462934,-2.53021784051399
"63","CKS1B",0.22829514512715,8.77184022431848,3.26492007673191,0.0111811703951383,0.756421283462934,-2.54489642074165
"64","MED27",0.498714982620301,6.52911995795396,3.26481937981193,0.0111828706279762,0.756421283462934,-2.54500895375598
"65","ATF7IP",0.562161328036059,3.80676511870292,3.2646606874736,0.0111855506450712,0.756421283462934,-2.54518630238209
"66","RPL37A",0.253422294227152,9.9399835032012,3.24598552226692,0.0115057011527671,0.756421283462934,-2.56608514562601
"67","EEF1A1",0.329496860344333,12.5697589288208,3.21749288155525,0.0120128238911832,0.756421283462934,-2.59807713603577
"68","ZRSR2",0.554689698277179,4.91504739487864,3.2156869501326,0.0120457470956836,0.756421283462934,-2.60010916666905
"69","RPL35",0.310112493211136,9.91046293843264,3.20558034453608,0.012231751970116,0.756421283462934,-2.61149048862258
"70","ALB",-1.90684553205177,8.65930819221666,-3.18646502708762,0.0125918388446368,0.756421283462934,-2.63306003989398
"71","SERINC3",0.388581809344248,6.55441923710938,3.18122651366003,0.0126924473763249,0.756421283462934,-2.63898094199262
"72","HIST1H1D",0.331066626765674,9.67783599511711,3.16318721629764,0.0130453936069021,0.756421283462934,-2.65940209774888
"73","MON1B",-0.627499613744558,4.10039481270087,-3.15491166295846,0.0132107328552829,0.756421283462934,-2.66878680407976
"74","HSH2D",-0.73861361216589,3.13423382445071,-3.15192808327086,0.0132708792175822,0.756421283462934,-2.67217278966641
"75","SPINT2",0.329337516966845,7.49078062964196,3.14781891407839,0.013354186032898,0.756421283462934,-2.67683835865134
"76","N4BP3",-0.456390004114299,5.01201140092327,-3.13258119874172,0.0136679136349264,0.756421283462934,-2.69416127788254
"77","MEX3C",-0.266257844763281,5.76857100620847,-3.12625979104371,0.0138003178948009,0.756421283462934,-2.70135782169306
"78","HIST1H1E",0.551196350032049,12.4767345537877,3.1232642117265,0.0138635290948217,0.756421283462934,-2.70477016169289
"79","RPL37",0.375895301280707,8.59823203866762,3.11977180627383,0.013937606385909,0.756421283462934,-2.70875010982132
"80","GIT1",-0.263417335513893,6.17922921412544,-3.11101566161049,0.0141251572898972,0.756421283462934,-2.71873645067672
"81","DLD",0.194373543610373,10.3910145903028,3.11004045322116,0.0141462082293413,0.756421283462934,-2.7198493617437
"82","HIST2H2AC",0.232868436210256,7.45013236741882,3.10882021437355,0.0141725945957114,0.756421283462934,-2.72124209678088
"83","MFSD2A",0.437606500821464,5.21119699220312,3.10379892585308,0.0142817169367931,0.756421283462934,-2.72697547778458
"84","ANKFY1",-0.381525788941926,5.43863085072754,-3.09803831597873,0.0144079879374581,0.756421283462934,-2.73355751093504
"85","RPS6KA5",0.492604972769722,4.39237460843368,3.0915324769674,0.0145519971540309,0.756421283462934,-2.74099677280597
"86","KDM3A",-0.673549930687384,7.79959855367783,-3.08871225271188,0.0146148900739368,0.756421283462934,-2.74422351016783
"87","TRAF3IP3",0.347338392694984,3.49868050508459,3.07777830533336,0.0148614194773162,0.756421283462934,-2.75674420394251
"88","USP19",0.179657282315883,6.74775460356544,3.04386679827737,0.0156539939726291,0.756421283462934,-2.79568378384746
"89","PIK3IP1",-0.575383331953979,4.12703642359502,-3.03701284201683,0.015819467158173,0.756421283462934,-2.80357330658929
"90","MICU1",-0.70625966028084,3.69784228034768,-3.02822213383822,0.016034369757381,0.756421283462934,-2.81370157742591
"91","CD74",0.185931830045732,10.6085722628251,3.02610293272008,0.0160866302847105,0.756421283462934,-2.81614479540762
"92","KLC4",-0.203512930936033,7.19067834715199,-3.02505486103296,0.0161125417511594,0.756421283462934,-2.81735333692243
"93","APLP2",0.332834661980108,8.57609230949077,3.01530530191516,0.0163556720769248,0.756421283462934,-2.828602725086
"94","NDC80",0.272617544181934,9.212260959253,2.99913423126081,0.0167673915964553,0.756421283462934,-2.84728941913723
"95","DLGAP5",0.240236280064673,7.76022633449177,2.99579338167251,0.0168537858022179,0.756421283462934,-2.85115428480858
"96","TIMM23",0.188242738176179,8.05915862527289,2.98186164462668,0.0172190788504411,0.756421283462934,-2.86728693562751
"97","UBE2S",0.291202269364099,8.10548063993362,2.96714613579687,0.0176138680616862,0.756421283462934,-2.88435438438683
"98","GPAT4",0.267367358071711,6.05407915539479,2.95758645592238,0.0178753627729201,0.756421283462934,-2.89545673553885
"99","RPL13",0.380741615883954,10.3115236649331,2.95016065153465,0.0180812666222376,0.756421283462934,-2.90408879838545
"100","UROD",-0.337457613501624,6.1784214094157,-2.9330398927732,0.0185654244557012,0.756421283462934,-2.92401678140797
"101","RPS16",0.344412856594744,11.1838135156982,2.90439033653433,0.0194058864580848,0.756421283462934,-2.95744365235411
"102","SLC35F6",-0.285421764111783,4.68447342369671,-2.90393512537535,0.0194195541253318,0.756421283462934,-2.95797556072853
"103","ACAP1",0.29002497903266,6.21479934494743,2.89911857840177,0.019564782485486,0.756421283462934,-2.96360512766295
"104","MBOAT7",-0.443463945652109,4.95084906283399,-2.89839274269392,0.0195867651384301,0.756421283462934,-2.96445371851571
"105","RPL28",0.30945104306975,9.16397131947801,2.8962046707083,0.0196531878824936,0.756421283462934,-2.96701221557259
"106","SLC35A2",0.319543139219125,5.48561996183422,2.89450612788757,0.0197049108102629,0.756421283462934,-2.96899869495381
"107","RPL6",0.287984324687086,10.773710510989,2.89353250417333,0.0197346224654114,0.756421283462934,-2.97013751864581
"108","KDM4C",-0.462741498334708,4.52864225790227,-2.88467106708428,0.0200071833115579,0.756421283462934,-2.98050757354816
"109","RPL24",0.239513890777033,10.7906950743964,2.88459270009849,0.0200096110257071,0.756421283462934,-2.98059932255951
"110","EEF1D",0.277482441104274,10.7338533066813,2.88273158038268,0.0200673558849014,0.756421283462934,-2.98277845618322
"111","MPHOSPH8",-0.241630824784781,6.52286670465408,-2.88119422230244,0.0201151853820068,0.756421283462934,-2.98457880573382
"112","EEF2",0.213606991432265,13.4875225444213,2.85227607081402,0.0210371646775977,0.756421283462934,-3.01849363763045
"113","SREBF1",0.562430778312354,5.30120943494001,2.84277550922662,0.0213495035151467,0.756421283462934,-3.02965599606857
"114","VTI1B",-0.460777272837073,5.76172471129631,-2.83802527409693,0.0215074626035186,0.756421283462934,-3.03524079343267
"115","TNRC6A",0.321282663946532,5.25907886336879,2.83417157543433,0.0216364950812842,0.756421283462934,-3.03977332507188
"116","XPO6",-0.275805413378018,5.75506608599813,-2.83090305580551,0.0217465600246143,0.756421283462934,-3.04361884127544
"117","EAF1",0.278130102979111,8.60805785286702,2.82052761288543,0.0220997869641122,0.756421283462934,-3.05583336925542
"118","TRA2A",0.199719115765729,8.05629168565613,2.802277860977,0.0227355111688694,0.756421283462934,-3.07734513839434
"119","ESPL1",0.167442850690979,7.40320337577126,2.79548395728209,0.0229769605182192,0.756421283462934,-3.08536208708835
