Pathway name,Uniquegenes,Uniquemetabol.,Proteomics,Proteomics(FDR BH),Geneexpression,Geneexpression(FDR BH),Proteomics,Proteomics(FDR BH),Combined pValue(Fisher),Combined pValue(Fisher)[FDR BH]
Protein processing in endoplasmic reticulum,153,,0.076216191,1,0.0000000248719,0.00000853107,0.076216191,1,0.0000000399672,0.0000137087
NF-kappa B signaling pathway,78,,0.405673886,1,0.0000539934,0.009259864,0.405673886,1,0.000256905,0.044059266
Herpes simplex virus 1 infection,408,,0.444897285,1,0.000244579,0.022033319,0.444897285,1,0.001101825,0.12597527
Adipocytokine signaling pathway,50,,0.830824592,1,0.000256948,0.022033319,0.830824592,1,0.002017797,0.17063825
Protein export,23,,0.074956697,1,0.003600171,0.154357319,0.074956697,1,0.002487438,0.17063825
Lysosome,114,,0.856757793,1,0.000560832,0.03847305,0.856757793,1,0.004151824,0.237345966
Human T-cell leukemia virus 1 infection,190,,0.002743416,0.930017971,0.373715035,1,0.002743416,0.930017971,0.0080819,0.396013077
Vitamin digestion and absorption,12,,0.056558672,1,0.026097933,0.469907255,0.056558672,1,0.011097607,0.475809912
Insulin resistance,87,,0.715547477,1,0.0028277,0.154357319,0.715547477,1,0.014574214,0.555439496
TNF signaling pathway,82,,0.947208922,1,0.003428078,0.154357319,0.947208922,1,0.021852994,0.749557695
Fatty acid metabolism,47,,0.013408109,1,0.275023798,1,0.013408109,1,0.024348124,0.759218791
beta-Alanine metabolism,22,,0.248315815,1,0.017669375,0.378787235,0.248315815,1,0.028207682,0.789067772
Apoptosis,113,,0.585896649,1,0.008026176,0.264467297,0.585896649,1,0.029906359,0.789067772
Antifolate resistance,24,,0.803757191,1,0.00713038,0.264467297,0.803757191,1,0.035314134,0.865196293
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,,0.72714387,1,0.0091517,0.264467297,0.72714387,1,0.040010443,0.90220194
N-Glycan biosynthesis,46,,0.709394853,1,0.009967757,0.264467297,0.709394853,1,0.042085222,0.90220194
Various types of N-glycan biosynthesis,33,,0.609298361,1,0.013203795,0.301926775,0.609298361,1,0.046843901,0.916982347
Cytokine-cytokine receptor interaction,101,,0.85190402,1,0.010023542,0.264467297,0.85190402,1,0.049211663,0.916982347
Malaria,23,,0.720492425,1,0.012314983,0.301717093,0.720492425,1,0.05079494,0.916982347
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,,0.528667875,1,0.020297092,0.409523676,0.528667875,1,0.059389363,0.999484377
Basal cell carcinoma,41,,0.386415858,1,0.033708858,0.550578009,0.386415858,1,0.069567789,0.999484377
Fatty acid degradation,30,,0.017895214,1,0.773845866,1,0.017895214,1,0.07311269,0.999484377
Vibrio cholerae infection,43,,0.212348919,1,0.065673025,0.866378756,0.212348919,1,0.073529431,0.999484377
Taurine and hypotaurine metabolism,5,,0.72714387,1,0.02352366,0.448256412,0.72714387,1,0.086695063,0.999484377
Small cell lung cancer,72,,0.065892046,1,0.310286728,1,0.065892046,1,0.099978059,0.999484377
Histidine metabolism,10,,0.203012846,1,0.116632504,1,0.203012846,1,0.112309314,0.999484377
Cell adhesion molecules,74,,0.182211543,1,0.139869593,1,0.182211543,1,0.119009554,0.999484377
Ascorbate and aldarate metabolism,6,,0.480470943,1,0.055028489,0.754990873,0.480470943,1,0.122491786,0.999484377
RIG-I-like receptor signaling pathway,46,,0.975890024,1,0.02739984,0.469907255,0.975890024,1,0.123578655,0.999484377
Spliceosome,132,,0.026741101,1,0.999999999,1,0.026741101,1,0.12358543,0.999484377
Yersinia infection,113,,0.095073275,1,0.379351246,1,0.095073275,1,0.155892397,0.999484377
Mannose type O-glycan biosynthesis,18,,1,1,0.038482092,0.5999708,1,1,0.163839904,0.999484377
Hepatocellular carcinoma,128,,0.043366742,1,0.928105254,1,0.043366742,1,0.169555443,0.999484377
Human papillomavirus infection,238,,0.093808491,1,0.433786353,1,0.093808491,1,0.170979243,0.999484377
Pathogenic Escherichia coli infection,151,,0.399491724,1,0.10814307,1,0.399491724,1,0.178937824,0.999484377
Other glycan degradation,15,,0.871116298,1,0.050268612,0.745466545,0.871116298,1,0.180779835,0.999484377
PD-L1 expression and PD-1 checkpoint pathway in cancer,77,,0.056871416,1,0.775982962,1,0.056871416,1,0.18184666,0.999484377
Antigen processing and presentation,55,,0.119400013,1,0.372299587,1,0.119400013,1,0.182848218,0.999484377
IL-17 signaling pathway,55,,0.86452977,1,0.052160924,0.745466545,0.86452977,1,0.184842663,0.999484377
"Valine, leucine and isoleucine degradation",41,,0.132155598,1,0.348233694,1,0.132155598,1,0.187703994,0.999484377
Biotin metabolism,3,,-,,0.190218773,1,-,,0.190218773,0.999484377
Carbohydrate digestion and absorption,26,,0.071754093,1,0.698918583,1,0.071754093,1,0.200236553,0.999484377
Tyrosine metabolism,17,,0.7077777,1,0.072375345,0.886597977,0.7077777,1,0.203443448,0.999484377
Type I diabetes mellitus,31,,0.219603919,1,0.233911376,1,0.219603919,1,0.203865799,0.999484377
Natural killer cell mediated cytotoxicity,81,,0.102212483,1,0.503928335,1,0.102212483,1,0.20428097,0.999484377
Calcium signaling pathway,114,,0.456773146,1,0.116391896,1,0.456773146,1,0.209169081,0.999484377
Fatty acid biosynthesis,13,,0.322795767,1,0.16959147,1,0.322795767,1,0.213778392,0.999484377
Cytosolic DNA-sensing pathway,41,,0.455938268,1,0.120539716,1,0.455938268,1,0.214403324,0.999484377
Osteoclast differentiation,91,,0.423162314,1,0.149903635,1,0.423162314,1,0.23836826,0.999484377
Allograft rejection,28,,0.267290067,1,0.242965096,1,0.267290067,1,0.242510788,0.999484377
Proximal tubule bicarbonate reclamation,16,,0.077865021,1,0.834087938,1,0.077865021,1,0.242522049,0.999484377
Cell cycle,117,,0.066340306,1,0.999999091,1,0.066340306,1,0.246318582,0.999484377
Cortisol synthesis and secretion,38,,0.547094848,1,0.123124698,1,0.547094848,1,0.249079731,0.999484377
Lysine degradation,50,,0.530056377,1,0.131785861,1,0.530056377,1,0.255759628,0.999484377
Viral protein interaction with cytokine and cytokine receptor,29,,0.85247884,1,0.08213483,0.971456785,0.85247884,1,0.256196612,0.999484377
Ribosome biogenesis in eukaryotes,74,,0.181894763,1,0.391961762,1,0.181894763,1,0.25958213,0.999484377
Thyroid hormone synthesis,47,,0.607329226,1,0.117862136,1,0.607329226,1,0.260335088,0.999484377
Glycosaminoglycan degradation,17,,0.9930453,1,0.072375345,0.886597977,0.9930453,1,0.261101516,0.999484377
Citrate cycle (TCA cycle),29,,0.073528619,1,0.999926885,1,0.073528619,1,0.265430207,0.999484377
Phospholipase D signaling pathway,97,,0.134718708,1,0.546129761,1,0.134718708,1,0.265562401,0.999484377
Prostate cancer,72,,0.130611301,1,0.565993076,1,0.130611301,1,0.266477998,0.999484377
RNA transport,157,,0.078273713,1,0.968088716,1,0.078273713,1,0.271275822,0.999484377
Graft-versus-host disease,29,,0.267290067,1,0.285681498,1,0.267290067,1,0.272780098,0.999484377
Insulin signaling pathway,113,,0.68247972,1,0.112857204,1,0.68247972,1,0.274482472,0.999484377
B cell receptor signaling pathway,72,,0.117552093,1,0.703102466,1,0.117552093,1,0.288710967,0.999484377
Coronavirus disease - COVID-19,169,,0.933514624,1,0.090454899,1,0.933514624,1,0.293153935,0.999484377
Selenocompound metabolism,14,,0.386415858,1,0.219389691,1,0.386415858,1,0.293980513,0.999484377
Butanoate metabolism,17,,0.507814765,1,0.169662155,1,0.507814765,1,0.297377999,0.999484377
Gastric cancer,100,,0.107979932,1,0.811264667,1,0.107979932,1,0.300904486,0.999484377
Renal cell carcinoma,56,,0.107979932,1,0.825342942,1,0.107979932,1,0.304592944,0.999484377
Axon guidance,114,,0.159101445,1,0.59016021,1,0.159101445,1,0.316011769,0.999484377
Sulfur relay system,8,,0.620957016,1,0.157843084,1,0.620957016,1,0.325665189,0.999484377
C-type lectin receptor signaling pathway,81,,0.251644895,1,0.405685054,1,0.251644895,1,0.335045966,0.999484377
Tryptophan metabolism,23,,0.219603919,1,0.471462686,1,0.219603919,1,0.338336511,0.999484377
Lipid and atherosclerosis,157,,0.501114743,1,0.206784259,1,0.501114743,1,0.338535108,0.999484377
Mitophagy - animal,64,,0.125581262,1,0.826856295,1,0.125581262,1,0.339022327,0.999484377
Insulin secretion,47,,0.758032258,1,0.139383115,1,0.758032258,1,0.343126928,0.999484377
Shigellosis,203,,0.198032448,1,0.534638661,1,0.198032448,1,0.343618705,0.999484377
Amino sugar and nucleotide sugar metabolism,42,,0.358917269,1,0.298542777,1,0.358917269,1,0.346477084,0.999484377
Phenylalanine metabolism,10,,0.935507611,1,0.116632504,1,0.935507611,1,0.350833475,0.999484377
Biosynthesis of cofactors,109,,0.241364349,1,0.460863755,1,0.241364349,1,0.35552169,0.999484377
Chronic myeloid leukemia,68,,0.150127513,1,0.769473222,1,0.150127513,1,0.364846216,0.999484377
Arginine and proline metabolism,32,,0.758032258,1,0.154968553,1,0.758032258,1,0.369042986,0.999484377
Cysteine and methionine metabolism,41,,0.974909145,1,0.120539716,1,0.974909145,1,0.369137442,0.999484377
Neurotrophin signaling pathway,99,,0.460462815,1,0.255573265,1,0.460462815,1,0.369494287,0.999484377
Longevity regulating pathway,73,,0.957842937,1,0.123201854,1,0.957842937,1,0.370191489,0.999484377
Notch signaling pathway,49,,0.658833178,1,0.1820719,1,0.658833178,1,0.374336223,0.999484377
Breast cancer,103,,0.14546865,1,0.829037574,1,0.14546865,1,0.37570012,0.999484377
Glycosaminoglycan biosynthesis - keratan sulfate,11,,0.72714387,1,0.166560597,1,0.72714387,1,0.376787423,0.999484377
Fatty acid elongation,21,,0.219603919,1,0.555727918,1,0.219603919,1,0.37873978,0.999484377
Neuroactive ligand-receptor interaction,82,,0.971231874,1,0.127215165,1,0.971231874,1,0.3819179,0.999484377
Central carbon metabolism in cancer,54,,0.125581262,1,0.984957442,1,0.125581262,1,0.38220383,0.999484377
SNARE interactions in vesicular transport,32,,0.98742295,1,0.127781936,1,0.98742295,1,0.387367651,0.999484377
African trypanosomiasis,19,,0.577276131,1,0.219389691,1,0.577276131,1,0.388347188,0.999484377
Human cytomegalovirus infection,169,,0.351741851,1,0.366680318,1,0.351741851,1,0.393137145,0.999484377
Linoleic acid metabolism,8,,-,,0.395098985,1,-,,0.395098985,0.999484377
Nicotine addiction,7,,-,,0.395098985,1,-,,0.395098985,0.999484377
Oocyte meiosis,100,,0.130612084,1,0.999732121,1,0.130612084,1,0.396404831,0.999484377
Nicotinate and nicotinamide metabolism,24,,0.672003482,1,0.202691567,1,0.672003482,1,0.407751344,0.999484377
ABC transporters,25,,0.480470943,1,0.285681498,1,0.480470943,1,0.409844955,0.999484377
Glycosphingolipid biosynthesis - lacto and neolacto series,15,,-,,0.412485192,1,-,,0.412485192,0.999484377
MAPK signaling pathway,196,,0.962150619,1,0.146139777,1,0.962150619,1,0.416450814,0.999484377
Autoimmune thyroid disease,28,,0.322795767,1,0.445171506,1,0.322795767,1,0.422480936,0.999484377
Human immunodeficiency virus 1 infection,172,,0.370278435,1,0.394379325,1,0.370278435,1,0.426983732,0.999484377
Sphingolipid metabolism,36,,0.845787182,1,0.179132699,1,0.845787182,1,0.437421565,0.999484377
Vitamin B6 metabolism,6,,0.699238443,1,0.217992158,1,0.699238443,1,0.439155595,0.999484377
Th1 and Th2 cell differentiation,73,,0.423022329,1,0.362590241,1,0.423022329,1,0.44094953,0.999484377
Regulation of actin cytoskeleton,152,,0.180121371,1,0.88289417,1,0.180121371,1,0.451429006,0.999484377
VEGF signaling pathway,48,,0.249152169,1,0.639188944,1,0.249152169,1,0.451846596,0.999484377
Other types of O-glycan biosynthesis,34,,0.620957016,1,0.262191958,1,0.620957016,1,0.45833794,0.999484377
Propanoate metabolism,31,,0.326352458,1,0.512717319,1,0.326352458,1,0.466474305,0.999484377
Legionellosis,40,,0.246142657,1,0.682967469,1,0.246142657,1,0.467868532,0.999484377
Purine metabolism,92,,0.85077019,1,0.203020564,1,0.85077019,1,0.476037491,0.999484377
"Phenylalanine, tyrosine and tryptophan biosynthesis",3,,0.925619864,1,0.190218773,1,0.925619864,1,0.481881818,0.999484377
Sulfur metabolism,7,,0.584653207,1,0.306128022,1,0.584653207,1,0.486909542,0.999484377
T cell receptor signaling pathway,78,,0.277939157,1,0.646814116,1,0.277939157,1,0.488277695,0.999484377
RNA degradation,73,,0.180440009,1,0.999847014,1,0.180440009,1,0.489370436,0.999484377
Glycerophospholipid metabolism,65,,0.653014311,1,0.278837933,1,0.653014311,1,0.492227317,0.999484377
Toll-like receptor signaling pathway,67,,0.966835862,1,0.189503094,1,0.966835862,1,0.494154001,0.999484377
Cocaine addiction,26,,0.648895422,1,0.285681498,1,0.648895422,1,0.497805366,0.999484377
"Glycine, serine and threonine metabolism",27,,0.971231874,1,0.196684311,1,0.971231874,1,0.507240193,0.999484377
Bile secretion,32,,0.609298361,1,0.314862789,1,0.609298361,1,0.508594679,0.999484377
Steroid hormone biosynthesis,18,,0.584653207,1,0.329770661,1,0.584653207,1,0.510170873,0.999484377
Retinol metabolism,17,,0.203012846,1,0.971136519,1,0.203012846,1,0.517285459,0.999484377
Transcriptional misregulation in cancer,121,,0.69567391,1,0.284980324,1,0.69567391,1,0.519068851,0.999484377
Circadian rhythm,22,,0.792134002,1,0.25252864,1,0.792134002,1,0.521946359,0.999484377
Glucagon signaling pathway,83,,0.698278646,1,0.288805795,1,0.698278646,1,0.524563458,0.999484377
RNA polymerase,31,,0.455938268,1,0.444274408,1,0.455938268,1,0.52599415,0.999484377
Influenza A,128,,0.606607789,1,0.336636976,1,0.606607789,1,0.528613931,0.999484377
Galactose metabolism,24,,0.276673115,1,0.739030826,1,0.276673115,1,0.529032123,0.999484377
Thyroid cancer,30,,0.276673115,1,0.741916496,1,0.276673115,1,0.530297874,0.999484377
Aminoacyl-tRNA biosynthesis,44,,0.310670771,1,0.663647333,1,0.310670771,1,0.531732809,0.999484377
Mucin type O-glycan biosynthesis,19,,0.3843153,1,0.536601021,1,0.3843153,1,0.53180884,0.999484377
"Alanine, aspartate and glutamate metabolism",23,,0.442139278,1,0.471462686,1,0.442139278,1,0.535314694,0.999484377
Biosynthesis of unsaturated fatty acids,22,,0.442139278,1,0.471462686,1,0.442139278,1,0.535314694,0.999484377
Hypertrophic cardiomyopathy,44,,0.911446177,1,0.232636891,1,0.911446177,1,0.540903675,0.999484377
Endometrial cancer,52,,0.284395296,1,0.759600291,1,0.284395296,1,0.547055995,0.999484377
Platelet activation,87,,0.224555906,1,0.973245494,1,0.224555906,1,0.550904822,0.999484377
Cushing syndrome,107,,0.526254407,1,0.415346962,1,0.526254407,1,0.550950663,0.999484377
mRNA surveillance pathway,81,,0.221513803,1,0.996685232,1,0.221513803,1,0.554287039,0.999484377
Leukocyte transendothelial migration,76,,0.277939157,1,0.795877628,1,0.277939157,1,0.554930171,0.999484377
Glycolysis / Gluconeogenesis,48,,0.250829502,1,0.8838844,1,0.250829502,1,0.55568202,0.999484377
Pyrimidine metabolism,43,,0.999896182,1,0.223950122,1,0.999896182,1,0.559019048,0.999484377
Phagosome,111,,0.290506165,1,0.783808158,1,0.290506165,1,0.56463531,0.999484377
Signaling pathways regulating pluripotency of stem cells,96,,0.283126598,1,0.806182217,1,0.283126598,1,0.565449272,0.999484377
Pertussis,48,,0.963443644,1,0.244672158,1,0.963443644,1,0.576372798,0.999484377
Epstein-Barr virus infection,175,,0.600102539,1,0.393363966,1,0.600102539,1,0.576850712,0.999484377
Pyruvate metabolism,35,,0.284395296,1,0.831468913,1,0.284395296,1,0.577438128,0.999484377
Aldosterone synthesis and secretion,59,,0.672299545,1,0.357430877,1,0.672299545,1,0.582936751,0.999484377
alpha-Linolenic acid metabolism,10,,0.817373027,1,0.295641264,1,0.817373027,1,0.584855865,0.999484377
Cellular senescence,135,,0.250997745,1,0.978373022,1,0.250997745,1,0.590392011,0.999484377
Terpenoid backbone biosynthesis,20,,0.442139278,1,0.555727918,1,0.442139278,1,0.59058816,0.999484377
Pantothenate and CoA biosynthesis,16,,0.458001193,1,0.536601021,1,0.458001193,1,0.590665027,0.999484377
cAMP signaling pathway,109,,0.491773821,1,0.501668129,1,0.491773821,1,0.591987093,0.999484377
Type II diabetes mellitus,28,,0.429394661,1,0.586005886,1,0.429394661,1,0.598824911,0.999484377
Rheumatoid arthritis,62,,0.455938268,1,0.552140037,1,0.455938268,1,0.598982146,0.999484377
Intestinal immune network for IgA production,35,,0.746146089,1,0.340871896,1,0.746146089,1,0.60255297,0.999484377
Cholesterol metabolism,28,,0.281460156,1,0.91765971,1,0.281460156,1,0.607922768,0.999484377
AMPK signaling pathway,94,,0.983431977,1,0.264261076,1,0.983431977,1,0.610081234,0.999484377
TGF-beta signaling pathway,68,,0.608317247,1,0.436464726,1,0.608317247,1,0.617602249,0.999484377
Arrhythmogenic right ventricular cardiomyopathy,37,,0.486768229,1,0.570597404,1,0.486768229,1,0.633555471,0.999484377
Fc epsilon RI signaling pathway,52,,0.31715529,1,0.879873706,1,0.31715529,1,0.635227882,0.999484377
Thyroid hormone signaling pathway,95,,0.293825751,1,0.970455209,1,0.293825751,1,0.642932477,0.999484377
Glycosphingolipid biosynthesis - ganglio series,14,,0.699238443,1,0.412485192,1,0.699238443,1,0.647030252,0.999484377
"Growth hormone synthesis, secretion and action",84,,0.371307225,1,0.779191332,1,0.371307225,1,0.648140231,0.999484377
Chemokine signaling pathway,119,,0.290506165,1,0.996419238,1,0.290506165,1,0.648321961,0.999484377
Melanogenesis,68,,0.489125076,1,0.593332329,1,0.489125076,1,0.649248043,0.999484377
Epithelial cell signaling in Helicobacter pylori infection,58,,0.689786792,1,0.422579344,1,0.689786792,1,0.650823744,0.999484377
Arachidonic acid metabolism,21,,0.480470943,1,0.607015109,1,0.480470943,1,0.651025217,0.999484377
GnRH signaling pathway,71,,0.630463795,1,0.466617577,1,0.630463795,1,0.654134612,0.999484377
Arginine biosynthesis,16,,0.85247884,1,0.348120025,1,0.85247884,1,0.657279429,0.999484377
Th17 cell differentiation,88,,0.371307225,1,0.801039505,1,0.371307225,1,0.65808872,0.999484377
NOD-like receptor signaling pathway,132,,0.972732904,1,0.308084474,1,0.972732904,1,0.660811105,0.999484377
Autophagy - animal,124,,0.918372957,1,0.326808524,1,0.918372957,1,0.661350869,0.999484377
Chagas disease,68,,0.741430889,1,0.406331208,1,0.741430889,1,0.662714014,0.999484377
One carbon pool by folate,17,,0.792134002,1,0.387497393,1,0.792134002,1,0.669479399,0.999484377
Wnt signaling pathway,113,,0.513930627,1,0.604661493,1,0.513930627,1,0.67394895,0.999484377
Synaptic vesicle cycle,50,,0.443718534,1,0.701229252,1,0.443718534,1,0.674409605,0.999484377
Acute myeloid leukemia,56,,0.741430889,1,0.422579344,1,0.741430889,1,0.676929653,0.999484377
Melanoma,45,,0.326352458,1,0.972039313,1,0.326352458,1,0.681447751,0.999484377
Glioma,58,,0.320157656,1,0.992981432,1,0.320157656,1,0.68223141,0.999484377
Ribosome,128,,0.846606275,1,0.378803528,1,0.846606275,1,0.685412903,0.999484377
Thermogenesis,186,,0.323459858,1,0.999839378,1,0.323459858,1,0.68848397,0.999484377
Inflammatory mediator regulation of TRP channels,61,,0.713099385,1,0.45538901,1,0.713099385,1,0.689982282,0.999484377
Salmonella infection,218,,0.555357945,1,0.628111444,1,0.555357945,1,0.716203998,0.999484377
Oxytocin signaling pathway,104,,0.926344083,1,0.379487135,1,0.926344083,1,0.719046551,0.999484377
