"","Pathway.name","Uniquegenes","Uniquemetabol.","Geneexpression","Geneexpression.FDR.BH.","Proteomics","Proteomics.FDR.BH.","Proteomics.1","Proteomics.FDR.BH..1","Combined.pValue.Fisher.","Combined.pValue.Fisher..FDR.BH.","Contrast"
"1","Glycolysis / Gluconeogenesis",48,NA,1.21582e-07,4.17028e-05,"0.006310075",0.427823096,"0.006310075",0.427823096,1.68693e-08,5.78617e-06,"X19O2NoCyA - X1O2NoCyA"
"2","Carbon metabolism",97,NA,3.62161e-05,0.004502419,"0.002414597",0.272849496,"0.002414597",0.272849496,1.50866e-06,0.00019752,"X19O2NoCyA - X1O2NoCyA"
"3","Biosynthesis of amino acids",65,NA,0.00016647,0.009516538,"0.000740607",0.251065661,"0.000740607",0.251065661,2.08466e-06,0.00019752,"X19O2NoCyA - X1O2NoCyA"
"4","Steroid biosynthesis",19,NA,6.32578e-05,0.005424354,"0.103868574",0.940200235,"0.103868574",0.940200235,8.49757e-05,0.005829332,"X19O2NoCyA - X1O2NoCyA"
"5","Pentose phosphate pathway",26,NA,0.000915484,0.03925136,"0.03000125",0.80993515,"0.03000125",0.80993515,0.000315926,0.01806042,"X19O2NoCyA - X1O2NoCyA"
"6","Systemic lupus erythematosus",87,NA,3.93798e-05,0.004502419,"0.926953476",1,"0.926953476",1,0.000409497,0.020065352,"X19O2NoCyA - X1O2NoCyA"
"7","HIF-1 signaling pathway",85,NA,0.000495277,0.024268552,"0.312874296",1,"0.312874296",1,0.001514316,0.06492631,"X19O2NoCyA - X1O2NoCyA"
"8","Galactose metabolism",24,NA,0.006747371,0.192862342,"0.03000125",0.80993515,"0.03000125",0.80993515,0.001924117,0.073330233,"X19O2NoCyA - X1O2NoCyA"
"9","Fructose and mannose metabolism",29,NA,0.029045734,0.321376989,"0.010941372",0.529875026,"0.010941372",0.529875026,0.002877391,0.098694502,"X19O2NoCyA - X1O2NoCyA"
"10","Starch and sucrose metabolism",23,NA,0.085520337,0.480876651,"0.008019386",0.453095328,"0.008019386",0.453095328,0.005681951,0.176828829,"X19O2NoCyA - X1O2NoCyA"
"11","Apelin signaling pathway",96,NA,0.129396487,0.625112608,"0.005838965",0.427823096,"0.005838965",0.427823096,0.006186431,0.176828829,"X19O2NoCyA - X1O2NoCyA"
"12","Ferroptosis",33,NA,0.002299562,0.087638857,"0.370283722",1,"0.370283722",1,0.006870269,0.181269397,"X19O2NoCyA - X1O2NoCyA"
"13","Alcoholism",126,NA,0.012356025,0.253717234,"0.10534968",0.940200235,"0.10534968",0.940200235,0.009950326,0.2303127,"X19O2NoCyA - X1O2NoCyA"
"14","Peroxisome",67,NA,0.009428078,0.226550091,"0.140010866",0.940200235,"0.140010866",0.940200235,0.010071984,0.2303127,"X19O2NoCyA - X1O2NoCyA"
"15","Biosynthesis of unsaturated fatty acids",22,NA,0.025910409,0.316914195,"0.103868574",0.940200235,"0.103868574",0.940200235,0.018617555,0.399113829,"X19O2NoCyA - X1O2NoCyA"
"16","Graft-versus-host disease",29,NA,0.003280834,0.102302383,"0.961590187",1,"0.961590187",1,0.021322862,0.414465905,"X19O2NoCyA - X1O2NoCyA"
"17","Autoimmune thyroid disease",28,NA,0.003280834,0.102302383,"0.984264636",1,"0.984264636",1,0.021750397,0.414465905,"X19O2NoCyA - X1O2NoCyA"
"18","Glycine, serine and threonine metabolism",27,NA,0.167217661,0.71694572,"0.02144579",0.772228311,"0.02144579",0.772228311,0.023778401,0.429262716,"X19O2NoCyA - X1O2NoCyA"
"19","Valine, leucine and isoleucine degradation",41,NA,0.031097152,0.323221913,"0.122672232",0.940200235,"0.122672232",0.940200235,0.025058675,0.429756272,"X19O2NoCyA - X1O2NoCyA"
"20","p53 signaling pathway",65,NA,0.286376675,0.88511458,"0.015985744",0.677395922,"0.015985744",0.677395922,0.029237065,0.477538736,"X19O2NoCyA - X1O2NoCyA"
