Pathway.name,Unique.genes,Phosphoproteomics,PhosphoproteomicsFDR_BH,Proteomics,ProteomicsFDR_BH,Transcriptomics,TranscriptomicsFDR_BH,Combined,CombinedFDR_BH,Contrast
Protein processing in endoplasmic reticulum,157,0.021878911,0.662931,0.795957262,1.00E+00,1.56E-08,0.00000536,0.001771549,0.20254705,X1O2NoCyA - X1O2PlusCyA
Intestinal immune network for IgA production,35,0.522552184,1,0.019377865,5.47E-01,0.000275229,0.031467831,0.004194206,0.30118734,X1O2NoCyA - X1O2PlusCyA
Systemic lupus erythematosus,96,0.435137004,1,0.303091955,1.00E+00,0.0000246,0.004217462,0.022455962,0.85582165,X1O2NoCyA - X1O2PlusCyA
Malaria,24,NA,NA,0.001556096,1.76E-01,0.033494617,0.547078739,0.000253298,0.08688106,X1O2NoCyA - X1O2PlusCyA
Complement and coagulation cascades,36,1,1,9.33E-06,3.16E-03,0.964592095,1,0.981518113,1,X1O2NoCyA - X1O2PlusCyA
N-Glycan biosynthesis,47,0.056016816,0.707634,0.265999827,1.00E+00,0.00116419,0.057045326,0.004390486,0.30118734,X1O2NoCyA - X1O2PlusCyA
Asthma,19,0.043506396,0.707634,0.015713304,5.33E-01,0.033420799,0.547078739,0.000629093,0.10788943,X1O2NoCyA - X1O2PlusCyA
Staphylococcus aureus infection,38,0.556137169,1,0.000348167,5.90E-02,0.163167619,0.861022976,0.006423511,0.3672107,X1O2NoCyA - X1O2PlusCyA
Allograft rejection,28,0.742058018,1,0.030268985,6.41E-01,0.003792212,0.144525411,0.034265137,0.97941183,X1O2NoCyA - X1O2PlusCyA
Various types of N-glycan biosynthesis,34,0.056016816,0.707634,0.219626241,1.00E+00,0.011494136,0.312361595,0.007762615,0.38036813,X1O2NoCyA - X1O2PlusCyA
ECM-receptor interaction,43,1,1,0.003471217,1.97E-01,0.041671398,0.621447369,0.959942285,1,X1O2NoCyA - X1O2PlusCyA
Viral myocarditis,51,0.432645749,1,0.007546052,3.06E-01,0.049340995,0.633911248,0.010018944,0.42956224,X1O2NoCyA - X1O2PlusCyA
Cell adhesion molecules,81,0.568852976,1,0.054287666,8.76E-01,0.005228994,0.179354508,0.027768609,0.94308,X1O2NoCyA - X1O2PlusCyA
Autoimmune thyroid disease,28,0.742058018,1,0.072121844,1.00E+00,0.003792212,0.144525411,0.060467184,1,X1O2NoCyA - X1O2PlusCyA
Glycerophospholipid metabolism,66,0.933894866,1,0.003491869,1.97E-01,0.068217829,0.72644861,0.09032288,1,X1O2NoCyA - X1O2PlusCyA
Oocyte meiosis,108,0.000363159,0.1100373,0.915303414,1.00E+00,0.854922387,1,0.179949371,1,X1O2NoCyA - X1O2PlusCyA
Alcoholism,140,0.532164251,1,0.882347892,1.00E+00,0.000627193,0.053781841,0.337651495,1,X1O2NoCyA - X1O2PlusCyA
Biosynthesis of unsaturated fatty acids,22,1,1,0.372653957,1.00E+00,0.000876461,0.057045326,0.997057671,1,X1O2NoCyA - X1O2PlusCyA
Graft-versus-host disease,29,0.742058018,1,0.030268985,6.41E-01,0.016622466,0.380100379,0.053354862,1,X1O2NoCyA - X1O2PlusCyA
Type I diabetes mellitus,31,0.803442221,1,0.046005073,7.81E-01,0.011838778,0.312361595,0.079882373,1,X1O2NoCyA - X1O2PlusCyA
Long-term depression,43,0.038904155,0.707634,0.97018726,1.00E+00,0.023172585,0.441566473,0.241928319,1,X1O2NoCyA - X1O2PlusCyA
Viral carcinogenesis,179,0.971415095,1,0.925341919,1.00E+00,0.001084404,0.057045326,0.841954854,1,X1O2NoCyA - X1O2PlusCyA
PI3K-Akt signaling pathway,223,0.402570744,1,0.284273798,1.00E+00,0.009029227,0.281547701,0.074542604,1,X1O2NoCyA - X1O2PlusCyA
Toxoplasmosis,94,0.922585407,1,0.002376115,1.97E-01,0.493538479,1,0.182110717,1,X1O2NoCyA - X1O2PlusCyA
Hippo signaling pathway - multiple species,21,0.012610811,0.6385429,0.394299957,1.00E+00,0.270139026,1,0.030244548,0.94308,X1O2NoCyA - X1O2PlusCyA
Long-term potentiation,52,0.007011238,0.6385429,0.641478037,1.00E+00,0.314233127,1,0.059197302,1,X1O2NoCyA - X1O2PlusCyA
Glycerolipid metabolism,44,1,1,0.008126815,3.06E-01,0.179848554,0.900072234,0.987987032,1,X1O2NoCyA - X1O2PlusCyA
Signaling pathways regulating pluripotency of stem cells,99,0.694513782,1,0.025757316,6.24E-01,0.08708768,0.72644861,0.072887243,1,X1O2NoCyA - X1O2PlusCyA
Vitamin digestion and absorption,12,0.556137169,1,0.07643009,1.00E+00,0.046975175,0.633911248,0.069298365,1,X1O2NoCyA - X1O2PlusCyA
GnRH signaling pathway,74,0.005300025,0.6385429,0.641478037,1.00E+00,0.863228302,1,0.154269879,1,X1O2NoCyA - X1O2PlusCyA
Arrhythmogenic right ventricular cardiomyopathy,40,1,1,0.00501418,2.43E-01,0.659849467,1,0.9960546,1,X1O2NoCyA - X1O2PlusCyA
Rheumatoid arthritis,63,0.239774671,1,0.061658651,9.50E-01,0.248823115,1,0.042207706,1,X1O2NoCyA - X1O2PlusCyA
Terpenoid backbone biosynthesis,21,0.043506396,0.707634,0.372653957,1.00E+00,0.270139026,1,0.058347564,1,X1O2NoCyA - X1O2PlusCyA
Sulfur relay system,8,1,1,0.046071697,7.81E-01,0.103037218,0.763224992,0.995193724,1,X1O2NoCyA - X1O2PlusCyA
Cholinergic synapse,73,0.063056494,0.707634,0.297429645,1.00E+00,0.27832125,1,0.057672915,1,X1O2NoCyA - X1O2PlusCyA
TNF signaling pathway,84,0.600728786,1,0.040575685,7.81E-01,0.225257331,1,0.104544925,1,X1O2NoCyA - X1O2PlusCyA
Estrogen signaling pathway,84,0.013006614,0.6385429,0.912259236,1.00E+00,0.47488792,1,0.273039971,1,X1O2NoCyA - X1O2PlusCyA
Cholesterol metabolism,33,0.089849775,0.9009927,0.070043172,1.00E+00,0.913971309,1,0.094774294,1,X1O2NoCyA - X1O2PlusCyA
Fatty acid elongation,21,1,1,0.372653957,1.00E+00,0.016330985,0.380100379,0.999145403,1,X1O2NoCyA - X1O2PlusCyA
Oxytocin signaling pathway,110,0.138677051,1,0.172426636,1.00E+00,0.273217043,1,0.059618717,1,X1O2NoCyA - X1O2PlusCyA
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,NA,NA,0.220229008,1.00E+00,0.131262604,0.789222628,0.108409911,1,X1O2NoCyA - X1O2PlusCyA
SNARE interactions in vesicular transport,33,0.058634121,0.707634,0.308500741,1.00E+00,0.404826404,1,0.07430422,1,X1O2NoCyA - X1O2PlusCyA
Small cell lung cancer,75,0.970885887,1,0.370952679,1.00E+00,0.020500163,0.413620928,0.595088411,1,X1O2NoCyA - X1O2PlusCyA
alpha-Linolenic acid metabolism,11,NA,NA,1,1.00E+00,0.029389322,0.530554601,0.999996722,1,X1O2NoCyA - X1O2PlusCyA
Fat digestion and absorption,21,NA,NA,0.158742587,1.00E+00,0.189702248,0.903720431,0.095407597,1,X1O2NoCyA - X1O2PlusCyA
Hippo signaling pathway,118,0.2914626,1,0.084820319,1.00E+00,0.313344172,1,0.075027149,1,X1O2NoCyA - X1O2PlusCyA
Neutrophil extracellular trap formation,138,0.564165208,1,0.761913281,1.00E+00,0.018167474,0.389465231,0.406111078,1,X1O2NoCyA - X1O2PlusCyA
AMPK signaling pathway,97,0.274303728,1,0.623154117,1.00E+00,0.045966048,0.633911248,0.200855375,1,X1O2NoCyA - X1O2PlusCyA
Focal adhesion,139,0.88996699,1,0.079550395,1.00E+00,0.113482433,0.763224992,0.282320614,1,X1O2NoCyA - X1O2PlusCyA
Leishmaniasis,59,0.775925061,1,0.021653718,5.65E-01,0.52675407,1,0.214948298,1,X1O2NoCyA - X1O2PlusCyA
Thyroid hormone synthesis,50,0.14148759,1,0.506274882,1.00E+00,0.124078116,0.78125405,0.127463887,1,X1O2NoCyA - X1O2PlusCyA
Nucleotide excision repair,46,0.014751815,0.6385429,0.73901397,1.00E+00,0.817792552,1,0.254058055,1,X1O2NoCyA - X1O2PlusCyA
Proximal tubule bicarbonate reclamation,16,0.056016816,0.707634,0.554756722,1.00E+00,0.287600405,1,0.121359299,1,X1O2NoCyA - X1O2PlusCyA
Linoleic acid metabolism,9,NA,NA,NA,NA,0.151138535,0.83671924,0.151138535,1,X1O2NoCyA - X1O2PlusCyA
Pancreatic secretion,56,0.014751815,0.6385429,0.910320847,1.00E+00,0.684922592,1,0.355906002,1,X1O2NoCyA - X1O2PlusCyA
