"","Contrast","Pathway","FDR","Method","negativelog10FDR"
"1","X19O2NoCyA - X1O2NoCyA","Coronavirus disease - COVID-19",4.7846809950562e-07,"Proteomics",6.32014701226648
"2","X19O2NoCyA - X1O2NoCyA","Ribosome",6.25739874112504e-06,"Proteomics",5.2036061695306
"3","X19O2NoCyA - X1O2NoCyA","Fructose and mannose metabolism",0.000280633534606562,"Proteomics",3.55186043371969
"4","X19O2NoCyA - X1O2NoCyA","Glycolysis / Gluconeogenesis",0.0127746049486405,"Proteomics",1.8936525214303
"5","X19O2NoCyA - X1O2NoCyA","Starch and sucrose metabolism",0.0200095906207593,"Proteomics",1.69876179656938
"6","X19O2NoCyA - X1O2NoCyA","Neomycin, kanamycin and gentamicin biosynthesis",0.0277675060166911,"Proteomics",1.55646312535701
"7","X19O2NoCyA - X1O2NoCyA","Oxidative phosphorylation",0.0552578451538343,"Proteomics",1.25760605492523
"8","X19O2NoCyA - X1O2NoCyA","Tuberculosis",0.0941056428611432,"Proteomics",1.02638433417125
"9","X19O2NoCyA - X1O2NoCyA","Glycine, serine and threonine metabolism",0.124502397620547,"Proteomics",0.904822285007225
"10","X19O2NoCyA - X1O2NoCyA","Metabolic pathways",0.124502397620547,"Proteomics",0.904822285007225
"11","X19O2NoCyA - X1O2NoCyA","PPAR signaling pathway",0.125148230421095,"Proteomics",0.902575286877067
"12","X19O2NoCyA - X1O2NoCyA","SNARE interactions in vesicular transport",0.131879897484805,"Proteomics",0.879821399122157
"13","X19O2NoCyA - X1O2NoCyA","Retrograde endocannabinoid signaling",0.153250031215797,"Proteomics",0.814599428347251
"14","X19O2NoCyA - X1O2NoCyA","Glucagon signaling pathway",0.160498165929335,"Proteomics",0.794529926071074
"15","X19O2NoCyA - X1O2NoCyA","HIF-1 signaling pathway",0.160498165929335,"Proteomics",0.794529926071074
"16","X19O2NoCyA - X1O2NoCyA","Ribosome biogenesis in eukaryotes",0.16081723616625,"Proteomics",0.793667406018348
"17","X19O2NoCyA - X1O2NoCyA","Central carbon metabolism in cancer",0.218343838272222,"Proteomics",0.660859059488607
"18","X19O2NoCyA - X1O2NoCyA","Peroxisome",0.220651933184077,"Proteomics",0.65629226324285
"19","X19O2NoCyA - X1O2NoCyA","Terpenoid backbone biosynthesis",0.244248007055764,"Proteomics",0.612168971225221
"20","X19O2NoCyA - X1O2NoCyA","Lysosome",0.255421721212329,"Proteomics",0.592742172845773
"21","X19O2NoCyA - X1O2NoCyA","Cell cycle",0.255421721212329,"Proteomics",0.592742172845773
"22","X19O2NoCyA - X1O2NoCyA","Chemical carcinogenesis - reactive oxygen species",0.255421721212329,"Proteomics",0.592742172845773
"23","X19O2NoCyA - X1O2NoCyA","Steroid biosynthesis",0.255421721212329,"Proteomics",0.592742172845773
"24","X19O2NoCyA - X1O2NoCyA","Amino sugar and nucleotide sugar metabolism",0.255421721212329,"Proteomics",0.592742172845773
"25","X19O2NoCyA - X1O2NoCyA","Galactose metabolism",0.270838724486955,"Proteomics",0.567289240176567
"26","X19O2NoCyA - X1O2NoCyA","Glutamatergic synapse",0.270838724486955,"Proteomics",0.567289240176567
"27","X19O2NoCyA - X1O2NoCyA","N-Glycan biosynthesis",0.325386267600173,"Proteomics",0.487600779706828
"28","X19O2NoCyA - X1O2NoCyA","Fatty acid degradation",0.339011655430369,"Proteomics",0.469785370227369
"29","X19O2NoCyA - X1O2NoCyA","Glycosphingolipid biosynthesis - globo and isoglobo series",0.339011655430369,"Proteomics",0.469785370227369
"30","X19O2NoCyA - X1O2NoCyA","Dopaminergic synapse",0.339011655430369,"Proteomics",0.469785370227369
"31","X19O2NoCyA - X1O2NoCyA","Adipocytokine signaling pathway",0.339011655430369,"Proteomics",0.469785370227369
"32","X19O2NoCyA - X1O2NoCyA","Carbon metabolism",0.339011655430369,"Proteomics",0.469785370227369
"33","X19O2NoCyA - X1O2NoCyA","Propanoate metabolism",0.339011655430369,"Proteomics",0.469785370227369
"34","X19O2NoCyA - X1O2NoCyA","Serotonergic synapse",0.339011655430369,"Proteomics",0.469785370227369
"35","X19O2NoCyA - X1O2NoCyA","Protein processing in endoplasmic reticulum",0.34459330862676,"Proteomics",0.462693160012451
"36","X19O2NoCyA - X1O2NoCyA","Biosynthesis of amino acids",0.346258782280587,"Proteomics",0.460599202627487
"37","X19O2NoCyA - X1O2NoCyA","Vitamin B6 metabolism",0.357818279755157,"Proteomics",0.446337476529942
"38","X19O2NoCyA - X1O2NoCyA","Epithelial cell signaling in Helicobacter pylori infection",0.361976844813352,"Proteomics",0.441319209829878
"39","X19O2NoCyA - X1O2NoCyA","Glycosaminoglycan degradation",0.361976844813352,"Proteomics",0.441319209829878
"40","X19O2NoCyA - X1O2NoCyA","Mismatch repair",0.361976844813352,"Proteomics",0.441319209829878
"41","X19O2NoCyA - X1O2NoCyA","Spliceosome",0.377264536013529,"Proteomics",0.423354017850995
"42","X19O2NoCyA - X1O2NoCyA","Salivary secretion",0.377264536013529,"Proteomics",0.423354017850995
"43","X19O2NoCyA - X1O2NoCyA","Renin secretion",0.377264536013529,"Proteomics",0.423354017850995
"44","X19O2NoCyA - X1O2NoCyA","Cysteine and methionine metabolism",0.408991666924021,"Proteomics",0.388285540515355
"45","X19O2NoCyA - X1O2NoCyA","GABAergic synapse",0.443001146507868,"Proteomics",0.353595149800867
"46","X19O2NoCyA - X1O2NoCyA","Circadian entrainment",0.449587409409082,"Proteomics",0.347185859584734
"47","X19O2NoCyA - X1O2NoCyA","alpha-Linolenic acid metabolism",0.464686106382094,"Proteomics",0.332840312267836
"48","X19O2NoCyA - X1O2NoCyA","Metabolism of xenobiotics by cytochrome P450",0.46480299699753,"Proteomics",0.332731080326647
"49","X19O2NoCyA - X1O2NoCyA","Phosphatidylinositol signaling system",0.46480299699753,"Proteomics",0.332731080326647
"50","X19O2NoCyA - X1O2NoCyA","Valine, leucine and isoleucine degradation",0.472221278015031,"Proteomics",0.325854447760648
"51","X19O2NoCyA - X1O2NoCyA","Alcoholism",0.488408974843784,"Proteomics",0.311216364200293
"52","X19O2NoCyA - X1O2NoCyA","Phototransduction",0.507362962679172,"Proteomics",0.294681239304176
"53","X19O2NoCyA - X1O2NoCyA","Ubiquitin mediated proteolysis",0.514629102545316,"Proteomics",0.288505657850778
"54","X19O2NoCyA - X1O2NoCyA","IL-17 signaling pathway",0.514629102545316,"Proteomics",0.288505657850778
"55","X19O2NoCyA - X1O2NoCyA","Kaposi sarcoma-associated herpesvirus infection",0.514629102545316,"Proteomics",0.288505657850778
"56","X19O2NoCyA - X1O2NoCyA","Long-term potentiation",0.536809830176097,"Proteomics",0.27017953987307
"57","X19O2NoCyA - X1O2NoCyA","Porphyrin metabolism",0.538258449184448,"Proteomics",0.269009144216259
"58","X19O2NoCyA - X1O2NoCyA","Nucleotide excision repair",0.55027125865082,"Proteomics",0.259423170334993
"59","X19O2NoCyA - X1O2NoCyA","Chemical carcinogenesis - DNA adducts",0.574601551148855,"Proteomics",0.240633205955489
"60","X19O2NoCyA - X1O2NoCyA","Progesterone-mediated oocyte maturation",0.574601551148855,"Proteomics",0.240633205955489
"61","X19O2NoCyA - X1O2NoCyA","Pathways of neurodegeneration - multiple diseases",0.574601551148855,"Proteomics",0.240633205955489
"62","X19O2NoCyA - X1O2NoCyA","Autophagy - animal",0.574601551148855,"Proteomics",0.240633205955489
"63","X19O2NoCyA - X1O2NoCyA","Toxoplasmosis",0.574601551148855,"Proteomics",0.240633205955489
"64","X19O2NoCyA - X1O2NoCyA","Vibrio cholerae infection",0.574601551148855,"Proteomics",0.240633205955489
"65","X19O2NoCyA - X1O2NoCyA","Human papillomavirus infection",0.574601551148855,"Proteomics",0.240633205955489
"66","X19O2NoCyA - X1O2NoCyA","Pentose phosphate pathway",0.574601551148855,"Proteomics",0.240633205955489
"67","X19O2NoCyA - X1O2NoCyA","Mannose type O-glycan biosynthesis",0.574601551148855,"Proteomics",0.240633205955489
"68","X19O2NoCyA - X1O2NoCyA","Alzheimer disease",0.605367955089422,"Proteomics",0.217980571975703
"69","X19O2NoCyA - X1O2NoCyA","Arrhythmogenic right ventricular cardiomyopathy",0.606427528558545,"Proteomics",0.217221092287433
"70","X19O2NoCyA - X1O2NoCyA","Parkinson disease",0.621357330925423,"Proteomics",0.20665857338534
"71","X19O2NoCyA - X1O2NoCyA","Nucleocytoplasmic transport",0.621357330925423,"Proteomics",0.20665857338534
"72","X19O2NoCyA - X1O2NoCyA","Gastric acid secretion",0.621357330925423,"Proteomics",0.20665857338534
"73","X19O2NoCyA - X1O2NoCyA","Apelin signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"74","X19O2NoCyA - X1O2NoCyA","Drug metabolism - cytochrome P450",0.621357330925423,"Proteomics",0.20665857338534
"75","X19O2NoCyA - X1O2NoCyA","Olfactory transduction",0.621357330925423,"Proteomics",0.20665857338534
"76","X19O2NoCyA - X1O2NoCyA","cAMP signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"77","X19O2NoCyA - X1O2NoCyA","Long-term depression",0.621357330925423,"Proteomics",0.20665857338534
"78","X19O2NoCyA - X1O2NoCyA","Viral myocarditis",0.621357330925423,"Proteomics",0.20665857338534
"79","X19O2NoCyA - X1O2NoCyA","Inflammatory bowel disease",0.621357330925423,"Proteomics",0.20665857338534
"80","X19O2NoCyA - X1O2NoCyA","Cushing syndrome",0.621357330925423,"Proteomics",0.20665857338534
"81","X19O2NoCyA - X1O2NoCyA","Amyotrophic lateral sclerosis",0.621357330925423,"Proteomics",0.20665857338534
"82","X19O2NoCyA - X1O2NoCyA","Base excision repair",0.621357330925423,"Proteomics",0.20665857338534
"83","X19O2NoCyA - X1O2NoCyA","Thermogenesis",0.621357330925423,"Proteomics",0.20665857338534
"84","X19O2NoCyA - X1O2NoCyA","Basal cell carcinoma",0.621357330925423,"Proteomics",0.20665857338534
"85","X19O2NoCyA - X1O2NoCyA","Primary immunodeficiency",0.621357330925423,"Proteomics",0.20665857338534
"86","X19O2NoCyA - X1O2NoCyA","Staphylococcus aureus infection",0.621357330925423,"Proteomics",0.20665857338534
"87","X19O2NoCyA - X1O2NoCyA","RIG-I-like receptor signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"88","X19O2NoCyA - X1O2NoCyA","Chemical carcinogenesis - receptor activation",0.621357330925423,"Proteomics",0.20665857338534
"89","X19O2NoCyA - X1O2NoCyA","Hepatitis B",0.621357330925423,"Proteomics",0.20665857338534
"90","X19O2NoCyA - X1O2NoCyA","Synaptic vesicle cycle",0.621357330925423,"Proteomics",0.20665857338534
"91","X19O2NoCyA - X1O2NoCyA","Aldosterone synthesis and secretion",0.621357330925423,"Proteomics",0.20665857338534
"92","X19O2NoCyA - X1O2NoCyA","Renal cell carcinoma",0.621357330925423,"Proteomics",0.20665857338534
"93","X19O2NoCyA - X1O2NoCyA","Estrogen signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"94","X19O2NoCyA - X1O2NoCyA","Glycosphingolipid biosynthesis - ganglio series",0.621357330925423,"Proteomics",0.20665857338534
"95","X19O2NoCyA - X1O2NoCyA","Endocrine resistance",0.621357330925423,"Proteomics",0.20665857338534
"96","X19O2NoCyA - X1O2NoCyA","Type II diabetes mellitus",0.621357330925423,"Proteomics",0.20665857338534
"97","X19O2NoCyA - X1O2NoCyA","NF-kappa B signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"98","X19O2NoCyA - X1O2NoCyA","Neuroactive ligand-receptor interaction",0.621357330925423,"Proteomics",0.20665857338534
"99","X19O2NoCyA - X1O2NoCyA","Cholinergic synapse",0.621357330925423,"Proteomics",0.20665857338534
"100","X19O2NoCyA - X1O2NoCyA","Arachidonic acid metabolism",0.621357330925423,"Proteomics",0.20665857338534
"101","X19O2NoCyA - X1O2NoCyA","Calcium signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"102","X19O2NoCyA - X1O2NoCyA","Osteoclast differentiation",0.621357330925423,"Proteomics",0.20665857338534
"103","X19O2NoCyA - X1O2NoCyA","Other types of O-glycan biosynthesis",0.621357330925423,"Proteomics",0.20665857338534
"104","X19O2NoCyA - X1O2NoCyA","Apoptosis - multiple species",0.621357330925423,"Proteomics",0.20665857338534
"105","X19O2NoCyA - X1O2NoCyA","Glioma",0.621357330925423,"Proteomics",0.20665857338534
"106","X19O2NoCyA - X1O2NoCyA","Ovarian steroidogenesis",0.621357330925423,"Proteomics",0.20665857338534
"107","X19O2NoCyA - X1O2NoCyA","Inositol phosphate metabolism",0.621357330925423,"Proteomics",0.20665857338534
"108","X19O2NoCyA - X1O2NoCyA","FoxO signaling pathway",0.621357330925423,"Proteomics",0.20665857338534
"109","X19O2NoCyA - X1O2NoCyA","Alanine, aspartate and glutamate metabolism",0.621357330925423,"Proteomics",0.20665857338534
"110","X19O2NoCyA - X1O2NoCyA","Influenza A",0.621357330925423,"Proteomics",0.20665857338534
"111","X19O2NoCyA - X1O2NoCyA","beta-Alanine metabolism",0.626069401912529,"Proteomics",0.203377521107502
"112","X19O2NoCyA - X1O2NoCyA","Cell adhesion molecules",0.626069401912529,"Proteomics",0.203377521107502
"113","X19O2NoCyA - X1O2NoCyA","Fatty acid biosynthesis",0.626069401912529,"Proteomics",0.203377521107502
"114","X19O2NoCyA - X1O2NoCyA","Platinum drug resistance",0.626069401912529,"Proteomics",0.203377521107502
"115","X19O2NoCyA - X1O2NoCyA","Cocaine addiction",0.626069401912529,"Proteomics",0.203377521107502
