Pathway name,Uniquegenes,Uniquemetabol.,PRO-Seqdata,Proteomics,Geneexpression,Combined pValue(Fisher),
Protein processing in endoplasmic reticulum,157,,0.086548657,0.887708463,5.27756E-09,1.03991E-07,
NF-kappa B signaling pathway,79,,0.620024865,0.281046379,7.10032E-05,0.000942123,
N-Glycan biosynthesis,47,,0.053312951,0.694597137,0.002208286,0.004473102,
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,15,,-,0.225954198,0.002739245,0.005191389,
Vitamin digestion and absorption,12,,0.135421069,0.082908475,0.01028768,0.005909736,
Various types of N-glycan biosynthesis,34,,0.053312951,0.693371763,0.003325184,0.006212258,
Adipocytokine signaling pathway,54,,0.91488742,0.28803075,0.000581361,0.007408823,
Fatty acid degradation,35,,1,0.000282436,0.868209878,0.010757404,
Malaria,24,,-,0.05280018,0.028906949,0.011424165,
Staphylococcus aureus infection,38,,1,0.000428243,0.900925493,0.015336604,
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,14,,-,0.400919878,0.007136739,0.019618213,
Cell adhesion molecules,81,,0.293404635,0.026008754,0.072197546,0.020196539,
"Valine, leucine and isoleucine degradation",42,,0.545961658,0.006318274,0.172920506,0.021465237,
Fatty acid metabolism,50,,1,0.003927449,0.230350421,0.029459747,
Cytokine-cytokine receptor interaction,113,,0.945312379,0.115064601,0.008840838,0.030845818,
Terpenoid backbone biosynthesis,21,,0.651202333,0.005261542,0.423141515,0.041896977,
Asthma,19,,0.651202333,0.002387085,0.936360804,0.042019266,
Allograft rejection,28,,0.732116456,0.007858962,0.257660009,0.042592484,
Histidine metabolism,11,,-,0.079603658,0.093723991,0.044004355,
Ascorbate and aldarate metabolism,7,,-,0.133060433,0.058541585,0.045607689,
Insulin resistance,88,,0.931195284,0.499351904,0.003517919,0.04579566,
Graft-versus-host disease,29,,0.732116456,0.007858962,0.295882407,0.047157722,
Intestinal immune network for IgA production,35,,0.507542808,0.022251906,0.158782207,0.048988936,
Complement and coagulation cascades,36,,1,0.00182988,0.996542046,0.049593133,
Tyrosine metabolism,20,,-,0.050237197,0.172973276,0.049927652,
TNF signaling pathway,84,,0.791151046,0.281046379,0.009730433,0.056168779,
Peroxisome,70,,0.32754584,0.008861225,0.810144882,0.059656635,
Notch signaling pathway,52,,0.411912254,0.067166113,0.086906767,0.060623877,
beta-Alanine metabolism,23,,1,0.123414857,0.019626161,0.060946231,
Type I diabetes mellitus,31,,0.794311641,0.013756724,0.229911294,0.062570767,
Lysosome,115,,0.485717444,0.903717108,0.005883456,0.063824329,
Lysine degradation,51,,0.964593678,0.028143874,0.128262567,0.078967472,
Autoimmune thyroid disease,28,,0.732116456,0.020982993,0.257660009,0.086420091,
Cytosolic DNA-sensing pathway,41,,0.653198251,0.028238528,0.21845988,0.087509055,
Butanoate metabolism,17,,1,0.051550137,0.083097245,0.091328983,
Th1 and Th2 cell differentiation,75,,0.91488742,0.011373426,0.437314598,0.095250779,
Other glycan degradation,15,,-,1,0.019366054,0.095750295,
ABC transporters,29,,0.231213873,0.133060433,0.149713646,0.096056897,
Sulfur relay system,8,,1,0.050237197,0.095657951,0.098922871,
Vibrio cholerae infection,44,,0.732116456,0.411104488,0.018425438,0.109179101,
Herpes simplex virus 1 infection,433,,0.911853256,0.875141286,0.007067263,0.11044408,
Basal cell carcinoma,43,,0.585070428,0.123414857,0.089968486,0.121609436,
Antifolate resistance,25,,0.32754584,0.203656982,0.102591163,0.125967926,
Glycosaminoglycan degradation,17,,-,1,0.029155412,0.132223139,
Mucin type O-glycan biosynthesis,20,,-,0.129983719,0.236704877,0.13787926,
Rheumatoid arthritis,63,,0.230239632,0.070988675,0.536273463,0.148624699,
Insulin signaling pathway,114,,0.36899659,0.286890829,0.084484448,0.15061994,
Protein export,23,,0.545961658,0.244545773,0.071095513,0.156643858,
Viral myocarditis,51,,0.66271957,0.026008754,0.561754027,0.158701367,
Longevity regulating pathway,73,,0.859149222,0.316091508,0.038721972,0.167498231,
Systemic lupus erythematosus,96,,0.794311641,0.013837525,0.999985511,0.172382031,
Bile secretion,34,,0.140356451,0.393093071,0.205868419,0.176090885,
Ribosome biogenesis in eukaryotes,80,,0.01425691,0.998744219,0.859241799,0.184729689,
Arginine and proline metabolism,35,,1,0.244545773,0.050618509,0.186120097,
Th17 cell differentiation,89,,0.752409071,0.020630834,0.812069676,0.188300906,
Apoptosis,118,,0.636484613,0.38648625,0.052097782,0.190302266,
Glycerophospholipid metabolism,66,,1,0.089635256,0.14499569,0.192015361,
Long-term potentiation,52,,0.024773944,0.818683224,0.661488799,0.195943587,
GnRH signaling pathway,74,,0.085781702,0.189387651,0.837074007,0.197636896,
Mitophagy - animal,65,,0.178791064,0.092011921,0.873764446,0.204702603,
Cysteine and methionine metabolism,42,,0.507542808,0.911490796,0.031522762,0.206575653,
Phenylalanine metabolism,11,,-,0.221762437,0.249767991,0.215650565,
Leishmaniasis,59,,1,0.026008754,0.610139687,0.217837002,
