"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","PSMA3",4.38908040052391,9.68507675131469,28.6503825244493,1.15606145516426e-09,1.72779435390653e-06,12.6445578311237
"2","DDX24",4.21392124702837,7.41149214651571,27.2750889747057,1.739540737753e-09,1.72779435390653e-06,12.3141412781122
"3","PTBP1",3.73676236246831,5.26043754208961,26.5665715599576,2.16425180030045e-09,1.72779435390653e-06,12.133907327262
"4","SH2B2",4.03765445746574,6.61813032765838,25.2926047571324,3.25311662684106e-09,1.77425923445673e-06,11.7912606404579
"5","BRD7",4.13518574335289,8.21407020614205,24.8994581346879,3.70409025982616e-09,1.77425923445673e-06,11.6804088802191
"6","CXORF38",3.929236639953,7.63768028546008,22.9052525245038,7.39179189449988e-09,2.73935868546693e-06,11.07734913251
"7","MYH9",3.61104931164154,11.4739176078546,22.6849734527943,8.00647632495552e-09,2.73935868546693e-06,11.0062627749526
"8","HIRIP3",4.06204483397097,8.68461137939961,20.8038995458421,1.63584479267521e-08,4.29484930832256e-06,10.3587193233845
"9","HYPK",4.06922379001968,7.94120949248928,20.7098877190792,1.69806331989624e-08,4.29484930832256e-06,10.3243331613361
"10","MGMT",2.8034251272639,4.32418111555485,20.5732554478215,1.79325649616809e-08,4.29484930832256e-06,10.2739934056162
"11","SLC12A4",3.10612573382415,3.76494322961837,19.4621434941475,2.83211798488614e-08,6.16629324891119e-06,9.84793266199126
"12","LEO1",4.24546838350475,9.35411400159498,18.7114393166041,3.91261935593503e-08,7.31809637396589e-06,9.54219583932503
"13","BAG4",2.63367701169358,4.08169391822513,18.6556805538802,4.00965437746306e-08,7.31809637396589e-06,9.51887739521138
"14","HSP90AB1",2.62459953645081,11.9057792702792,18.5091064793971,4.27780163822641e-08,7.31809637396589e-06,9.45716548079344
"15","COIL",2.81625741080952,7.91871401395217,17.4587909845345,6.90448538425458e-08,1.10241616635265e-05,8.99666539787308
"16","TCOF1",3.70225627706902,10.4889568108262,17.1681350989359,7.92088600080365e-08,1.11474971186565e-05,8.86327842990224
"17","CEP250",2.53802288953477,9.07320896527035,17.1218668716643,8.09760204234533e-08,1.11474971186565e-05,8.84179598508765
"18","BRAP",3.94335105848706,7.57506562193839,17.0506982868193,8.37807716642244e-08,1.11474971186565e-05,8.80861681454879
"19","RBM8A",3.06067238429996,6.40744143452958,16.7916070047613,9.49466440702137e-08,1.19682743446401e-05,8.68642265517716
"20","C18ORF25",3.27103869465839,9.65442773463353,16.6052579620283,1.04004806309224e-07,1.23175064664627e-05,8.59714890814603
"21","ZNF516",3.41694062597352,7.89476210075086,16.5286859182386,1.08003188223681e-07,1.23175064664627e-05,8.56012332230558
"22","RSRC2",3.98585135496316,8.36191582105623,16.4335314712738,1.1321291062977e-07,1.23247691344682e-05,8.51383102228617
"23","MLH1",3.10523686524168,4.11795483634332,16.1405438554519,1.31099980450537e-07,1.3651497964306e-05,8.36930313385229
"24","EEF2",4.87343181629768,5.14048813760875,15.9500683635512,1.44413376554807e-07,1.44112515353652e-05,8.2736984408838
"25","SRPK1",2.9447518529,8.31107707823277,15.7504802695984,1.60004447639453e-07,1.53284260838596e-05,8.17209502467866
"26","C1ORF52",2.50274923109455,6.29377231512865,15.6674269774503,1.67038456232684e-07,1.53868116414338e-05,8.12937847778496
"27","CANX",3.2685384621436,11.1821620105748,15.4411338708348,1.88019055926516e-07,1.66779866275558e-05,8.0116624847326
"28","NEDD1",2.37515301220139,5.21531800658108,15.3568385110817,1.96573128367857e-07,1.68140229443221e-05,7.96730906094092
"29","RPS28",2.63926636233088,6.49633776955928,14.9867386199987,2.39636388806015e-07,1.9790660385876e-05,7.7692577651128
"30","SLIRP",3.06549347517443,5.93660149303797,14.8666157960889,2.55801247973165e-07,2.04214662965243e-05,7.70378996346141
"31","HMGA1",2.94207713717907,11.0336582728006,14.569638893084,3.0124510218312e-07,2.29244422590847e-05,7.53936459308642
"32","SRSF11",2.88929580498534,10.1745603879173,14.5397449867001,3.06297349599461e-07,2.29244422590847e-05,7.52260714927584
"33","ATRX",2.9615739467236,9.34425759729035,14.305901621212,3.49243517946645e-07,2.50681212774552e-05,7.39019287771162
"34","PWP1",3.85953175817213,8.91897426407509,14.2725010590063,3.55908443022688e-07,2.50681212774552e-05,7.37108500953956
"35","RABGAP1",3.54241218272156,6.40682025032797,14.221599819214,3.66339976914795e-07,2.50681212774552e-05,7.3418705402093
"36","FMNL1",3.07167201228991,10.2157941780315,14.1082683963364,3.90812408510117e-07,2.59998810661592e-05,7.27641036039424
"37","SSB",2.50973358473066,9.36846419985508,13.8897045209797,4.43327772596057e-07,2.86553500443994e-05,7.14852894986246
"38","RPRD2",3.74044282876969,8.47651142876566,13.8463397730569,4.54656910934104e-07,2.86553500443994e-05,7.12289583716169
"39","SCAF8",3.6670977441333,7.41308163485593,13.7397403662575,4.83903020205349e-07,2.97166085485079e-05,7.05951244232835
"40","LARP7",3.2648457182325,8.36095544313623,13.6546752249688,5.087483608942e-07,2.97965182079988e-05,7.00855025670994
"41","NCAPG",3.64143412457931,8.05712170422978,13.5554356669304,5.39547281539627e-07,2.97965182079988e-05,6.94866160139886
"42","AP3B1",2.89000234598328,10.040529158649,13.5450573034593,5.42886422906391e-07,2.97965182079988e-05,6.94237126535123
"43","SLC20A1",2.48097733658151,9.08663389626247,13.5392909557114,5.44751639226559e-07,2.97965182079988e-05,6.93887403643332
"44","BMS1",3.01194745054491,6.88497701106135,13.5232639068214,5.4997345813746e-07,2.97965182079988e-05,6.92914538560796
"45","PDS5A",2.47970429190744,8.58158479631636,13.4934056847774,5.59851072801647e-07,2.97965182079988e-05,6.91098793501456
"46","SMC4",1.98791050635223,9.33591821520458,13.3513513444396,6.09634730271118e-07,3.09017020068382e-05,6.82400741018075
"47","HNRNPUL2",3.64098109949977,8.2343816111382,13.3449958227116,6.11974608517332e-07,3.09017020068382e-05,6.82009278145123
"48","EDC3",2.55857774022333,9.4432408707646,13.3252074806367,6.19324299093207e-07,3.09017020068382e-05,6.80789155844634
