Pathway name,Uniquegenes,Uniquemetabol.,PRO-Seqdata,Proteomics,Geneexpression,Combined pValue(Fisher),
Coronavirus disease - COVID-19,174,,0.225074994,1.65074E-27,0.999934359,7.64858E-25,
Ribosome,133,,0.29275523,1.0535E-25,0.999999927,5.50523E-23,
Cell cycle,118,,0.032041839,0.001185712,0.029982076,0.000123396,
RNA transport,162,,0.142164006,8.65888E-05,0.210670723,0.000250477,
Antigen processing and presentation,55,,0.272917543,0.014211695,0.037559367,0.007117102,
Ubiquitin mediated proteolysis,131,,0.439833632,0.009984543,0.215417025,0.03046794,
Estrogen signaling pathway,84,,0.299535846,0.734611228,0.005936999,0.038784827,
B cell receptor signaling pathway,74,,0.23099306,0.967375743,0.005874929,0.038925895,
Sphingolipid signaling pathway,99,,0.755326395,0.980674482,0.002029931,0.04303997,
Oocyte meiosis,108,,0.055930198,0.383272642,0.076560566,0.045906327,
p53 signaling pathway,67,,0.961462528,0.238580801,0.01093068,0.062482588,
Fanconi anemia pathway,53,,0.737902645,0.556855882,0.006250826,0.063574622,
Gap junction,63,,0.300478149,0.88526791,0.010013712,0.065257344,
Platelet activation,90,,0.110325326,0.972278232,0.030600928,0.075738185,
Transcriptional misregulation in cancer,126,,0.032041839,0.429305173,0.294231451,0.087779401,
Human T-cell leukemia virus 1 infection,192,,0.01040698,0.708537376,0.556793255,0.088661661,
Progesterone-mediated oocyte maturation,81,,0.380374242,0.020522315,0.526394345,0.088714096,
Cytosolic DNA-sensing pathway,41,,0.010836937,0.494173868,0.993751277,0.106136222,
Viral carcinogenesis,179,,0.10947685,0.746676137,0.081464496,0.12366554,
Th17 cell differentiation,89,,0.0613557,0.694562091,0.160769239,0.126063405,
Autoimmune thyroid disease,28,,0.771398094,0.023682281,0.446143104,0.141622724,
Allograft rejection,28,,0.771398094,0.03827626,0.280403292,0.143108818,
NOD-like receptor signaling pathway,135,,0.074012876,0.174202055,0.677635858,0.148308319,
Tight junction,133,,0.352983912,0.68223962,0.037093784,0.150500216,
Graft-versus-host disease,29,,0.771398094,0.03827626,0.320479722,0.15632275,
Ribosome biogenesis in eukaryotes,80,,0.391143374,0.031211749,0.821733703,0.162428178,
Salivary secretion,55,,0.120361773,0.96436817,0.088829124,0.165361982,
Synaptic vesicle cycle,52,,0.0164927,0.995486668,0.656508568,0.170211761,
Measles,110,,0.1048737,0.229382944,0.478410833,0.177593822,
Adrenergic signaling in cardiomyocytes,93,,0.948112664,0.997904711,0.012591906,0.181596608,
Type I diabetes mellitus,31,,0.829970224,0.057529185,0.252617548,0.18304805,
Influenza A,128,,0.213237103,0.906526602,0.067080932,0.191735685,
Hematopoietic cell lineage,53,,0.174738167,0.754038517,0.112975206,0.209265717,
mRNA surveillance pathway,83,,0.747221001,0.978069145,0.020642468,0.211036257,
Amoebiasis,59,,0.87357122,0.999220232,0.018923428,0.223354669,
Primary immunodeficiency,28,,0.083436039,0.958004793,0.217908479,0.230831443,
Toxoplasmosis,94,,0.20218807,0.772458611,0.112560095,0.232156876,
Nucleotide excision repair,46,,0.768569697,0.187082566,0.123452546,0.233548867,
Hepatitis C,116,,0.415351906,0.858185402,0.050335044,0.235097793,
Hippo signaling pathway - multiple species,21,,0.771398094,1,0.023459387,0.23634514,
cGMP-PKG signaling pathway,110,,0.268969188,0.988089957,0.068459518,0.237130143,
Sphingolipid metabolism,38,,1,0.762836139,0.025978919,0.249881163,
Prion disease,222,,0.284289831,0.91737645,0.077414851,0.25272895,
Systemic lupus erythematosus,96,,1,0.354286912,0.057770564,0.254834724,
Basal transcription factors,42,,0.497235581,0.08122495,0.582843407,0.277223766,
Cellular senescence,136,,0.337084922,0.158718541,0.462835936,0.285699606,
Chemokine signaling pathway,121,,0.093894493,0.943527297,0.293064018,0.29380561,
Taurine and hypotaurine metabolism,5,,-,1,0.095097012,0.318846751,
Necroptosis,125,,0.115873822,0.410567382,0.656507229,0.327127186,
Regulation of lipolysis in adipocytes,33,,0.692736636,0.94527198,0.051166313,0.340500157,
Dopaminergic synapse,93,,0.978760196,0.983251554,0.035423986,0.343861754,
Human papillomavirus infection,248,,0.400272077,0.991624688,0.087811215,0.3481889,
Viral myocarditis,51,,0.497235581,0.151600494,0.467785098,0.350480359,
AGE-RAGE signaling pathway in diabetic complications,74,,0.712899327,0.976510164,0.052937793,0.359261218,
Mannose type O-glycan biosynthesis,19,,-,0.231679389,0.501756316,0.366414099,
PD-L1 expression and PD-1 checkpoint pathway in cancer,78,,0.110325326,0.998320845,0.349769717,0.368240835,
Inflammatory bowel disease,41,,0.478537443,0.579773667,0.148024983,0.38146859,
RIG-I-like receptor signaling pathway,47,,0.158603422,0.275204088,0.969917848,0.387862339,
Non-homologous end-joining,13,,0.253970437,0.907086579,0.185945908,0.390361133,
Long-term depression,43,,0.930158367,0.977247922,0.047375115,0.391484756,
Terpenoid backbone biosynthesis,21,,0.270292233,0.206324818,0.816348922,0.403447058,
Th1 and Th2 cell differentiation,75,,0.085962342,0.704401145,0.788289169,0.413814787,
Vasopressin-regulated water reabsorption,35,,0.253970437,0.644982231,0.295825702,0.417156095,
Fc epsilon RI signaling pathway,53,,0.684062556,0.99825405,0.074897806,0.429247343,
Lipoic acid metabolism,3,,-,1,0.147223353,0.429274506,
TGF-beta signaling pathway,72,,0.235606252,0.580778661,0.400358189,0.444951745,
Choline metabolism in cancer,72,,0.755326395,0.971698571,0.075924583,0.448900512,
Fc gamma R-mediated phagocytosis,77,,0.852874035,0.996713149,0.069957228,0.464153279,
Drug metabolism - other enzymes,39,,0.87357122,0.08122495,0.847793307,0.466879206,
Salmonella infection,227,,0.437025756,0.980524879,0.140733824,0.467473866,
Renin-angiotensin system,10,,0.161864837,0.508532172,0.737577551,0.469071304,
Cholinergic synapse,73,,0.768569697,0.978159991,0.082444277,0.474009752,
Parkinson disease,211,,0.724598401,0.957232027,0.092170063,0.481464664,
Mismatch repair,23,,0.930158367,0.674141861,0.102414406,0.482558933,
Aldosterone synthesis and secretion,62,,0.882894698,0.836912661,0.087146423,0.483210848,
DNA replication,36,,0.978760196,0.976510164,0.067756447,0.484586663,
Collecting duct acid secretion,18,,0.255161024,1,0.254961892,0.485696583,
Leukocyte transendothelial migration,81,,0.299535846,0.852459917,0.261802707,0.492323562,
Endocrine and other factor-regulated calcium reabsorption,36,,0.378090805,0.991447801,0.178735797,0.492876074,
Platinum drug resistance,59,,0.614626906,0.834389956,0.131310054,0.49411744,
AMPK signaling pathway,97,,0.981446873,0.452075861,0.155033661,0.499338026,
Homologous recombination,41,,0.351210498,0.602304959,0.338244992,0.509095049,
TNF signaling pathway,84,,0.115432129,0.741450915,0.850850072,0.513485765,
Serotonergic synapse,65,,0.568364245,0.988533199,0.131310054,0.516743925,
Proteasome,45,,1,0.157795917,0.470800906,0.518486634,
Longevity regulating pathway - multiple species,48,,0.614626906,0.88526791,0.14274903,0.529715319,
Cytokine-cytokine receptor interaction,113,,0.300478149,0.264543742,0.985077834,0.531773226,
Cell adhesion molecules,81,,0.626158438,0.62113986,0.202056786,0.532689615,
Insulin resistance,88,,0.469234605,0.959991521,0.176660792,0.535884337,
Protein processing in endoplasmic reticulum,157,,0.08350727,0.981845583,0.991970193,0.541454063,
Inflammatory mediator regulation of TRP channels,64,,0.41383437,0.973248215,0.202510266,0.542180083,
Asthma,19,,0.692736636,0.585945956,0.210238123,0.553817378,
Epstein-Barr virus infection,176,,0.415261331,0.698993587,0.297128264,0.556558462,
Relaxin signaling pathway,88,,1,0.999151589,0.086881043,0.558239644,
Circadian entrainment,60,,0.87357122,0.914037038,0.109651061,0.560461295,
mTOR signaling pathway,131,,0.7846423,0.745927751,0.149849496,0.560909092,
Oxytocin signaling pathway,110,,0.93016705,0.924741799,0.102104642,0.561269883,
Pantothenate and CoA biosynthesis,16,,1,0.418897707,0.210238123,0.561983478,
Thermogenesis,190,,0.830009959,0.999996291,0.106155886,0.562106973,
Antifolate resistance,25,,0.108594376,0.823882177,0.995813716,0.564997831,
Phosphonate and phosphinate metabolism,5,,0.255161024,1,0.350174068,0.565746367,
Caffeine metabolism,1,,-,0.231679389,1,0.570487515,
Pathways in cancer,364,,0.424985438,0.895474142,0.243732214,0.575522757,
Retrograde endocannabinoid signaling,94,,0.587125535,0.967375743,0.163923778,0.57650604,
Starch and sucrose metabolism,27,,0.829970224,0.967778984,0.116216498,0.577193901,
VEGF signaling pathway,48,,0.882894698,0.951486182,0.112975206,0.581543762,
Pancreatic secretion,56,,0.235606252,0.928757047,0.4342878,0.581890396,
GABAergic synapse,46,,1,0.914765435,0.105761655,0.586606408,
Small cell lung cancer,75,,0.684062556,0.951182856,0.149926126,0.588794671,
Adherens junction,63,,0.249509493,0.923069458,0.429531285,0.592496487,
"Parathyroid hormone synthesis, secretion and action",78,,0.502324858,0.39691548,0.504777486,0.597052685,
Legionellosis,41,,0.768569697,0.88526791,0.148024983,0.59724227,
Shigellosis,215,,0.136261198,0.841486711,0.879903802,0.597707674,
Basal cell carcinoma,43,,0.334135636,0.348014156,0.884844034,0.602927934,
Steroid hormone biosynthesis,19,,-,1,0.254961892,0.603403315,
GnRH signaling pathway,74,,0.300478149,0.930679488,0.374387997,0.607556921,
Alcoholism,140,,0.607221116,0.995969375,0.174982008,0.610413832,
Ubiquinone and other terpenoid-quinone biosynthesis,10,,-,1,0.264599538,0.616394619,
Phagosome,119,,0.506377565,0.961906696,0.223410787,0.617876859,
Synthesis and degradation of ketone bodies,7,,0.255161024,0.508532172,0.85631777,0.623464377,
Carbohydrate digestion and absorption,30,,1,0.967778984,0.116216498,0.626724623,
Rheumatoid arthritis,63,,0.692736636,0.985569438,0.166864907,0.630173995,
Purine metabolism,99,,0.626158438,0.182514647,0.999762616,0.630952925,
Glioma,59,,1,0.994291725,0.115348865,0.631973415,
Diabetic cardiomyopathy,159,,0.824757831,0.999995427,0.140897571,0.635505138,
Vitamin digestion and absorption,12,,0.161864837,0.878957678,0.826367426,0.638646159,
Wnt signaling pathway,122,,0.424936264,0.372756883,0.753188355,0.642592735,
Human immunodeficiency virus 1 infection,175,,0.328711429,0.918654599,0.395135682,0.642630139,
NF-kappa B signaling pathway,79,,0.1236136,0.997904711,0.972735352,0.644143284,
Pancreatic cancer,69,,0.388204846,0.959991521,0.323424244,0.64535509,
Hepatitis B,134,,0.705574482,0.979659754,0.174982008,0.646293615,
Gastric acid secretion,46,,0.712899327,0.876051016,0.196269748,0.649898319,
Leishmaniasis,59,,1,0.62113986,0.197562642,0.650198799,
Morphine addiction,46,,0.270292233,0.840714497,0.54200838,0.651189953,
RNA polymerase,31,,1,0.171207755,0.719422481,0.651201976,
FoxO signaling pathway,107,,0.961658507,0.794995273,0.162826894,0.654065956,
Taste transduction,34,,0.255161024,0.65176716,0.749847815,0.654544044,
Phosphatidylinositol signaling system,84,,0.833768614,0.961691217,0.15739861,0.657781688,
Cocaine addiction,32,,1,1,0.128227014,0.662076411,
Huntington disease,255,,0.722527301,0.983906377,0.181920885,0.664387898,
Prolactin signaling pathway,52,,0.930158367,0.96436817,0.149672265,0.674513815,
T cell receptor signaling pathway,79,,0.195199907,0.961691217,0.723550246,0.677656722,
Linoleic acid metabolism,9,,-,-,0.680085522,0.680085522,
Non-small cell lung cancer,62,,0.849559125,0.994291725,0.171635182,0.695305553,
Osteoclast differentiation,98,,0.29275523,0.934692478,0.534788154,0.697820858,
Colorectal cancer,77,,0.755326395,0.520956454,0.374129578,0.699440374,
Chagas disease,69,,0.378090805,0.993779419,0.401109783,0.705776839,
Thyroid hormone signaling pathway,100,,0.884736446,0.995109539,0.172260621,0.707467564,
Renal cell carcinoma,56,,0.455509579,0.934408729,0.373625876,0.720242439,
Chemical carcinogenesis - DNA adducts,20,,1,0.842331213,0.189150653,0.720749576,
African trypanosomiasis,20,,1,0.762836139,0.210238123,0.722514055,
Hepatocellular carcinoma,131,,0.479126497,0.999584038,0.348877903,0.733500703,
Chemical carcinogenesis - receptor activation,123,,0.639580528,0.530558631,0.494332334,0.734550258,
Glutathione metabolism,37,,0.270292233,0.865179594,0.73348489,0.740502556,
Glutamatergic synapse,74,,0.568364245,0.941129391,0.324693247,0.743825513,
Amyotrophic lateral sclerosis,302,,0.561528835,0.988298872,0.313974909,0.744686811,
Pentose phosphate pathway,26,,1,0.356104733,0.490125287,0.745133577,
Focal adhesion,139,,0.439833632,0.991538645,0.404137839,0.747729578,
Oxidative phosphorylation,108,,0.692736636,0.999949938,0.254630356,0.747930723,
Insulin secretion,49,,0.906018474,0.988847007,0.203388717,0.756550573,
Phospholipase D signaling pathway,102,,0.987499647,0.998925215,0.185006315,0.756953973,
Neutrophil extracellular trap formation,138,,0.646049118,0.991615592,0.295150202,0.766283052,
Mineral absorption,35,,0.378090805,0.842331213,0.602067621,0.76994488,
Fluid shear stress and atherosclerosis,96,,0.351210498,0.722235721,0.757978441,0.770654641,
Tuberculosis,127,,0.686927862,0.956476682,0.293681488,0.771592382,
Fat digestion and absorption,21,,-,0.418897707,0.97121221,0.772724281,
Chronic myeloid leukemia,69,,0.602124143,0.999590567,0.323424244,0.773886556,
Vascular smooth muscle contraction,81,,0.666513776,0.971698571,0.302264598,0.775354443,
Cysteine and methionine metabolism,42,,0.253970437,0.834389956,0.924089986,0.775437474,
cAMP signaling pathway,124,,0.415351906,0.997902892,0.473640425,0.776088685,
Staphylococcus aureus infection,38,,0.587125535,0.609942032,0.556114726,0.779814994,
Herpes simplex virus 1 infection,433,,0.842682022,0.511799931,0.462081739,0.779993395,
IL-17 signaling pathway,60,,0.272917543,0.836912661,0.891206268,0.785475276,
Ras signaling pathway,150,,0.322118278,0.994949124,0.647334454,0.79036516,
Amphetamine addiction,48,,0.768569697,0.971501478,0.279782153,0.792137062,
Hippo signaling pathway,118,,0.737902645,0.91349795,0.311620138,0.793542733,
Endocrine resistance,83,,0.713424896,0.995486668,0.303752862,0.800330347,
Glyoxylate and dicarboxylate metabolism,23,,0.445371969,0.579773667,0.843698254,0.802818068,
Pyrimidine metabolism,45,,1,0.275204088,0.795323036,0.803999591,
Fatty acid biosynthesis,16,,0.445371969,0.805211041,0.618181585,0.807221137,
Folate biosynthesis,15,,1,0.653926471,0.340815339,0.808551863,
Mucin type O-glycan biosynthesis,20,,-,1,0.449168905,0.80866406,
Primary bile acid biosynthesis,9,,-,1,0.450117404,0.809422196,
"Alanine, aspartate and glutamate metabolism",24,,1,0.413574464,0.541689008,0.809855026,
JAK-STAT signaling pathway,86,,0.779263861,0.580778661,0.49801634,0.811374463,
Epithelial cell signaling in Helicobacter pylori infection,60,,0.490217849,0.99825405,0.462260019,0.812282733,
Notch signaling pathway,52,,0.272917543,0.988847007,0.842186697,0.813462537,
Apelin signaling pathway,99,,0.98285034,0.938844628,0.249813163,0.816973196,
Hedgehog signaling pathway,40,,0.334135636,0.712683662,0.97933117,0.819854623,
Ether lipid metabolism,27,,1,0.842331213,0.280403292,0.822986412,
Olfactory transduction,30,,0.445371969,0.928686903,0.574363591,0.824407996,
Spliceosome,133,,0.871998942,0.328605537,0.837415952,0.826862698,
Vibrio cholerae infection,44,,0.378090805,1,0.647429297,0.831714698,
SNARE interactions in vesicular transport,33,,0.253970437,0.996146706,0.974309452,0.833395152,
"Growth hormone synthesis, secretion and action",88,,0.824757831,0.98673499,0.305066924,0.835128209,
RNA degradation,73,,0.897767479,0.549473738,0.504777486,0.835842751,
Insulin signaling pathway,114,,0.77644436,0.916797095,0.350036695,0.836001402,
Signaling pathways regulating pluripotency of stem cells,99,,0.556294273,0.878061855,0.511982549,0.836880213,
PI3K-Akt signaling pathway,223,,0.861034636,0.982678165,0.295830379,0.837095775,
Nicotinate and nicotinamide metabolism,27,,0.771398094,0.413574464,0.79043407,0.838874757,
Renin secretion,38,,0.771398094,0.894674571,0.367606891,0.840321566,
Intestinal immune network for IgA production,35,,0.87357122,0.663496823,0.442730166,0.843033832,
Retinol metabolism,19,,-,1,0.501756316,0.847787895,
Protein digestion and absorption,42,,0.478537443,1,0.548664336,0.848440735,
Glycosphingolipid biosynthesis - ganglio series,14,,-,1,0.509494305,0.853064964,
Human cytomegalovirus infection,169,,0.591032174,0.939053795,0.486991149,0.855202234,
