Contrast,Pathway,FDR,Method,negativelog10FDR
X19O2NoCyA - X1O2NoCyA,Coronavirus disease - COVID-19,4.78E-07,Proteomics,6.320147012
X19O2NoCyA - X1O2NoCyA,Ribosome,6.26E-06,Proteomics,5.20360617
X19O2NoCyA - X1O2NoCyA,Fructose and mannose metabolism,0.000280634,Proteomics,3.551860434
X19O2NoCyA - X1O2NoCyA,Glycolysis / Gluconeogenesis,0.012774605,Proteomics,1.893652521
X19O2NoCyA - X1O2NoCyA,Starch and sucrose metabolism,0.020009591,Proteomics,1.698761797
X19O2NoCyA - X1O2NoCyA,"Neomycin, kanamycin and gentamicin biosynthesis",0.027767506,Proteomics,1.556463125
X19O2NoCyA - X1O2NoCyA,Oxidative phosphorylation,0.055257845,Proteomics,1.257606055
X19O2NoCyA - X1O2NoCyA,Tuberculosis,0.094105643,Proteomics,1.026384334
X19O2NoCyA - X1O2NoCyA,"Glycine, serine and threonine metabolism",0.124502398,Proteomics,0.904822285
X19O2NoCyA - X1O2NoCyA,Metabolic pathways,0.124502398,Proteomics,0.904822285
X19O2NoCyA - X1O2NoCyA,PPAR signaling pathway,0.12514823,Proteomics,0.902575287
X19O2NoCyA - X1O2NoCyA,SNARE interactions in vesicular transport,0.131879897,Proteomics,0.879821399
X19O2NoCyA - X1O2NoCyA,Retrograde endocannabinoid signaling,0.153250031,Proteomics,0.814599428
X19O2NoCyA - X1O2NoCyA,Glucagon signaling pathway,0.160498166,Proteomics,0.794529926
X19O2NoCyA - X1O2NoCyA,HIF-1 signaling pathway,0.160498166,Proteomics,0.794529926
X19O2NoCyA - X1O2NoCyA,Ribosome biogenesis in eukaryotes,0.160817236,Proteomics,0.793667406
X19O2NoCyA - X1O2NoCyA,Central carbon metabolism in cancer,0.218343838,Proteomics,0.660859059
X19O2NoCyA - X1O2NoCyA,Peroxisome,0.220651933,Proteomics,0.656292263
X19O2NoCyA - X1O2NoCyA,Terpenoid backbone biosynthesis,0.244248007,Proteomics,0.612168971
X19O2NoCyA - X1O2NoCyA,Lysosome,0.255421721,Proteomics,0.592742173
X19O2NoCyA - X1O2NoCyA,Cell cycle,0.255421721,Proteomics,0.592742173
X19O2NoCyA - X1O2NoCyA,Chemical carcinogenesis - reactive oxygen species,0.255421721,Proteomics,0.592742173
X19O2NoCyA - X1O2NoCyA,Steroid biosynthesis,0.255421721,Proteomics,0.592742173
X19O2NoCyA - X1O2NoCyA,Amino sugar and nucleotide sugar metabolism,0.255421721,Proteomics,0.592742173
X19O2NoCyA - X1O2NoCyA,Galactose metabolism,0.270838724,Proteomics,0.56728924
X19O2NoCyA - X1O2NoCyA,Glutamatergic synapse,0.270838724,Proteomics,0.56728924
X19O2NoCyA - X1O2NoCyA,N-Glycan biosynthesis,0.325386268,Proteomics,0.48760078
X19O2NoCyA - X1O2NoCyA,Fatty acid degradation,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Glycosphingolipid biosynthesis - globo and isoglobo series,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Dopaminergic synapse,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Adipocytokine signaling pathway,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Carbon metabolism,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Propanoate metabolism,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Serotonergic synapse,0.339011655,Proteomics,0.46978537
X19O2NoCyA - X1O2NoCyA,Protein processing in endoplasmic reticulum,0.344593309,Proteomics,0.46269316
X19O2NoCyA - X1O2NoCyA,Biosynthesis of amino acids,0.346258782,Proteomics,0.460599203
X19O2NoCyA - X1O2NoCyA,Vitamin B6 metabolism,0.35781828,Proteomics,0.446337477
X19O2NoCyA - X1O2NoCyA,Epithelial cell signaling in Helicobacter pylori infection,0.361976845,Proteomics,0.44131921
X19O2NoCyA - X1O2NoCyA,Glycosaminoglycan degradation,0.361976845,Proteomics,0.44131921
X19O2NoCyA - X1O2NoCyA,Mismatch repair,0.361976845,Proteomics,0.44131921
X19O2NoCyA - X1O2NoCyA,Spliceosome,0.377264536,Proteomics,0.423354018
X19O2NoCyA - X1O2NoCyA,Salivary secretion,0.377264536,Proteomics,0.423354018
X19O2NoCyA - X1O2NoCyA,Renin secretion,0.377264536,Proteomics,0.423354018
X19O2NoCyA - X1O2NoCyA,Cysteine and methionine metabolism,0.408991667,Proteomics,0.388285541
X19O2NoCyA - X1O2NoCyA,GABAergic synapse,0.443001147,Proteomics,0.35359515
X19O2NoCyA - X1O2NoCyA,Circadian entrainment,0.449587409,Proteomics,0.34718586
X19O2NoCyA - X1O2NoCyA,alpha-Linolenic acid metabolism,0.464686106,Proteomics,0.332840312
X19O2NoCyA - X1O2NoCyA,Metabolism of xenobiotics by cytochrome P450,0.464802997,Proteomics,0.33273108
X19O2NoCyA - X1O2NoCyA,Phosphatidylinositol signaling system,0.464802997,Proteomics,0.33273108
X19O2NoCyA - X1O2NoCyA,"Valine, leucine and isoleucine degradation",0.472221278,Proteomics,0.325854448
X19O2NoCyA - X1O2NoCyA,Alcoholism,0.488408975,Proteomics,0.311216364
X19O2NoCyA - X1O2NoCyA,Phototransduction,0.507362963,Proteomics,0.294681239
X19O2NoCyA - X1O2NoCyA,Ubiquitin mediated proteolysis,0.514629103,Proteomics,0.288505658
X19O2NoCyA - X1O2NoCyA,IL-17 signaling pathway,0.514629103,Proteomics,0.288505658
X19O2NoCyA - X1O2NoCyA,Kaposi sarcoma-associated herpesvirus infection,0.514629103,Proteomics,0.288505658
X19O2NoCyA - X1O2NoCyA,Long-term potentiation,0.53680983,Proteomics,0.27017954
X19O2NoCyA - X1O2NoCyA,Porphyrin metabolism,0.538258449,Proteomics,0.269009144
X19O2NoCyA - X1O2NoCyA,Nucleotide excision repair,0.550271259,Proteomics,0.25942317
X19O2NoCyA - X1O2NoCyA,Chemical carcinogenesis - DNA adducts,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Progesterone-mediated oocyte maturation,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Pathways of neurodegeneration - multiple diseases,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Autophagy - animal,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Toxoplasmosis,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Vibrio cholerae infection,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Human papillomavirus infection,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Pentose phosphate pathway,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Mannose type O-glycan biosynthesis,0.574601551,Proteomics,0.240633206
X19O2NoCyA - X1O2NoCyA,Alzheimer disease,0.605367955,Proteomics,0.217980572
X19O2NoCyA - X1O2NoCyA,Arrhythmogenic right ventricular cardiomyopathy,0.606427529,Proteomics,0.217221092
X19O2NoCyA - X1O2NoCyA,Parkinson disease,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Nucleocytoplasmic transport,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Gastric acid secretion,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Apelin signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Drug metabolism - cytochrome P450,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Olfactory transduction,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,cAMP signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Long-term depression,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Viral myocarditis,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Inflammatory bowel disease,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Cushing syndrome,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Amyotrophic lateral sclerosis,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Base excision repair,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Thermogenesis,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Basal cell carcinoma,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Primary immunodeficiency,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Staphylococcus aureus infection,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,RIG-I-like receptor signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Chemical carcinogenesis - receptor activation,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Hepatitis B,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Synaptic vesicle cycle,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Aldosterone synthesis and secretion,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Renal cell carcinoma,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Estrogen signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Glycosphingolipid biosynthesis - ganglio series,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Endocrine resistance,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Type II diabetes mellitus,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,NF-kappa B signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Neuroactive ligand-receptor interaction,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Cholinergic synapse,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Arachidonic acid metabolism,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Calcium signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Osteoclast differentiation,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Other types of O-glycan biosynthesis,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Apoptosis - multiple species,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Glioma,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Ovarian steroidogenesis,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Inositol phosphate metabolism,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,FoxO signaling pathway,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,"Alanine, aspartate and glutamate metabolism",0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,Influenza A,0.621357331,Proteomics,0.206658573
X19O2NoCyA - X1O2NoCyA,beta-Alanine metabolism,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,Cell adhesion molecules,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,Fatty acid biosynthesis,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,Platinum drug resistance,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,Cocaine addiction,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,Signaling pathways regulating pluripotency of stem cells,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,African trypanosomiasis,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,NOD-like receptor signaling pathway,0.626069402,Proteomics,0.203377521
X19O2NoCyA - X1O2NoCyA,Apoptosis,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Butanoate metabolism,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Morphine addiction,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,One carbon pool by folate,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Arginine and proline metabolism,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Adrenergic signaling in cardiomyocytes,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Proteasome,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Pyruvate metabolism,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Primary bile acid biosynthesis,0.627034253,Proteomics,0.202708734
X19O2NoCyA - X1O2NoCyA,Hepatitis C,0.642121779,Proteomics,0.1923826
X19O2NoCyA - X1O2NoCyA,PI3K-Akt signaling pathway,0.642121779,Proteomics,0.1923826
X19O2NoCyA - X1O2NoCyA,Huntington disease,0.642121779,Proteomics,0.1923826
X19O2NoCyA - X1O2NoCyA,Biosynthesis of nucleotide sugars,0.642121779,Proteomics,0.1923826
X19O2NoCyA - X1O2NoCyA,Vasopressin-regulated water reabsorption,0.646274474,Proteomics,0.189582997
X19O2NoCyA - X1O2NoCyA,Insulin signaling pathway,0.6545408,Proteomics,0.184063277
X19O2NoCyA - X1O2NoCyA,Protein digestion and absorption,0.6545408,Proteomics,0.184063277
X19O2NoCyA - X1O2NoCyA,Leishmaniasis,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Bacterial invasion of epithelial cells,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Human cytomegalovirus infection,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Measles,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Autophagy - other,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Sphingolipid signaling pathway,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,ECM-receptor interaction,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,JAK-STAT signaling pathway,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Thyroid hormone synthesis,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Th1 and Th2 cell differentiation,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,ABC transporters,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Intestinal immune network for IgA production,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Toll-like receptor signaling pathway,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Bile secretion,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Cortisol synthesis and secretion,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,C-type lectin receptor signaling pathway,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Autoimmune thyroid disease,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Steroid hormone biosynthesis,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Herpes simplex virus 1 infection,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,Sphingolipid metabolism,0.657149835,Proteomics,0.182335597
X19O2NoCyA - X1O2NoCyA,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.676445587,Proteomics,0.169767132
X19O2NoCyA - X1O2NoCyA,Selenocompound metabolism,0.676445587,Proteomics,0.169767132
X19O2NoCyA - X1O2NoCyA,Lipid and atherosclerosis,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Glyoxylate and dicarboxylate metabolism,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Rheumatoid arthritis,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Aminoacyl-tRNA biosynthesis,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Basal transcription factors,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Nicotinate and nicotinamide metabolism,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Glycerolipid metabolism,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,AMPK signaling pathway,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Human immunodeficiency virus 1 infection,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Amoebiasis,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Neurotrophin signaling pathway,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Alcoholic liver disease,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Mucin type O-glycan biosynthesis,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,RNA polymerase,0.677197085,Proteomics,0.16928492
X19O2NoCyA - X1O2NoCyA,Pentose and glucuronate interconversions,0.684327347,Proteomics,0.164736104
X19O2NoCyA - X1O2NoCyA,Caffeine metabolism,0.684327347,Proteomics,0.164736104
X19O2NoCyA - X1O2NoCyA,Choline metabolism in cancer,0.684348468,Proteomics,0.164722701
X19O2NoCyA - X1O2NoCyA,Thiamine metabolism,0.692650487,Proteomics,0.159485856
X19O2NoCyA - X1O2NoCyA,Other glycan degradation,0.692650487,Proteomics,0.159485856
X19O2NoCyA - X1O2NoCyA,Longevity regulating pathway,0.692650487,Proteomics,0.159485856
X19O2NoCyA - X1O2NoCyA,Pertussis,0.694599242,Proteomics,0.158265695
X19O2NoCyA - X1O2NoCyA,Chronic myeloid leukemia,0.699312964,Proteomics,0.155328421
X19O2NoCyA - X1O2NoCyA,Chagas disease,0.716190967,Proteomics,0.144971161
X19O2NoCyA - X1O2NoCyA,Epstein-Barr virus infection,0.721588069,Proteomics,0.141710656
X19O2NoCyA - X1O2NoCyA,Pyrimidine metabolism,0.721588069,Proteomics,0.141710656
X19O2NoCyA - X1O2NoCyA,Legionellosis,0.721988581,Proteomics,0.141469671
X19O2NoCyA - X1O2NoCyA,Amphetamine addiction,0.721988581,Proteomics,0.141469671
X19O2NoCyA - X1O2NoCyA,Ras signaling pathway,0.724422536,Proteomics,0.140008048
X19O2NoCyA - X1O2NoCyA,Human T-cell leukemia virus 1 infection,0.724422536,Proteomics,0.140008048
X19O2NoCyA - X1O2NoCyA,Relaxin signaling pathway,0.724422536,Proteomics,0.140008048
X19O2NoCyA - X1O2NoCyA,Hypertrophic cardiomyopathy,0.724422536,Proteomics,0.140008048
X19O2NoCyA - X1O2NoCyA,GnRH signaling pathway,0.728832232,Proteomics,0.137372429
X19O2NoCyA - X1O2NoCyA,Melanogenesis,0.729729055,Proteomics,0.136838362
X19O2NoCyA - X1O2NoCyA,Cholesterol metabolism,0.729729055,Proteomics,0.136838362
X19O2NoCyA - X1O2NoCyA,Shigellosis,0.729729055,Proteomics,0.136838362
X19O2NoCyA - X1O2NoCyA,Glutathione metabolism,0.733008134,Proteomics,0.134891206
X19O2NoCyA - X1O2NoCyA,Hematopoietic cell lineage,0.733008134,Proteomics,0.134891206
X19O2NoCyA - X1O2NoCyA,Lipoic acid metabolism,0.733008134,Proteomics,0.134891206
X19O2NoCyA - X1O2NoCyA,Phagosome,0.73440305,Proteomics,0.134065528
X19O2NoCyA - X1O2NoCyA,Melanoma,0.73440305,Proteomics,0.134065528
X19O2NoCyA - X1O2NoCyA,Pancreatic cancer,0.73440305,Proteomics,0.134065528
X19O2NoCyA - X1O2NoCyA,Pathways in cancer,0.73440305,Proteomics,0.134065528
X19O2NoCyA - X1O2NoCyA,RNA degradation,0.737950684,Proteomics,0.131972661
X19O2NoCyA - X1O2NoCyA,Nucleotide metabolism,0.748526159,Proteomics,0.125793018
X19O2NoCyA - X1O2NoCyA,Non-homologous end-joining,0.751748702,Proteomics,0.123927313
X19O2NoCyA - X1O2NoCyA,Prostate cancer,0.757282808,Proteomics,0.120741903
X19O2NoCyA - X1O2NoCyA,Pancreatic secretion,0.771920227,Proteomics,0.112427579
X19O2NoCyA - X1O2NoCyA,Platelet activation,0.771920227,Proteomics,0.112427579
X19O2NoCyA - X1O2NoCyA,Th17 cell differentiation,0.771920227,Proteomics,0.112427579
X19O2NoCyA - X1O2NoCyA,Citrate cycle (TCA cycle),0.771920227,Proteomics,0.112427579
X19O2NoCyA - X1O2NoCyA,Homologous recombination,0.771920227,Proteomics,0.112427579
X19O2NoCyA - X1O2NoCyA,Riboflavin metabolism,0.792610128,Proteomics,0.100940382
X19O2NoCyA - X1O2NoCyA,Endometrial cancer,0.795510953,Proteomics,0.099353836
X19O2NoCyA - X1O2NoCyA,Fanconi anemia pathway,0.797640238,Proteomics,0.098192946
X19O2NoCyA - X1O2NoCyA,Fatty acid elongation,0.797640238,Proteomics,0.098192946
X19O2NoCyA - X1O2NoCyA,Ascorbate and aldarate metabolism,0.797640238,Proteomics,0.098192946
X19O2NoCyA - X1O2NoCyA,Dilated cardiomyopathy,0.797640238,Proteomics,0.098192946
X19O2NoCyA - X1O2NoCyA,Rap1 signaling pathway,0.802510375,Proteomics,0.095549344
X19O2NoCyA - X1O2NoCyA,Cytokine-cytokine receptor interaction,0.811689675,Proteomics,0.090609978
X19O2NoCyA - X1O2NoCyA,Folate biosynthesis,0.825999029,Proteomics,0.083020463
X19O2NoCyA - X1O2NoCyA,Oocyte meiosis,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Biosynthesis of cofactors,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Drug metabolism - other enzymes,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Inflammatory mediator regulation of TRP channels,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Wnt signaling pathway,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Vascular smooth muscle contraction,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Cellular senescence,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Fatty acid metabolism,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Hedgehog signaling pathway,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Systemic lupus erythematosus,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Endocrine and other factor-regulated calcium reabsorption,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Purine metabolism,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Renin-angiotensin system,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Malaria,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Circadian rhythm,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Non-alcoholic fatty liver disease,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,MicroRNAs in cancer,0.827759526,Proteomics,0.082095813
X19O2NoCyA - X1O2NoCyA,Small cell lung cancer,0.833806654,Proteomics,0.078934643
X19O2NoCyA - X1O2NoCyA,Taurine and hypotaurine metabolism,0.838535308,Proteomics,0.076478646
X19O2NoCyA - X1O2NoCyA,Focal adhesion,0.843084082,Proteomics,0.07412911
X19O2NoCyA - X1O2NoCyA,Hippo signaling pathway,0.847377472,Proteomics,0.071923086
