preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TFRC', 'PDK1']
preds
HIF1A
['VHL', 'BCL2', 'FLT1']
gen	nevals	avg    	std    	min      	max    
0  	24    	8.73284	5.60628	0.0316202	25.7054
1  	24    	6.86956	4.54639	0.197684 	20.7127
2  	24    	6.4654 	3.99401	0.196204 	19.9039
3  	24    	6.00789	3.40057	0.196237 	19.9039
4  	24    	5.73991	3.09054	0.322787 	19.9039
5  	24    	5.30938	2.74173	0.433786 	19.9039
6  	24    	5.00929	2.13738	0.433786 	12.6366
7  	24    	4.79345	1.90309	0.625008 	12.6236
8  	24    	4.72649	1.80098	0.625008 	7.94051
9  	24    	4.70907	1.79708	0.549466 	7.94051
10 	24    	4.68059	1.79172	0.549466 	7.94573
11 	24    	4.66698	1.78644	0.549466 	7.94573
12 	24    	4.62074	1.7673 	0.544562 	7.93729
13 	24    	4.57444	1.75058	0.543893 	7.3058 
14 	24    	4.54549	1.75133	0.537758 	6.85709
15 	24    	4.5271 	1.76305	0.349843 	6.47034
16 	24    	4.52403	1.76559	0.349843 	6.47147
17 	24    	4.51259	1.77545	0.349843 	6.47027
18 	24    	4.48673	1.79814	0.349843 	6.47166
19 	24    	4.46337	1.81721	0.349843 	6.47166
20 	24    	4.46246	1.81698	0.349843 	6.47166
21 	24    	4.4616 	1.81595	0.348466 	6.47233
22 	24    	4.46028	1.81438	0.346618 	6.4698 
23 	24    	4.46012	1.81433	0.346618 	6.4698 
24 	24    	4.45996	1.81446	0.346618 	6.4698 
25 	24    	4.45983	1.81451	0.349301 	6.4676 
26 	24    	4.45977	1.81447	0.349567 	6.4676 
27 	24    	4.45969	1.81434	0.349567 	6.4676 
28 	24    	4.45965	1.81416	0.349843 	6.46698
29 	24    	4.45959	1.81422	0.349523 	6.4668 
30 	24    	4.45958	1.81418	0.349523 	6.4668 
31 	24    	4.45954	1.81409	0.349523 	6.4668 
32 	24    	4.45953	1.81419	0.349523 	6.4668 
33 	24    	4.45949	1.81426	0.349523 	6.4668 
34 	24    	4.45948	1.81426	0.349523 	6.4668 
35 	24    	4.45947	1.8143 	0.349523 	6.4668 
36 	24    	4.45947	1.81432	0.349523 	6.4668 
37 	24    	4.45941	1.81436	0.349523 	6.4668 
38 	24    	4.4594 	1.81442	0.349523 	6.4668 
39 	24    	4.45939	1.81435	0.350277 	6.46523
40 	24    	4.45939	1.81435	0.350277 	6.46523
41 	24    	4.45938	1.81432	0.350277 	6.46523
42 	24    	4.45935	1.81421	0.350277 	6.46523
43 	24    	4.45808	1.81469	0.350277 	6.46512
44 	24    	4.45682	1.81525	0.350277 	6.46512
45 	24    	4.45558	1.81581	0.350277 	6.46526
46 	24    	4.45187	1.81733	0.351369 	6.47042
47 	24    	4.44445	1.82059	0.351369 	6.47042
48 	24    	4.43336	1.8256 	0.350528 	6.47042
49 	24    	4.42942	1.82725	0.352235 	6.46872
50 	24    	4.42916	1.82722	0.350177 	6.46686
51 	24    	4.42888	1.82719	0.350177 	6.4655 
52 	24    	4.42888	1.82725	0.350177 	6.4655 
53 	24    	4.42883	1.8272 	0.350177 	6.4655 
54 	24    	4.4288 	1.82714	0.350177 	6.4655 
55 	24    	4.42592	1.82504	0.350177 	6.4655 
56 	24    	4.42022	1.82074	0.350177 	6.46532
57 	24    	4.41167	1.81428	0.350177 	6.46532
58 	24    	4.39751	1.80334	0.350177 	6.46532
59 	24    	4.36075	1.77409	0.352357 	6.31534
60 	24    	4.36035	1.77452	0.350278 	6.31171
61 	24    	4.36017	1.77458	0.350336 	6.31079
62 	24    	4.36013	1.77464	0.350336 	6.31079
63 	24    	4.36011	1.77474	0.350269 	6.31257
64 	24    	4.36006	1.77478	0.350336 	6.31079
65 	24    	4.36002	1.7748 	0.34968  	6.31079
66 	24    	4.36001	1.77489	0.34968  	6.31079
67 	24    	4.3599 	1.77502	0.34968  	6.30943
68 	24    	4.35989	1.77501	0.34968  	6.30943
69 	24    	4.35986	1.77508	0.34968  	6.30943
70 	24    	4.35985	1.7751 	0.34889  	6.30943
