preds
ARNT
['EP300', 'EIF4E', 'PDK1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min     	max    
0  	24    	6.73357	4.38304	0.315419	20.7127
1  	24    	5.66942	3.17958	0.23941 	19.9039
2  	24    	5.29523	2.79897	0.23941 	19.9039
3  	24    	5.04719	2.22697	0.239865	16.7926
4  	24    	4.93394	1.94639	0.275291	12.636 
5  	24    	4.86432	1.98308	0.275291	12.636 
6  	24    	4.76752	2.03274	0.275291	13.6115
7  	24    	4.6745 	1.95036	0.269626	10.9578
8  	24    	4.593  	1.95435	0.507006	10.9578
9  	24    	4.5109 	1.92753	0.662225	8.13854
10 	24    	4.48956	1.94243	0.721587	8.13854
11 	24    	4.48669	1.94851	0.721619	8.13854
12 	24    	4.48305	1.96135	0.721603	8.13854
13 	24    	4.47486	1.99675	0.721463	8.13854
14 	24    	4.45902	2.06513	0.72153 	8.13899
15 	24    	4.45127	2.08217	0.721339	7.40268
16 	24    	4.45036	2.08243	0.72153 	7.40535
17 	24    	4.44986	2.08169	0.720944	7.40535
18 	24    	4.44978	2.0817 	0.720944	7.39752
19 	24    	4.44958	2.08184	0.720944	7.39752
20 	24    	4.44951	2.08182	0.72153 	7.39752
21 	24    	4.4495 	2.08179	0.72153 	7.39752
22 	24    	4.44943	2.08179	0.72153 	7.39752
23 	24    	4.44926	2.08199	0.721445	7.39838
24 	24    	4.44924	2.08219	0.721083	7.39838
25 	24    	4.44918	2.082  	0.721083	7.39838
26 	24    	4.44908	2.08229	0.720716	7.39838
27 	24    	4.44908	2.08236	0.720716	7.39838
28 	24    	4.44893	2.08172	0.720716	7.39838
29 	24    	4.4489 	2.08162	0.720716	7.39838
30 	24    	4.4489 	2.08162	0.720716	7.39838
31 	24    	4.4489 	2.08157	0.720716	7.39838
32 	24    	4.44888	2.08166	0.720716	7.39838
33 	24    	4.44888	2.08166	0.720716	7.39838
34 	24    	4.44888	2.08166	0.720716	7.39838
35 	24    	4.44888	2.08166	0.720716	7.39838
36 	24    	4.44884	2.08165	0.720716	7.39838
37 	24    	4.4488 	2.08167	0.720716	7.39838
38 	24    	4.44876	2.0817 	0.720716	7.39838
39 	24    	4.44871	2.08166	0.720716	7.39838
40 	24    	4.44871	2.08166	0.720716	7.39838
41 	24    	4.44871	2.08166	0.720716	7.39838
42 	24    	4.44866	2.08158	0.720716	7.39838
43 	24    	4.44858	2.08171	0.719674	7.39838
44 	24    	4.44244	2.07988	0.532917	7.72495
45 	24    	4.42861	2.07566	0.53207 	7.75328
46 	24    	4.41483	2.07066	0.527754	7.75328
47 	24    	4.39125	2.0673 	0.527754	9.72887
48 	24    	4.36132	2.05543	0.527751	9.72887
49 	24    	4.34925	2.04715	0.520494	7.74732
50 	24    	4.34638	2.04561	0.525002	7.744  
51 	24    	4.34451	2.04363	0.525002	7.744  
52 	24    	4.33738	2.03307	0.525002	7.73788
53 	24    	4.32641	2.01639	0.521802	7.73662
