preds
ITGB1
['F11R', 'ICAM2', 'NTNG2']
preds
ITGAL
['JAM3', 'GLG1', 'ICAM1']
preds
CD226
['CD22', 'ICOSLG', 'ITGA4']
preds
ITGA4
['CD28', 'ICAM2', 'JAM3']
preds
ICAM1
['ICAM3', 'ITGAL', 'ICAM2']
preds
JAM3
['CD86', 'MADCAM1', 'ITGA4']
preds
F11R
['ITGB1', 'ITGA4', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.87382	6.01924	9.13535e-05	23.1651
1  	24    	3.97093	4.79996	5.83231e-05	22.6109
2  	24    	3.50133	3.9596 	5.83231e-05	22.4971
3  	24    	3.29068	3.63071	7.27656e-05	18.0737
4  	24    	3.17831	3.4881 	0.000129674	18.0492
5  	24    	3.05163	3.30798	0.000129674	18.0492
6  	24    	2.93061	2.91482	0.000129674	18.0492
7  	24    	2.87337	2.70383	0.000156401	12.1259
8  	24    	2.7784 	2.65183	0.000185186	18.0095
9  	24    	2.68254	2.48656	0.000185186	10.3832
10 	24    	2.56244	2.45022	0.000168313	10.3832
11 	24    	2.45393	2.42833	7.2225e-05 	10.3832
12 	24    	2.4184 	2.3847 	7.2225e-05 	6.72091
13 	24    	2.41417	2.37645	0.000104987	6.72091
14 	24    	2.40596	2.33993	9.1016e-05 	6.72189
15 	24    	2.39752	2.30601	9.1016e-05 	6.72189
16 	24    	2.39595	2.29939	9.1016e-05 	6.72255
17 	24    	2.39407	2.29797	0.000106707	6.72284
18 	24    	2.39288	2.29744	5.17673e-05	6.72362
19 	24    	2.39249	2.2976 	5.17673e-05	6.72362
20 	24    	2.39217	2.29765	0.000106707	6.72249
21 	24    	2.39208	2.29775	2.4852e-05 	6.72249
22 	24    	2.39187	2.29786	2.4852e-05 	6.72249
23 	24    	2.39169	2.29795	3.60379e-05	6.72289
24 	24    	2.39159	2.2979 	3.60379e-05	6.72289
25 	24    	2.39149	2.29792	3.60379e-05	6.72289
26 	24    	2.39148	2.29796	3.60379e-05	6.72289
27 	24    	2.39129	2.29796	3.60379e-05	6.72289
28 	24    	2.39122	2.29797	3.60379e-05	6.72289
29 	24    	2.39117	2.29803	3.60379e-05	6.72289
30 	24    	2.38967	2.29882	3.60379e-05	6.72473
31 	24    	2.3881 	2.29946	6.23735e-05	6.72473
32 	24    	2.38517	2.30082	6.23735e-05	6.72289
33 	24    	2.38085	2.30302	6.23735e-05	6.72289
34 	24    	2.37267	2.30666	6.23735e-05	6.72289
35 	24    	2.35591	2.31483	6.23735e-05	6.72474
36 	24    	2.354  	2.31578	0.000149232	6.72474
37 	24    	2.35027	2.31656	0.000130461	6.72611
38 	24    	2.34793	2.31725	0.000137774	6.7238 
39 	24    	2.34117	2.31749	0.000122678	6.72348
40 	24    	2.32912	2.31596	0.000105671	6.72348
41 	24    	2.32848	2.31601	0.000105671	6.72457
42 	24    	2.32834	2.31614	0.000105671	6.72457
43 	24    	2.32823	2.31614	0.000105671	6.72457
44 	24    	2.32803	2.31631	7.89163e-05	6.72457
45 	24    	2.32792	2.31637	7.89163e-05	6.72457
46 	24    	2.32786	2.31627	0.000122678	6.72457
47 	24    	2.32783	2.31632	0.000182536	6.72457
48 	24    	2.32783	2.31632	0.000182536	6.72457
49 	24    	2.32779	2.31634	0.000182536	6.72457
50 	24    	2.32766	2.31626	0.000134513	6.72457
51 	24    	2.32764	2.3162 	0.000134513	6.72457
52 	24    	2.32764	2.3162 	0.000134513	6.72457
53 	24    	2.32407	2.31336	0.000134513	6.72457
54 	24    	2.31803	2.31   	0.000134513	6.75443
55 	24    	2.31439	2.30724	0.000134513	6.75443
56 	24    	2.29417	2.29224	0.000181955	6.75443
57 	24    	2.26825	2.27348	0.000165741	6.75443
58 	24    	2.24379	2.24832	0.000165741	6.7539 
59 	24    	2.2416 	2.24695	4.91786e-05	6.11053
60 	24    	2.2414 	2.24688	0.000154641	6.10981
61 	24    	2.24125	2.24681	0.000185636	6.11414
62 	24    	2.24117	2.24687	0.000190042	6.11414
63 	24    	2.24102	2.24687	9.66704e-05	6.11414
64 	24    	2.24091	2.24701	9.66704e-05	6.10969
65 	24    	2.24082	2.24723	9.66704e-05	6.10952
66 	24    	2.24075	2.24755	9.66704e-05	6.10952
67 	24    	2.239  	2.2469 	9.66704e-05	6.10952
68 	24    	2.23895	2.24693	9.66704e-05	6.10952
69 	24    	2.23882	2.24711	9.66704e-05	6.10952
70 	24    	2.23699	2.24643	9.66704e-05	6.10757
71 	24    	2.23245	2.24211	0.00011827 	6.10757
72 	24    	2.22795	2.23769	0.00011827 	6.10851
73 	24    	2.21676	2.22794	0.00013442 	6.10851
74 	24    	2.20026	2.20927	9.55956e-05	6.31244
75 	24    	2.19092	2.19419	7.72548e-05	6.11151
76 	24    	2.18177	2.17596	7.72548e-05	6.10788
77 	24    	2.16737	2.15436	9.55956e-05	6.11144
78 	24    	2.16144	2.14858	9.55956e-05	6.11144
79 	24    	2.15681	2.14272	0.000216865	6.11144
80 	24    	2.14978	2.13368	0.0001731  	6.11122
81 	24    	2.14694	2.13506	0.000181554	6.11122
82 	24    	2.14513	2.13598	7.94154e-05	6.10938
83 	24    	2.14371	2.13704	7.94154e-05	6.10938
84 	24    	2.14036	2.1355 	0.000173857	6.11243
85 	24    	2.13754	2.13318	0.000156022	6.11339
86 	24    	2.13433	2.13129	0.000127805	6.11339
87 	24    	2.12828	2.12974	0.000127805	6.11339
88 	24    	2.11838	2.11123	0.000127805	6.11433
89 	24    	2.10611	2.08841	0.000237737	6.11433
90 	24    	2.08965	2.05641	0.000105006	6.11433
91 	24    	2.07999	2.04568	6.50785e-05	6.11446
92 	24    	2.07023	2.06729	0.000125844	6.11446
93 	24    	2.06183	2.0875 	0.000125844	6.11446
94 	24    	2.05784	2.07917	0.000125844	6.11149
95 	24    	2.05419	2.06835	0.000125844	6.11149
96 	24    	2.05053	2.05483	0.000184783	6.11149
97 	24    	2.04003	2.0437 	0.000174758	6.10863
98 	24    	2.03452	2.03819	0.000126236	6.11021
99 	24    	2.02105	2.02283	0.000151008	6.11021
100	24    	2.00126	1.99784	0.000151008	5.66752
101	24    	1.99791	1.9929 	8.26425e-05	5.66807
102	24    	1.99761	1.99299	8.26425e-05	5.66807
103	24    	1.99756	1.99296	8.26425e-05	5.66807
104	24    	1.99707	1.99393	8.26425e-05	5.77393
105	24    	1.997  	1.99403	8.26425e-05	5.77393
106	24    	1.99581	1.99477	6.38796e-05	5.77485
107	24    	1.99379	1.99743	6.38796e-05	5.77802
108	24    	1.993  	1.99949	6.38796e-05	5.77856
109	24    	1.99041	2.00418	3.35732e-05	5.77856
110	24    	1.98721	2.01079	3.35732e-05	5.77856
111	24    	1.98484	2.00805	3.35732e-05	5.77833
112	24    	1.98214	2.00401	3.35732e-05	5.77818
113	24    	1.97885	1.99592	6.20065e-05	5.77757
114	24    	1.97393	1.99105	6.20065e-05	5.77857
115	24    	1.97237	1.9923 	8.24881e-05	5.77857
116	24    	1.9675 	1.99715	5.93344e-05	5.78111
117	24    	1.96472	1.99952	0.000178349	5.78111
118	24    	1.96448	1.99945	0.000178349	5.78111
119	24    	1.96436	1.99932	0.000178349	5.77973
120	24    	1.96427	1.99936	0.000144738	5.77973
--- 7913.253942728043 seconds ---
ran GA
