preds
ITGB1
['ITGA4', 'PTPRC', 'CD226']
preds
ITGAL
['JAM3', 'MADCAM1', 'ICAM1']
preds
CD226
['ITGAL', 'F11R', 'ICAM1']
preds
ITGA4
['CD28', 'ICAM2', 'CD80']
preds
ICAM1
['ICAM3', 'F11R', 'ITGAL']
preds
JAM3
['CD28', 'ITGAL', 'ITGB7']
preds
F11R
['ICAM1', 'ITGAL', 'CD226']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.64626	5.92684	0.000117603	23.0471
1  	24    	3.83434	4.69754	0.000117603	23.0471
2  	24    	3.44393	3.96509	0.00010089 	22.1386
3  	24    	3.29416	3.82186	0.00010089 	22.1386
4  	24    	3.17979	3.50795	0.00010089 	22.1386
5  	24    	3.10282	3.11336	0.000107722	22.1386
6  	24    	3.01671	2.96874	1.37268e-05	13.8849
7  	24    	2.95443	2.92956	1.37268e-05	12.8668
8  	24    	2.92871	2.89902	1.37268e-05	10.7417
9  	24    	2.90859	2.83854	1.37268e-05	10.7417
10 	24    	2.89067	2.78601	1.37268e-05	10.7634
11 	24    	2.86466	2.74145	1.37268e-05	12.3208
12 	24    	2.84595	2.71497	1.37268e-05	12.3208
13 	24    	2.8223 	2.7114 	0.000118023	12.3208
14 	24    	2.78968	2.61292	0.000118023	12.3208
15 	24    	2.74379	2.46025	0.000118023	12.3208
16 	24    	2.72417	2.44329	0.000147431	12.3208
17 	24    	2.69903	2.37975	0.000147431	7.36824
18 	24    	2.68875	2.384  	0.000147431	7.54889
19 	24    	2.67276	2.38368	0.000160506	6.59204
20 	24    	2.67086	2.3925 	5.71846e-05	6.5833 
21 	24    	2.66915	2.39785	5.71846e-05	6.30984
22 	24    	2.66666	2.39382	8.55805e-05	6.30993
23 	24    	2.66172	2.37173	0.000215178	6.31321
24 	24    	2.65166	2.37183	7.78444e-05	6.31352
25 	24    	2.64417	2.38478	7.78444e-05	7.54889
26 	24    	2.64201	2.37954	7.78444e-05	7.54889
27 	24    	2.6401 	2.37448	7.78444e-05	7.54889
28 	24    	2.62306	2.35514	7.78444e-05	7.54889
29 	24    	2.60287	2.32796	0.000185947	7.54889
30 	24    	2.56246	2.32077	0.000185947	7.54889
31 	24    	2.54349	2.32434	8.57935e-05	7.40269
32 	24    	2.51865	2.29618	0.000131864	7.40269
33 	24    	2.49384	2.26847	0.000200718	7.40269
34 	24    	2.46525	2.23202	0.000140026	5.79256
35 	24    	2.45943	2.22496	0.000114154	5.79612
36 	24    	2.45877	2.22408	8.69268e-05	5.79198
37 	24    	2.4581 	2.22509	8.69268e-05	6.44174
38 	24    	2.45706	2.22899	0.000114381	6.44481
39 	24    	2.45655	2.23163	0.000114381	6.44481
40 	24    	2.45589	2.23447	0.000114381	6.44804
41 	24    	2.45481	2.23989	0.000114381	6.44804
42 	24    	2.45225	2.25531	0.000114381	6.454  
43 	24    	2.4511 	2.25587	0.000114381	6.44478
44 	24    	2.44861	2.25439	6.27745e-05	6.44694
45 	24    	2.44694	2.25348	6.27745e-05	6.44694
46 	24    	2.44293	2.25145	6.27745e-05	6.40202
47 	24    	2.44164	2.25138	6.27745e-05	6.1703 
48 	24    	2.43847	2.25165	6.27745e-05	6.17204
49 	24    	2.43731	2.25058	0.000106995	6.17497
50 	24    	2.43484	2.25043	5.6946e-05 	6.17099
51 	24    	2.42739	2.25233	5.6946e-05 	6.11425
52 	24    	2.42097	2.25264	5.6946e-05 	6.06676
53 	24    	2.41852	2.24702	4.74248e-05	6.0641 
54 	24    	2.41768	2.24394	4.74248e-05	6.0641 
55 	24    	2.415  	2.23434	6.50555e-05	6.0641 
56 	24    	2.4135 	2.23144	0.000131677	6.05538
57 	24    	2.41005	2.22859	6.41663e-05	6.45839
58 	24    	2.40493	2.22462	6.41663e-05	6.48349
59 	24    	2.39951	2.21942	9.42414e-05	6.48349
60 	24    	2.39258	2.21046	7.65917e-05	6.48349
61 	24    	2.38056	2.194  	4.099e-05  	6.48349
62 	24    	2.37436	2.18425	4.099e-05  	5.9096 
63 	24    	2.37372	2.18388	0.00011334 	5.91913
64 	24    	2.37309	2.18326	0.000110664	5.91913
65 	24    	2.37181	2.18214	0.000110664	5.88579
66 	24    	2.37148	2.18194	0.000110664	5.88057
67 	24    	2.37132	2.18183	9.61484e-05	5.88057
68 	24    	2.37124	2.18173	5.22211e-05	5.87979
69 	24    	2.37111	2.18171	9.61484e-05	5.87979
70 	24    	2.37078	2.18154	7.93059e-05	5.87979
71 	24    	2.37047	2.18152	7.93059e-05	5.87979
72 	24    	2.37021	2.18149	7.93059e-05	5.87979
73 	24    	2.3695 	2.18073	7.93059e-05	5.85628
74 	24    	2.36926	2.18049	7.93059e-05	5.85628
75 	24    	2.36888	2.18011	0.000178338	5.84677
76 	24    	2.36848	2.17972	9.42723e-05	5.85255
77 	24    	2.36824	2.17947	0.000234653	5.83575
78 	24    	2.36807	2.17954	6.73586e-05	5.84618
79 	24    	2.36759	2.17915	6.15217e-05	5.84897
80 	24    	2.36626	2.17809	6.73586e-05	5.85492
81 	24    	2.36503	2.17701	6.73586e-05	5.85008
82 	24    	2.36352	2.17565	4.18842e-05	5.85008
83 	24    	2.36064	2.17326	4.18842e-05	5.86236
84 	24    	2.35842	2.17125	4.18842e-05	5.86796
85 	24    	2.35821	2.17115	9.16884e-05	5.85762
86 	24    	2.35811	2.17104	3.60159e-05	5.86094
87 	24    	2.35798	2.17098	3.60159e-05	5.86094
88 	24    	2.35784	2.17094	3.60159e-05	5.86094
89 	24    	2.35776	2.17099	7.22653e-05	5.86094
90 	24    	2.35774	2.17093	7.22653e-05	5.86094
91 	24    	2.35766	2.1709 	7.22653e-05	5.86094
92 	24    	2.35765	2.17093	7.22653e-05	5.86094
93 	24    	2.35761	2.17087	7.22653e-05	5.86094
94 	24    	2.35757	2.17091	7.22653e-05	5.86853
95 	24    	2.35757	2.17089	7.22653e-05	5.86853
96 	24    	2.35757	2.17089	7.22653e-05	5.86853
97 	24    	2.35756	2.17094	5.18097e-05	5.86853
98 	24    	2.35754	2.17093	7.22653e-05	5.86853
99 	24    	2.3569 	2.17051	7.22653e-05	5.86853
