preds
F11R
['CXCR4', 'RAC2', 'RAC1']
preds
ITGAL
['ITGA4', 'RASSF5', 'JAM3']
preds
RHOA
['CDC42', 'RAC1', 'RAC2']
preds
JAM3
['PTK2B', 'ITGAL', 'RHOA']
preds
RAC1
['RHOA', 'CDC42', 'NCF4']
preds
RAC2
['RHOA', 'PTK2', 'F11R']
preds
RASSF5
['NCF1', 'PECAM1', 'CTNNB1']
preds
PTK2B
['JAM3', 'RASSF5', 'ITGAL']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['CYBA', 'RAC1', 'CDC42']
preds
CDC42
['RHOA', 'RAC1', 'CXCR4']
gen	nevals	avg  	std    	min        	max    
0  	24    	6.482	4.52478	9.19411e-05	20.1086
1  	24    	5.21559	3.42279	0.000104779	19.1078
2  	24    	4.59853	2.71263	0.000104779	16.7361
3  	24    	4.21481	2.53489	0.000104779	16.4762
4  	24    	4.01607	2.23989	8.53023e-05	15.6355
5  	24    	3.81051	2.03475	0.000103014	8.64757
6  	24    	3.72439	2.00367	0.000103014	8.64757
7  	24    	3.66118	2.01124	8.17448e-05	8.11583
8  	24    	3.60854	2.00225	8.17448e-05	8.11583
9  	24    	3.55765	1.96835	4.73771e-05	7.86409
10 	24    	3.50089	1.96854	4.73771e-05	7.87074
11 	24    	3.46795	1.96536	4.73771e-05	7.87453
12 	24    	3.42908	1.9442 	4.73771e-05	7.86409
13 	24    	3.40153	1.90962	4.73771e-05	7.72116
14 	24    	3.39015	1.87162	4.73771e-05	6.23034
15 	24    	3.38628	1.86133	6.32654e-05	6.22679
16 	24    	3.38144	1.84921	8.68547e-05	5.9197 
17 	24    	3.38044	1.8483 	3.04734e-05	5.9197 
18 	24    	3.37649	1.85039	0.00010886 	5.91511
19 	24    	3.37276	1.85313	0.000104689	5.9179 
20 	24    	3.36331	1.86066	0.00010886 	5.9179 
21 	24    	3.34209	1.8754 	0.000120858	5.91643
22 	24    	3.3062 	1.90057	0.000108474	5.91475
23 	24    	3.30525	1.90067	0.000166903	5.91475
24 	24    	3.30457	1.90125	0.000107399	5.91524
25 	24    	3.30405	1.90091	5.87085e-05	5.91524
26 	24    	3.30396	1.90101	5.87085e-05	5.91374
27 	24    	3.30373	1.90087	4.45061e-05	5.91647
28 	24    	3.30351	1.9005 	4.45061e-05	5.91647
29 	24    	3.30197	1.89957	4.45061e-05	5.91647
30 	24    	3.3006 	1.89859	4.45061e-05	5.91647
31 	24    	3.29657	1.89651	0.000162527	5.91374
32 	24    	3.28922	1.89162	2.05138e-05	6.40997
33 	24    	3.26641	1.88686	2.05138e-05	6.40997
34 	24    	3.25027	1.89666	2.05138e-05	5.91667
35 	24    	3.23421	1.90571	2.05138e-05	5.91586
36 	24    	3.19852	1.92976	3.2242e-05 	5.91586
37 	24    	3.14978	1.96083	0.000120279	5.9191 
38 	24    	3.10129	1.99059	0.000109683	5.9191 
39 	24    	3.10025	1.98984	0.000109683	5.91508
40 	24    	3.09991	1.98937	7.54618e-05	5.91508
41 	24    	3.09965	1.98948	9.39486e-05	5.91463
42 	24    	3.09951	1.98999	9.39486e-05	5.91463
43 	24    	3.09927	1.98984	9.08021e-05	5.91463
