preds
WASF1
['ARHGEF6', 'NCKAP1', 'ABI2']
preds
APC
['GIT1', 'BAIAP2', 'DIAPH3']
preds
ABI2
['NCKAP1', 'BCAR1', 'GNG12']
preds
NCKAP1
['ABI2', 'BCAR1', 'WASF1']
preds
BAIAP2
['PTK2', 'CDC42', 'RHOA']
preds
GIT1
['RHOA', 'PTK2', 'CRK']
preds
CDC42
['RHOA', 'ENAH', 'CRK']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['WASF1', 'GNG12', 'GIT1']
preds
GNG12
['ABI2', 'ARHGEF6', 'GIT1']
preds
CRK
['RHOA', 'CDC42', 'PTK2']
preds
BCAR1
['NCKAP1', 'ABI2', 'WASF1']
preds
PTK2
['RHOA', 'CRK', 'GIT1']
preds
FN1
['CRK', 'BAIAP2', 'GIT1']
gen	nevals	avg    	std    	min      	max    
0  	24    	7.53123	5.27578	0.0274592	20.8918
1  	24    	6.37671	4.63108	0.0745213	20.8918
2  	24    	5.86824	4.24803	0.0703342	20.8918
3  	24    	5.54783	3.97844	0.0715538	20.8918
4  	24    	5.15179	3.68599	0.0232722	19.8791
5  	24    	4.88623	3.4208 	0.0232722	19.8791
6  	24    	4.59092	3.31156	0.0232722	18.884 
7  	24    	4.3964 	3.31542	0.0224306	18.884 
8  	24    	4.34064	3.31983	0.02531  	18.8609
9  	24    	4.2521 	3.04964	0.02531  	18.85  
10 	24    	4.12021	2.68688	0.0248775	18.8817
11 	24    	4.01158	2.52199	0.0220415	11.8176
12 	24    	3.9359 	2.39511	0.0220415	11.8176
13 	24    	3.89044	2.22282	0.0660418	11.8176
14 	24    	3.86149	2.3236 	0.0658933	11.8176
15 	24    	3.83916	2.26104	0.0658933	11.8176
16 	24    	3.81308	2.24932	0.0658933	11.8176
17 	24    	3.79541	2.27051	0.0686645	11.8176
18 	24    	3.75679	2.31048	0.0647488	11.8176
19 	24    	3.72896	2.28313	0.0647488	11.8176
20 	24    	3.72051	2.25405	0.0653378	7.412  
21 	24    	3.71252	2.24436	0.0629084	7.41154
22 	24    	3.70905	2.24274	0.0661306	7.41015
23 	24    	3.70545	2.2386 	0.0673721	7.41015
24 	24    	3.69135	2.21952	0.0676829	7.4088 
25 	24    	3.67362	2.18504	0.0696002	7.40405
26 	24    	3.64954	2.16946	0.0675549	7.29146
27 	24    	3.64728	2.17066	0.0675549	7.29146
28 	24    	3.64597	2.17028	0.070003 	7.29146
29 	24    	3.64539	2.16961	0.0669118	7.29146
