preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'PDK1', 'GAPDH']
preds
HIF1A
['NOS3', 'BCL2', 'FLT1']
gen	nevals	avg    	std    	min     	max    
0  	24    	7.99282	5.16326	0.131876	20.7127
1  	24    	6.57277	4.1207 	0.131876	20.7127
2  	24    	5.96033	3.48018	0.316656	19.9039
3  	24    	5.72268	3.29667	0.256588	19.9039
4  	24    	5.59794	2.89322	0.256588	18.2072
5  	24    	5.34481	2.42381	0.416689	18.1595
6  	24    	5.19238	2.30414	0.416689	10.7318
7  	24    	5.07658	2.22117	0.454931	9.37347
8  	24    	4.97369	2.41439	0.454931	9.37347
9  	24    	4.95232	2.45317	0.456403	9.37347
10 	24    	4.95171	2.4524 	0.452874	9.37347
11 	24    	4.95134	2.45145	0.457014	9.37347
12 	24    	4.95115	2.45175	0.457148	9.37347
13 	24    	4.95101	2.45193	0.457148	9.37347
14 	24    	4.95094	2.45208	0.457148	9.37347
15 	24    	4.94968	2.43971	0.456308	9.37347
16 	24    	4.94759	2.42588	0.456308	9.37347
17 	24    	4.94428	2.38888	0.456308	9.37347
18 	24    	4.93633	2.29872	0.456308	9.37347
19 	24    	4.92271	2.13606	0.452006	9.00613
20 	24    	4.92201	2.1359 	0.455685	9.00613
21 	24    	4.92009	2.1323 	0.456308	9.00613
22 	24    	4.91883	2.13064	0.457976	9.00613
23 	24    	4.91467	2.12279	0.456355	9.00519
24 	24    	4.90663	2.10716	0.452521	9.00519
25 	24    	4.90188	2.09918	0.456845	9.00606
26 	24    	4.90146	2.09813	0.456588	9.00547
27 	24    	4.90119	2.09825	0.456588	9.0034 
28 	24    	4.90109	2.09875	0.458771	9.00352
29 	24    	4.90108	2.09858	0.458771	9.00332
30 	24    	4.90104	2.09867	0.458771	9.00332
31 	24    	4.90093	2.09864	0.458771	9.00332
32 	24    	4.89931	2.11553	0.27037 	10.0811
33 	24    	4.89927	2.11516	0.27037 	10.0811
34 	24    	4.89781	2.13219	0.27037 	10.0811
35 	24    	4.89367	2.18233	0.27037 	10.0811
36 	24    	4.88677	2.26403	0.270234	10.0873
37 	24    	4.8745 	2.40346	0.269028	10.0873
