preds
ARNT
['EP300', 'PDK1', 'EIF4EBP1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.53529	5.20449	0.315185	23.2576
1  	24    	6.75236	4.18203	0.315185	20.7127
2  	24    	5.9857 	3.44383	0.265454	20.7127
3  	24    	5.41581	2.95101	0.265454	18.2072
4  	24    	5.02172	2.66702	0.469471	12.2792
5  	24    	4.88596	2.57544	0.469471	9.73782
6  	24    	4.83461	2.54182	0.469471	9.73782
7  	24    	4.80464	2.53273	0.469471	9.73782
8  	24    	4.73663	2.53837	0.469471	9.73782
9  	24    	4.72899	2.53917	0.480581	9.73782
10 	24    	4.71258	2.5347 	0.480442	9.73782
11 	24    	4.68861	2.52833	0.478357	9.73782
12 	24    	4.62507	2.51321	0.478357	9.73782
13 	24    	4.54553	2.47803	0.472157	9.73782
14 	24    	4.54357	2.47797	0.472157	9.73782
15 	24    	4.5429 	2.47813	0.472157	9.73782
16 	24    	4.54017	2.47847	0.472157	9.73782
17 	24    	4.53965	2.47877	0.472157	9.73782
18 	24    	4.53913	2.47883	0.472157	9.73782
19 	24    	4.53638	2.4791 	0.472157	9.73782
20 	24    	4.53384	2.47911	0.472157	9.73782
21 	24    	4.53137	2.47941	0.472157	9.73782
22 	24    	4.52479	2.47984	0.472157	9.73782
23 	24    	4.51387	2.4808 	0.472157	9.73782
24 	24    	4.48843	2.48323	0.478985	9.73782
25 	24    	4.48738	2.48359	0.478985	9.73782
26 	24    	4.48662	2.48359	0.478985	9.73782
27 	24    	4.48594	2.48364	0.478985	9.73782
28 	24    	4.48567	2.48356	0.478985	9.73782
29 	24    	4.48378	2.46948	0.478985	9.73782
30 	24    	4.48198	2.45544	0.478985	9.73782
31 	24    	4.46641	2.43395	0.478985	9.73782
32 	24    	4.4504 	2.41219	0.478985	9.73782
33 	24    	4.38593	2.30665	0.478925	9.73782
34 	24    	4.34256	2.18035	0.479834	9.73782
35 	24    	4.25193	2.20098	0.475179	9.73782
36 	24    	4.14072	2.25308	0.475179	9.73782
