preds
ARNT
['EP300', 'TFRC', 'PDK1']
preds
EP300
['ARNT', 'TFRC', 'EIF4E']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.67903	5.42769	0.549949	20.7127
1  	24    	6.7825 	4.17214	0.0266792	20.7127
2  	24    	6.00273	3.33365	0.150805 	18.1595
3  	24    	5.57152	2.85045	0.483154 	18.1595
4  	24    	5.35157	2.35116	0.483154 	15.436 
5  	24    	5.23191	2.35299	0.662225 	11.9448
6  	24    	5.12618	2.33247	0.662225 	11.9361
7  	24    	4.97616	2.24422	0.310864 	11.9361
8  	24    	4.89569	2.20217	0.310864 	11.0756
9  	24    	4.74671	2.2403 	0.662225 	11.0756
10 	24    	4.54615	2.05724	0.722334 	9.6624 
11 	24    	4.4881 	2.01873	0.721304 	9.15936
12 	24    	4.40621	1.99784	0.721667 	9.76171
13 	24    	4.26509	1.94676	0.721715 	9.81002
14 	24    	4.24859	1.96062	0.72187  	9.90302
15 	24    	4.21174	1.9851 	0.72118  	9.90302
16 	24    	4.16595	1.92609	0.72118  	9.90302
17 	24    	4.11961	1.88158	0.72118  	9.85286
18 	24    	4.11861	1.8813 	0.720657 	9.85286
19 	24    	4.11795	1.88098	0.720657 	9.85286
20 	24    	4.08967	1.90727	0.720657 	9.8589 
21 	24    	4.05878	1.94069	0.720657 	9.87966
22 	24    	3.98094	2.00708	0.721635 	9.88868
23 	24    	3.95114	2.00425	0.869855 	9.88868
24 	24    	3.92187	1.99421	0.869723 	9.89125
25 	24    	3.90858	1.98982	0.869855 	9.95777
26 	24    	3.89309	1.98277	0.869325 	9.95777
27 	24    	3.87349	1.97386	0.869325 	9.95777
28 	24    	3.87299	1.9753 	0.869855 	9.95777
29 	24    	3.87253	1.97598	0.869855 	9.95777
30 	24    	3.87239	1.97633	0.873569 	9.95777
31 	24    	3.87231	1.97749	0.873569 	9.95777
32 	24    	3.87222	1.97719	0.873569 	9.95777
33 	24    	3.87217	1.97738	0.874975 	9.95777
34 	24    	3.87209	1.97763	0.874975 	9.95777
35 	24    	3.87204	1.97833	0.875607 	9.95777
36 	24    	3.87199	1.97891	0.875607 	9.95777
37 	24    	3.87166	1.9806 	0.875607 	9.95777
38 	24    	3.87133	1.98181	0.875607 	9.95777
39 	24    	3.87095	1.98314	0.875607 	9.95777
40 	24    	3.8701 	1.98648	0.875607 	9.95777
41 	24    	3.86863	1.993  	0.875607 	9.95777
42 	24    	3.86639	2.00348	0.878338 	9.95777
43 	24    	3.86436	2.01283	0.913889 	9.91495
44 	24    	3.86393	2.015  	0.916234 	9.91495
45 	24    	3.86384	2.01473	0.917091 	9.91495
46 	24    	3.86381	2.0148 	0.917091 	9.91495
47 	24    	3.86377	2.01438	0.917091 	9.91495
48 	24    	3.86368	2.01489	0.914623 	9.91495
49 	24    	3.86362	2.01525	0.91906  	9.91495
50 	24    	3.8635 	2.01536	0.91906  	9.91495
51 	24    	3.86307	2.01542	0.91906  	9.91495
52 	24    	3.86272	2.01488	0.915719 	9.91495
53 	24    	3.86197	2.01513	0.915719 	9.91495
54 	24    	3.86168	2.01462	0.915719 	9.91495
55 	24    	3.86032	2.01371	0.915719 	9.91495
56 	24    	3.85834	2.01123	0.912186 	9.91834
57 	24    	3.85556	2.00777	0.912186 	9.91834
58 	24    	3.85523	2.00804	0.912186 	9.91834
59 	24    	3.85518	2.00759	0.912186 	9.91834
60 	24    	3.85503	2.00732	0.912186 	9.90436
61 	24    	3.85486	2.00894	0.914709 	9.90436
62 	24    	3.85479	2.0091 	0.914709 	9.90436
63 	24    	3.85476	2.00878	0.914709 	9.88477
64 	24    	3.85471	2.00873	0.914709 	9.88477
65 	24    	3.85143	2.00918	0.914709 	9.88477
66 	24    	3.84816	2.00955	0.913555 	9.88477
67 	24    	3.84489	2.01003	0.913555 	9.88477
68 	24    	3.83853	2.01031	0.913555 	9.88477
69 	24    	3.82882	2.01177	0.913555 	9.89961
70 	24    	3.81599	2.01276	0.913555 	9.90561
71 	24    	3.78726	2.01463	0.915656 	9.90561
72 	24    	3.77736	2.01551	0.915656 	9.90561
73 	24    	3.77707	2.01592	0.917763 	9.90561
74 	24    	3.77687	2.01666	0.917763 	9.92368
75 	24    	3.77665	2.01661	0.916154 	9.92368
76 	24    	3.77662	2.01743	0.916154 	9.92368
77 	24    	3.77654	2.0173 	0.916154 	9.92368
78 	24    	3.7711 	2.01801	0.916154 	9.92368
79 	24    	3.7656 	2.01848	0.916154 	9.92368
80 	24    	3.76014	2.01894	0.916154 	9.93373
81 	24    	3.75477	2.01904	0.916154 	9.93373
82 	24    	3.73861	2.01894	0.912221 	9.93373
83 	24    	3.72235	2.01849	0.912221 	9.93373
84 	24    	3.69   	2.01803	0.912221 	9.93373
85 	24    	3.64724	2.0145 	0.912221 	9.90997
86 	24    	3.64647	2.01706	0.915655 	9.91138
87 	24    	3.6462 	2.01785	0.915793 	9.91138
88 	24    	3.64592	2.01921	0.915096 	9.91138
89 	24    	3.6457 	2.02028	0.915096 	9.91483
90 	24    	3.64562	2.02048	0.915096 	9.91483
91 	24    	3.6456 	2.02082	0.915096 	9.91483
92 	24    	3.64553	2.0213 	0.918854 	9.91483
93 	24    	3.64549	2.02151	0.918854 	9.92457
94 	24    	3.64545	2.02156	0.918854 	9.92457
95 	24    	3.64539	2.02155	0.918854 	9.92457
96 	24    	3.64524	2.02217	0.918854 	9.93043
97 	24    	3.64523	2.02211	0.918854 	9.93043
98 	24    	3.64516	2.02253	0.918854 	9.93043
99 	24    	3.6451 	2.02237	0.916195 	9.93043
100	24    	3.64411	2.02124	0.916195 	9.93043
101	24    	3.64409	2.02117	0.916195 	9.93043
102	24    	3.64397	2.02188	0.916195 	9.93043
103	24    	3.64082	2.02056	0.916195 	9.93043
104	24    	3.63843	2.01391	0.916195 	9.93043
105	24    	3.63565	2.01192	0.915904 	9.93043
106	24    	3.62802	2.00572	0.915904 	9.93043
107	24    	3.6215 	2.00611	0.916306 	9.88852
108	24    	3.62118	2.00653	0.916306 	9.88852
109	24    	3.6208 	2.00792	0.917567 	9.91562
110	24    	3.62034	2.00827	0.917839 	9.91562
111	24    	3.62033	2.00797	0.917839 	9.91562
112	24    	3.62016	2.00818	0.918045 	9.91562
113	24    	3.62009	2.00865	0.918045 	9.91562
114	24    	3.61998	2.00898	0.918045 	9.91562
115	24    	3.61993	2.00927	0.918045 	9.91562
116	24    	3.61984	2.00924	0.918045 	9.91562
117	24    	3.61977	2.00958	0.918045 	9.91562
118	24    	3.61977	2.00958	0.918045 	9.91562
