preds
ARNT
['EP300', 'IFNG', 'TFRC']
preds
EP300
['ARNT', 'TFRC', 'PDK1']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	7.07169	4.67484	0.124802	20.7127
1  	24    	5.89055	3.48092	0.124802	20.565 
2  	24    	5.24712	2.69795	0.126827	19.9039
3  	24    	5.03453	2.50171	0.126827	19.9039
4  	24    	4.85502	2.27264	0.126827	13.299 
5  	24    	4.65052	2.1931 	0.142349	11.5877
6  	24    	4.43264	2.17909	0.339532	10.6891
7  	24    	4.23964	2.02029	0.338529	10.2037
8  	24    	4.13087	1.96137	0.335503	7.68658
9  	24    	4.05275	2.01903	0.332827	7.68658
10 	24    	4.00321	1.9865 	0.332827	7.68658
11 	24    	3.91475	1.92459	0.334864	7.68658
12 	24    	3.90282	1.92347	0.334864	7.68658
13 	24    	3.90172	1.92381	0.334864	7.68658
14 	24    	3.90135	1.924  	0.334864	7.68658
15 	24    	3.90119	1.92402	0.334864	7.68658
16 	24    	3.90111	1.92402	0.334784	7.68658
17 	24    	3.90093	1.9242 	0.333014	7.68658
18 	24    	3.90083	1.92424	0.333014	7.68658
19 	24    	3.90067	1.92427	0.333014	7.68658
20 	24    	3.89756	1.92577	0.333014	7.68658
21 	24    	3.89756	1.92579	0.333014	7.68658
22 	24    	3.89749	1.92572	0.333805	7.68658
23 	24    	3.89142	1.92872	0.333805	7.68658
24 	24    	3.87617	1.93642	0.333805	7.68658
25 	24    	3.86701	1.94097	0.334207	7.68658
26 	24    	3.83111	1.95808	0.333154	7.68658
27 	24    	3.82681	1.96046	0.333154	7.68658
28 	24    	3.82653	1.96041	0.333154	7.68658
29 	24    	3.82625	1.96076	0.333154	7.68658
30 	24    	3.82584	1.96089	0.332432	7.68658
31 	24    	3.82537	1.96095	0.332432	7.68658
32 	24    	3.82525	1.96105	0.332432	7.68658
33 	24    	3.82519	1.96107	0.332432	7.68658
34 	24    	3.82515	1.96103	0.332432	7.68658
35 	24    	3.82491	1.96106	0.331292	7.68658
36 	24    	3.82487	1.96107	0.331292	7.68658
37 	24    	3.82479	1.96106	0.331292	7.68658
38 	24    	3.82478	1.96103	0.331292	7.68658
39 	24    	3.82474	1.96098	0.331292	7.68658
40 	24    	3.82463	1.96099	0.331292	7.68658
41 	24    	3.82461	1.96103	0.331292	7.68658
42 	24    	3.82456	1.96118	0.331292	7.68658
43 	24    	3.82451	1.96116	0.331292	7.68658
44 	24    	3.8245 	1.96116	0.331292	7.68658
45 	24    	3.82448	1.96123	0.331292	7.68658
46 	24    	3.82446	1.9612 	0.331292	7.68658
47 	24    	3.82441	1.96124	0.331292	7.68658
48 	24    	3.82441	1.96124	0.331292	7.68658
49 	24    	3.82441	1.96124	0.331292	7.68658
50 	24    	3.82438	1.96124	0.331292	7.68658
51 	24    	3.82434	1.96127	0.331292	7.68658
52 	24    	3.82429	1.96123	0.331292	7.68658
53 	24    	3.82427	1.96118	0.332189	7.68658
54 	24    	3.82427	1.96118	0.332189	7.68658
55 	24    	3.82422	1.96116	0.332189	7.68658
56 	24    	3.82419	1.96117	0.332189	7.68658
57 	24    	3.82418	1.96113	0.332189	7.68658
58 	24    	3.82418	1.96109	0.332189	7.68658
59 	24    	3.82418	1.96109	0.332189	7.68658
60 	24    	3.82417	1.96106	0.332189	7.68658
61 	24    	3.82417	1.96106	0.332189	7.68658
62 	24    	3.82417	1.96106	0.332189	7.68658
63 	24    	3.82415	1.96106	0.332189	7.68658
64 	24    	3.82415	1.96106	0.332189	7.68658
65 	24    	3.82415	1.96106	0.332189	7.68658
