preds
ARNT
['EP300', 'TF', 'EIF4E']
preds
EP300
['ARNT', 'TFRC', 'PDK1']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min     	max    
0  	24    	9.64974	5.73968	0.356243	20.7127
1  	24    	7.18282	4.44737	0.353045	19.9039
2  	24    	6.17701	3.33374	0.412251	18.2072
3  	24    	5.84814	2.81833	0.703963	18.2072
4  	24    	5.53003	2.67051	0.596441	18.2072
5  	24    	5.32577	2.45703	0.596441	18.2072
6  	24    	5.18269	2.26585	0.613979	15.3438
7  	24    	5.12924	2.11024	0.613979	15.7683
8  	24    	5.08622	2.01724	0.613979	15.7683
9  	24    	5.02782	2.1313 	0.613505	15.7683
10 	24    	4.95128	2.22551	0.613505	15.7683
11 	24    	4.86256	2.18677	0.61519 	13.7307
12 	24    	4.76039	2.10956	0.930388	11.6981
13 	24    	4.69302	2.09588	0.930388	11.2918
14 	24    	4.66864	2.10222	0.897623	11.2047
15 	24    	4.64375	2.09613	0.89457 	11.2047
16 	24    	4.64071	2.09332	0.951275	11.1945
17 	24    	4.64032	2.09315	0.951275	11.1945
18 	24    	4.63992	2.10257	1.05755 	11.1958
19 	24    	4.63975	2.10251	1.05755 	11.1945
20 	24    	4.6396 	2.10242	1.05781 	11.19  
21 	24    	4.63955	2.10253	1.05781 	11.19  
22 	24    	4.63939	2.1026 	1.05781 	11.187 
23 	24    	4.63936	2.10249	1.05781 	11.187 
24 	24    	4.63927	2.10256	1.05781 	11.187 
25 	24    	4.63923	2.10252	1.05781 	11.187 
26 	24    	4.62365	2.08152	1.05781 	11.187 
27 	24    	4.60814	2.06019	1.05781 	11.187 
28 	24    	4.56139	1.99435	1.05763 	11.1817
29 	24    	4.51476	1.92508	1.05763 	11.1807
30 	24    	4.40589	1.74816	1.05698 	11.1807
31 	24    	4.26603	1.47862	1.05632 	5.90107
32 	24    	4.26558	1.47879	1.05671 	5.90107
33 	24    	4.26539	1.47856	1.05671 	5.90065
34 	24    	4.26504	1.47847	1.05671 	5.90066
35 	24    	4.26495	1.47848	1.05671 	5.90066
