preds
ARNT
['EP300', 'TF', 'EIF4E']
preds
EP300
['ARNT', 'TF', 'PDK1']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min     	max   
0  	24    	8.86092	5.20675	0.276596	20.565
1  	24    	7.0606 	4.41249	0.276596	20.4896
2  	24    	6.26461	3.91573	0.276596	19.9039
3  	24    	5.95323	3.57264	0.276596	19.9039
4  	24    	5.67205	3.10367	0.276596	20.7127
5  	24    	5.44371	2.80201	0.525838	20.7127
6  	24    	5.20836	2.43699	0.558692	15.69  
7  	24    	5.0085 	2.32913	0.322787	16.0651
8  	24    	4.88109	2.43256	0.322787	16.0652
9  	24    	4.80281	2.5708 	0.322787	16.0838
10 	24    	4.72972	2.8145 	0.322787	16.1386
11 	24    	4.66584	2.71593	0.662225	16.0387
12 	24    	4.57872	2.55868	0.662225	10.6609
13 	24    	4.47391	2.40199	0.662225	10.6237
14 	24    	4.24915	2.08856	0.662225	9.90402
15 	24    	4.18444	2.00045	0.662225	7.08291
16 	24    	4.17172	1.94167	0.662225	7.08291
17 	24    	4.15322	1.89376	0.5102  	7.08181
18 	24    	4.13655	1.89022	0.5102  	7.08114
19 	24    	4.09587	1.88021	0.5102  	7.08154
20 	24    	4.02302	1.86057	0.5102  	7.08154
21 	24    	3.96604	1.84332	0.489615	7.08308
22 	24    	3.96577	1.84305	0.489615	7.08308
23 	24    	3.96504	1.84385	0.485139	7.08127
24 	24    	3.96458	1.84445	0.485139	7.08127
25 	24    	3.96386	1.84532	0.484023	7.08127
26 	24    	3.9625 	1.84671	0.484023	7.08127
27 	24    	3.95834	1.8465 	0.484023	7.08127
28 	24    	3.95781	1.84622	0.484023	7.08109
29 	24    	3.95466	1.84505	0.484023	7.08168
30 	24    	3.94842	1.84229	0.484023	7.08168
31 	24    	3.93328	1.83647	0.484023	7.08322
32 	24    	3.9183 	1.83024	0.484023	7.08322
33 	24    	3.88823	1.81724	0.897716	7.08025
34 	24    	3.88773	1.81735	0.897716	7.07858
35 	24    	3.8876 	1.81684	0.897716	7.07858
36 	24    	3.88747	1.81721	0.897716	7.07858
37 	24    	3.88726	1.81699	0.897716	7.07858
38 	24    	3.88724	1.81664	0.897716	7.07858
39 	24    	3.8871 	1.81673	0.897716	7.07858
40 	24    	3.88709	1.81677	0.897716	7.07858
41 	24    	3.88697	1.81673	0.897716	7.07858
42 	24    	3.88692	1.8169 	0.896713	7.07858
43 	24    	3.88691	1.81687	0.896713	7.07858
44 	24    	3.88691	1.81687	0.896713	7.07858
45 	24    	3.88594	1.81719	0.901544	7.07858
46 	24    	3.8841 	1.81781	0.898918	7.07858
47 	24    	3.88139	1.81918	0.904074	7.08092
48 	24    	3.87687	1.82081	0.901797	7.08092
49 	24    	3.87163	1.82283	0.901797	7.08092
50 	24    	3.86518	1.8244 	0.901797	7.08092
51 	24    	3.86493	1.82439	0.904064	7.08092
52 	24    	3.86475	1.82439	0.908913	7.08092
53 	24    	3.86471	1.82423	0.892031	7.08092
54 	24    	3.86454	1.82389	0.894595	7.08196
55 	24    	3.86241	1.82547	0.894595	7.08196
56 	24    	3.86215	1.82528	0.894595	7.08196
57 	24    	3.85857	1.82721	0.894595	7.08196
58 	24    	3.85681	1.82837	0.894595	7.08196
59 	24    	3.85161	1.83163	0.901633	7.08196
60 	24    	3.83795	1.84055	0.900711	7.08196
61 	24    	3.8227 	1.85078	0.900711	7.08395
62 	24    	3.82229	1.85058	0.896518	7.08395
63 	24    	3.82178	1.84998	0.889069	7.08395
64 	24    	3.82144	1.84943	0.894675	7.07925
65 	24    	3.82118	1.84915	0.894675	7.07663
66 	24    	3.82085	1.84853	0.894675	7.07421
67 	24    	3.8206 	1.84846	0.894675	7.07421
68 	24    	3.8204 	1.8485 	0.894675	7.0807 
69 	24    	3.82028	1.84866	0.894675	7.0807 
70 	24    	3.82014	1.84863	0.894675	7.08503
71 	24    	3.81994	1.84864	0.894675	7.08503
72 	24    	3.81989	1.8485 	0.894675	7.08503
73 	24    	3.81982	1.84825	0.894675	7.08503
74 	24    	3.81974	1.84817	0.894675	7.08503
75 	24    	3.81952	1.84768	0.894675	7.08503
76 	24    	3.8195 	1.84802	0.894675	7.08503
77 	24    	3.8195 	1.84802	0.894675	7.08503
78 	24    	3.81943	1.848  	0.894675	7.08503
79 	24    	3.81943	1.848  	0.894675	7.08503
80 	24    	3.81943	1.848  	0.894675	7.08503
81 	24    	3.81935	1.84776	0.894675	7.08503
82 	24    	3.81927	1.84776	0.896676	7.07853
83 	24    	3.81927	1.84776	0.896676	7.07853
84 	24    	3.81927	1.84776	0.896676	7.07853
85 	24    	3.81921	1.8477 	0.896676	7.07853
86 	24    	3.81921	1.8477 	0.896676	7.07853
87 	24    	3.81921	1.84764	0.896676	7.07853
88 	24    	3.81921	1.84762	0.896676	7.07853
89 	24    	3.81921	1.84762	0.896676	7.07853
90 	24    	3.81918	1.84762	0.896676	7.07853
