preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std   	min     	max    
0  	24    	8.91533	5.2132	0.331353	20.7127
1  	24    	7.59668	4.52912	0.324054	20.7127
2  	24    	6.91298	3.98177	0.305404	20.7127
3  	24    	6.6703 	4.15871	0.305404	20.7127
4  	24    	6.3972 	3.76062	0.328783	20.7127
5  	24    	6.20459	3.68283	0.328783	20.7127
6  	24    	5.99074	3.73749	0.328783	20.7127
7  	24    	5.73683	3.34072	0.528568	20.7127
8  	24    	5.58867	3.26376	0.528568	14.3735
9  	24    	5.45108	3.20248	0.515607	14.7766
10 	24    	5.36013	3.16911	0.565783	14.7766
11 	24    	5.27873	3.03697	0.565783	13.7375
12 	24    	5.22943	3.17877	0.565632	13.7465
13 	24    	5.18105	3.15112	0.638744	13.7465
14 	24    	5.13089	3.10402	0.640764	13.7505
15 	24    	5.08089	3.06668	0.640764	13.736 
16 	24    	5.03742	3.0308 	0.640764	13.7588
17 	24    	4.95611	2.89503	0.640764	13.3063
18 	24    	4.85491	2.73097	0.643333	13.3089
19 	24    	4.74223	2.54341	0.662225	10.2973
20 	24    	4.7304 	2.54334	0.662225	10.2966
21 	24    	4.70626	2.54817	0.662225	10.2979
22 	24    	4.6894 	2.54934	0.662225	10.2955
23 	24    	4.68789	2.54705	0.662225	10.2935
24 	24    	4.68724	2.54612	0.662225	10.2935
25 	24    	4.6865 	2.54528	0.662225	10.2935
26 	24    	4.68621	2.54475	0.662225	10.2867
27 	24    	4.68563	2.54472	0.662225	10.2867
28 	24    	4.68542	2.54439	0.662225	10.2867
29 	24    	4.68536	2.54419	0.662225	10.2867
30 	24    	4.68514	2.54387	0.662225	10.2867
31 	24    	4.68502	2.54357	0.662225	10.263 
32 	24    	4.68492	2.54309	0.662225	10.263 
33 	24    	4.68489	2.54315	0.662225	10.263 
34 	24    	4.68482	2.54295	0.662225	10.2601
35 	24    	4.68482	2.54295	0.662225	10.2601
36 	24    	4.68471	2.5428 	0.662225	10.2601
37 	24    	4.68471	2.5428 	0.662225	10.2601
38 	24    	4.6847 	2.5427 	0.662225	10.2583
39 	24    	4.6847 	2.5427 	0.662225	10.2583
40 	24    	4.68465	2.5426 	0.662225	10.2638
41 	24    	4.68436	2.54226	0.662225	10.2638
42 	24    	4.68424	2.54216	0.662225	10.2638
43 	24    	4.68424	2.54216	0.662225	10.2638
44 	24    	4.68416	2.54214	0.662225	10.2638
45 	24    	4.68415	2.54208	0.662225	10.2638
46 	24    	4.68399	2.54187	0.662225	10.2609
47 	24    	4.68399	2.54187	0.662225	10.2609
48 	24    	4.68397	2.54171	0.662225	10.2609
49 	24    	4.68382	2.54176	0.662225	10.2609
50 	24    	4.68375	2.54172	0.662225	10.2609
51 	24    	4.68371	2.54168	0.662225	10.2609
52 	24    	4.68371	2.54169	0.662225	10.2609
53 	24    	4.68359	2.54206	0.662225	10.2609
54 	24    	4.67977	2.54685	0.662225	10.2614
55 	24    	4.67599	2.55145	0.662225	10.2614
56 	24    	4.672  	2.55583	0.662225	10.2631
57 	24    	4.6483 	2.56309	0.662225	10.2631
58 	24    	4.61249	2.58552	0.662225	10.2631
59 	24    	4.55593	2.63301	0.680758	10.2652
60 	24    	4.48862	2.60028	0.677832	10.2962
61 	24    	4.44567	2.58502	0.677832	10.2962
62 	24    	4.44412	2.58408	0.678557	10.2962
63 	24    	4.44294	2.57003	0.673411	10.3086
64 	24    	4.43971	2.54667	0.677263	10.3425
65 	24    	4.43594	2.50929	0.677263	10.3425
66 	24    	4.42237	2.40764	0.678969	10.4053
67 	24    	4.40892	2.31757	0.677939	10.3958
68 	24    	4.3875 	2.36906	0.663404	10.3479
69 	24    	4.37059	2.42657	0.679707	10.263 
70 	24    	4.35607	2.46263	0.678494	10.263 
71 	24    	4.32606	2.53393	0.678494	10.3181
72 	24    	4.27624	2.62235	0.678494	10.3181
73 	24    	4.25909	2.55083	0.678494	10.3566
74 	24    	4.23739	2.49092	0.680062	9.99995
75 	24    	4.23621	2.49041	0.678568	10.0127
76 	24    	4.23561	2.4896 	0.678568	10.0127
77 	24    	4.23508	2.48907	0.678528	10.0127
78 	24    	4.23477	2.48854	0.678568	10.0127
79 	24    	4.23426	2.48829	0.678196	10.0127
80 	24    	4.23413	2.48822	0.675944	9.99995
81 	24    	4.23386	2.48775	0.675944	9.99995
82 	24    	4.23386	2.48775	0.675944	9.99995
83 	24    	4.23368	2.48773	0.675944	9.99995
84 	24    	4.23366	2.48787	0.675944	9.99995
85 	24    	4.23353	2.48784	0.675944	9.99995
86 	24    	4.23337	2.48779	0.675944	9.99995
87 	24    	4.2333 	2.48771	0.675944	9.99995
88 	24    	4.23321	2.48765	0.675944	9.99995
89 	24    	4.2332 	2.48775	0.675944	9.99995
90 	24    	4.23312	2.48772	0.675944	10.0033
91 	24    	4.23305	2.48771	0.675944	10.0033
92 	24    	4.23305	2.48771	0.675944	10.0033
93 	24    	4.23287	2.48744	0.678196	10.0033
94 	24    	4.23274	2.48738	0.678196	10.0033
95 	24    	4.23265	2.48752	0.678196	10.0033
96 	24    	4.23265	2.48752	0.678196	10.0033
97 	24    	4.23262	2.48737	0.678196	10.0033
98 	24    	4.23253	2.4872 	0.678196	10.0033
99 	24    	4.23253	2.4872 	0.678196	10.0033
100	24    	4.22536	2.47186	0.298402	10.0033
101	24    	4.22536	2.47186	0.298402	10.0033
102	24    	4.21082	2.44127	0.281027	10.0033
103	24    	4.1923 	2.39802	0.281027	9.99119
104	24    	4.15581	2.31122	0.279295	9.99119
105	24    	4.11874	2.22142	0.279295	9.99119
106	24    	4.06784	2.1034 	0.279295	9.73063
107	24    	4.05583	2.08531	0.279295	7.07384
108	24    	4.05259	2.08917	0.276332	7.07384
109	24    	4.04588	2.09827	0.276332	7.08488
110	24    	4.04042	2.09587	0.276332	7.09731
111	24    	4.03327	2.09192	0.276332	7.09731
112	24    	4.02534	2.08691	0.299637	7.09731
113	24    	4.02465	2.08708	0.299624	7.09731
114	24    	4.024  	2.08713	0.299624	7.09731
115	24    	4.02383	2.08733	0.299624	7.09731
116	24    	4.02375	2.08738	0.299624	7.09731
117	24    	4.0236 	2.08744	0.297422	7.09731
118	24    	4.0236 	2.08744	0.297422	7.09731
119	24    	4.02351	2.08746	0.297422	7.09731
120	24    	4.02334	2.08712	0.297422	7.09731
--- 6083.859870433807 seconds ---
ran GA
