preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'EIF4E', 'GAPDH']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min    	max    
0  	24    	8.22739	5.06695	0.18552	20.7127
1  	24    	7.24567	4.75744	0.299809	20.7127
2  	24    	6.81975	4.45611	0.299809	20.7127
3  	24    	6.47049	4.32841	0.204817	18.793 
4  	24    	6.08956	4.06799	0.19789 	18.8849
5  	24    	5.80697	3.64592	0.280092	18.1595
6  	24    	5.52422	2.99514	0.280092	18.1595
7  	24    	5.26839	2.2934 	0.329597	11.6462
8  	24    	5.11689	2.01983	0.329597	11.6462
9  	24    	5.03032	1.94368	0.329597	10.0701
10 	24    	5.00032	1.93101	0.329597	10.0701
11 	24    	4.99356	2.00569	0.329843	10.0726
12 	24    	4.97433	2.0327 	0.329219	10.0726
13 	24    	4.93525	1.88146	0.33043 	10.0726
14 	24    	4.92235	1.88691	0.330319	10.0667
15 	24    	4.91258	1.92803	0.330319	10.0667
16 	24    	4.88692	2.01988	0.330594	10.0734
17 	24    	4.85567	1.95442	0.330038	8.09508
18 	24    	4.80946	1.93929	0.330038	8.10857
19 	24    	4.7661 	1.92088	0.516911	7.08258
20 	24    	4.7649 	1.92077	0.516911	7.0761 
21 	24    	4.76097	1.92216	0.516911	7.06587
22 	24    	4.7536 	1.92488	0.516911	7.07014
23 	24    	4.73893	1.9303 	0.515235	7.07169
24 	24    	4.71002	1.94132	0.514681	7.08492
25 	24    	4.68024	1.95144	0.514681	7.07381
26 	24    	4.67947	1.95125	0.514681	7.06587
27 	24    	4.67907	1.95152	0.514681	7.06535
28 	24    	4.67892	1.9515 	0.512294	7.06535
29 	24    	4.6787 	1.95145	0.514681	7.06535
30 	24    	4.67864	1.95166	0.514681	7.06535
31 	24    	4.67852	1.95193	0.514681	7.06535
32 	24    	4.67846	1.95197	0.514681	7.06068
33 	24    	4.6784 	1.95209	0.514681	7.06068
34 	24    	4.67834	1.95192	0.514681	7.06781
35 	24    	4.6783 	1.95172	0.514681	7.06781
36 	24    	4.67822	1.95192	0.514681	7.06781
37 	24    	4.67798	1.95128	0.514681	7.06781
38 	24    	4.67798	1.95128	0.514681	7.06781
39 	24    	4.67787	1.95084	0.514681	7.06933
40 	24    	4.67318	1.95252	0.514681	7.0626 
41 	24    	4.6731 	1.95241	0.514681	7.0626 
42 	24    	4.66847	1.95385	0.514681	7.06411
43 	24    	4.6639 	1.95518	0.512473	7.0724 
44 	24    	4.65328	1.95863	0.512473	7.0724 
45 	24    	4.63527	1.96553	0.512473	7.0724 
46 	24    	4.61588	1.97223	0.512473	7.0724 
47 	24    	4.57371	1.98668	0.512473	7.07895
48 	24    	4.55637	1.98539	0.516738	7.06661
49 	24    	4.54159	1.97655	0.516738	7.07171
50 	24    	4.52847	1.9617 	0.517251	7.07023
51 	24    	4.51693	1.93843	0.517251	7.07001
52 	24    	4.50141	1.90457	0.517251	7.07522
53 	24    	4.49155	1.90253	0.516755	7.07391
54 	24    	4.49091	1.9021 	0.516755	7.06805
55 	24    	4.49014	1.90191	0.51394 	7.06924
56 	24    	4.4888 	1.90155	0.51394 	7.06924
57 	24    	4.48472	1.91391	0.51394 	8.61293
58 	24    	4.48137	1.91335	0.51394 	8.61293
59 	24    	4.47367	1.91177	0.515314	8.61293
60 	24    	4.46533	1.91071	0.515314	8.61293
61 	24    	4.45419	1.90858	0.515314	8.61293
62 	24    	4.43834	1.93134	0.513597	8.61293
63 	24    	4.42801	1.94259	0.516961	8.61293
64 	24    	4.41636	2.0091 	0.515952	8.63531
65 	24    	4.40569	2.04737	0.515952	8.63531
66 	24    	4.39732	2.10945	0.515952	8.63531
67 	24    	4.35311	2.19099	0.519351	8.63531
68 	24    	4.29936	2.22256	0.926467	8.66417
69 	24    	4.25046	2.23709	0.926467	8.63531
70 	24    	4.24134	2.22667	0.990859	8.61004
71 	24    	4.23827	2.21224	0.977435	8.60827
72 	24    	4.22815	2.19749	0.963283	8.62422
73 	24    	4.22785	2.19567	0.963283	8.62422
74 	24    	4.20173	2.15611	0.962223	8.62422
75 	24    	4.1362 	2.05245	0.962223	8.55964
76 	24    	4.09007	2.01338	0.947435	8.04615
77 	24    	4.05911	2.008  	0.974504	8.04615
78 	24    	4.05518	2.00334	0.956414	8.04615
79 	24    	4.04936	2.00187	0.956414	8.01367
80 	24    	4.04436	2.00494	0.954546	8.06034
81 	24    	4.03816	2.00684	0.952527	8.06034
82 	24    	4.03133	2.01106	0.952527	8.06034
83 	24    	4.01088	2.01731	0.952527	8.07988
84 	24    	4.00226	2.01303	0.957232	8.01983
85 	24    	3.9983 	2.00931	0.950495	8.01983
86 	24    	3.99521	2.00999	0.950495	8.05135
87 	24    	3.99237	2.00781	0.950495	8.04651
88 	24    	3.9912 	2.0057 	0.950495	8.01826
89 	24    	3.99043	2.00617	0.950495	8.01826
90 	24    	3.98982	2.00576	0.950495	8.01826
91 	24    	3.98954	2.00586	0.949748	8.01826
92 	24    	3.98948	2.00613	0.949748	8.01826
93 	24    	3.98932	2.0063 	0.949748	8.01826
94 	24    	3.989  	2.00568	0.943808	7.98333
95 	24    	3.98885	2.0054 	0.943808	7.98333
96 	24    	3.98834	2.00538	0.943808	7.98333
97 	24    	3.98809	2.0053 	0.943808	7.98333
98 	24    	3.98797	2.00469	0.943808	7.98333
99 	24    	3.98732	2.00441	0.943808	7.99659
100	24    	3.98617	2.00555	0.943808	7.99659
101	24    	3.9849 	2.00704	0.949748	8.00404
102	24    	3.98392	2.00981	0.773169	8.0109 
103	24    	3.98318	2.01035	0.773169	8.02444
104	24    	3.98222	2.01355	0.754842	8.02444
105	24    	3.98085	2.01555	0.754842	8.0399 
106	24    	3.97485	2.0241 	0.226048	8.0399 
107	24    	3.97476	2.0253 	0.226048	8.04227
108	24    	3.96809	2.03117	0.223341	8.01719
109	24    	3.96182	2.03817	0.223341	8.01719
110	24    	3.95035	2.05208	0.223341	8.02466
111	24    	3.92745	2.08076	0.223341	8.02466
112	24    	3.89611	2.11327	0.218661	8.05044
113	24    	3.86698	2.15143	0.218661	8.05044
114	24    	3.84744	2.16918	0.221187	8.03254
115	24    	3.84578	2.16807	0.218174	8.02785
116	24    	3.84421	2.16385	0.218375	8.0198 
117	24    	3.84297	2.16188	0.220979	8.0198 
118	24    	3.84055	2.162  	0.220979	8.0198 
119	24    	3.8375 	2.16238	0.222479	8.0198 
120	24    	3.83395	2.16325	0.222403	8.03872
--- 5814.6718871593475 seconds ---
ran GA
