preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'IFNG', 'EIF4E']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.24785	5.24993	0.338374	20.7127
1  	24    	6.25551	3.63767	0.338374	20.7127
2  	24    	5.60952	3.04853	0.333245	20.7127
3  	24    	5.30493	2.47654	0.210097	12.871 
4  	24    	5.09657	2.33637	0.210097	12.871 
5  	24    	4.88705	2.12938	0.210097	15.0483
6  	24    	4.77206	2.06902	0.210097	15.0483
7  	24    	4.64403	2.07347	0.694489	13.2987
8  	24    	4.56232	2.12031	0.694489	11.1944
9  	24    	4.5147 	2.14205	0.694489	9.86594
10 	24    	4.49504	2.13742	0.702534	9.84548
11 	24    	4.44761	2.10324	0.694827	9.86577
12 	24    	4.3564 	2.03853	0.694827	9.86577
13 	24    	4.24742	1.84613	0.694304	9.83139
14 	24    	4.16184	1.79977	0.69118 	7.69247
15 	24    	4.14599	1.78595	0.694304	7.69247
16 	24    	4.13314	1.78221	0.694304	7.69247
17 	24    	4.12675	1.79869	0.703837	7.6887 
18 	24    	4.11062	1.82306	0.688277	7.68754
19 	24    	4.08907	1.878  	0.688277	7.68389
20 	24    	4.04816	1.95754	0.703837	7.4629 
21 	24    	4.02505	1.89052	0.704973	7.4629 
22 	24    	3.99792	1.79941	0.706107	7.4629 
23 	24    	3.99323	1.80556	0.702115	7.4629 
24 	24    	3.97981	1.81785	0.699089	7.46505
25 	24    	3.96378	1.83634	0.699089	7.45935
26 	24    	3.93016	1.83126	0.703369	7.45791
27 	24    	3.92831	1.83217	0.701996	7.45776
28 	24    	3.92801	1.83229	0.701996	7.46079
29 	24    	3.92482	1.82473	0.696642	7.45776
30 	24    	3.91738	1.80521	0.696642	7.45776
31 	24    	3.91152	1.78952	0.696642	7.45776
32 	24    	3.89476	1.7413 	0.696642	7.44558
33 	24    	3.89194	1.73772	0.696252	6.62226
34 	24    	3.89144	1.73809	0.696252	6.62226
35 	24    	3.89078	1.73868	0.696252	6.62226
36 	24    	3.89008	1.73916	0.703301	6.62226
37 	24    	3.88963	1.73938	0.703301	6.62226
38 	24    	3.8894 	1.73967	0.703301	6.62226
39 	24    	3.88929	1.73957	0.703301	6.62226
40 	24    	3.88894	1.73963	0.703301	6.62226
41 	24    	3.88887	1.73957	0.703301	6.62226
42 	24    	3.88879	1.73967	0.703301	6.62226
43 	24    	3.88869	1.73981	0.697195	6.62226
44 	24    	3.88853	1.73981	0.697195	6.62226
45 	24    	3.88849	1.73986	0.697195	6.62062
46 	24    	3.88837	1.73985	0.697195	6.62062
47 	24    	3.88833	1.73985	0.697195	6.62062
48 	24    	3.88811	1.73993	0.697195	6.62062
49 	24    	3.88811	1.73993	0.697195	6.62062
50 	24    	3.88809	1.73996	0.697195	6.62062
51 	24    	3.88809	1.73996	0.697195	6.62062
52 	24    	3.88805	1.73997	0.697195	6.62062
53 	24    	3.88805	1.73997	0.697195	6.62062
54 	24    	3.88803	1.74   	0.697195	6.62062
55 	24    	3.88803	1.74   	0.697195	6.62062
56 	24    	3.88794	1.73998	0.697195	6.61881
57 	24    	3.88782	1.73993	0.703301	6.61881
58 	24    	3.88781	1.73994	0.703301	6.61881
59 	24    	3.8878 	1.73996	0.703301	6.61881
60 	24    	3.88773	1.73994	0.703301	6.61893
61 	24    	3.88773	1.73994	0.703301	6.61893
62 	24    	3.88773	1.73994	0.703301	6.61893
63 	24    	3.88768	1.74   	0.703301	6.61893
64 	24    	3.88768	1.74   	0.703301	6.61893
65 	24    	3.88768	1.74   	0.703301	6.61893
66 	24    	3.88768	1.74   	0.703301	6.61893
67 	24    	3.88768	1.74   	0.703301	6.61893
68 	24    	3.88766	1.73996	0.703301	6.61893
69 	24    	3.88766	1.73996	0.703301	6.61893
70 	24    	3.8859 	1.74515	0.556864	6.61935
71 	24    	3.8859 	1.7451 	0.556864	6.61935
72 	24    	3.88295	1.7552 	0.555352	6.6225 
73 	24    	3.88061	1.76504	0.554612	6.6225 
74 	24    	3.8734 	1.78974	0.554612	6.6225 
75 	24    	3.86817	1.80911	0.553498	6.6225 
76 	24    	3.85205	1.85776	0.545224	6.6225 
77 	24    	3.84727	1.85775	0.545224	6.6248 
78 	24    	3.84526	1.85713	0.545101	6.6248 
79 	24    	3.84502	1.85714	0.545101	6.6248 
80 	24    	3.84483	1.85714	0.540843	6.62251
81 	24    	3.84473	1.85715	0.540843	6.62251
82 	24    	3.84455	1.85684	0.545101	6.62193
83 	24    	3.84448	1.85681	0.545101	6.62193
84 	24    	3.84436	1.85677	0.545101	6.62193
85 	24    	3.84433	1.85675	0.545101	6.62193
86 	24    	3.84432	1.85681	0.545101	6.62193
87 	24    	3.84424	1.85685	0.545101	6.61988
88 	24    	3.84418	1.85719	0.545101	6.61958
89 	24    	3.84412	1.85721	0.545101	6.61958
90 	24    	3.84355	1.85689	0.545101	6.61958
91 	24    	3.84352	1.85682	0.545101	6.61958
92 	24    	3.84352	1.85682	0.545101	6.61958
93 	24    	3.84292	1.85664	0.545101	6.6187 
94 	24    	3.84074	1.85566	0.545101	6.62045
95 	24    	3.83746	1.85437	0.547888	6.62045
96 	24    	3.83538	1.85353	0.547888	6.62045
97 	24    	3.83102	1.85145	0.548909	6.62266
98 	24    	3.83042	1.85187	0.535774	6.62266
99 	24    	3.83012	1.85189	0.535774	6.61921
100	24    	3.82987	1.85163	0.535774	6.61985
101	24    	3.82978	1.8517 	0.535774	6.62283
102	24    	3.82969	1.85193	0.535774	6.62283
103	24    	3.82965	1.8519 	0.535774	6.62283
104	24    	3.82963	1.85182	0.535774	6.62283
105	24    	3.82963	1.85182	0.535774	6.62283
106	24    	3.82956	1.85192	0.535774	6.62283
107	24    	3.82809	1.8531 	0.535774	6.62283
108	24    	3.82665	1.85418	0.535774	6.62283
109	24    	3.82331	1.85544	0.535774	6.62186
110	24    	3.82196	1.85651	0.535774	6.62186
111	24    	3.81626	1.86067	0.535774	6.62202
112	24    	3.80719	1.86583	0.535774	6.62296
113	24    	3.79403	1.87395	0.550478	6.62507
114	24    	3.79253	1.87138	0.541838	6.62369
115	24    	3.79094	1.86777	0.551041	6.62163
116	24    	3.78944	1.86453	0.551533	6.62163
117	24    	3.78648	1.85819	0.541481	6.62406
118	24    	3.78416	1.8594 	0.541481	6.62406
119	24    	3.78254	1.86126	0.541481	6.62406
120	24    	3.77971	1.86455	0.541578	6.62153
--- 5790.2964878082275 seconds ---
ran GA
