preds
ARNT
['TF', 'TFRC', 'SLC2A1']
preds
EP300
['TF', 'EIF4E', 'PDK1']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min      	max    
0  	24    	8.75197	5.85367	0.0783726	23.5234
1  	24    	6.82075	4.57684	0.0783726	20.7127
2  	24    	6.04064	4.00389	0.0783726	20.7127
3  	24    	5.63329	3.46572	0.0783726	20.7127
4  	24    	5.29385	2.94438	0.0783726	20.565 
5  	24    	5.07766	2.6449 	0.0783726	18.1595
6  	24    	4.98172	2.38741	0.0804909	18.1595
7  	24    	4.92795	2.33643	0.0804909	11.8951
8  	24    	4.88883	2.3317 	0.342758 	11.8951
9  	24    	4.83498	2.40273	0.275284 	11.8951
10 	24    	4.79799	2.33182	0.275284 	11.8932
11 	24    	4.75787	2.2472 	0.275284 	11.8932
12 	24    	4.71812	2.40188	0.275284 	11.8933
13 	24    	4.66161	2.49544	0.590955 	11.8933
14 	24    	4.61381	2.39522	0.441385 	11.8933
15 	24    	4.55099	2.34016	0.400676 	11.8928
16 	24    	4.5308 	2.35643	0.399716 	11.8928
17 	24    	4.51261	2.39489	0.399716 	11.893 
18 	24    	4.48168	2.46129	0.399993 	11.8936
19 	24    	4.47201	2.47064	0.399456 	11.893 
20 	24    	4.46501	2.4737 	0.399456 	11.893 
21 	24    	4.46368	2.46932	0.399256 	11.8931
22 	24    	4.46006	2.45627	0.399256 	11.8932
23 	24    	4.45205	2.4256 	0.398828 	11.8929
24 	24    	4.43946	2.37654	0.398828 	9.69883
25 	24    	4.43927	2.37649	0.398904 	9.69952
26 	24    	4.43915	2.3765 	0.398904 	9.70031
27 	24    	4.43911	2.37651	0.398613 	9.70118
28 	24    	4.43907	2.37651	0.398613 	9.70031
29 	24    	4.43906	2.3765 	0.398613 	9.70031
30 	24    	4.43903	2.3765 	0.398613 	9.70031
31 	24    	4.43899	2.37648	0.398575 	9.70031
32 	24    	4.43899	2.37646	0.398575 	9.70031
33 	24    	4.43897	2.37646	0.398575 	9.70031
34 	24    	4.43087	2.36512	0.398575 	9.70031
35 	24    	4.42281	2.35371	0.398575 	9.70031
36 	24    	4.41476	2.34224	0.398575 	9.70031
37 	24    	4.39054	2.30729	0.398613 	9.70031
38 	24    	4.33757	2.2237 	0.398613 	9.7003 
39 	24    	4.25107	2.08911	0.353498 	10.4594
40 	24    	4.2455 	2.07948	0.398445 	8.18652
41 	24    	4.24537	2.07937	0.398445 	8.18652
42 	24    	4.24458	2.07976	0.398445 	8.18252
43 	24    	4.2439 	2.0803 	0.398445 	8.18499
44 	24    	4.24257	2.08139	0.398445 	8.18499
45 	24    	4.24128	2.08249	0.398445 	8.18499
46 	24    	4.2381 	2.08525	0.398057 	8.18499
47 	24    	4.23152	2.09175	0.395191 	8.24195
48 	24    	4.22237	2.08168	0.398831 	8.18429
49 	24    	4.20766	2.05997	0.398831 	8.18347
50 	24    	4.15622	1.98121	0.398831 	8.18065
