preds
ARNT
['EP300', 'TF', 'SLC2A1']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min        	max    
0  	24    	8.95388	5.76174	0.000933086	20.7718
1  	24    	7.33837	5.00324	0.000832822	20.7127
2  	24    	6.33931	4.37121	0.000666372	19.9039
3  	24    	5.99729	4.1682 	0.000666372	18.6369
4  	24    	5.678  	4.1398 	0.000500768	18.6369
5  	24    	5.39362	3.96874	0.000494329	17.3124
6  	24    	5.21772	4.25667	0.000494329	17.3124
7  	24    	5.05514	4.24327	0.000494329	17.3184
8  	24    	4.93162	4.27953	0.000500768	17.3045
9  	24    	4.89454	4.2046 	0.000499046	17.3105
10 	24    	4.85121	4.18004	0.000502152	17.3026
11 	24    	4.83398	4.18602	0.000502152	17.2996
12 	24    	4.81398	4.19777	0.000443446	17.2996
13 	24    	4.75612	4.22648	0.000443446	17.3253
14 	24    	4.69622	4.2138 	0.000388263	17.3065
15 	24    	4.65945	4.20074	0.000388263	17.3134
16 	24    	4.63894	4.20341	0.000388263	17.3134
17 	24    	4.53215	4.18867	0.000388263	17.3134
18 	24    	4.47358	4.1806 	0.000388263	17.3065
19 	24    	4.47261	4.17949	0.000388263	17.2927
20 	24    	4.47205	4.17883	0.000388263	17.2927
21 	24    	4.47168	4.17811	0.000388263	17.2927
22 	24    	4.4715 	4.17782	0.000388263	17.2927
23 	24    	4.47147	4.17775	0.000388263	17.2947
24 	24    	4.47139	4.17758	0.000388263	17.2947
25 	24    	4.47097	4.17722	0.000388263	17.2947
26 	24    	4.47079	4.17696	0.000388263	17.2858
27 	24    	4.47069	4.17687	0.000388263	17.2858
28 	24    	4.47059	4.17674	0.000388263	17.2858
29 	24    	4.47048	4.17659	0.000388263	17.2858
30 	24    	4.4703 	4.17638	0.000388263	17.2877
31 	24    	4.47022	4.17628	0.000388263	17.2877
32 	24    	4.47021	4.17626	0.000388263	17.2897
33 	24    	4.46767	4.17847	0.000388263	17.2897
34 	24    	4.46525	4.18111	0.000393896	17.3045
35 	24    	4.46518	4.18101	0.000393896	17.3045
36 	24    	4.46283	4.18352	0.000393896	17.3045
37 	24    	4.45786	4.18802	0.000393896	17.3045
38 	24    	4.44784	4.19676	0.000393896	17.3045
39 	24    	4.43347	4.21028	0.000393896	17.3164
40 	24    	4.41115	4.23044	0.000412336	17.3085
41 	24    	4.41002	4.22949	0.000412336	17.3046
42 	24    	4.40918	4.2283 	0.000412336	17.2966
43 	24    	4.40867	4.22778	0.000412336	17.2966
44 	24    	4.40841	4.22734	0.00037515 	17.2966
45 	24    	4.40823	4.22705	0.00037515 	17.2967
46 	24    	4.40806	4.22703	0.00037515 	17.2967
47 	24    	4.40787	4.2266 	0.00037515 	17.2967
48 	24    	4.40782	4.22651	0.00037515 	17.3007
49 	24    	4.40782	4.22651	0.00037515 	17.3007
50 	24    	4.40765	4.2262 	0.00037515 	17.2967
51 	24    	4.40765	4.2262 	0.00037515 	17.2967
52 	24    	4.40602	4.22505	0.00037515 	17.2967
53 	24    	4.40588	4.22505	0.00037515 	17.2967
54 	24    	4.40416	4.22392	0.00037515 	17.2967
55 	24    	4.39838	4.22048	0.00037515 	17.2897
56 	24    	4.38666	4.21344	0.00037515 	17.3016
57 	24    	4.36748	4.20174	0.000384975	17.3025
58 	24    	4.36559	4.20016	0.000384975	17.3105
59 	24    	4.36453	4.19919	0.000384975	17.3105
60 	24    	4.36375	4.19883	0.000384975	17.3105
61 	24    	4.36365	4.19859	0.000384975	17.3105
62 	24    	4.36348	4.19846	0.000384975	17.3105
63 	24    	4.36325	4.19808	0.000382127	17.3105
64 	24    	4.36287	4.19759	0.000382127	17.3105
65 	24    	4.36282	4.19757	0.000382127	17.3105
66 	24    	4.36231	4.19736	0.000382127	17.3105
67 	24    	4.36231	4.19736	0.000382127	17.3105
68 	24    	4.36142	4.19715	0.000382127	17.3105
69 	24    	4.36016	4.1968 	0.000382127	17.3105
70 	24    	4.35939	4.19673	0.000382127	17.3105
