preds
ARNT
['EP300', 'TF', 'SLC2A1']
preds
EP300
['ARNT', 'TF', 'EIF4E']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.63366	5.17519	0.588307	20.7127
1  	24    	7.13512	4.38002	0.386807	20.7127
2  	24    	6.63807	4.11869	0.386807	20.7127
3  	24    	6.15383	3.91191	0.479852	20.7127
4  	24    	5.95078	3.6579 	0.568227	18.2072
5  	24    	5.75397	3.44271	0.567944	18.2072
6  	24    	5.46029	3.14338	0.322787	18.2072
7  	24    	5.20329	2.82919	0.322787	17.7064
8  	24    	4.96978	2.39274	0.322787	11.8397
9  	24    	4.81564	2.2881 	0.322787	14.3389
10 	24    	4.72053	2.14166	0.322787	14.3389
11 	24    	4.66351	2.02062	0.322787	8.80108
12 	24    	4.65155	1.97351	0.322787	8.80108
13 	24    	4.63315	1.89925	0.322787	8.80108
14 	24    	4.6171 	1.83186	0.466253	8.80108
15 	24    	4.59697	1.85345	0.466169	8.83555
16 	24    	4.58944	1.85325	0.46852 	8.82341
17 	24    	4.58454	1.83682	0.46852 	8.79432
18 	24    	4.57991	1.8335 	0.46852 	8.79615
19 	24    	4.57077	1.83134	0.467538	8.79321
20 	24    	4.54765	1.81014	0.467194	8.79884
21 	24    	4.52958	1.80562	0.467879	8.80153
22 	24    	4.50962	1.78655	0.468219	8.80153
23 	24    	4.48033	1.88208	0.467459	8.80153
24 	24    	4.46033	1.86378	0.467021	8.8397 
25 	24    	4.44465	1.86051	0.467021	8.8397 
26 	24    	4.43538	1.86551	0.468582	8.8397 
27 	24    	4.42608	1.87134	0.466016	8.8397 
28 	24    	4.41553	1.83534	0.467952	8.8397 
29 	24    	4.39937	1.8259 	0.467746	8.7557 
30 	24    	4.38025	1.78674	0.465688	8.77955
31 	24    	4.36323	1.76326	0.46786 	8.52998
32 	24    	4.34391	1.73604	0.466917	8.52998
33 	24    	4.32343	1.71525	0.46786 	6.63605
34 	24    	4.30779	1.69571	0.471023	6.63217
35 	24    	4.30398	1.69052	0.56024 	6.63074
36 	24    	4.30379	1.69047	0.56024 	6.63074
37 	24    	4.30363	1.69039	0.56024 	6.63074
38 	24    	4.30339	1.69031	0.56011 	6.63074
39 	24    	4.30334	1.6902 	0.56011 	6.63551
40 	24    	4.30069	1.68829	0.560046	6.63551
41 	24    	4.30058	1.68826	0.560046	6.63551
42 	24    	4.3005 	1.6882 	0.560046	6.63241
43 	24    	4.30046	1.68825	0.560046	6.63241
44 	24    	4.29739	1.68604	0.56011 	6.78386
45 	24    	4.29358	1.68358	0.56011 	6.84144
46 	24    	4.28823	1.68377	0.560107	6.84144
47 	24    	4.27757	1.67566	0.560107	6.84144
48 	24    	4.25608	1.65989	0.560105	6.84144
49 	24    	4.23764	1.64845	0.560105	6.79397
50 	24    	4.22821	1.65265	0.560277	6.82925
51 	24    	4.21034	1.65719	0.560306	6.82925
52 	24    	4.18737	1.66133	0.559886	7.17762
53 	24    	4.1593 	1.66828	0.559886	6.816  
54 	24    	4.13744	1.64941	0.559878	6.8243 
55 	24    	4.13436	1.64678	0.559878	6.8243 
56 	24    	4.12957	1.64148	0.560359	6.8243 
57 	24    	4.12836	1.64047	0.560359	6.82471
58 	24    	4.12497	1.63929	0.56036 	6.82471
59 	24    	4.12288	1.63755	0.56036 	6.82471
60 	24    	4.11659	1.63415	0.560131	6.82471
61 	24    	4.10564	1.63113	0.560497	6.81825
62 	24    	4.09676	1.63119	0.560336	6.82508
63 	24    	4.077  	1.63217	0.56106 	6.811  
64 	24    	4.07119	1.63276	0.567181	6.79716
65 	24    	4.06874	1.63333	0.567181	6.79716
66 	24    	4.06368	1.63348	0.567181	6.79985
67 	24    	4.05841	1.63481	0.567161	6.79985
68 	24    	4.05129	1.63845	0.567161	6.64588
69 	24    	4.05071	1.63821	0.567396	6.63527
70 	24    	4.05049	1.63816	0.567363	6.63527
71 	24    	4.05014	1.63793	0.56721 	6.63527
72 	24    	4.04933	1.63792	0.506409	6.63527
73 	24    	4.04927	1.63794	0.506409	6.63527
74 	24    	4.0479 	1.6372 	0.506409	6.63527
75 	24    	4.04788	1.63719	0.506409	6.63527
76 	24    	4.04666	1.63665	0.506409	6.63527
77 	24    	4.04133	1.63437	0.505173	6.66084
78 	24    	4.03694	1.63234	0.505173	6.66084
79 	24    	4.02692	1.62759	0.505173	6.66084
80 	24    	4.02189	1.62404	0.567234	6.63417
81 	24    	4.02155	1.62398	0.567256	6.63417
82 	24    	4.02125	1.624  	0.567205	6.63417
83 	24    	4.02099	1.6238 	0.567205	6.64346
84 	24    	4.02083	1.6237 	0.567205	6.64346
85 	24    	4.0196 	1.62323	0.567318	6.64346
86 	24    	4.01841	1.62288	0.567318	6.64346
87 	24    	4.01511	1.62179	0.567318	6.64346
88 	24    	4.00744	1.61958	0.566929	6.64346
89 	24    	3.98695	1.61915	0.566929	6.65061
90 	24    	3.98228	1.62041	0.567172	6.62702
91 	24    	3.97435	1.62392	0.567172	6.64185
92 	24    	3.9698 	1.62553	0.567172	6.64185
93 	24    	3.95297	1.6321 	0.567172	6.64185
94 	24    	3.9329 	1.6405 	0.567172	6.64185
95 	24    	3.85861	1.66737	0.567172	6.65256
96 	24    	3.8093 	1.68538	0.567296	6.65256
97 	24    	3.79891	1.68889	0.56731 	6.65241
98 	24    	3.79056	1.68491	0.567273	6.64383
99 	24    	3.78405	1.6818 	0.567185	6.63998
100	24    	3.77861	1.6793 	0.567185	6.6327 
101	24    	3.77846	1.67912	0.567185	6.6327 
