preds
ARNT
['EP300', 'EIF4E', 'TFRC']
preds
EP300
['ARNT', 'TF', 'TFRC']
preds
HIF1A
['NOS3', 'BCL2', 'TLR4']
gen	nevals	avg    	std    	min      	max    
0  	24    	9.04476	5.67298	0.0395018	21.1534
1  	24    	7.59676	5.01354	0.0395018	21.1534
2  	24    	6.83808	4.67049	0.0394409	21.1534
3  	24    	6.15718	4.16074	0.0395018	19.9039
4  	24    	5.65034	3.96748	0.0395018	19.9039
5  	24    	5.39376	3.44812	0.0395018	19.9039
6  	24    	5.16983	3.34525	0.0400653	19.9039
7  	24    	4.95816	3.28947	0.0400653	19.9039
8  	24    	4.80298	3.39545	0.0393132	19.9039
9  	24    	4.50109	3.09821	0.0393132	18.024 
10 	24    	4.38473	3.11242	0.0393132	16.3497
11 	24    	4.32445	2.94998	0.0378861	15.07  
12 	24    	4.21942	2.87112	0.039126 	15.114 
13 	24    	4.12521	2.99451	0.039126 	18.024 
14 	24    	3.99012	2.97337	0.039126 	15.0746
15 	24    	3.92588	2.74938	0.039126 	12.2188
16 	24    	3.79946	2.62862	0.0394609	12.2254
17 	24    	3.69415	2.55123	0.0392678	10.2458
18 	24    	3.61358	2.4987 	0.0377752	13.0439
19 	24    	3.57485	2.48182	0.0377752	13.0439
20 	24    	3.51534	2.3942 	0.0377752	9.42654
21 	24    	3.48757	2.44959	0.0377752	9.4335 
22 	24    	3.45205	2.41711	0.0385702	8.63152
23 	24    	3.43233	2.40151	0.0385702	8.62563
24 	24    	3.40755	2.38013	0.0385702	8.63068
25 	24    	3.38559	2.35964	0.0385702	8.63068
26 	24    	3.36337	2.32403	0.0375205	8.62975
27 	24    	3.30724	2.2641 	0.0389452	8.62975
28 	24    	3.21911	2.18498	0.0393541	10.612 
29 	24    	3.14895	2.10277	0.0375458	7.14535
30 	24    	3.14244	2.0966 	0.0375458	7.15364
31 	24    	3.13325	2.08238	0.0375458	7.18166
32 	24    	3.12849	2.05157	0.0395503	7.18774
33 	24    	3.12405	2.03293	0.03833  	7.19524
34 	24    	3.11724	2.02199	0.0372054	7.19524
35 	24    	3.10697	2.01723	0.0372054	7.19524
