preds
ARNT
['EP300', 'TF', 'TFRC']
preds
EP300
['ARNT', 'TFRC', 'PDK1']
preds
HIF1A
['VHL', 'BCL2', 'FLT1']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.74704	5.42412	0.257085	20.7127
1  	24    	7.09623	4.50581	0.257085	20.7127
2  	24    	6.51628	3.90431	0.187876	19.9039
3  	24    	6.01582	3.25735	0.113579	19.9039
4  	24    	5.65491	2.83956	0.187876	19.9039
5  	24    	5.43168	2.41627	0.187876	17.58  
6  	24    	5.29097	2.21521	0.15381 	13.5534
7  	24    	5.21382	2.01651	0.15381 	12.5571
8  	24    	5.09615	1.88611	0.724261	10.3896
9  	24    	4.99431	1.81078	0.724261	10.3896
10 	24    	4.9219 	1.7517 	0.750662	7.81454
11 	24    	4.8547 	1.77929	0.316986	9.10204
12 	24    	4.74942	1.71339	0.316986	9.10204
13 	24    	4.69189	1.68866	0.877405	7.01242
14 	24    	4.65059	1.74182	0.937398	6.96443
15 	24    	4.62219	1.69159	0.937398	6.96347
16 	24    	4.58997	1.60576	0.937398	6.9637 
17 	24    	4.55002	1.59874	0.754033	6.95816
18 	24    	4.5157 	1.57018	0.754033	6.95786
19 	24    	4.50912	1.58008	0.754033	6.95863
20 	24    	4.49813	1.59538	0.74028 	6.96077
21 	24    	4.46501	1.6365 	0.74028 	6.95812
22 	24    	4.40167	1.7158 	0.74028 	6.95024
23 	24    	4.39664	1.72379	0.740442	6.94735
24 	24    	4.39641	1.72385	0.740442	6.94735
25 	24    	4.39372	1.72581	0.470412	6.94735
26 	24    	4.39089	1.72688	0.470412	6.94735
27 	24    	4.38553	1.7284 	0.465379	6.94243
28 	24    	4.38257	1.72987	0.464053	6.94243
29 	24    	4.36472	1.737  	0.456875	6.94243
30 	24    	4.33456	1.74836	0.46112 	6.45081
31 	24    	4.3339 	1.74751	0.46112 	6.44995
32 	24    	4.33357	1.74744	0.46112 	6.45959
33 	24    	4.33333	1.74747	0.46112 	6.45959
34 	24    	4.33274	1.74731	0.460956	6.46006
35 	24    	4.33219	1.74711	0.460956	6.46006
36 	24    	4.32874	1.74461	0.456581	6.46006
37 	24    	4.32453	1.74106	0.456581	6.46006
38 	24    	4.31398	1.73279	0.456581	6.46006
39 	24    	4.30965	1.72964	0.456581	6.44711
40 	24    	4.29527	1.71809	0.456581	6.44764
