preds
ARNT
['EP300', 'TF', 'PDK1']
preds
EP300
['ARNT', 'TFRC', 'EIF4E']
preds
HIF1A
['VHL', 'NOS3', 'BCL2']
gen	nevals	avg    	std    	min     	max    
0  	24    	6.88284	4.55581	0.117077	20.7127
1  	24    	5.99746	3.69636	0.115721	20.7127
2  	24    	5.68475	3.36008	0.256902	18.2072
3  	24    	5.4221 	3.04887	0.256902	18.2072
4  	24    	5.22305	2.60025	0.245712	18.2072
5  	24    	5.06379	2.36725	0.245712	12.4281
6  	24    	4.9912 	2.31877	0.245712	11.098 
7  	24    	4.95931	2.28299	0.245712	11.098 
8  	24    	4.90069	2.34716	0.243281	11.098 
9  	24    	4.80238	2.29712	0.243281	9.15936
10 	24    	4.72526	2.21376	0.662225	9.15936
11 	24    	4.69548	2.18601	0.662225	9.15936
12 	24    	4.68163	2.16919	0.662225	9.15936
13 	24    	4.66736	2.15236	0.539569	9.15936
14 	24    	4.63614	2.11342	0.539569	9.15936
15 	24    	4.62521	2.10027	0.539569	9.15936
16 	24    	4.62428	2.10048	0.536102	9.15936
17 	24    	4.62385	2.10064	0.536102	9.15936
18 	24    	4.61996	2.08347	0.536102	9.15936
19 	24    	4.61398	2.06757	0.536102	9.15936
20 	24    	4.60684	2.03228	0.536102	9.10141
21 	24    	4.6038 	2.0138 	0.536102	9.10069
22 	24    	4.60074	1.9946 	0.518409	9.10208
23 	24    	4.58181	1.85849	0.516689	9.10004
24 	24    	4.55829	1.66821	0.516689	8.95169
25 	24    	4.55075	1.64031	1.09857 	9.10014
26 	24    	4.54774	1.65594	1.08265 	9.10014
27 	24    	4.53973	1.70234	1.07223 	9.10028
28 	24    	4.52617	1.77695	1.07223 	9.10239
29 	24    	4.50782	1.8764 	1.06538 	9.10239
30 	24    	4.48337	1.96094	1.06538 	9.10349
31 	24    	4.47875	1.95046	1.05303 	9.107  
32 	24    	4.47362	1.9407 	1.0523  	9.10349
33 	24    	4.46378	1.92075	1.0523  	9.10506
34 	24    	4.43661	1.85654	1.0523  	9.10506
35 	24    	4.40053	1.76641	1.0523  	9.10311
36 	24    	4.37331	1.71398	1.21801 	6.61956
37 	24    	4.37165	1.71463	1.20857 	6.61936
38 	24    	4.37118	1.71476	1.20857 	6.61936
39 	24    	4.37086	1.71496	1.20857 	6.61936
40 	24    	4.37048	1.71534	1.20857 	6.61936
41 	24    	4.37042	1.71537	1.20857 	6.61903
42 	24    	4.37032	1.71533	1.20857 	6.61947
43 	24    	4.37027	1.71515	1.20857 	6.61947
44 	24    	4.37011	1.71516	1.20857 	6.62123
45 	24    	4.37005	1.71516	1.20857 	6.62123
46 	24    	4.36991	1.71512	1.21352 	6.62123
47 	24    	4.36981	1.71511	1.21352 	6.62123
48 	24    	4.36981	1.71511	1.21352 	6.62123
49 	24    	4.36981	1.71511	1.21352 	6.62123
50 	24    	4.36981	1.71511	1.21352 	6.62123
51 	24    	4.36976	1.71509	1.21068 	6.62123
52 	24    	4.36976	1.71512	1.21068 	6.62123
53 	24    	4.36976	1.71512	1.21068 	6.62123
54 	24    	4.36976	1.71514	1.21068 	6.62123
55 	24    	4.36976	1.71514	1.21068 	6.62123
56 	24    	4.36971	1.71509	1.21068 	6.62123
57 	24    	4.36958	1.71516	1.21068 	6.62123
58 	24    	4.36955	1.71512	1.21068 	6.62123
59 	24    	4.36955	1.71512	1.21068 	6.62123
60 	24    	4.36954	1.71511	1.21068 	6.62123
61 	24    	4.36948	1.7152 	1.21068 	6.62123
62 	24    	4.36947	1.71515	1.21068 	6.62123
63 	24    	4.36947	1.71515	1.21068 	6.62123
64 	24    	4.36946	1.7151 	1.21068 	6.62123
65 	24    	4.36458	1.71343	1.21068 	6.62123
66 	24    	4.35961	1.71163	1.21068 	6.62123
67 	24    	4.35486	1.70985	1.21068 	6.62123
68 	24    	4.34538	1.70639	1.21068 	6.62123
69 	24    	4.32629	1.69902	1.2141  	6.62229
70 	24    	4.29284	1.68565	1.2141  	6.62229
71 	24    	4.25503	1.66902	1.22084 	6.62229
72 	24    	4.25403	1.66858	1.22084 	6.62046
73 	24    	4.25254	1.66459	1.21609 	6.62046
74 	24    	4.25151	1.6627 	1.21609 	6.62001
75 	24    	4.24904	1.65558	1.06935 	6.62019
76 	24    	4.24527	1.64632	1.06935 	6.62019
77 	24    	4.23917	1.6284 	1.06935 	6.62019
78 	24    	4.23194	1.60824	1.08453 	6.62019
79 	24    	4.22937	1.60235	1.08453 	6.62181
80 	24    	4.22669	1.58884	1.08453 	6.62181
81 	24    	4.22362	1.58012	1.08199 	6.62181
82 	24    	4.21992	1.56874	1.0492  	6.62181
83 	24    	4.20976	1.56794	1.0492  	6.62076
84 	24    	4.20037	1.57577	0.276271	6.62076
85 	24    	4.18933	1.58392	0.276271	6.62002
86 	24    	4.18139	1.59893	0.276271	9.19989
87 	24    	4.16609	1.61643	0.276271	9.21387
88 	24    	4.15124	1.63957	0.276271	9.54003
89 	24    	4.10581	1.69309	0.276271	9.54003
90 	24    	4.07652	1.71166	0.386196	9.54003
91 	24    	4.03734	1.7895 	0.386196	9.55569
92 	24    	3.99683	1.85738	0.386196	9.55569
93 	24    	3.98911	1.8732 	0.384745	9.55734
94 	24    	3.98864	1.87327	0.384745	9.55877
95 	24    	3.98839	1.87319	0.386921	9.56003
96 	24    	3.98816	1.8738 	0.386921	9.56294
97 	24    	3.98802	1.8739 	0.386921	9.5613 
98 	24    	3.98791	1.87407	0.386921	9.56478
99 	24    	3.98779	1.87418	0.386921	9.56584
100	24    	3.98763	1.87422	0.38923 	9.56638
101	24    	3.98755	1.87378	0.38923 	9.56638
102	24    	3.98749	1.87363	0.38923 	9.56638
103	24    	3.98747	1.87361	0.38923 	9.56638
104	24    	3.98614	1.8726 	0.38923 	9.57872
105	24    	3.98613	1.87246	0.389654	9.57872
106	24    	3.98478	1.871  	0.389654	9.57872
107	24    	3.98476	1.87112	0.389654	9.57872
108	24    	3.98216	1.86781	0.389654	9.57084
109	24    	3.97837	1.86319	0.389654	9.57084
110	24    	3.97191	1.85494	0.389654	9.56638
111	24    	3.96281	1.84439	0.362503	9.56478
112	24    	3.95577	1.83679	0.387668	9.56098
113	24    	3.95532	1.83716	0.387668	9.57973
114	24    	3.95472	1.8374 	0.387668	9.57973
115	24    	3.95429	1.83727	0.387668	9.57973
116	24    	3.95215	1.83641	0.387668	9.57973
117	24    	3.95041	1.83633	0.387668	9.57973
118	24    	3.94809	1.8349 	0.387668	9.5596 
119	24    	3.94556	1.83669	0.355597	9.55916
120	24    	3.9452 	1.83883	0.355597	9.55916
--- 5294.048802852631 seconds ---
ran GA
