slurmstepd: error: task/cgroup: unable to add task[pid=11529] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'ITGAL', 'CD226']
preds
ITGAL
['JAM3', 'ITGB1', 'ICAM1']
preds
CD226
['NTNG2', 'ICAM2', 'ITGAL']
preds
ITGA4
['CD28', 'JAM3', 'LRRC4']
preds
ICAM1
['ITGB1', 'ICAM3', 'ITGAL']
preds
JAM3
['ITGA4', 'ITGAL', 'ICAM2']
preds
F11R
['ITGA4', 'ITGAL', 'CD226']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.82558	5.78488	6.31611e-05	23.1651
1  	24    	4.22927	4.96396	6.31611e-05	23.1651
2  	24    	3.93254	4.5254 	6.31611e-05	23.1651
3  	24    	3.73876	4.25495	6.31611e-05	23.1651
4  	24    	3.60282	4.07931	0.000146561	22.1386
5  	24    	3.53432	3.94463	0.000146561	19.1078
6  	24    	3.45075	3.87365	0.000146561	19.1078
7  	24    	3.37212	3.74618	7.28481e-05	22.1386
8  	24    	3.30123	3.55105	5.93815e-05	17.6685
9  	24    	3.2674 	3.40839	5.93815e-05	18.1578
10 	24    	3.24119	3.45422	5.93815e-05	18.1578
11 	24    	3.20139	3.38891	5.93815e-05	18.1578
12 	24    	3.1468 	3.21455	0.000115107	18.1578
13 	24    	3.08786	3.14262	0.000124337	18.1408
14 	24    	3.0298 	3.15462	0.000124337	15.3506
15 	24    	2.98503	3.13826	0.000189488	12.5013
16 	24    	2.9716 	3.02539	0.000171626	15.1854
17 	24    	2.94005	2.88254	0.000171626	11.5357
18 	24    	2.8924 	2.87429	0.000170837	11.5429
19 	24    	2.82529	2.86882	9.13153e-05	11.5568
20 	24    	2.79563	2.66839	8.47347e-05	9.63095
21 	24    	2.75447	2.48004	0.000133386	8.02592
22 	24    	2.73886	2.4635 	5.30793e-05	8.02634
23 	24    	2.72987	2.44942	5.30793e-05	8.02634
24 	24    	2.70962	2.41852	0.00013099 	8.08806
25 	24    	2.68116	2.38224	0.00013099 	8.02634
26 	24    	2.67825	2.37971	0.000146356	6.77623
27 	24    	2.67751	2.37919	0.000106913	6.77623
28 	24    	2.67746	2.37917	0.000146356	6.77623
29 	24    	2.67712	2.37908	0.000132957	6.77623
30 	24    	2.67712	2.37908	0.000132957	6.77623
31 	24    	2.67591	2.37956	0.000132957	6.77623
32 	24    	2.66795	2.37771	0.000132957	6.77623
33 	24    	2.66634	2.3769 	0.000132957	6.77623
34 	24    	2.65094	2.37385	0.000132957	6.77439
35 	24    	2.63338	2.36685	5.07801e-05	6.77439
36 	24    	2.60796	2.35859	5.07801e-05	6.77165
37 	24    	2.57731	2.34217	5.07801e-05	6.75961
38 	24    	2.53427	2.32537	7.15942e-05	6.75961
39 	24    	2.51728	2.32243	7.15942e-05	6.51749
40 	24    	2.51446	2.32331	7.15942e-05	6.51749
41 	24    	2.51048	2.32617	7.15942e-05	6.56606
42 	24    	2.50648	2.32901	0.000137876	6.56606
43 	24    	2.49521	2.33811	0.000217673	6.57688
44 	24    	2.49386	2.33663	0.000100198	6.55626
45 	24    	2.49329	2.3358 	0.000100198	6.53116
46 	24    	2.49277	2.33524	0.000100198	6.53026
47 	24    	2.49221	2.33451	0.000174879	6.5301 
48 	24    	2.49138	2.33337	0.000174879	6.51531
49 	24    	2.48961	2.33155	0.00020534 	6.5574 
50 	24    	2.4886 	2.32998	0.000181481	6.5574 
51 	24    	2.48727	2.32807	0.000186546	6.5574 
52 	24    	2.48453	2.32449	7.17625e-05	6.5702 
53 	24    	2.4833 	2.32338	8.83538e-05	6.57503
54 	24    	2.48199	2.32227	0.000145452	6.57503
55 	24    	2.48088	2.32178	0.000145452	6.57503
56 	24    	2.47625	2.31888	0.000145452	6.57503
57 	24    	2.47043	2.31432	0.00016018 	6.54783
58 	24    	2.46581	2.31108	0.00016018 	6.54494
59 	24    	2.46457	2.30948	0.000161722	6.54494
60 	24    	2.46367	2.30842	0.000154103	6.54494
61 	24    	2.46255	2.30697	0.000161722	6.60199
62 	24    	2.46109	2.30516	0.000161722	6.57627
63 	24    	2.45661	2.29921	4.45057e-05	6.56608
64 	24    	2.45412	2.29484	4.45057e-05	6.56608
65 	24    	2.45042	2.28659	0.000113136	6.56608
66 	24    	2.44745	2.2812 	5.15191e-05	6.56608
67 	24    	2.44243	2.26731	5.15191e-05	6.56608
68 	24    	2.4359 	2.25385	7.51704e-05	6.56608
69 	24    	2.43087	2.25147	7.51704e-05	6.56608
70 	24    	2.42444	2.24324	7.51704e-05	6.5549 
71 	24    	2.42055	2.23466	7.50575e-05	6.28964
72 	24    	2.4167 	2.22237	0.000140421	6.27117
73 	24    	2.41605	2.22188	0.000112127	6.27117
74 	24    	2.41033	2.21746	0.00011311 	6.27117
75 	24    	2.40165	2.2109 	0.000123419	6.27117
76 	24    	2.39124	2.20382	4.76394e-05	6.27172
77 	24    	2.38228	2.19173	4.76394e-05	5.98829
78 	24    	2.38143	2.18716	4.76394e-05	5.97916
79 	24    	2.38026	2.17781	4.76394e-05	5.39682
80 	24    	2.37958	2.17709	0.000207319	5.3961 
81 	24    	2.3793 	2.17681	0.000207319	5.3961 
82 	24    	2.3791 	2.17664	6.6685e-05 	5.39689
83 	24    	2.37894	2.1765 	6.6685e-05 	5.39689
84 	24    	2.37886	2.17647	6.6685e-05 	5.39689
85 	24    	2.37885	2.17647	6.6685e-05 	5.39689
86 	24    	2.37883	2.17647	6.6685e-05 	5.39689
87 	24    	2.37879	2.17641	6.6685e-05 	5.39689
88 	24    	2.37813	2.17538	6.6685e-05 	5.39689
89 	24    	2.37679	2.17336	6.6685e-05 	5.39689
90 	24    	2.37449	2.17114	6.6685e-05 	5.47216
91 	24    	2.37206	2.16887	6.6685e-05 	5.49622
92 	24    	2.36733	2.16621	6.6685e-05 	6.20916
93 	24    	2.3602 	2.15777	8.5076e-05 	6.20916
94 	24    	2.35481	2.16116	3.54083e-05	6.22857
95 	24    	2.34588	2.16428	3.54083e-05	6.22857
96 	24    	2.33841	2.16139	3.54083e-05	6.23486
97 	24    	2.32703	2.15009	3.54083e-05	6.23881
98 	24    	2.31757	2.14185	3.54083e-05	6.23518
99 	24    	2.3034 	2.1338 	5.48602e-05	6.23518
100	24    	2.30319	2.13337	0.000138994	6.23518
101	24    	2.29028	2.13604	0.000138994	6.38289
102	24    	2.2687 	2.13803	9.27459e-05	6.38289
103	24    	2.24784	2.13634	0.000138994	6.37944
104	24    	2.23559	2.12707	0.000138994	6.48347
105	24    	2.22206	2.12134	0.000118243	6.48701
106	24    	2.20869	2.11572	0.000118243	6.24962
107	24    	2.20808	2.11513	0.000118243	6.24962
108	24    	2.20793	2.11393	0.000118243	6.24962
109	24    	2.2077 	2.11148	0.000118243	6.24962
110	24    	2.20741	2.10795	0.000118243	6.24962
111	24    	2.20725	2.10674	0.000118243	6.24962
112	24    	2.2071 	2.10549	0.000118243	6.24962
113	24    	2.20699	2.10319	0.000118243	6.24962
114	24    	2.20692	2.102  	6.93782e-05	6.23593
115	24    	2.20673	2.09967	0.000118243	6.23593
116	24    	2.2064 	2.09385	0.000118243	6.23593
117	24    	2.20624	2.09143	0.000118243	6.231  
118	24    	2.20614	2.08914	0.000188237	6.22358
119	24    	2.20605	2.08797	7.3312e-05 	6.22233
120	24    	2.206  	2.08793	0.000152339	6.22233
--- 7687.296129703522 seconds ---
ran GA
