slurmstepd: error: task/cgroup: unable to add task[pid=11349] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'ITGAL', 'MADCAM1']
preds
ITGAL
['ICOSLG', 'ITGA4', 'JAM3']
preds
CD226
['CD28', 'JAM3', 'ITGA4']
preds
ITGA4
['SELPLG', 'ITGAL', 'JAM3']
preds
ICAM1
['ITGB1', 'F11R', 'ICAM2']
preds
JAM3
['MADCAM1', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM1', 'ITGAL', 'CD22']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.46918	6.70946	7.17562e-05	23.1651
1  	24    	4.69871	6.05032	0.000151565	23.1651
2  	24    	4.27161	5.57179	8.57365e-05	23.1651
3  	24    	4.10093	5.21767	0.000113888	23.1651
4  	24    	3.9693 	5.07188	9.60259e-05	23.1651
5  	24    	3.71952	4.78375	9.03527e-05	23.1651
6  	24    	3.5482 	4.57723	2.73233e-05	23.0471
7  	24    	3.43306	4.39097	0.000112913	22.1611
8  	24    	3.36265	4.26959	7.2046e-05 	22.1611
9  	24    	3.29219	4.15768	0.000153499	21.2531
10 	24    	3.23833	4.08982	0.000153499	21.2375
11 	24    	3.16618	3.9923 	0.000180108	21.2553
12 	24    	3.12289	4.055  	8.12878e-05	21.2553
13 	24    	3.08333	4.04156	6.14164e-05	21.2553
14 	24    	3.06196	3.98075	6.14164e-05	17.5972
15 	24    	3.05641	3.98094	6.14164e-05	17.5972
16 	24    	3.04953	3.97928	6.14164e-05	17.6   
17 	24    	3.04655	3.96664	0.000132942	17.6   
18 	24    	3.04372	3.96283	0.000132942	17.6   
19 	24    	3.03602	3.9318 	0.000132942	17.5966
20 	24    	3.02256	3.86049	9.86268e-05	17.5966
21 	24    	3.01771	3.801  	9.86268e-05	15.9124
22 	24    	3.01134	3.80463	9.86268e-05	15.9124
23 	24    	2.99078	3.81452	0.000118829	15.9124
24 	24    	2.97303	3.8276 	0.000118829	15.8934
25 	24    	2.95066	3.81169	7.39172e-05	15.4057
26 	24    	2.90994	3.74048	7.39172e-05	15.4232
27 	24    	2.86578	3.65959	5.92006e-05	15.4127
28 	24    	2.85503	3.61863	5.92006e-05	15.405 
29 	24    	2.84254	3.58167	5.92006e-05	15.4656
30 	24    	2.82038	3.56211	5.92006e-05	15.4349
31 	24    	2.78056	3.5142 	0.000111922	15.3605
32 	24    	2.69992	3.42702	9.82688e-05	15.4268
33 	24    	2.68257	3.3827 	0.000106706	15.3735
34 	24    	2.64296	3.30552	9.62862e-05	15.4269
35 	24    	2.61373	3.24331	9.62862e-05	15.412 
36 	24    	2.60519	3.22247	7.0095e-05 	15.3848
37 	24    	2.59823	3.19973	7.0095e-05 	15.3848
38 	24    	2.59243	3.1804 	7.0095e-05 	15.4027
39 	24    	2.57163	3.11194	1.73268e-05	15.4027
40 	24    	2.55952	3.07373	7.0095e-05 	15.374 
41 	24    	2.55871	3.07221	7.0095e-05 	15.3766
42 	24    	2.55842	3.07078	7.0095e-05 	15.3454
43 	24    	2.55725	3.07442	7.0095e-05 	15.3415
44 	24    	2.55056	3.07047	6.48461e-05	15.3685
45 	24    	2.54588	3.07804	6.48461e-05	15.4066
46 	24    	2.53552	3.08631	6.08035e-05	15.438 
47 	24    	2.5152 	3.02131	6.08035e-05	15.4161
48 	24    	2.49764	3.00764	5.78229e-05	15.437 
49 	24    	2.4968 	3.00481	5.78229e-05	15.3902
50 	24    	2.49152	3.00372	5.78229e-05	15.3395
51 	24    	2.48128	3.00464	5.49347e-05	15.3814
52 	24    	2.4682 	3.00751	5.49347e-05	15.3814
53 	24    	2.44332	3.01109	5.49347e-05	15.3862
54 	24    	2.42187	2.99355	5.49347e-05	15.3955
55 	24    	2.37695	2.97109	0.000170647	15.4453
56 	24    	2.33941	2.96309	0.000132498	15.4453
57 	24    	2.31612	2.94142	9.47958e-05	15.4453
58 	24    	2.30699	2.93599	0.000132498	15.4001
59 	24    	2.29341	2.9313 	0.000104134	15.4001
60 	24    	2.26312	2.92386	7.38675e-05	15.4001
61 	24    	2.23143	2.90888	7.38675e-05	15.4227
62 	24    	2.2196 	2.89444	7.38675e-05	15.4063
63 	24    	2.21714	2.89259	7.38675e-05	15.4063
64 	24    	2.21422	2.8918 	7.38675e-05	15.4063
65 	24    	2.20355	2.89282	0.000106939	15.4256
66 	24    	2.18404	2.88187	0.000182853	15.4001
67 	24    	2.16229	2.87288	7.09029e-05	15.3937
68 	24    	2.13122	2.85666	7.09029e-05	15.4392
69 	24    	2.09581	2.83087	5.93264e-05	15.4392
70 	24    	2.06555	2.82423	5.93264e-05	15.4392
71 	24    	2.04783	2.81897	5.93264e-05	15.3895
72 	24    	2.0401 	2.81775	5.93264e-05	15.411 
73 	24    	2.02945	2.81608	5.93264e-05	15.4219
74 	24    	2.02377	2.81477	5.93264e-05	15.4219
75 	24    	2.01818	2.81541	5.93264e-05	15.4219
76 	24    	2.01431	2.81354	3.40438e-05	15.4012
77 	24    	2.0113 	2.81029	3.40438e-05	15.4012
78 	24    	2.00849	2.80848	3.40438e-05	15.4012
79 	24    	2.00597	2.80698	3.40438e-05	15.4012
80 	24    	1.99755	2.80351	3.40438e-05	15.4354
81 	24    	1.98948	2.79938	3.40438e-05	15.4354
82 	24    	1.96772	2.79295	3.40438e-05	15.4354
83 	24    	1.95627	2.78581	8.03797e-05	15.4784
84 	24    	1.95442	2.77873	9.9476e-05 	15.3387
85 	24    	1.95411	2.77709	9.9476e-05 	15.3299
86 	24    	1.95386	2.77633	9.09187e-05	15.3299
87 	24    	1.95368	2.77623	9.9476e-05 	15.3442
88 	24    	1.9534 	2.77516	9.9476e-05 	15.3442
89 	24    	1.9533 	2.77444	9.9476e-05 	15.3139
90 	24    	1.9533 	2.77444	9.9476e-05 	15.3139
91 	24    	1.95272	2.77402	9.9476e-05 	15.3747
92 	24    	1.95224	2.77385	9.9476e-05 	15.3747
93 	24    	1.95224	2.77385	9.9476e-05 	15.3747
94 	24    	1.95215	2.77341	9.9476e-05 	15.3747
95 	24    	1.95213	2.77332	9.9476e-05 	15.3747
96 	24    	1.95196	2.77328	9.9476e-05 	15.3747
97 	24    	1.95168	2.77308	9.9476e-05 	15.3747
98 	24    	1.95168	2.77308	9.9476e-05 	15.3747
99 	24    	1.95113	2.77414	0.00013329 	15.3747
100	24    	1.94912	2.77618	7.25255e-05	15.3908
101	24    	1.94774	2.77787	7.25255e-05	15.3908
102	24    	1.94292	2.7816 	7.25255e-05	15.3942
103	24    	1.9413 	2.7802 	7.25255e-05	15.3942
104	24    	1.94046	2.77754	7.25255e-05	15.372 
105	24    	1.9399 	2.77497	7.25255e-05	15.3497
106	24    	1.93979	2.77466	7.25255e-05	15.3497
107	24    	1.93963	2.77418	7.25255e-05	15.3412
108	24    	1.93959	2.77368	0.000166238	15.3313
109	24    	1.93958	2.77394	0.000166238	15.3529
110	24    	1.93932	2.77382	5.00493e-05	15.3313
111	24    	1.93928	2.77426	5.00493e-05	15.3313
112	24    	1.93927	2.77437	5.00493e-05	15.3313
113	24    	1.9391 	2.77385	5.00493e-05	15.3262
114	24    	1.9391 	2.77385	5.00493e-05	15.3262
115	24    	1.93909	2.77371	5.00493e-05	15.3262
116	24    	1.93909	2.77371	5.00493e-05	15.3262
117	24    	1.93908	2.77376	4.76517e-05	15.3262
118	24    	1.93902	2.77419	4.76517e-05	15.3262
119	24    	1.93898	2.77388	4.76517e-05	15.324 
120	24    	1.93886	2.77369	4.76517e-05	15.324 
--- 7721.12543129921 seconds ---
ran GA
