slurmstepd: error: task/cgroup: unable to add task[pid=11445] to memory cg '(null)'
preds
ITGB1
['ICAM2', 'ITGA4', 'ITGB7']
preds
ITGAL
['ITGA4', 'JAM3', 'SELPLG']
preds
CD226
['MADCAM1', 'ICAM2', 'F11R']
preds
ITGA4
['ITGAL', 'JAM3', 'MADCAM1']
preds
ICAM1
['ICAM3', 'F11R', 'CD22']
preds
JAM3
['CD28', 'PTPRC', 'ITGA4']
preds
F11R
['ICAM1', 'ICAM2', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.63459	5.75046	0.000100536	23.0936
1  	24    	3.90761	4.73428	0.000105721	23.0471
2  	24    	3.6279 	4.1475 	0.000125018	23.0471
3  	24    	3.44274	3.85095	0.000125018	23.0471
4  	24    	3.33871	3.66052	5.28306e-05	23.0471
5  	24    	3.19939	3.34092	5.28306e-05	21.3044
6  	24    	3.13759	3.14065	3.66388e-05	16.4431
7  	24    	3.12932	3.11884	3.66388e-05	16.434 
8  	24    	3.12307	3.1115 	3.66388e-05	16.434 
9  	24    	3.11557	3.11604	5.28306e-05	16.4294
10 	24    	3.10483	3.12742	5.28306e-05	16.4424
11 	24    	3.08096	3.09479	7.40842e-05	16.4411
12 	24    	3.03022	2.96518	0.000102871	14.3769
13 	24    	2.99941	2.94214	0.000133675	11.9153
14 	24    	2.98966	2.93422	0.000112849	11.9264
15 	24    	2.98361	2.94051	0.000162572	11.9153
16 	24    	2.97068	2.92288	0.000175867	11.9153
17 	24    	2.93611	2.85026	8.71488e-05	11.9153
18 	24    	2.91981	2.80644	8.71488e-05	11.9059
19 	24    	2.87866	2.65018	0.000125056	11.9023
20 	24    	2.86187	2.59375	8.59031e-05	7.44945
21 	24    	2.86106	2.58943	8.59031e-05	7.44945
22 	24    	2.85573	2.58305	8.59031e-05	7.44213
23 	24    	2.85288	2.57868	8.59031e-05	7.57388
24 	24    	2.84768	2.5699 	0.000102434	7.59794
25 	24    	2.82996	2.55131	0.000102434	7.57388
26 	24    	2.79592	2.53869	0.000135182	7.58609
27 	24    	2.77781	2.49626	0.000154752	7.45489
28 	24    	2.77222	2.47095	0.000145632	6.56727
29 	24    	2.77169	2.4705 	0.000145632	6.54524
30 	24    	2.77152	2.47023	0.000145632	6.54524
31 	24    	2.77058	2.46995	0.000145632	6.53166
32 	24    	2.77052	2.46985	0.000145632	6.53166
33 	24    	2.7705 	2.46984	4.55716e-05	6.53166
34 	24    	2.7692 	2.46946	4.55716e-05	6.53166
35 	24    	2.76458	2.46852	5.8225e-05 	6.55491
36 	24    	2.75858	2.46538	5.8225e-05 	6.55491
37 	24    	2.75119	2.46233	5.8225e-05 	6.57276
38 	24    	2.74047	2.45823	5.8225e-05 	6.55491
39 	24    	2.7334 	2.45093	0.00019773 	6.5729 
40 	24    	2.721  	2.43463	0.000110089	6.5729 
41 	24    	2.70324	2.40974	0.000110089	6.55612
42 	24    	2.70258	2.40895	5.2254e-05 	6.5339 
43 	24    	2.70019	2.40814	0.000183636	6.53992
44 	24    	2.69291	2.4064 	0.000154021	6.56479
45 	24    	2.67348	2.40276	8.7231e-05 	7.12089
46 	24    	2.65735	2.40013	0.000154021	6.57695
47 	24    	2.65039	2.39498	0.000144099	6.54665
48 	24    	2.64481	2.39101	0.000144099	6.55718
49 	24    	2.63007	2.3781 	4.23979e-05	6.55718
50 	24    	2.60961	2.35937	0.000163117	6.56421
51 	24    	2.6023 	2.34914	0.000173252	6.51306
52 	24    	2.5757 	2.31575	0.000123052	6.53418
53 	24    	2.5609 	2.30457	0.000107609	6.53418
54 	24    	2.54927	2.30023	0.000107609	6.53418
55 	24    	2.53173	2.28014	0.00013094 	6.57083
56 	24    	2.51835	2.26551	0.000184147	6.57083
57 	24    	2.49601	2.24057	0.000137258	6.23575
58 	24    	2.49402	2.2372 	0.000149614	6.23837
59 	24    	2.49134	2.22964	0.00015929 	6.23575
60 	24    	2.49099	2.22938	0.00015929 	6.2333 
61 	24    	2.49091	2.22931	0.00015929 	6.23508
62 	24    	2.48999	2.22894	0.000111296	6.23508
63 	24    	2.48972	2.23033	0.000202115	6.23684
64 	24    	2.48753	2.22865	0.000113735	6.23684
65 	24    	2.48345	2.2264 	0.000178194	6.23684
66 	24    	2.47841	2.22172	0.000142069	6.23428
67 	24    	2.4728 	2.21258	5.22488e-05	6.23616
68 	24    	2.47194	2.21372	5.22488e-05	6.23787
69 	24    	2.47038	2.21614	5.22488e-05	6.23428
70 	24    	2.46819	2.22038	5.22488e-05	6.23453
71 	24    	2.46728	2.22138	5.22488e-05	6.25175
72 	24    	2.46702	2.22113	9.06209e-05	6.25175
73 	24    	2.46695	2.22114	8.68797e-05	6.25175
74 	24    	2.46678	2.22104	9.06209e-05	6.25208
75 	24    	2.4667 	2.22107	9.06209e-05	6.25328
76 	24    	2.4666 	2.22109	9.3023e-05 	6.25328
77 	24    	2.46652	2.22106	9.3023e-05 	6.25457
78 	24    	2.46649	2.22108	9.3023e-05 	6.25457
79 	24    	2.4664 	2.22093	9.3023e-05 	6.25457
80 	24    	2.46635	2.22081	0.00013846 	6.25457
81 	24    	2.46629	2.22072	0.00013846 	6.25457
82 	24    	2.46626	2.22075	5.14849e-05	6.25457
83 	24    	2.46606	2.22062	0.00013846 	6.25457
84 	24    	2.46596	2.22058	0.000205605	6.25369
85 	24    	2.46593	2.22051	0.000205605	6.25369
86 	24    	2.46585	2.22026	0.000191152	6.25369
87 	24    	2.46581	2.22025	0.000191152	6.25118
88 	24    	2.46578	2.22018	0.000191152	6.25118
89 	24    	2.46573	2.21993	0.000191152	6.25118
90 	24    	2.46571	2.21981	0.000191152	6.25118
91 	24    	2.46567	2.21971	0.000191152	6.25052
92 	24    	2.4656 	2.2196 	0.000191152	6.25188
93 	24    	2.4656 	2.2196 	0.000191152	6.25188
94 	24    	2.46559	2.21965	0.000191152	6.25188
95 	24    	2.46556	2.21967	0.000104391	6.25188
96 	24    	2.46552	2.2198 	0.000141523	6.25188
97 	24    	2.46547	2.21973	0.000141523	6.25188
98 	24    	2.46543	2.21965	0.000141523	6.25375
99 	24    	2.46541	2.21966	0.000141523	6.25398
100	24    	2.46537	2.21964	0.000141523	6.25398
101	24    	2.46536	2.21979	0.000141523	6.25398
102	24    	2.46536	2.21979	0.000141523	6.25398
103	24    	2.46535	2.21975	0.000141523	6.25398
104	24    	2.46528	2.21989	0.000141523	6.25398
105	24    	2.46528	2.21985	0.000141523	6.25398
106	24    	2.46526	2.21991	0.000141523	6.25398
107	24    	2.46525	2.21997	0.000141523	6.25398
108	24    	2.46522	2.21991	0.000141523	6.25398
109	24    	2.46522	2.21991	0.000141523	6.25398
110	24    	2.46383	2.21842	0.000112564	6.25398
111	24    	2.46247	2.21703	0.000112564	6.25398
112	24    	2.45989	2.21372	0.000112564	6.25398
113	24    	2.45464	2.2072 	0.000112564	6.25398
114	24    	2.45205	2.20397	0.000112564	6.25383
115	24    	2.44232	2.19188	0.000112564	6.25412
116	24    	2.43412	2.18004	4.05278e-05	6.25412
117	24    	2.43363	2.17873	4.05278e-05	6.25232
118	24    	2.43344	2.17759	4.05278e-05	6.25232
119	24    	2.43268	2.17636	4.05278e-05	6.25232
120	24    	2.4318 	2.17463	4.05278e-05	6.25368
--- 7654.9948987960815 seconds ---
ran GA
