slurmstepd: error: task/cgroup: unable to add task[pid=11641] to memory cg '(null)'
preds
ITGB1
['F11R', 'ITGA4', 'ITGB7']
preds
ITGAL
['CD86', 'JAM3', 'SELPLG']
preds
CD226
['ICOSLG', 'ITGA4', 'ITGB7']
preds
ITGA4
['JAM3', 'MADCAM1', 'F11R']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['CD28', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM1', 'ITGB1', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.59077	5.63306	0.000119841	23.1651
1  	24    	3.73764	4.45085	7.08117e-05	23.0471
2  	24    	3.38199	3.8747 	7.08117e-05	23.0471
3  	24    	3.2058 	3.52339	8.77896e-05	23.0471
4  	24    	3.08886	3.20557	0.000175234	18.6744
5  	24    	2.98918	2.93898	0.000113434	18.6632
6  	24    	2.89302	2.6762 	0.000113434	10.3644
7  	24    	2.85509	2.66717	0.000113434	9.70914
8  	24    	2.85162	2.69333	0.000113434	9.71258
9  	24    	2.84359	2.68164	9.12017e-05	9.72285
10 	24    	2.81845	2.64457	6.62272e-05	9.72285
11 	24    	2.78002	2.59409	0.000122816	9.70914
12 	24    	2.7261 	2.52093	8.50794e-05	7.02737
13 	24    	2.72494	2.51955	8.50794e-05	7.02737
14 	24    	2.72391	2.51795	8.78542e-05	7.02737
15 	24    	2.72227	2.51532	0.000167551	7.02737
16 	24    	2.72039	2.51187	0.000167551	7.02737
17 	24    	2.71563	2.50302	0.00012924 	7.03767
18 	24    	2.71487	2.50195	6.9979e-05 	7.03767
19 	24    	2.71458	2.50159	4.31122e-05	7.03767
20 	24    	2.71431	2.50118	4.31122e-05	7.03767
21 	24    	2.71426	2.50109	4.31122e-05	7.03767
22 	24    	2.71423	2.501  	4.31122e-05	7.03767
23 	24    	2.71415	2.50098	4.31122e-05	7.03767
24 	24    	2.7141 	2.50093	4.31122e-05	7.03767
25 	24    	2.7141 	2.50089	4.31122e-05	7.03767
26 	24    	2.71408	2.50072	0.000133115	7.03767
27 	24    	2.71407	2.50069	0.000133115	7.03767
28 	24    	2.71399	2.50063	0.000133115	7.03767
29 	24    	2.71398	2.50069	0.000133115	7.03767
30 	24    	2.71395	2.50072	0.000133115	7.03767
31 	24    	2.71393	2.50067	0.000133115	7.03767
32 	24    	2.71391	2.50067	0.000142068	7.03767
33 	24    	2.71114	2.50125	0.000142068	7.03767
34 	24    	2.7082 	2.50172	0.000130879	7.03767
35 	24    	2.69986	2.50223	0.000130879	7.03767
36 	24    	2.69428	2.50327	0.000130879	7.03767
37 	24    	2.66847	2.50732	0.000128017	7.03767
38 	24    	2.64493	2.51138	0.000128017	7.03571
39 	24    	2.64285	2.50936	0.000128017	7.02649
40 	24    	2.64135	2.5079 	8.26171e-05	7.02006
41 	24    	2.63874	2.50594	8.26171e-05	7.03562
42 	24    	2.63482	2.50256	0.000123953	7.03701
43 	24    	2.63307	2.50072	0.000123953	7.03701
44 	24    	2.63283	2.50048	0.000123953	7.03701
45 	24    	2.63271	2.50031	0.000123953	7.03701
46 	24    	2.63271	2.50025	0.000123953	7.03701
47 	24    	2.63238	2.50348	0.000123953	7.3492 
48 	24    	2.63222	2.50334	0.000123953	7.3492 
49 	24    	2.63206	2.50329	0.000188251	7.3492 
50 	24    	2.63175	2.50952	0.000185789	7.35846
51 	24    	2.63149	2.51948	0.000185789	7.39285
52 	24    	2.63135	2.52971	0.000122048	7.39293
53 	24    	2.63091	2.53224	0.000122048	7.39293
54 	24    	2.63025	2.5274 	0.000100029	7.39293
55 	24    	2.62993	2.51959	0.000100029	7.39003
56 	24    	2.62975	2.51922	0.000100029	7.38071
57 	24    	2.62963	2.51895	5.93344e-05	7.38071
58 	24    	2.62954	2.51892	5.93344e-05	7.38071
59 	24    	2.62944	2.5153 	5.93344e-05	7.38071
60 	24    	2.62938	2.50802	5.93344e-05	7.35984
61 	24    	2.62936	2.50446	5.93344e-05	7.33712
62 	24    	2.62929	2.50436	5.93344e-05	7.33712
63 	24    	2.62924	2.50789	5.93344e-05	7.37294
64 	24    	2.62923	2.50448	5.93344e-05	7.37294
65 	24    	2.62922	2.50435	5.93344e-05	7.37294
66 	24    	2.62915	2.50772	5.93344e-05	7.37294
67 	24    	2.62906	2.51109	5.93344e-05	7.37913
68 	24    	2.62783	2.51538	5.93344e-05	7.39482
69 	24    	2.62783	2.51187	5.93344e-05	7.39482
70 	24    	2.62783	2.51187	5.93344e-05	7.39482
71 	24    	2.6278 	2.5119 	5.93344e-05	7.39482
72 	24    	2.62457	2.51509	5.93344e-05	7.39482
73 	24    	2.62239	2.51709	5.93344e-05	7.4083 
74 	24    	2.61684	2.51548	5.93344e-05	7.42789
75 	24    	2.61038	2.52216	0.000144206	7.43812
76 	24    	2.60301	2.5191 	6.5126e-05 	7.43812
77 	24    	2.6024 	2.5166 	6.5126e-05 	7.42789
78 	24    	2.5985 	2.5134 	6.5126e-05 	7.43449
79 	24    	2.59496	2.51293	6.5126e-05 	7.43449
80 	24    	2.58762	2.50995	0.000144206	7.50918
81 	24    	2.58081	2.5074 	0.000115945	7.50918
82 	24    	2.55364	2.50541	0.000115945	7.50918
83 	24    	2.52505	2.50731	9.60154e-05	7.50918
84 	24    	2.52106	2.50827	0.000115945	7.46107
85 	24    	2.5204 	2.50687	0.000115945	7.46107
86 	24    	2.51988	2.50586	0.000115945	7.46107
87 	24    	2.51948	2.5057 	0.000115945	7.47103
88 	24    	2.51897	2.50433	0.000115945	7.47844
89 	24    	2.51793	2.50327	5.54333e-05	7.47844
90 	24    	2.51516	2.49778	0.000137741	7.50341
91 	24    	2.51269	2.49282	0.000111057	7.50341
92 	24    	2.51181	2.49286	6.81749e-05	7.50341
93 	24    	2.51086	2.4922 	6.81749e-05	7.47551
94 	24    	2.50838	2.48501	6.0523e-05 	7.48776
95 	24    	2.50587	2.47645	0.000146995	8.05225
96 	24    	2.49706	2.45294	0.000135947	8.05225
97 	24    	2.49043	2.43574	8.03816e-05	8.05225
98 	24    	2.47507	2.39211	8.03816e-05	8.07608
99 	24    	2.47112	2.38698	8.03816e-05	7.43932
100	24    	2.47073	2.38659	8.19911e-05	7.43932
101	24    	2.47031	2.38628	8.19911e-05	7.41823
102	24    	2.47014	2.38612	8.19911e-05	7.44158
103	24    	2.46992	2.38598	8.19911e-05	7.44158
104	24    	2.46945	2.3839 	8.19911e-05	7.44158
105	24    	2.46361	2.37484	8.19911e-05	7.44158
106	24    	2.45628	2.35973	8.19911e-05	7.42232
107	24    	2.44941	2.34436	0.000146795	7.42232
108	24    	2.44572	2.33577	0.000146795	7.42232
109	24    	2.43561	2.31049	9.66988e-05	7.39977
110	24    	2.41541	2.28649	0.000146795	7.39977
111	24    	2.39806	2.26694	0.000172464	7.39977
112	24    	2.39751	2.26727	0.000142983	7.41355
113	24    	2.39731	2.26705	0.000122941	7.3846 
114	24    	2.39358	2.25774	0.000122941	7.37266
115	24    	2.38993	2.24834	0.000122941	7.36069
116	24    	2.38364	2.23227	0.000116514	7.35631
117	24    	2.37842	2.21864	0.000116514	6.53434
118	24    	2.37791	2.22377	0.000116514	8.50518
119	24    	2.37752	2.22916	0.000113397	8.50761
120	24    	2.37719	2.23426	0.000113397	8.50761
--- 7847.2178683280945 seconds ---
ran GA
