slurmstepd: error: task/cgroup: unable to add task[pid=11669] to memory cg '(null)'
preds
ITGB1
['F11R', 'ITGA4', 'ITGB7']
preds
ITGAL
['ICAM2', 'JAM3', 'ICAM1']
preds
CD226
['CD86', 'ITGA4', 'ITGAL']
preds
ITGA4
['ICAM3', 'F11R', 'CD226']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['SELPLG', 'MADCAM1', 'ITGAL']
preds
F11R
['ICAM1', 'ITGB1', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.38975	5.86347	7.30997e-05	23.0471
1  	24    	3.96279	5.27341	7.30997e-05	23.0471
2  	24    	3.68659	4.82524	9.15653e-05	23.0471
3  	24    	3.33695	4.29287	9.15653e-05	23.0471
4  	24    	3.13988	3.82118	0.000108605	18.1132
5  	24    	2.99547	3.5553 	0.000108605	18.098 
6  	24    	2.89113	3.44981	0.000108605	18.1067
7  	24    	2.819  	3.49354	0.000171237	18.1606
8  	24    	2.75215	3.5119 	0.000161367	18.1606
9  	24    	2.64999	3.51223	0.000146994	18.1606
10 	24    	2.61615	3.41358	0.000143744	18.1306
11 	24    	2.55431	3.14228	0.000146994	18.1049
12 	24    	2.49098	2.96198	0.000129861	12.134 
13 	24    	2.47676	2.93176	0.000129861	12.1309
14 	24    	2.43637	2.8267 	5.82301e-05	12.1261
15 	24    	2.39677	2.73951	5.82301e-05	13.8812
16 	24    	2.3456 	2.64839	0.000132737	10.4843
17 	24    	2.3234 	2.58335	0.000135796	10.4843
18 	24    	2.2738 	2.43153	0.000145901	10.5049
19 	24    	2.23852	2.3421 	0.00016409 	7.37925
20 	24    	2.23324	2.33423	0.0001226  	7.37546
21 	24    	2.22506	2.32307	0.0001226  	7.37546
22 	24    	2.18839	2.27198	0.000165429	7.38   
23 	24    	2.18026	2.26896	9.31619e-05	7.37621
24 	24    	2.17521	2.26866	8.96545e-05	7.37546
25 	24    	2.17401	2.26714	0.000173683	7.37776
26 	24    	2.17251	2.26429	0.000215538	7.37776
27 	24    	2.16955	2.25785	0.000158123	7.37776
28 	24    	2.16493	2.25171	0.000140766	7.37547
29 	24    	2.15929	2.23928	0.000140766	7.37547
30 	24    	2.14814	2.21839	9.2531e-05 	7.38113
31 	24    	2.12866	2.18012	0.000129015	7.38113
32 	24    	2.11305	2.16437	7.49256e-05	7.37635
33 	24    	2.09777	2.15332	7.49256e-05	7.38097
34 	24    	2.07909	2.13295	0.000119394	7.38097
35 	24    	2.07331	2.12636	0.000119394	7.37709
36 	24    	2.07282	2.12544	0.000112413	7.35852
37 	24    	2.07256	2.12496	0.000112413	7.34009
38 	24    	2.07237	2.12494	0.000112413	7.37861
39 	24    	2.07231	2.12484	0.000112413	7.37861
40 	24    	2.07212	2.12444	0.000158831	7.33948
41 	24    	2.07209	2.12423	9.82829e-05	7.3391 
42 	24    	2.07199	2.12424	9.82829e-05	7.3391 
43 	24    	2.07197	2.12428	9.82829e-05	7.3391 
44 	24    	2.07194	2.12422	9.82829e-05	7.3391 
45 	24    	2.07184	2.12422	5.35815e-05	7.34039
46 	24    	2.07184	2.12429	5.35815e-05	7.34039
47 	24    	2.07124	2.12419	5.35815e-05	7.34039
48 	24    	2.07124	2.12425	5.35815e-05	7.34039
49 	24    	2.07124	2.12427	5.35815e-05	7.34039
50 	24    	2.07014	2.12428	5.35815e-05	7.37711
51 	24    	2.06893	2.12398	5.35815e-05	7.37711
52 	24    	2.06586	2.12403	4.82894e-05	7.37711
53 	24    	2.06038	2.12342	4.82894e-05	7.37711
54 	24    	2.05636	2.12201	4.82894e-05	7.34498
55 	24    	2.05195	2.12013	0.000110101	7.39204
