slurmstepd: error: task/cgroup: unable to add task[pid=11325] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'SELL', 'ICOSLG']
preds
ITGAL
['LRRC4', 'JAM3', 'SELPLG']
preds
CD226
['CD28', 'MADCAM1', 'ITGA4']
preds
ITGA4
['JAM3', 'F11R', 'GLG1']
preds
ICAM1
['ITGB1', 'F11R', 'ITGAL']
preds
JAM3
['ITGA4', 'ITGAL', 'ICAM3']
preds
F11R
['ICAM1', 'ITGA4', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.30532	5.14422	9.72308e-05	23.0471
1  	24    	3.77168	4.28233	9.72308e-05	23.0471
2  	24    	3.64549	4.08478	9.72308e-05	23.0471
3  	24    	3.56354	4.04462	9.72308e-05	23.0471
4  	24    	3.43577	3.71335	9.72308e-05	23.0471
5  	24    	3.31583	3.5774 	0.000216622	23.0471
6  	24    	3.23438	3.37188	0.000138386	18.0313
7  	24    	3.15717	3.20212	0.000138386	18.0313
8  	24    	3.09612	3.15019	0.000159081	17.1489
9  	24    	3.07569	3.09572	5.15949e-05	14.4191
10 	24    	3.0334 	3.07517	5.15949e-05	19.1078
11 	24    	2.96956	2.99234	0.000162367	13.5404
12 	24    	2.94155	3.01286	3.65337e-05	12.783 
13 	24    	2.93838	3.0364 	1.985e-05  	12.783 
14 	24    	2.93754	3.03477	3.65337e-05	12.7575
15 	24    	2.9372 	3.03427	0.000158828	12.7537
16 	24    	2.93708	3.03383	0.000158828	12.7501
17 	24    	2.93318	3.03091	0.000158828	12.7501
18 	24    	2.92941	3.02788	0.000158828	12.7501
19 	24    	2.92189	3.02184	0.000158828	12.7471
20 	24    	2.91439	3.01609	0.000113056	12.7592
21 	24    	2.88082	2.98941	0.000113056	12.7769
22 	24    	2.84735	2.96283	0.000121225	12.7769
23 	24    	2.84694	2.963  	0.000137637	12.7769
24 	24    	2.84654	2.962  	0.000137637	12.7769
25 	24    	2.8464 	2.9619 	0.000147036	12.7651
26 	24    	2.83555	2.94284	0.000138717	12.7651
27 	24    	2.81174	2.90458	0.000138717	12.7564
28 	24    	2.7966 	2.88645	0.000138717	12.7658
29 	24    	2.74853	2.819  	0.000107397	12.7624
30 	24    	2.62943	2.60812	0.000107397	12.7707
31 	24    	2.55163	2.42735	0.000107397	9.81806
32 	24    	2.50888	2.41049	0.000140981	13.3373
33 	24    	2.4372 	2.39939	7.70818e-05	13.375 
34 	24    	2.36576	2.43825	7.70818e-05	13.4083
35 	24    	2.29108	2.23962	7.70818e-05	13.397 
36 	24    	2.28012	2.333  	9.86172e-05	13.4276
37 	24    	2.26999	2.21953	7.47446e-05	13.3767
38 	24    	2.26116	2.10186	0.000123269	5.93261
39 	24    	2.26059	2.10176	7.77395e-05	5.93085
40 	24    	2.26034	2.10156	7.77395e-05	5.93085
41 	24    	2.26023	2.10166	7.77395e-05	5.93085
42 	24    	2.25997	2.1013 	9.53116e-05	5.93025
43 	24    	2.2599 	2.10131	9.53116e-05	5.93025
44 	24    	2.25986	2.10131	0.000144938	5.93025
45 	24    	2.25981	2.1014 	0.000144938	5.92702
46 	24    	2.25977	2.1014 	0.000128854	5.91791
47 	24    	2.25975	2.10139	0.000128854	5.92215
48 	24    	2.25969	2.10137	0.000128854	5.93337
49 	24    	2.25966	2.10128	0.000128854	5.93337
50 	24    	2.25965	2.10131	0.000128854	5.93337
51 	24    	2.25963	2.10132	0.000128854	5.93337
52 	24    	2.25956	2.10119	0.000130811	5.93337
53 	24    	2.25952	2.10129	0.000130811	5.93337
54 	24    	2.25951	2.10124	0.000130811	5.93337
55 	24    	2.25951	2.10123	0.000130811	5.93337
56 	24    	2.25949	2.10127	0.000130811	5.93337
57 	24    	2.25949	2.10127	0.000130811	5.93337
58 	24    	2.25949	2.10127	0.000130811	5.93337
59 	24    	2.25949	2.10127	0.000130811	5.93337
60 	24    	2.25948	2.10131	0.000130811	5.93337
61 	24    	2.25948	2.10131	0.000130811	5.93337
62 	24    	2.25948	2.10125	0.000130811	5.93337
63 	24    	2.25946	2.10126	0.000130811	5.93337
64 	24    	2.25946	2.10126	0.000130811	5.93337
65 	24    	2.25946	2.10126	0.000130811	5.93337
66 	24    	2.25946	2.10126	0.000130811	5.93337
67 	24    	2.25946	2.10126	0.000130811	5.93337
68 	24    	2.2581 	2.10051	0.000130811	7.09407
69 	24    	2.25799	2.1004 	0.000130811	7.09407
70 	24    	2.25799	2.1004 	0.000130811	7.09407
71 	24    	2.25519	2.099  	0.000130811	7.09673
72 	24    	2.25387	2.09825	0.000130811	7.09673
73 	24    	2.25247	2.09752	0.000195014	7.09673
74 	24    	2.24827	2.09534	0.000183964	7.10186
75 	24    	2.24157	2.09151	0.000183964	7.10186
76 	24    	2.22673	2.08278	0.00014027 	7.10186
77 	24    	2.22593	2.08253	0.000109408	7.10186
78 	24    	2.22531	2.08219	6.89637e-05	7.09763
79 	24    	2.22484	2.08198	6.89637e-05	7.09763
80 	24    	2.22447	2.08167	6.89637e-05	7.09704
81 	24    	2.22362	2.08099	0.00014027 	7.09984
82 	24    	2.22192	2.07985	0.000131102	7.09984
83 	24    	2.22063	2.07884	0.000131102	7.09984
84 	24    	2.21871	2.07761	0.000109213	7.09984
85 	24    	2.21815	2.07769	0.000109213	7.10399
86 	24    	2.21797	2.07759	0.000109213	7.10399
87 	24    	2.21621	2.07699	0.000109213	7.10399
88 	24    	2.21614	2.07701	0.000109213	7.10399
89 	24    	2.21605	2.07709	9.67041e-05	7.10399
90 	24    	2.21605	2.07709	9.67041e-05	7.10399
91 	24    	2.21595	2.07706	9.67041e-05	7.10399
92 	24    	2.21587	2.07701	9.67041e-05	7.10399
93 	24    	2.21584	2.07705	0.000109213	7.10399
94 	24    	2.21573	2.07692	0.000109213	7.10399
95 	24    	2.21569	2.07697	0.000109213	7.10399
96 	24    	2.21411	2.07649	9.6722e-05 	7.10399
97 	24    	2.20956	2.07491	0.000131102	7.10399
98 	24    	2.20185	2.07213	0.000131102	7.10399
99 	24    	2.19271	2.0685 	0.000135419	7.10399
100	24    	2.18068	2.06375	0.000148244	7.10063
101	24    	2.1802 	2.06375	0.000180024	7.10196
102	24    	2.17984	2.06366	0.000164638	7.10063
103	24    	2.17951	2.06366	0.000164638	7.10082
104	24    	2.17936	2.06362	5.00565e-05	7.10082
105	24    	2.17917	2.06362	5.00565e-05	7.10082
106	24    	2.17909	2.06355	5.00565e-05	7.10082
107	24    	2.17908	2.06356	5.00565e-05	7.10082
108	24    	2.179  	2.06362	5.00565e-05	7.09956
109	24    	2.179  	2.06362	5.00565e-05	7.09956
110	24    	2.1789 	2.06364	5.00565e-05	7.09981
111	24    	2.17887	2.06357	5.00565e-05	7.09981
112	24    	2.17884	2.06356	0.000104957	7.09981
113	24    	2.17882	2.06348	0.000104957	7.09981
114	24    	2.17882	2.06348	0.000104957	7.09981
115	24    	2.17882	2.06346	0.000104957	7.09981
116	24    	2.17876	2.06347	0.000104957	7.09981
117	24    	2.17876	2.06347	0.000104957	7.09981
118	24    	2.17871	2.06349	0.000104957	7.09981
119	24    	2.17871	2.06349	0.000104957	7.09981
120	24    	2.1786 	2.06357	0.000104957	7.09981
--- 8007.086173534393 seconds ---
ran GA
