slurmstepd: error: task/cgroup: unable to add task[pid=11375] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'F11R', 'ITGAL']
preds
ITGAL
['SELL', 'JAM3', 'MADCAM1']
preds
CD226
['CD28', 'CD86', 'ITGAL']
preds
ITGA4
['CD28', 'JAM3', 'MADCAM1']
preds
ICAM1
['ITGB1', 'ICAM2', 'SELPLG']
preds
JAM3
['MADCAM1', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM3', 'ITGB1', 'ITGA4']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.94056	6.28253	3.81435e-05	23.1651
1  	24    	4.03645	5.01777	3.81435e-05	23.1651
2  	24    	3.68083	4.46885	7.65709e-05	23.0471
3  	24    	3.42883	4.05023	0.000164667	20.7222
4  	24    	3.22419	3.61119	0.000120335	18.512 
5  	24    	3.08339	3.32799	0.000107067	16.089 
6  	24    	2.98877	3.17632	0.000118626	11.9691
7  	24    	2.86918	3.04436	9.73603e-05	11.9691
8  	24    	2.8122 	3.04291	0.000125132	12.0038
9  	24    	2.79307	3.02104	0.00013055 	12.0038
10 	24    	2.73308	2.92987	0.00013055 	12.0038
11 	24    	2.63512	2.80075	4.32291e-05	11.9683
12 	24    	2.60645	2.75229	4.32291e-05	11.7983
13 	24    	2.56508	2.65324	4.32291e-05	11.3454
14 	24    	2.51866	2.49423	9.14422e-05	7.50645
15 	24    	2.51774	2.49364	0.000134795	7.50645
16 	24    	2.51725	2.49329	0.000109212	7.50645
17 	24    	2.5167 	2.49291	9.60817e-05	7.50645
18 	24    	2.5166 	2.49284	9.60817e-05	7.50645
19 	24    	2.51644	2.49274	6.98054e-05	7.50645
20 	24    	2.51641	2.49272	6.98054e-05	7.50645
21 	24    	2.51384	2.49012	5.52094e-05	7.69412
22 	24    	2.5108 	2.48745	5.52094e-05	7.69701
23 	24    	2.5061 	2.48265	5.52094e-05	7.70884
24 	24    	2.5018 	2.48013	5.52094e-05	7.70906
25 	24    	2.49146	2.47041	5.52094e-05	7.71484
26 	24    	2.48357	2.46016	5.52094e-05	7.73009
27 	24    	2.46438	2.43279	5.52094e-05	7.73009
28 	24    	2.45843	2.43032	5.52094e-05	7.73009
29 	24    	2.45408	2.42859	0.000127533	7.73337
30 	24    	2.45347	2.42826	0.000127533	7.72396
31 	24    	2.45308	2.42793	0.000127533	7.72396
32 	24    	2.45284	2.42793	0.000147687	7.72396
33 	24    	2.45179	2.42753	0.000110453	7.72375
34 	24    	2.44994	2.42717	6.21653e-05	7.72375
35 	24    	2.44635	2.42547	6.21653e-05	7.72375
36 	24    	2.43662	2.42001	6.21653e-05	7.72375
37 	24    	2.42995	2.41926	6.21653e-05	7.72649
38 	24    	2.42935	2.42081	0.000198623	7.72649
39 	24    	2.42648	2.41676	0.000198623	7.71786
40 	24    	2.42278	2.41204	0.000108266	7.71878
41 	24    	2.41834	2.40609	0.000108266	7.71304
42 	24    	2.40881	2.39049	0.000108266	7.73093
43 	24    	2.40843	2.39022	9.94112e-05	7.72674
44 	24    	2.40837	2.3902 	9.94112e-05	7.72674
45 	24    	2.40816	2.38989	0.000218487	7.71869
46 	24    	2.40531	2.38697	0.00017322 	7.72386
47 	24    	2.39775	2.3829 	0.00017322 	9.10631
48 	24    	2.38846	2.37392	0.00017322 	9.10631
49 	24    	2.37833	2.36055	0.00017322 	7.72642
50 	24    	2.37044	2.35275	0.000121695	7.73322
51 	24    	2.36618	2.34857	2.43933e-05	7.72202
52 	24    	2.36578	2.34821	9.08917e-05	7.72202
53 	24    	2.36555	2.34795	9.25208e-05	7.71986
54 	24    	2.36543	2.34771	9.25208e-05	7.71986
55 	24    	2.36528	2.34763	9.25208e-05	7.73163
56 	24    	2.36521	2.34759	9.25208e-05	7.73163
57 	24    	2.36511	2.34741	9.25208e-05	7.73163
58 	24    	2.36504	2.34739	9.25208e-05	7.73163
59 	24    	2.36503	2.3474 	9.25208e-05	7.73163
60 	24    	2.36498	2.34734	9.63059e-05	7.73163
61 	24    	2.36495	2.34738	9.63059e-05	7.73163
62 	24    	2.36494	2.34737	9.63059e-05	7.73163
63 	24    	2.36494	2.3474 	9.63059e-05	7.73163
64 	24    	2.36494	2.3474 	9.63059e-05	7.73163
65 	24    	2.36494	2.3474 	9.63059e-05	7.73163
66 	24    	2.36494	2.34744	9.63059e-05	7.73163
67 	24    	2.3649 	2.34735	9.75733e-05	7.73163
68 	24    	2.3649 	2.34735	9.75733e-05	7.73163
69 	24    	2.36484	2.34734	8.39401e-05	7.73163
70 	24    	2.36484	2.3474 	8.39401e-05	7.73163
71 	24    	2.36483	2.34732	8.39401e-05	7.73163
72 	24    	2.36481	2.34734	8.39401e-05	7.73163
73 	24    	2.36478	2.34733	8.39401e-05	7.73163
74 	24    	2.36478	2.34733	8.39401e-05	7.73163
75 	24    	2.36478	2.34733	8.39401e-05	7.73163
76 	24    	2.36455	2.3473 	8.39401e-05	7.73163
77 	24    	2.36384	2.3475 	8.39401e-05	7.73163
78 	24    	2.36215	2.34763	8.39401e-05	7.71834
79 	24    	2.36022	2.34814	0.000144084	7.71834
80 	24    	2.35895	2.34302	0.000144084	7.71834
81 	24    	2.35797	2.3384 	0.000133982	7.71834
82 	24    	2.35626	2.32884	0.000133982	7.71834
83 	24    	2.3534 	2.32607	0.000133982	7.71834
