slurmstepd: error: task/cgroup: unable to add task[pid=11740] to memory cg '(null)'
preds
ITGB1
['ICAM3', 'ITGAL', 'ITGA4']
preds
ITGAL
['ITGA4', 'JAM3', 'ITGB1']
preds
CD226
['JAM3', 'ITGA4', 'ICAM2']
preds
ITGA4
['ITGAL', 'JAM3', 'MADCAM1']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['MADCAM1', 'ITGA4', 'ITGAL']
preds
F11R
['ICAM3', 'ICAM1', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.63625	5.76325	9.06708e-05	23.1651
1  	24    	4.04048	4.92073	9.06708e-05	22.1386
2  	24    	3.64218	4.3615 	9.06708e-05	22.1386
3  	24    	3.38096	4.1212 	9.06708e-05	19.0465
4  	24    	3.23611	3.90172	5.76313e-05	19.0465
5  	24    	3.05817	3.66411	5.76313e-05	18.137 
6  	24    	2.94681	3.52143	0.000120577	18.0248
7  	24    	2.85124	3.41157	0.000120577	18.0248
8  	24    	2.75972	3.18977	0.000120577	18.0248
9  	24    	2.67179	2.85465	0.0001752  	18.0211
10 	24    	2.60317	2.64435	0.000169301	12.1382
11 	24    	2.58231	2.59239	0.000124318	12.1382
12 	24    	2.57529	2.59551	6.45325e-05	12.1385
13 	24    	2.56034	2.53088	6.45325e-05	12.1018
14 	24    	2.55132	2.4553 	6.45325e-05	9.7093 
15 	24    	2.54591	2.45952	0.000106057	9.7093 
16 	24    	2.54011	2.46753	7.54393e-05	9.7093 
17 	24    	2.53057	2.48174	7.44746e-05	9.71634
18 	24    	2.51671	2.50299	7.44746e-05	9.71634
19 	24    	2.50218	2.51598	7.44746e-05	9.71735
20 	24    	2.49914	2.51893	7.44746e-05	9.71056
21 	24    	2.49887	2.51847	0.000153865	9.6904 
22 	24    	2.49873	2.51801	0.000153865	9.6904 
23 	24    	2.49854	2.51767	0.000153865	9.67968
24 	24    	2.49847	2.5175 	0.000153865	9.67968
25 	24    	2.49841	2.5171 	0.000153865	9.67968
26 	24    	2.49839	2.51722	0.000153865	9.67968
27 	24    	2.49835	2.51705	0.000153865	9.66748
28 	24    	2.49831	2.51708	0.000153865	9.66748
29 	24    	2.49826	2.51684	0.000153865	9.66748
30 	24    	2.49824	2.5169 	0.000153865	9.66748
31 	24    	2.49823	2.51705	0.000153865	9.66748
32 	24    	2.49822	2.51688	0.000153865	9.66493
33 	24    	2.4976 	2.51654	0.000153865	9.68526
34 	24    	2.49758	2.51645	0.000153865	9.68526
35 	24    	2.49564	2.51511	0.000153865	9.68526
36 	24    	2.49483	2.51406	0.000167941	9.68526
37 	24    	2.49283	2.51229	0.000167941	9.68526
38 	24    	2.48201	2.49959	0.000168834	9.7193 
39 	24    	2.47554	2.48783	0.000168834	9.68785
40 	24    	2.47063	2.47853	0.000168834	9.68785
41 	24    	2.46062	2.45287	0.000168834	9.68785
42 	24    	2.44999	2.42671	0.000186876	9.68877
43 	24    	2.42221	2.35625	0.000186876	9.68877
44 	24    	2.40256	2.2946 	0.000126389	7.28004
45 	24    	2.39117	2.28499	0.000146287	7.28004
46 	24    	2.38138	2.27815	8.81e-05   	7.28004
47 	24    	2.36835	2.27056	8.81e-05   	7.28004
48 	24    	2.36238	2.26718	0.000146287	7.28004
49 	24    	2.36211	2.26713	0.000114506	7.28074
50 	24    	2.36195	2.26715	0.000114506	7.28104
51 	24    	2.36184	2.26725	0.000109419	7.28104
52 	24    	2.36178	2.26714	0.000109419	7.28104
53 	24    	2.36178	2.26712	0.000109419	7.28104
54 	24    	2.36174	2.26713	0.000109419	7.28104
55 	24    	2.36166	2.26722	0.000109419	7.28104
56 	24    	2.36164	2.26709	0.000109419	7.28004
57 	24    	2.36162	2.26721	0.000109419	7.28004
58 	24    	2.36159	2.26716	0.000109419	7.27785
59 	24    	2.36155	2.26717	0.000109419	7.27785
60 	24    	2.36149	2.26721	0.000109419	7.27785
61 	24    	2.36147	2.2672 	0.000109419	7.27785
62 	24    	2.36146	2.26717	0.000109419	7.27785
63 	24    	2.36143	2.26711	0.000109419	7.27785
64 	24    	2.36141	2.26712	0.000109419	7.27785
65 	24    	2.3613 	2.26704	0.000109419	7.27855
66 	24    	2.36127	2.26707	0.000173077	7.27855
67 	24    	2.36123	2.26717	0.000173077	7.27785
68 	24    	2.36115	2.2672 	0.000105993	7.2773 
69 	24    	2.3611 	2.26719	0.00013972 	7.2773 
70 	24    	2.36108	2.26724	0.00013972 	7.2773 
71 	24    	2.36106	2.26727	0.00013972 	7.2773 
72 	24    	2.36105	2.26728	4.43451e-05	7.2773 
73 	24    	2.36103	2.26724	4.43451e-05	7.2773 
74 	24    	2.36102	2.26729	4.43451e-05	7.2773 
75 	24    	2.36092	2.26729	4.43451e-05	7.2773 
76 	24    	2.3609 	2.26729	4.43451e-05	7.2773 
77 	24    	2.36088	2.26735	9.83476e-05	7.2773 
78 	24    	2.36088	2.26735	9.83476e-05	7.2773 
79 	24    	2.36086	2.26733	9.83476e-05	7.2773 
80 	24    	2.36   	2.26763	4.71477e-05	7.2773 
81 	24    	2.35913	2.26788	4.71477e-05	7.2773 
82 	24    	2.35737	2.26835	4.71477e-05	7.2773 
83 	24    	2.35654	2.26853	4.71477e-05	7.2773 
84 	24    	2.35066	2.27021	0.00013972 	7.2773 
85 	24    	2.34238	2.27247	0.000101597	7.27679
86 	24    	2.34041	2.27305	0.000101597	7.27679
87 	24    	2.34019	2.273  	0.000144694	7.27765
88 	24    	2.34004	2.27304	0.000156823	7.27765
89 	24    	2.33976	2.27249	0.000156823	7.27765
90 	24    	2.33971	2.27224	0.000156823	7.2756 
91 	24    	2.33948	2.27106	0.000156823	7.2756 
92 	24    	2.33911	2.26911	0.000156823	7.27784
93 	24    	2.33888	2.26735	0.000137123	7.27784
94 	24    	2.33817	2.26229	0.000137123	7.2756 
95 	24    	2.33729	2.25813	0.000137123	7.27147
96 	24    	2.33695	2.25782	0.000110349	7.27509
97 	24    	2.33639	2.2565 	0.000110349	7.27509
98 	24    	2.33577	2.25523	4.80176e-05	7.27852
99 	24    	2.33456	2.25244	4.80176e-05	7.09866
100	24    	2.33426	2.25246	4.80176e-05	7.10326
101	24    	2.33285	2.26671	4.80176e-05	11.2388
102	24    	2.32777	2.27824	0.000111871	11.2388
103	24    	2.32737	2.27413	0.000111871	11.2388
104	24    	2.32413	2.30431	0.000111871	11.2874
105	24    	2.32272	2.32047	0.000111871	11.2874
106	24    	2.31466	2.3794 	0.000111871	11.2874
107	24    	2.30067	2.46581	4.09992e-05	11.2874
108	24    	2.27828	2.58987	4.09992e-05	11.2874
109	24    	2.24501	2.57295	0.000186782	11.2617
110	24    	2.21328	2.55845	9.84986e-05	9.62537
111	24    	2.21073	2.56268	9.84986e-05	9.53927
112	24    	2.20213	2.56183	9.53905e-05	9.53927
113	24    	2.1885 	2.53314	9.53905e-05	9.53927
114	24    	2.17788	2.5208 	4.12773e-05	9.54498
115	24    	2.1684 	2.46818	9.53905e-05	9.54322
116	24    	2.15579	2.43409	9.53905e-05	9.54195
117	24    	2.14536	2.40931	0.000149444	9.54195
118	24    	2.13138	2.34866	0.000149444	9.54195
119	24    	2.10865	2.28456	0.000101387	9.53085
120	24    	2.0976 	2.28265	0.000101387	9.53085
--- 7836.714952468872 seconds ---
ran GA
