slurmstepd: error: task/cgroup: unable to add task[pid=11683] to memory cg '(null)'
preds
ITGB1
['ICAM1', 'ICAM3', 'ICAM2']
preds
ITGAL
['ITGA4', 'JAM3', 'CD28']
preds
CD226
['JAM3', 'SELL', 'ITGAL']
preds
ITGA4
['ITGAL', 'ICOSLG', 'MADCAM1']
preds
ICAM1
['ITGB1', 'ICAM3', 'ITGAL']
preds
JAM3
['ITGAL', 'CD226', 'ITGB7']
preds
F11R
['ITGA4', 'ITGAL', 'ITGB7']
gen	nevals	avg    	std   	min       	max    
0  	24    	5.28449	6.2845	0.00012126	23.0471
1  	24    	4.6023 	5.34291	5.76553e-05	23.0471
2  	24    	4.2921 	4.95088	5.57011e-05	23.0471
3  	24    	3.96203	4.44963	5.57011e-05	19.9551
4  	24    	3.86277	4.21509	5.57011e-05	20.2377
5  	24    	3.77653	4.02666	3.26392e-05	19.1078
6  	24    	3.62031	3.80813	3.26392e-05	19.1078
7  	24    	3.47091	3.5495 	3.26392e-05	17.8876
8  	24    	3.3786 	3.34541	3.26392e-05	16.6327
9  	24    	3.31169	3.2367 	0.00018098 	15.353 
10 	24    	3.25852	3.22004	0.00018098 	15.353 
11 	24    	3.15134	3.11395	0.000142101	15.353 
12 	24    	3.04015	2.93072	0.000121787	9.85379
13 	24    	3.02879	2.90413	0.000105917	9.85379
14 	24    	3.02181	2.88475	0.000114702	9.85379
15 	24    	3.02118	2.88395	0.000114702	9.85779
16 	24    	3.02064	2.88321	0.000114702	9.85779
17 	24    	3.02059	2.88319	6.05077e-05	9.85779
18 	24    	3.02049	2.88314	0.000114702	9.85779
19 	24    	3.02023	2.88275	0.000114702	9.85779
20 	24    	3.02022	2.88273	0.000114702	9.85779
21 	24    	3.02019	2.88269	0.000114702	9.85779
22 	24    	3.02019	2.88269	0.000114702	9.85779
23 	24    	3.0201 	2.88252	0.000114702	9.85779
24 	24    	3.01994	2.88234	0.000114702	9.85603
25 	24    	3.01914	2.88138	0.000114702	9.85603
26 	24    	3.01908	2.88124	0.000114702	9.85569
27 	24    	3.01904	2.88114	0.000114702	9.85569
28 	24    	3.01728	2.87925	0.000114702	9.85569
29 	24    	3.01728	2.87925	0.000114702	9.85569
30 	24    	3.01496	2.87678	0.000114702	9.85569
31 	24    	3.01244	2.87397	0.000129647	9.86138
32 	24    	3.00684	2.86766	0.000173218	9.86138
33 	24    	3.00018	2.86018	0.000161515	9.86138
34 	24    	2.99973	2.85945	8.19716e-05	9.86138
35 	24    	2.9996 	2.85923	8.19716e-05	9.85673
36 	24    	2.99916	2.8588 	8.19716e-05	9.85673
37 	24    	2.99911	2.85867	8.19716e-05	9.85046
38 	24    	2.99904	2.85857	8.19716e-05	9.85046
39 	24    	2.99871	2.85825	7.03666e-05	9.85046
40 	24    	2.99733	2.85681	7.03666e-05	9.85046
41 	24    	2.99468	2.85106	7.03666e-05	9.85046
42 	24    	2.99311	2.84969	0.000120558	9.84652
43 	24    	2.99162	2.84179	0.000120558	9.84904
44 	24    	2.99129	2.8447 	0.000120558	9.8574 
45 	24    	2.99116	2.84457	0.000241657	9.8574 
46 	24    	2.99063	2.84735	7.74047e-05	9.85429
47 	24    	2.99047	2.8472 	0.000148521	9.85429
48 	24    	2.99044	2.84705	0.000148521	9.85429
49 	24    	2.99038	2.84688	0.000148521	9.85429
50 	24    	2.98997	2.84317	0.000148521	9.85429
51 	24    	2.98916	2.83578	0.000148521	9.85443
52 	24    	2.96735	2.7971 	8.72499e-05	9.85443
53 	24    	2.9644 	2.76699	8.72499e-05	9.85443
54 	24    	2.92889	2.72431	0.00016401 	9.85163
55 	24    	2.90643	2.70723	0.00016401 	9.85163
56 	24    	2.84463	2.65821	3.24599e-05	9.84165
57 	24    	2.77969	2.60853	3.24599e-05	8.68179
