slurmstepd: error: task/cgroup: unable to add task[pid=11756] to memory cg '(null)'
preds
ITGB1
['ITGA4', 'CD226', 'NTNG2']
preds
ITGAL
['ICAM2', 'ITGA4', 'ICAM1']
preds
CD226
['SELL', 'ITGB7', 'ITGAL']
preds
ITGA4
['SELPLG', 'CD28', 'ITGAL']
preds
ICAM1
['F11R', 'ITGAL', 'ICAM2']
preds
JAM3
['CD86', 'MADCAM1', 'ITGB7']
preds
F11R
['ICAM1', 'GLG1', 'ICAM2']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.26234	6.48477	0.000135145	23.1651
1  	24    	4.62579	5.64169	0.000112154	23.0471
2  	24    	4.27889	5.18346	0.000112154	23.0471
3  	24    	3.94968	4.87406	0.000112154	23.0471
4  	24    	3.57888	4.23062	5.08717e-05	20.966 
5  	24    	3.35057	3.89246	5.08717e-05	19.8357
6  	24    	3.11188	3.45035	0.000135375	19.8357
7  	24    	2.99506	3.3096 	0.000141934	18.6863
8  	24    	2.90095	3.11376	7.38048e-05	13.2465
9  	24    	2.8674 	3.07934	7.38048e-05	13.2465
10 	24    	2.85001	3.07133	7.38048e-05	13.2465
11 	24    	2.78928	3.01548	7.38048e-05	13.2465
12 	24    	2.72496	3.11469	7.38048e-05	13.2218
13 	24    	2.6474 	2.79259	6.78e-05   	14.6754
14 	24    	2.64236	2.77367	8.58759e-05	14.6754
15 	24    	2.63905	2.80191	8.58759e-05	14.6754
16 	24    	2.63536	2.84215	8.58759e-05	14.6754
17 	24    	2.62418	2.80394	7.04384e-05	12.2676
18 	24    	2.62051	2.95436	0.000115577	12.2676
19 	24    	2.61873	3.18543	9.93367e-05	12.2821
20 	24    	2.61587	3.26455	0.000115577	12.2477
21 	24    	2.612  	3.23423	0.000164412	12.2354
22 	24    	2.60829	3.17574	0.000128429	12.2326
23 	24    	2.60107	3.05638	0.000128429	12.2132
24 	24    	2.58516	2.73939	7.30455e-05	12.1596
25 	24    	2.57619	2.63206	7.30455e-05	9.20887
26 	24    	2.57408	2.62846	7.30455e-05	9.20887
27 	24    	2.57318	2.62731	7.30455e-05	9.20887
28 	24    	2.56577	2.61546	7.30455e-05	9.20931
29 	24    	2.56327	2.61198	7.30455e-05	9.20931
30 	24    	2.56087	2.60858	8.36833e-05	9.20662
31 	24    	2.55214	2.59265	8.36833e-05	9.20522
32 	24    	2.54823	2.5853 	8.01881e-05	9.20522
33 	24    	2.53683	2.56334	8.01881e-05	9.20522
34 	24    	2.5083 	2.50637	4.76147e-05	9.20397
35 	24    	2.47657	2.44088	4.76147e-05	6.92186
36 	24    	2.4669 	2.42761	0.000133602	6.83533
37 	24    	2.462  	2.42227	8.44302e-05	6.72472
38 	24    	2.46178	2.42226	8.44302e-05	6.72472
39 	24    	2.46171	2.42227	8.44302e-05	6.72472
40 	24    	2.46165	2.42222	5.83997e-05	6.72472
41 	24    	2.46158	2.42223	0.000107544	6.72472
42 	24    	2.46148	2.42217	2.11408e-05	6.72472
43 	24    	2.4614 	2.42179	2.11408e-05	6.72472
44 	24    	2.46133	2.42121	2.11408e-05	6.72472
45 	24    	2.46106	2.42033	2.11408e-05	6.72358
46 	24    	2.46062	2.41839	2.11408e-05	6.72358
47 	24    	2.4598 	2.41669	7.08779e-05	6.72358
48 	24    	2.45913	2.41715	0.000119602	6.72277
49 	24    	2.45856	2.41717	3.18486e-05	6.72277
50 	24    	2.45836	2.417  	3.18486e-05	6.72254
51 	24    	2.45828	2.41689	3.18486e-05	6.71827
52 	24    	2.4581 	2.41664	3.18486e-05	6.72103
53 	24    	2.45768	2.41586	3.18486e-05	6.71896
54 	24    	2.45726	2.41523	7.67806e-05	6.7239 
55 	24    	2.45702	2.41496	7.67806e-05	6.72546
56 	24    	2.45685	2.41482	7.67806e-05	6.72546
57 	24    	2.45683	2.41486	7.67806e-05	6.72546
58 	24    	2.45681	2.41483	6.21513e-06	6.7239 
59 	24    	2.45595	2.41398	7.67806e-05	6.7239 
60 	24    	2.45595	2.41401	7.67806e-05	6.7239 
61 	24    	2.45594	2.41399	7.67806e-05	6.7239 
62 	24    	2.45517	2.41326	7.67806e-05	6.7239 
63 	24    	2.45515	2.41323	9.84677e-05	6.7239 
64 	24    	2.45438	2.41252	9.84677e-05	6.7239 
65 	24    	2.45438	2.41246	9.84677e-05	6.7239 
66 	24    	2.45366	2.41181	9.84677e-05	6.7239 
67 	24    	2.44934	2.40781	9.84677e-05	6.7239 
68 	24    	2.44021	2.4007 	9.84677e-05	6.72971
69 	24    	2.4348 	2.39535	9.84677e-05	6.72971
70 	24    	2.42925	2.39101	9.48741e-05	6.71962
71 	24    	2.41953	2.3848 	9.48741e-05	6.71962
72 	24    	2.39983	2.37075	2.18183e-05	6.72193
73 	24    	2.3727 	2.35266	9.48741e-05	6.72733
74 	24    	2.32325	2.32127	9.46762e-05	6.72733
75 	24    	2.32305	2.32117	9.48741e-05	6.72733
76 	24    	2.3229 	2.32109	0.000144792	6.72733
77 	24    	2.3228 	2.32098	0.000106626	6.72733
78 	24    	2.32274	2.32091	0.000106626	6.72988
79 	24    	2.32272	2.32093	2.91296e-05	6.72988
80 	24    	2.32266	2.32088	2.91296e-05	6.72988
81 	24    	2.3209 	2.31881	2.91296e-05	6.73042
82 	24    	2.31916	2.31672	2.91296e-05	6.72051
83 	24    	2.31743	2.3146 	2.91296e-05	6.72237
84 	24    	2.3157 	2.31248	9.40845e-05	6.72237
85 	24    	2.31228	2.30831	0.000106626	6.72237
86 	24    	2.30829	2.30382	0.000106626	6.72237
87 	24    	2.30144	2.29537	0.000140719	6.7219 
88 	24    	2.28898	2.28031	0.000124094	6.71902
89 	24    	2.2813 	2.27005	3.3789e-05 	6.7225 
90 	24    	2.28115	2.26994	3.3789e-05 	6.7225 
91 	24    	2.28109	2.26993	0.000101443	6.72227
92 	24    	2.28098	2.26989	0.000101443	6.72227
93 	24    	2.28096	2.26986	0.000149307	6.72227
94 	24    	2.28091	2.26979	0.000149307	6.72227
95 	24    	2.28085	2.26978	7.43723e-05	6.72227
96 	24    	2.28028	2.2695 	7.43723e-05	6.72227
97 	24    	2.28026	2.26947	7.43723e-05	6.72227
98 	24    	2.27972	2.2692 	7.43723e-05	6.72227
99 	24    	2.27918	2.26886	7.43723e-05	6.72572
100	24    	2.27867	2.26865	7.43723e-05	6.72572
101	24    	2.27661	2.26769	7.43723e-05	6.72572
102	24    	2.27351	2.2663 	7.43723e-05	6.72597
103	24    	2.2685 	2.26398	9.12472e-05	6.72597
104	24    	2.26821	2.26378	9.12472e-05	6.7196 
105	24    	2.26816	2.26375	9.12472e-05	6.7196 
106	24    	2.26803	2.26369	9.12472e-05	6.7196 
107	24    	2.26458	2.2553 	9.04453e-05	6.72177
108	24    	2.26455	2.25526	9.04453e-05	6.72177
109	24    	2.26451	2.25518	9.04453e-05	6.72177
110	24    	2.26449	2.25516	9.04453e-05	6.72341
111	24    	2.26447	2.25521	9.04453e-05	6.72341
112	24    	2.26106	2.24674	9.04453e-05	6.72341
113	24    	2.25417	2.23009	9.04453e-05	6.72341
114	24    	2.24386	2.20457	9.04453e-05	6.72341
115	24    	2.23168	2.19659	7.49766e-05	12.6444
116	24    	2.20603	2.1531 	7.49766e-05	12.6444
117	24    	2.18102	2.14283	9.04453e-05	12.6444
118	24    	2.17447	2.18506	0.000129068	12.6444
119	24    	2.16794	2.24219	0.000129068	12.6444
120	24    	2.16181	2.3422 	0.000129068	12.7169
--- 7989.154091835022 seconds ---
ran GA
