preds
ITGB1
['F11R', 'ITGA4', 'SELPLG']
preds
ITGAL
['ICAM2', 'JAM3', 'CD28']
preds
CD226
['CD28', 'SELL', 'ICAM2']
preds
ITGA4
['CD28', 'MADCAM1', 'ICAM1']
preds
ICAM1
['ICAM3', 'ITGAL', 'ICAM2']
preds
JAM3
['CD80', 'MADCAM1', 'ITGAL']
preds
F11R
['ICAM3', 'ITGB1', 'CD22']
gen	nevals	avg    	std    	min        	max    
0  	24    	5.29945	6.55408	0.000141119	23.1651
1  	24    	4.51838	5.68373	0.000109813	23.1651
2  	24    	4.28638	5.40973	0.000109813	23.1651
3  	24    	3.92631	4.90337	0.000100643	23.1651
4  	24    	3.6619 	4.54873	7.58224e-05	23.1651
5  	24    	3.43959	4.20227	0.000113273	22.1386
6  	24    	3.33103	4.00619	0.000113273	22.1386
7  	24    	3.21049	3.81213	8.84676e-05	22.1386
8  	24    	3.06314	3.62609	0.000134724	20.7222
9  	24    	2.89735	3.40616	0.000134724	19.3745
10 	24    	2.79291	3.22634	5.80573e-05	13.1677
11 	24    	2.77703	3.1681 	5.80573e-05	12.8475
12 	24    	2.76398	3.11453	5.80573e-05	12.8905
13 	24    	2.74444	3.09323	5.80573e-05	12.8905
14 	24    	2.73546	3.07275	5.80573e-05	12.8905
15 	24    	2.70701	3.05603	5.53792e-05	12.8905
16 	24    	2.66756	2.90651	5.53792e-05	12.8746
17 	24    	2.6253 	2.68688	4.13488e-05	8.65531
18 	24    	2.58942	2.63988	5.53792e-05	8.64432
19 	24    	2.53298	2.55297	0.000179159	8.64432
20 	24    	2.52122	2.54957	0.000179159	8.64432
21 	24    	2.50068	2.54911	0.000108365	8.64432
22 	24    	2.48181	2.54678	0.000108365	8.62337
23 	24    	2.44547	2.48971	0.000145446	8.62013
24 	24    	2.39922	2.42325	0.000190976	7.85999
25 	24    	2.38982	2.41837	7.78676e-05	7.85104
26 	24    	2.36262	2.40935	5.20603e-05	7.85104
27 	24    	2.33324	2.41645	5.20603e-05	7.8735 
28 	24    	2.33068	2.41877	0.000178813	7.84331
29 	24    	2.33031	2.41888	0.000178813	7.84195
30 	24    	2.32989	2.41892	0.0001884  	7.84514
31 	24    	2.32961	2.41868	7.53628e-05	7.84514
32 	24    	2.32946	2.4185 	7.53628e-05	7.84312
33 	24    	2.32878	2.41836	7.53628e-05	7.84312
34 	24    	2.32829	2.41835	0.000102758	7.84071
35 	24    	2.32737	2.41845	0.000102758	7.84678
36 	24    	2.32661	2.4186 	0.000102758	7.85524
37 	24    	2.32341	2.41897	0.00017359 	7.85869
38 	24    	2.31985	2.41904	0.000111766	7.85869
39 	24    	2.31771	2.42582	0.000146135	9.63699
40 	24    	2.31513	2.44016	0.000146135	9.64322
41 	24    	2.3126 	2.44731	0.000193778	9.64322
42 	24    	2.30621	2.49058	9.68998e-05	9.64322
43 	24    	2.29505	2.56121	9.68998e-05	9.64322
44 	24    	2.29155	2.55226	0.000138799	9.63699
45 	24    	2.29049	2.53014	0.000129345	9.63699
46 	24    	2.28897	2.4926 	9.10733e-05	9.63699
47 	24    	2.28298	2.42035	9.10733e-05	9.62201
48 	24    	2.28196	2.40493	0.000115176	7.85015
49 	24    	2.27757	2.40115	0.000115176	7.84875
50 	24    	2.27273	2.39594	0.000115176	7.84875
51 	24    	2.26095	2.38422	0.000115176	7.84718
52 	24    	2.24203	2.36445	7.61017e-05	7.84718
53 	24    	2.20431	2.32401	7.61017e-05	7.85407
54 	24    	2.19235	2.31234	7.61017e-05	7.86663
55 	24    	2.19109	2.3112 	7.61017e-05	7.84018
56 	24    	2.18994	2.31037	7.61017e-05	7.83987
57 	24    	2.1893 	2.30982	7.61017e-05	7.83981
58 	24    	2.18348	2.30578	9.44312e-05	7.851  
59 	24    	2.1821 	2.30409	9.44312e-05	7.851  
60 	24    	2.17969	2.29856	9.44312e-05	7.85631
61 	24    	2.17378	2.28949	8.37137e-05	7.85122
62 	24    	2.16828	2.28369	4.55326e-05	7.85122
63 	24    	2.15832	2.27302	4.55326e-05	7.85122
64 	24    	2.14508	2.27072	8.37137e-05	7.851  
65 	24    	2.12871	2.2767 	0.000105146	7.84964
66 	24    	2.09616	2.2689 	0.000105146	7.84436
67 	24    	2.08154	2.2672 	0.000105146	7.29505
68 	24    	2.07679	2.25743	0.000105146	7.29505
69 	24    	2.05323	2.236  	0.000118255	7.3045 
70 	24    	2.02586	2.22753	0.000118255	7.33135
71 	24    	2.01617	2.21185	0.000118255	7.34914
72 	24    	2.00925	2.20749	0.000118255	7.34914
73 	24    	1.99618	2.1969 	9.96924e-05	7.33308
74 	24    	1.97799	2.1971 	9.96924e-05	7.33874
75 	24    	1.96287	2.20752	8.34943e-05	7.33874
76 	24    	1.94847	2.21503	8.34943e-05	7.33874
77 	24    	1.94505	2.21308	8.34943e-05	7.33874
78 	24    	1.94237	2.20602	8.34943e-05	7.33308
79 	24    	1.93885	2.19657	8.34943e-05	7.27445
80 	24    	1.93222	2.17671	8.34943e-05	7.29549
81 	24    	1.92772	2.16555	0.000124669	6.59812
82 	24    	1.92736	2.16562	0.000124669	6.59636
83 	24    	1.9262 	2.16379	8.06311e-05	6.59986
84 	24    	1.92565	2.16284	8.06311e-05	6.60019
85 	24    	1.92383	2.15951	8.52594e-05	6.60019
86 	24    	1.92339	2.15838	4.98131e-05	6.60019
87 	24    	1.92118	2.15336	4.98131e-05	6.60019
88 	24    	1.91903	2.1493 	4.98131e-05	6.60019
89 	24    	1.91454	2.14376	4.98131e-05	6.61266
90 	24    	1.90817	2.13406	4.98131e-05	6.61748
91 	24    	1.90381	2.12732	9.94533e-05	6.61748
