preds
ITGB1
['ITGAL', 'MADCAM1', 'ICOSLG']
preds
ITGAL
['ICAM2', 'JAM3', 'ITGB1']
preds
CD226
['JAM3', 'MADCAM1', 'LRRC4']
preds
ITGA4
['CD28', 'ICAM2', 'ICAM3']
preds
ICAM1
['ICAM3', 'ITGAL', 'ICAM2']
preds
JAM3
['CD86', 'ITGAL', 'CD226']
preds
F11R
['ITGA4', 'ITGAL', 'CD22']
gen	nevals	avg    	std    	min       	max    
0  	24    	5.17066	6.48627	7.5177e-05	23.0936
1  	24    	4.4048 	5.67774	7.5177e-05	23.0936
2  	24    	4.10824	5.32468	7.5177e-05	23.0936
3  	24    	3.82983	4.93383	7.5177e-05	19.1078
4  	24    	3.69316	4.86134	6.66263e-05	22.1386
5  	24    	3.59039	4.74075	6.66263e-05	22.1386
6  	24    	3.28068	4.3995 	0.000126035	22.1386
7  	24    	2.96941	4.07913	0.000150253	18.0492
8  	24    	2.84596	3.92126	0.000123754	18.0492
9  	24    	2.6505 	3.7935 	0.000123754	18.0492
10 	24    	2.534  	3.75632	0.000138047	18.0492
11 	24    	2.40348	3.85271	0.000140754	18.0492
12 	24    	2.27967	3.65973	0.000166833	18.0492
13 	24    	2.19131	3.45662	0.000102799	12.7681
14 	24    	2.14818	3.41582	0.000112472	12.7681
15 	24    	2.10832	3.39201	0.000112472	12.7319
16 	24    	2.09874	3.36241	0.000141664	12.6133
17 	24    	2.07915	3.31183	0.000141664	12.6075
18 	24    	2.05385	3.24494	0.000141664	12.6075
19 	24    	1.97397	3.01988	5.75702e-05	12.6045
20 	24    	1.95448	2.96411	5.75702e-05	10.9957
21 	24    	1.95402	2.96398	3.84394e-05	10.9957
22 	24    	1.95345	2.96513	3.84394e-05	10.9956
23 	24    	1.95307	2.96494	3.84394e-05	10.9956
24 	24    	1.95219	2.96426	6.79606e-05	10.9956
25 	24    	1.94895	2.96389	6.79606e-05	10.9956
26 	24    	1.94315	2.96521	6.79606e-05	10.9956
27 	24    	1.94051	2.96642	3.04108e-05	10.9944
28 	24    	1.92819	2.96912	3.04108e-05	10.9932
29 	24    	1.9148 	2.97415	5.54004e-05	10.9937
30 	24    	1.8949 	2.98268	5.54004e-05	10.9956
31 	24    	1.88479	2.9921 	5.54004e-05	10.9956
32 	24    	1.88303	2.99166	5.54004e-05	10.9956
33 	24    	1.87783	2.99262	5.54004e-05	10.9956
34 	24    	1.8721 	2.99177	7.84199e-05	10.9956
35 	24    	1.86425	2.99052	0.000126113	10.9956
36 	24    	1.85216	2.99027	0.000178487	10.9956
37 	24    	1.83494	2.99354	9.96122e-05	10.9836
38 	24    	1.83153	2.99384	9.96122e-05	10.9836
39 	24    	1.83014	2.99216	9.96122e-05	10.9836
40 	24    	1.82981	2.99199	9.96122e-05	10.9836
41 	24    	1.82923	2.99135	9.96122e-05	10.9836
42 	24    	1.82848	2.99087	9.96122e-05	10.9836
43 	24    	1.82776	2.99009	9.96122e-05	10.9836
44 	24    	1.82665	2.98895	9.94504e-05	10.9848
45 	24    	1.82601	2.9875 	9.94504e-05	10.9848
46 	24    	1.82569	2.98684	0.000169185	10.9806
47 	24    	1.82281	2.97806	0.000169185	10.9807
48 	24    	1.8228 	2.97816	0.000169185	10.9807
