preds
ITGB1
['ICAM2', 'PTPRC', 'ITGB7']
preds
ITGAL
['ICAM2', 'ITGA4', 'JAM3']
preds
CD226
['NTNG2', 'MADCAM1', 'ICAM2']
preds
ITGA4
['CD22', 'ITGAL', 'MADCAM1']
preds
ICAM1
['ICAM3', 'ITGAL', 'ITGA4']
preds
JAM3
['CD28', 'LRRC4', 'MADCAM1']
preds
F11R
['ICAM3', 'ITGA4', 'ITGAL']
gen	nevals	avg    	std    	min        	max    
0  	24    	4.80541	6.11427	0.000136371	23.1651
1  	24    	4.10193	5.27641	0.000130771	23.1651
2  	24    	3.8517 	4.90372	4.16777e-05	23.1651
3  	24    	3.69503	4.65463	0.000120837	23.0471
4  	24    	3.59089	4.44248	0.000201251	22.1386
5  	24    	3.43587	4.24682	0.000116352	22.1386
6  	24    	3.35212	4.04785	0.000163684	21.5753
7  	24    	3.20778	3.69601	0.000207184	21.5753
8  	24    	3.01524	3.21743	0.000125314	18.319 
9  	24    	2.93118	3.05361	8.44605e-05	18.3296
10 	24    	2.88372	3.02328	0.000101602	18.3296
11 	24    	2.82239	2.88198	0.000133544	14.7061
12 	24    	2.74708	2.83353	0.000133544	14.7061
13 	24    	2.68006	2.70053	0.000210115	9.19559
14 	24    	2.65038	2.67969	0.000106031	9.12203
15 	24    	2.64043	2.60467	0.000106031	8.25774
16 	24    	2.61671	2.57862	5.10072e-05	8.26336
17 	24    	2.60951	2.57165	5.10072e-05	8.25774
18 	24    	2.59178	2.55247	5.10072e-05	8.25082
19 	24    	2.56381	2.516  	5.10072e-05	8.25082
20 	24    	2.51172	2.51519	0.000134183	8.25447
21 	24    	2.48354	2.44465	9.05642e-05	8.2637 
22 	24    	2.4614 	2.45712	0.000142383	8.25145
23 	24    	2.45127	2.38674	0.000127268	8.21629
24 	24    	2.44051	2.34927	0.000142383	6.68525
25 	24    	2.42665	2.32895	0.000252024	6.68525
26 	24    	2.4124 	2.30657	0.000179223	6.6782 
27 	24    	2.41006	2.30359	0.000126097	6.14405
28 	24    	2.40953	2.30306	5.47601e-05	6.13986
29 	24    	2.40908	2.30234	5.47601e-05	6.14314
30 	24    	2.40823	2.3015 	0.000124332	6.14314
31 	24    	2.40675	2.29939	0.000124332	6.14945
32 	24    	2.40591	2.29837	0.000124332	6.14945
33 	24    	2.4055 	2.29806	0.000124894	6.14517
34 	24    	2.40545	2.298  	0.000124894	6.14517
35 	24    	2.40438	2.29654	0.0001111  	6.14249
36 	24    	2.4043 	2.29659	0.0001111  	6.14249
37 	24    	2.40351	2.29524	0.000155153	6.14249
38 	24    	2.40345	2.29523	0.000155153	6.13955
39 	24    	2.40267	2.29397	0.000155153	6.13955
40 	24    	2.4012 	2.29153	0.000155153	6.14409
41 	24    	2.39824	2.28656	0.000114836	6.14409
42 	24    	2.39291	2.28279	0.000114836	9.42555
43 	24    	2.38724	2.26834	0.000178034	6.14516
44 	24    	2.38675	2.26815	7.29924e-05	6.14516
45 	24    	2.3865 	2.26811	0.000146568	6.14516
46 	24    	2.3863 	2.27206	0.000146568	7.44549
47 	24    	2.38604	2.27616	0.000146568	7.46382
48 	24    	2.38593	2.27616	0.00014754 	7.46382
49 	24    	2.38576	2.28027	0.00014754 	7.46382
50 	24    	2.38444	2.2841 	0.00014754 	7.46382
51 	24    	2.3817 	2.29587	9.65068e-05	7.46382
52 	24    	2.37946	2.31579	9.65068e-05	7.4639 
53 	24    	2.37174	2.34095	9.65068e-05	7.72278
54 	24    	2.36176	2.3253 	9.65068e-05	7.72278
55 	24    	2.35532	2.32714	0.00016878 	7.73711
56 	24    	2.34939	2.37452	0.00016878 	7.73711
57 	24    	2.34797	2.37428	0.000131238	7.71126
58 	24    	2.3476 	2.37374	0.000111961	7.71126
59 	24    	2.34748	2.37363	0.000111961	7.70679
60 	24    	2.3474 	2.37351	0.000111961	7.70679
61 	24    	2.3473 	2.37338	0.000111961	7.70679
62 	24    	2.34721	2.37324	0.000111961	7.70679
63 	24    	2.34713	2.37315	0.000111961	7.70679
64 	24    	2.3471 	2.37319	0.000111961	7.70679
65 	24    	2.34705	2.37325	0.000111961	7.70735
66 	24    	2.34687	2.37384	0.000111961	7.70735
67 	24    	2.34663	2.37468	5.30239e-05	7.70735
68 	24    	2.34621	2.37593	5.30239e-05	7.71139
69 	24    	2.3456 	2.37762	0.000124508	7.71139
70 	24    	2.34418	2.38183	0.000131448	7.71139
71 	24    	2.34246	2.38794	8.78161e-05	7.71324
72 	24    	2.34201	2.38734	0.000211939	7.71324
73 	24    	2.33979	2.38504	0.000231139	7.71324
74 	24    	2.33754	2.38287	7.94285e-05	7.71139
75 	24    	2.33534	2.38073	7.94285e-05	7.71032
76 	24    	2.32999	2.37528	7.94285e-05	7.71032
77 	24    	2.32131	2.36893	7.94285e-05	7.70469
78 	24    	2.30851	2.35599	0.000110158	7.70503
79 	24    	2.29147	2.33752	6.8765e-05 	7.71133
80 	24    	2.29124	2.33736	6.5267e-05 	7.71133
81 	24    	2.29104	2.33713	6.8765e-05 	7.71133
82 	24    	2.29099	2.33707	6.8765e-05 	7.71133
83 	24    	2.29079	2.33727	6.8765e-05 	7.71133
84 	24    	2.29066	2.33746	6.8765e-05 	7.71133
85 	24    	2.29058	2.33712	6.8765e-05 	7.71133
86 	24    	2.29048	2.33745	6.8765e-05 	7.71199
87 	24    	2.29041	2.33779	0.000141126	7.71199
88 	24    	2.28979	2.34583	0.000154473	9.71538
89 	24    	2.28957	2.3467 	0.000195874	9.71538
90 	24    	2.28903	2.35495	0.000189299	9.75496
91 	24    	2.28843	2.36076	3.69215e-05	9.75496
92 	24    	2.28754	2.37848	3.69215e-05	9.75496
93 	24    	2.28526	2.42916	3.69215e-05	9.76953
94 	24    	2.282  	2.47209	0.000138618	9.76953
95 	24    	2.27944	2.4716 	0.000159779	9.77545
96 	24    	2.27724	2.47273	0.000152655	9.77709
97 	24    	2.27397	2.46621	9.19399e-05	9.77709
98 	24    	2.27164	2.45794	9.19399e-05	9.76879
99 	24    	2.26605	2.44634	9.19399e-05	9.74252
100	24    	2.25615	2.42663	8.34461e-05	9.73639
101	24    	2.24643	2.42147	8.34461e-05	9.62712
102	24    	2.24037	2.46571	3.76373e-05	9.76099
103	24    	2.23839	2.46556	3.76373e-05	9.61595
104	24    	2.23796	2.46596	3.76373e-05	9.61211
105	24    	2.23771	2.46801	3.76373e-05	9.6174 
106	24    	2.23736	2.46933	0.000135361	9.62326
107	24    	2.23713	2.47016	8.99396e-05	9.61271
108	24    	2.23695	2.47031	8.99396e-05	9.61163
109	24    	2.23683	2.47135	3.86003e-05	9.60834
110	24    	2.23612	2.47144	0.000130795	9.61308
111	24    	2.23516	2.47103	0.000128573	9.61821
112	24    	2.2331 	2.46538	0.000128573	9.61821
113	24    	2.2308 	2.4647 	0.000128573	9.61821
114	24    	2.22713	2.46834	9.92983e-05	9.61821
115	24    	2.22375	2.46774	9.55025e-05	9.62149
116	24    	2.22277	2.46699	9.55025e-05	9.614  
117	24    	2.22265	2.46696	9.55025e-05	9.60634
118	24    	2.22243	2.46614	9.55025e-05	9.60634
119	24    	2.22228	2.46548	3.09842e-05	9.60634
120	24    	2.22205	2.465  	3.09842e-05	9.60634
--- 7705.089574098587 seconds ---
ran GA
