preds
F11R
['CXCR4', 'CDC42', 'ICAM1']
preds
ITGAL
['RASSF5', 'JAM3', 'PTK2B']
preds
RHOA
['RAC1', 'RAC2', 'PTK2']
preds
JAM3
['PECAM1', 'PTK2B', 'ITGAL']
preds
RAC1
['RHOA', 'CDC42', 'F11R']
preds
RAC2
['RHOA', 'CDC42', 'CXCR4']
preds
RASSF5
['PTK2B', 'ITGA4', 'ITGAL']
preds
PTK2B
['NCF1', 'JAM3', 'RASSF5']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['F11R', 'CXCR4', 'RAC1']
preds
CDC42
['RAC1', 'F11R', 'CXCR4']
gen	nevals	avg    	std    	min        	max    
0  	24    	8.36454	5.53175	0.000176652	20.1086
1  	24    	6.88225	4.52085	0.000170079	19.971 
2  	24    	6.13468	4.04092	8.82352e-05	20.1086
3  	24    	5.46997	3.54588	6.52899e-05	22.5199
4  	24    	5.14953	2.85738	0.000108606	20.1086
5  	24    	4.91204	2.57146	7.60281e-05	13.8752
6  	24    	4.82526	2.31752	7.60281e-05	13.2257
7  	24    	4.74575	2.18626	7.60281e-05	13.2257
8  	24    	4.55458	2.15539	0.000111416	13.2257
9  	24    	4.41567	2.01296	9.19303e-05	12.1267
10 	24    	4.28272	1.98656	8.04138e-05	9.31745
11 	24    	4.22826	2.14022	0.00011188 	9.31745
12 	24    	4.1954 	2.22894	0.000105894	9.31745
13 	24    	4.17704	2.25316	0.000105894	9.31745
14 	24    	4.11987	2.22348	0.000108521	9.31745
15 	24    	4.07013	2.17742	0.000108521	9.10941
16 	24    	4.064  	2.17347	4.85674e-05	9.31745
17 	24    	4.04912	2.15665	4.85674e-05	9.31745
18 	24    	4.02722	2.14605	4.85674e-05	9.50818
19 	24    	3.98389	2.1397 	0.00011068 	9.5151 
20 	24    	3.96828	2.10552	9.9234e-05 	9.31745
21 	24    	3.967  	2.10461	5.23225e-05	9.31745
22 	24    	3.96622	2.10357	5.23225e-05	9.31745
23 	24    	3.96524	2.10423	5.23225e-05	9.31745
24 	24    	3.9608 	2.11107	4.02679e-05	9.31745
25 	24    	3.96029	2.11219	4.02679e-05	9.31745
26 	24    	3.95802	2.1079 	4.02679e-05	9.31745
27 	24    	3.95324	2.11559	4.02679e-05	9.31745
28 	24    	3.93623	2.13229	8.77057e-05	9.31745
29 	24    	3.91769	2.13394	8.77057e-05	9.31745
30 	24    	3.89798	2.15018	8.77057e-05	9.31745
31 	24    	3.85473	2.21218	8.38092e-05	9.31745
32 	24    	3.84725	2.19575	6.01411e-05	9.31745
33 	24    	3.83436	2.16336	8.77057e-05	9.31745
34 	24    	3.81436	2.03052	7.45213e-05	9.31745
35 	24    	3.79122	1.7829 	7.45213e-05	9.31745
36 	24    	3.77321	1.65391	7.45213e-05	6.55103
37 	24    	3.7717 	1.65226	0.000122252	6.54734
38 	24    	3.77121	1.65163	0.000102314	6.54734
39 	24    	3.75971	1.68758	0.000122252	7.99834
40 	24    	3.7471 	1.71188	0.000106948	7.99834
41 	24    	3.73233	1.75473	0.000106948	8.0034 
42 	24    	3.70835	1.84038	0.000165149	8.00948
43 	24    	3.67504	1.83051	0.00012225 	6.5565 
44 	24    	3.67286	1.82841	9.53269e-05	6.5565 
45 	24    	3.67248	1.82806	9.53269e-05	6.5565 
46 	24    	3.67207	1.82764	9.53269e-05	6.55374
47 	24    	3.67051	1.8277 	9.53269e-05	6.55374
48 	24    	3.66595	1.81938	7.79992e-05	6.56275
49 	24    	3.65981	1.818  	7.79992e-05	7.97704
50 	24    	3.65531	1.82164	5.9964e-05 	7.97704
51 	24    	3.64805	1.81278	0.000117546	7.97704
52 	24    	3.64248	1.77483	0.000117546	7.97605
53 	24    	3.63562	1.7248 	6.67138e-05	6.55219
54 	24    	3.63006	1.68018	8.18248e-05	6.55219
55 	24    	3.62031	1.63533	8.18248e-05	6.54156
56 	24    	3.61419	1.63595	8.48636e-05	6.54156
57 	24    	3.60895	1.66823	8.48636e-05	6.54307
58 	24    	3.60219	1.70266	8.48636e-05	6.54668
59 	24    	3.59573	1.69675	8.48636e-05	6.54674
60 	24    	3.58476	1.65433	5.16347e-05	6.54181
61 	24    	3.57971	1.63721	7.38433e-05	6.15774
62 	24    	3.57476	1.63986	7.38433e-05	6.15774
63 	24    	3.57017	1.64268	0.000103588	6.15613
64 	24    	3.55711	1.64808	9.24881e-05	6.15613
65 	24    	3.55085	1.64898	7.95736e-05	6.15613
66 	24    	3.55064	1.64886	7.95736e-05	6.15613
67 	24    	3.5473 	1.64732	7.95736e-05	6.15613
68 	24    	3.54454	1.64603	7.95736e-05	6.15568
69 	24    	3.53865	1.64321	7.95736e-05	6.15568
70 	24    	3.5263 	1.63728	7.95736e-05	6.15568
71 	24    	3.49847	1.62431	5.84705e-05	6.15626
72 	24    	3.49096	1.62092	5.84705e-05	6.15626
73 	24    	3.489  	1.62008	5.84705e-05	6.15776
74 	24    	3.48316	1.62487	5.84705e-05	6.20987
75 	24    	3.47897	1.62188	5.84705e-05	6.20987
76 	24    	3.47417	1.62674	4.33206e-05	6.21023
77 	24    	3.47256	1.63402	0.000104019	6.21023
78 	24    	3.47072	1.64044	5.16949e-05	6.21023
79 	24    	3.4685 	1.65419	4.65634e-05	6.21023
80 	24    	3.46408	1.66542	4.65634e-05	6.21023
81 	24    	3.45857	1.69144	5.16949e-05	6.21062
82 	24    	3.45348	1.69378	5.16949e-05	6.21062
83 	24    	3.44676	1.65836	5.16949e-05	6.21095
84 	24    	3.4372 	1.60316	3.83746e-05	6.21148
85 	24    	3.43541	1.61858	3.83746e-05	6.21148
86 	24    	3.42783	1.62717	3.83746e-05	6.21148
87 	24    	3.42398	1.65052	3.83746e-05	6.21148
88 	24    	3.42204	1.68049	3.83746e-05	6.21148
89 	24    	3.41734	1.71758	3.83746e-05	6.21148
90 	24    	3.41005	1.6971 	7.36905e-05	6.21164
91 	24    	3.40312	1.6643 	0.000136839	6.21164
92 	24    	3.3843 	1.60721	8.66039e-05	6.21029
93 	24    	3.37797	1.59143	7.88512e-05	6.15048
94 	24    	3.36965	1.59246	7.88512e-05	6.15048
95 	24    	3.34596	1.59113	0.000136839	6.15075
96 	24    	3.32155	1.59099	0.000136839	6.15048
97 	24    	3.31308	1.59394	0.000118945	6.14845
98 	24    	3.30274	1.58895	6.12901e-05	6.14845
99 	24    	3.28317	1.58401	6.12901e-05	6.14845
100	24    	3.24   	1.56942	6.12901e-05	6.15177
101	24    	3.20835	1.57471	0.000105413	5.44045
102	24    	3.14751	1.59788	4.95596e-05	5.18999
103	24    	3.11336	1.55996	4.95596e-05	5.19132
104	24    	3.10428	1.53335	4.95596e-05	5.19132
105	24    	3.09074	1.48922	8.13245e-05	5.18387
106	24    	3.08162	1.4729 	8.13245e-05	5.12151
107	24    	3.07936	1.47366	0.000123908	5.1264 
108	24    	3.07828	1.47385	0.000123908	5.12349
109	24    	3.07664	1.47473	0.000123908	5.12349
110	24    	3.07463	1.47547	0.000123908	5.12349
111	24    	3.07205	1.47593	4.95453e-05	5.12105
112	24    	3.07   	1.4761 	4.95453e-05	5.12105
113	24    	3.06836	1.49347	4.95453e-05	6.82929
114	24    	3.06703	1.4765 	7.7409e-05 	5.12105
115	24    	3.06569	1.47736	0.000118347	5.12166
116	24    	3.06456	1.4773 	0.00011378 	5.258  
117	24    	3.06351	1.47764	0.00011378 	5.258  
118	24    	3.06232	1.47759	7.52879e-05	5.2637 
119	24    	3.0622 	1.47756	7.52879e-05	5.2637 
120	24    	3.05947	1.47485	7.52879e-05	5.2637 
