preds
F11R
['CXCR4', 'CDC42', 'ICAM1']
preds
ITGAL
['CTNNB1', 'RASSF5', 'JAM3']
preds
RHOA
['RAC1', 'RAC2', 'F11R']
preds
JAM3
['BCAR1', 'ITGAL', 'RHOA']
preds
RAC1
['RHOA', 'CDC42', 'F11R']
preds
RAC2
['RHOA', 'PTK2', 'CXCR4']
preds
RASSF5
['SIPA1', 'PXN', 'PTK2B']
preds
PTK2B
['CTNNB1', 'RASSF5', 'ITGAL']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['F11R', 'PTK2', 'CXCR4']
preds
CDC42
['RAC1', 'F11R', 'CXCR4']
gen	nevals	avg    	std    	min       	max    
0  	24    	7.43847	4.94695	0.00013321	20.1086
1  	24    	6.20996	4.18624	0.000126917	19.971 
2  	24    	5.74915	3.80398	0.000144368	19.1078
3  	24    	5.43799	3.40837	6.68444e-05	19.1078
4  	24    	5.23726	3.1279 	3.74824e-05	18.1385
5  	24    	5.19518	3.21339	8.70612e-05	18.1385
6  	24    	5.12015	3.09834	8.70612e-05	18.1385
7  	24    	5.09364	3.13265	8.70612e-05	18.1385
8  	24    	5.02885	3.0035 	8.68026e-05	18.1385
9  	24    	4.98712	2.99167	0.000102767	15.3264
10 	24    	4.90703	3.02511	0.00010837 	15.3264
11 	24    	4.82451	2.87611	8.45621e-05	14.1546
12 	24    	4.72416	2.86598	0.00010837 	14.1546
13 	24    	4.64552	2.89285	0.000121346	14.1546
14 	24    	4.56217	2.81506	0.000121346	14.1546
15 	24    	4.41395	2.74467	0.000121346	11.6426
16 	24    	4.38911	2.61644	0.000121346	11.6426
17 	24    	4.34108	2.50368	0.000110971	11.6394
18 	24    	4.33108	2.44377	0.000124455	9.74836
19 	24    	4.32871	2.44575	0.000124455	9.74836
20 	24    	4.32204	2.45221	0.000100909	9.73911
21 	24    	4.32   	2.45442	0.000139908	9.74651
22 	24    	4.31983	2.45484	7.91124e-05	9.74651
23 	24    	4.31977	2.455  	7.91124e-05	9.74651
24 	24    	4.31974	2.45506	7.91124e-05	9.74651
25 	24    	4.31899	2.45494	7.91124e-05	9.74651
26 	24    	4.31873	2.45435	0.000137723	9.74651
27 	24    	4.31729	2.45484	0.000137723	9.74651
28 	24    	4.31525	2.45476	0.000131603	9.74651
29 	24    	4.31205	2.45446	0.00010224 	9.74539
30 	24    	4.30994	2.46505	2.41373e-05	9.7406 
31 	24    	4.30857	2.47308	2.41373e-05	9.73683
32 	24    	4.30823	2.47351	6.47167e-05	9.73695
