preds
F11R
['CXCR4', 'RHOA', 'RAC1']
preds
ITGAL
['RASSF5', 'PTK2B', 'ICAM1']
preds
RHOA
['RAC2', 'F11R', 'CXCR4']
preds
JAM3
['RASSF5', 'PTK2B', 'RHOA']
preds
RAC1
['CDC42', 'RAC2', 'NCF4']
preds
RAC2
['RHOA', 'RAC1', 'CDC42']
preds
RASSF5
['JAM3', 'PTK2B', 'ITGAL']
preds
PTK2B
['JAM3', 'BCAR1', 'RASSF5']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['NCF2', 'CXCR4', 'RAC1']
preds
CDC42
['RAC1', 'CXCR4', 'RAC2']
gen	nevals	avg    	std    	min        	max    
0  	24    	7.39174	5.09974	3.71503e-05	20.8501
1  	24    	6.24953	4.16434	0.000100123	20.8501
2  	24    	5.66546	3.62357	0.000100123	20.8501
3  	24    	5.24887	3.35583	0.000100123	20.8501
4  	24    	5.01477	2.81052	0.000100123	18.1915
5  	24    	4.81774	2.54896	0.000102261	12.4231
6  	24    	4.71586	2.34298	0.000102261	14.018 
7  	24    	4.65818	2.29762	0.000102261	12.4231
8  	24    	4.58032	2.19964	0.000102261	9.41342
9  	24    	4.53021	2.16085	0.000102261	9.32149
10 	24    	4.51297	2.14093	0.000107162	10.177 
11 	24    	4.50314	2.20091	0.000136223	9.25761
12 	24    	4.49437	2.2706 	0.000109981	11.6224
13 	24    	4.47344	2.22677	0.000127988	11.6224
14 	24    	4.43111	2.14544	7.74239e-05	9.24757
15 	24    	4.37065	2.1323 	7.35141e-05	8.8096 
16 	24    	4.33345	2.18835	6.51217e-05	8.8096 
17 	24    	4.30483	2.18095	4.99487e-05	8.8096 
18 	24    	4.286  	2.18534	4.91706e-05	8.8096 
19 	24    	4.26807	2.18703	4.91706e-05	8.8096 
20 	24    	4.24429	2.21352	9.83536e-05	8.8096 
21 	24    	4.1967 	2.2631 	2.56567e-05	8.81102
22 	24    	4.16191	2.28347	2.56567e-05	8.8138 
23 	24    	4.12096	2.28655	9.83536e-05	8.81134
24 	24    	4.09792	2.27556	0.00012083 	8.81273
25 	24    	4.09676	2.25309	3.28925e-05	8.81273
26 	24    	4.09457	2.20462	0.000100127	8.38132
27 	24    	4.09422	2.20461	5.01841e-05	8.38132
28 	24    	4.09398	2.20452	5.01841e-05	8.37451
29 	24    	4.09372	2.20452	5.01841e-05	8.37451
30 	24    	4.09365	2.20459	5.01841e-05	8.37451
31 	24    	4.09354	2.20428	5.01841e-05	8.37329
32 	24    	4.09343	2.20426	5.01841e-05	8.37329
33 	24    	4.09338	2.20439	5.01841e-05	8.37329
34 	24    	4.09335	2.20441	5.01841e-05	8.37338
35 	24    	4.09333	2.20431	5.01841e-05	8.37338
36 	24    	4.09333	2.20431	5.01841e-05	8.37338
37 	24    	4.0933 	2.20413	5.01841e-05	8.37338
38 	24    	4.09328	2.20432	5.01841e-05	8.37547
39 	24    	4.09322	2.20417	5.01841e-05	8.37547
40 	24    	4.09317	2.20423	5.01841e-05	8.37547
41 	24    	4.09262	2.20395	5.01841e-05	8.37547
42 	24    	4.092  	2.20383	5.01841e-05	8.37547
43 	24    	4.08911	2.2004 	5.01841e-05	8.37547
44 	24    	4.08577	2.19737	5.01841e-05	8.37634
45 	24    	4.07947	2.19044	5.01841e-05	8.37407
46 	24    	4.06605	2.17721	6.42549e-05	8.37407
47 	24    	4.04693	2.14703	6.69517e-05	8.37407
48 	24    	4.03597	2.12891	9.32448e-05	8.37392
49 	24    	4.0355 	2.12856	5.06715e-05	8.37576
50 	24    	4.03537	2.12845	8.42155e-05	8.37576
51 	24    	4.03393	2.12982	9.32448e-05	8.37576
52 	24    	4.03266	2.13135	9.32448e-05	8.37576
53 	24    	4.02904	2.13566	7.77498e-05	8.37576
54 	24    	4.02082	2.14627	3.58668e-05	8.6874 
55 	24    	4.01142	2.15812	3.58668e-05	8.6874 
56 	24    	4.00451	2.16728	4.97999e-05	8.6874 
57 	24    	4.00037	2.16143	4.97999e-05	8.6874 
58 	24    	3.99539	2.1574 	4.97999e-05	8.6874 
59 	24    	3.9931 	2.16115	4.97999e-05	8.6874 
60 	24    	3.9792 	2.16303	4.97999e-05	8.6874 
61 	24    	3.9561 	2.15235	5.34058e-05	8.6874 
62 	24    	3.93408	2.11797	5.34058e-05	8.68469
63 	24    	3.88047	2.04633	3.35013e-05	6.65595
64 	24    	3.8524 	2.0537 	6.91948e-05	6.3651 
65 	24    	3.82406	2.07582	6.91948e-05	6.36599
66 	24    	3.75871	2.13067	2.97409e-05	6.36172
67 	24    	3.6791 	2.1913 	9.4612e-05 	6.36172
68 	24    	3.56415	2.27644	9.4612e-05 	6.36251
69 	24    	3.5619 	2.27526	9.4612e-05 	6.367  
70 	24    	3.5598 	2.27404	0.000103261	6.36268
71 	24    	3.55963	2.27386	0.000103261	6.36251
72 	24    	3.55334	2.26804	0.000170383	7.16996
73 	24    	3.54007	2.25333	0.000163019	7.18185
74 	24    	3.52181	2.24197	7.37896e-05	9.20121
75 	24    	3.51471	2.21252	7.39805e-05	7.18234
76 	24    	3.50561	2.15704	7.39805e-05	7.19135
77 	24    	3.49652	2.13614	7.39805e-05	7.19135
78 	24    	3.48688	2.09939	7.39805e-05	7.18624
79 	24    	3.47948	2.0671 	7.39805e-05	7.28786
80 	24    	3.476  	2.07448	6.645e-05  	7.29294
81 	24    	3.46622	2.09716	6.645e-05  	7.32393
82 	24    	3.45948	2.12358	6.645e-05  	7.32393
83 	24    	3.44409	2.16778	0.000104424	7.32393
84 	24    	3.42701	2.22724	0.000104424	7.32393
85 	24    	3.42033	2.22494	4.14945e-05	7.32393
86 	24    	3.40974	2.21071	4.14945e-05	7.32393
87 	24    	3.39415	2.20858	5.64678e-05	7.3176 
88 	24    	3.38509	2.24033	5.64678e-05	7.07333
89 	24    	3.3835 	2.22267	5.64678e-05	7.07333
90 	24    	3.37996	2.17656	7.23521e-06	7.09896
91 	24    	3.37674	2.13539	7.23521e-06	7.08267
92 	24    	3.3763 	2.13508	7.23521e-06	7.06892
93 	24    	3.37605	2.13439	7.23521e-06	7.06805
94 	24    	3.37585	2.13465	7.23521e-06	7.06805
95 	24    	3.37525	2.13592	8.65681e-05	7.06805
96 	24    	3.37515	2.13574	8.65681e-05	7.06805
97 	24    	3.37425	2.13881	8.65681e-05	7.06805
98 	24    	3.37369	2.14018	8.65681e-05	7.06805
99 	24    	3.37209	2.14684	8.78497e-05	7.05735
100	24    	3.37053	2.15366	8.78497e-05	7.08773
101	24    	3.36675	2.17127	8.78497e-05	7.08773
102	24    	3.36593	2.17322	6.69882e-05	7.08773
103	24    	3.36554	2.17216	6.69882e-05	7.07827
104	24    	3.36516	2.17177	6.69882e-05	7.07827
105	24    	3.36437	2.1698 	8.54589e-05	7.09865
106	24    	3.36429	2.16943	8.54589e-05	7.09865
107	24    	3.3635 	2.16695	8.54589e-05	7.09865
108	24    	3.36187	2.16259	8.54589e-05	7.09865
109	24    	3.36104	2.16048	8.54589e-05	7.09865
110	24    	3.36042	2.15849	8.54589e-05	7.09865
111	24    	3.35977	2.15646	8.54589e-05	7.09865
112	24    	3.35765	2.14945	8.54589e-05	7.09865
113	24    	3.35512	2.14082	8.54589e-05	7.09865
114	24    	3.34973	2.12261	8.54589e-05	7.09865
115	24    	3.34864	2.12038	7.26262e-05	7.09291
116	24    	3.34849	2.12017	7.26262e-05	7.08132
117	24    	3.34832	2.11959	7.26262e-05	7.07161
118	24    	3.34819	2.11934	7.26262e-05	7.07503
119	24    	3.34807	2.11892	7.26262e-05	7.07503
120	24    	3.34792	2.1187 	7.26262e-05	7.07503
--- 7679.724591493607 seconds ---
ran GA
