preds
F11R
['CXCR4', 'RHOA', 'RAC1']
preds
ITGAL
['RASSF5', 'JAM3', 'PTK2B']
preds
RHOA
['CDC42', 'RAC1', 'PTK2']
preds
JAM3
['ITGAL', 'CDC42', 'RHOA']
preds
RAC1
['RHOA', 'RAC2', 'NCF4']
preds
RAC2
['RAC1', 'CXCR4', 'ICAM1']
preds
RASSF5
['PXN', 'PTK2B', 'ITGAL']
preds
PTK2B
['ITGA4', 'SIPA1', 'RASSF5']
preds
CXCR4
['F11R', 'CDC42', 'RHOA']
preds
ICAM1
['ITGB1', 'RAC1', 'RAC2']
preds
CDC42
['RHOA', 'CXCR4', 'ITGB1']
gen	nevals	avg    	std    	min        	max   
0  	24    	6.75085	4.55833	5.42627e-05	19.971
1  	24    	5.64899	3.48206	5.42627e-05	19.971
2  	24    	5.38485	2.92249	7.89751e-05	18.1283
3  	24    	5.03095	2.58178	7.89751e-05	15.4024
4  	24    	4.80279	2.33397	7.64746e-05	15.4024
5  	24    	4.70321	2.25247	7.64746e-05	15.4024
6  	24    	4.64397	2.17965	4.8158e-05 	15.4024
7  	24    	4.59904	2.1004 	4.8158e-05 	15.4024
8  	24    	4.48295	2.00229	7.64746e-05	13.2801
9  	24    	4.35457	1.94602	7.26094e-05	13.2801
10 	24    	4.25794	1.83475	5.72329e-05	10.1835
11 	24    	4.18539	1.73781	0.000107551	10.1794
12 	24    	4.11208	1.63745	7.13057e-05	10.1685
13 	24    	4.01838	1.49904	4.42571e-05	7.73701
14 	24    	3.97838	1.47602	0.000133558	6.48438
15 	24    	3.97395	1.46954	0.000127735	6.42905
16 	24    	3.97316	1.46925	9.94502e-05	6.43934
17 	24    	3.97291	1.46904	9.94502e-05	6.43934
18 	24    	3.9726 	1.46927	3.90762e-05	6.43934
19 	24    	3.97167	1.46985	0.000106913	6.43934
20 	24    	3.96997	1.47144	0.000149922	6.43943
21 	24    	3.96893	1.47202	0.000149922	6.43943
22 	24    	3.96807	1.46768	0.000126688	6.44363
23 	24    	3.96752	1.46496	5.88182e-05	6.44363
24 	24    	3.96719	1.46508	5.88182e-05	6.44442
25 	24    	3.96369	1.46103	5.88182e-05	6.44389
26 	24    	3.95707	1.45345	5.88182e-05	6.44117
27 	24    	3.94068	1.43616	5.88182e-05	6.44117
28 	24    	3.91189	1.40401	0.000139601	6.43864
29 	24    	3.88923	1.37748	8.80267e-05	5.71878
30 	24    	3.88862	1.37694	6.14688e-05	5.74109
31 	24    	3.88836	1.37697	6.14688e-05	5.74109
32 	24    	3.88818	1.37677	5.45477e-05	5.74109
33 	24    	3.8881 	1.37673	5.45477e-05	5.72144
34 	24    	3.8879 	1.37678	5.45477e-05	5.72144
35 	24    	3.88774	1.37656	0.000130064	5.72144
36 	24    	3.88764	1.3764 	0.000130064	5.72144
37 	24    	3.88758	1.37633	0.000130064	5.72105
38 	24    	3.88756	1.37615	0.000130064	5.72105
39 	24    	3.88744	1.37623	0.000130064	5.72105
40 	24    	3.88738	1.37632	0.000130064	5.72105
41 	24    	3.88736	1.37628	0.000130064	5.72105
42 	24    	3.8873 	1.37623	0.000130064	5.72105
43 	24    	3.88728	1.37612	0.000130064	5.72105
44 	24    	3.88722	1.37625	0.000102324	5.73385
45 	24    	3.88722	1.37637	0.000102324	5.73385
46 	24    	3.88722	1.37637	0.000102324	5.73385
47 	24    	3.88722	1.37637	0.000102324	5.73385
