preds
F11R
['CDC42', 'RAC2', 'ICAM1']
preds
ITGAL
['BCAR1', 'RASSF5', 'PTK2B']
preds
RHOA
['RAC1', 'PTK2', 'F11R']
preds
JAM3
['PTK2B', 'RHOA', 'CXCR4']
preds
RAC1
['RHOA', 'CDC42', 'RAC2']
preds
RAC2
['RAC1', 'CDC42', 'F11R']
preds
RASSF5
['PTK2B', 'ITGAL', 'RAC2']
preds
PTK2B
['CTNNB1', 'JAM3', 'RASSF5']
preds
CXCR4
['CDC42', 'RHOA', 'RAC1']
preds
ICAM1
['F11R', 'CXCR4', 'RAC1']
preds
CDC42
['RAC1', 'PTK2', 'F11R']
gen	nevals	avg    	std   	min      	max    
0  	24    	7.80563	5.3696	6.039e-05	20.1086
1  	24    	6.35395	4.50266	6.039e-05	20.0795
2  	24    	5.6576 	3.8886 	5.55257e-05	19.1078
3  	24    	5.35304	3.75308	6.039e-05  	19.1078
4  	24    	5.1702 	3.48391	0.000102375	18.1385
5  	24    	5.02855	3.20017	0.000102375	18.0057
6  	24    	4.94692	3.10068	0.000102375	13.5721
7  	24    	4.82074	3.00028	0.000102375	13.5721
8  	24    	4.6736 	3.05885	9.39742e-05	18.1385
9  	24    	4.52574	3.10818	0.000109731	18.1385
10 	24    	4.33803	3.21217	3.72375e-05	18.1385
11 	24    	4.14001	2.98387	3.72375e-05	12.1367
12 	24    	4.03398	2.87787	3.72375e-05	12.1367
13 	24    	3.9374 	2.75745	3.72375e-05	12.1097
14 	24    	3.85344	2.71476	0.000117856	12.0868
15 	24    	3.75682	2.49017	6.30539e-05	12.0418
16 	24    	3.67154	2.40855	6.30539e-05	10.8366
17 	24    	3.6613 	2.4016 	7.85409e-05	10.8033
18 	24    	3.64788	2.39305	7.67469e-05	10.7996
19 	24    	3.61857	2.37131	7.85409e-05	10.7996
20 	24    	3.58285	2.34752	8.45994e-05	10.8094
21 	24    	3.58096	2.34815	8.45994e-05	10.8328
22 	24    	3.58022	2.34803	8.25867e-05	10.8328
23 	24    	3.57973	2.34857	8.25867e-05	10.8328
24 	24    	3.57947	2.34884	0.000101534	10.8328
25 	24    	3.57944	2.34973	0.000105356	10.8502
26 	24    	3.57924	2.34964	0.000105356	10.8362
27 	24    	3.579  	2.34969	0.000105356	10.8362
28 	24    	3.57889	2.34944	0.000105356	10.8362
29 	24    	3.57403	2.34946	0.000105356	10.8362
30 	24    	3.55994	2.3488 	0.000134181	10.8328
31 	24    	3.54022	2.35201	6.37514e-05	10.8452
32 	24    	3.48474	2.355  	0.000103194	10.8452
33 	24    	3.46727	2.34963	9.70246e-05	10.8452
34 	24    	3.46582	2.35185	9.70246e-05	10.8452
35 	24    	3.46504	2.36301	8.94095e-05	10.8438
36 	24    	3.4638 	2.3713 	8.94095e-05	10.8097
37 	24    	3.46301	2.37932	0.000181649	10.8097
38 	24    	3.462  	2.39292	8.78188e-05	10.8097
39 	24    	3.46072	2.41475	8.78188e-05	10.8097
40 	24    	3.45972	2.43304	8.78188e-05	10.8097
41 	24    	3.45894	2.45074	0.000143155	10.8097
42 	24    	3.45802	2.48498	0.000141203	10.8097
43 	24    	3.45788	2.50181	0.000141203	10.8097
44 	24    	3.45756	2.51878	0.000141203	10.8156
45 	24    	3.45701	2.52644	0.000143155	10.8112
46 	24    	3.45651	2.5262 	0.000143155	10.8112
47 	24    	3.45625	2.50984	0.000143155	10.8112
48 	24    	3.45599	2.48598	8.77125e-05	10.8112
49 	24    	3.45446	2.48225	4.98628e-05	11.7559
50 	24    	3.45199	2.4595 	8.77125e-05	11.7559
51 	24    	3.44858	2.46307	8.77125e-05	11.7559
52 	24    	3.44254	2.45953	8.77125e-05	11.7559
53 	24    	3.42598	2.43485	8.77125e-05	11.7559
54 	24    	3.4071 	2.46778	9.15033e-05	11.7642
55 	24    	3.39677	2.45282	9.15033e-05	11.767 
56 	24    	3.38947	2.47187	7.24171e-05	11.767 
57 	24    	3.38144	2.45329	5.05971e-05	11.7807
58 	24    	3.37407	2.49356	5.05971e-05	11.7807
59 	24    	3.36768	2.47917	8.41303e-05	11.7472
60 	24    	3.36475	2.4259 	8.41303e-05	11.7472
61 	24    	3.36027	2.35889	0.000160631	11.7546
62 	24    	3.35418	2.36075	6.65882e-05	11.7399
63 	24    	3.34705	2.41418	6.65882e-05	10.7906
64 	24    	3.33576	2.51954	6.65882e-05	10.7906
65 	24    	3.32789	2.58335	6.65882e-05	10.013 
66 	24    	3.32307	2.58627	6.65882e-05	11.2321
67 	24    	3.32236	2.58655	6.65882e-05	11.2321
68 	24    	3.32161	2.58685	6.65882e-05	11.2321
69 	24    	3.3194 	2.5941 	6.65882e-05	11.2561
70 	24    	3.31578	2.6065 	6.65882e-05	11.2561
71 	24    	3.30524	2.64396	0.000101481	11.2675
