preds
F11R
['CDC42', 'ICAM1', 'RHOA']
preds
ITGAL
['SIPA1', 'RASSF5', 'JAM3']
preds
RHOA
['CDC42', 'RAC1', 'PTK2']
preds
JAM3
['PTK2B', 'ITGAL', 'CXCR4']
preds
RAC1
['RHOA', 'RAC2', 'F11R']
preds
RAC2
['RAC1', 'CDC42', 'NCF2']
preds
RASSF5
['PECAM1', 'PTK2B', 'ITGAL']
preds
PTK2B
['JAM3', 'RASSF5', 'ITGAL']
preds
CXCR4
['CDC42', 'RHOA', 'RAC2']
preds
ICAM1
['F11R', 'CXCR4', 'RAC1']
preds
CDC42
['RHOA', 'F11R', 'CXCR4']
gen	nevals	avg    	std    	min        	max    
0  	24    	8.17747	5.78998	5.31649e-05	24.1364
1  	24    	6.70789	5.23353	5.31649e-05	24.1364
2  	24    	5.93357	4.93116	5.31649e-05	20.1929
3  	24    	5.55607	4.59097	8.15748e-05	19.9638
4  	24    	5.27512	4.21358	8.15748e-05	18.1283
5  	24    	5.06206	3.98752	8.15748e-05	17.5605
6  	24    	4.96929	3.96109	8.15748e-05	17.5605
7  	24    	4.81958	3.81537	3.53536e-05	14.4202
8  	24    	4.7269 	3.71986	3.53536e-05	14.4202
9  	24    	4.54756	3.47975	9.0819e-05 	14.4202
10 	24    	4.48332	3.36738	6.95726e-05	14.4202
11 	24    	4.42025	3.20259	6.95726e-05	14.3342
12 	24    	4.35005	3.0662 	9.0819e-05 	14.3342
13 	24    	4.31928	3.05379	9.0819e-05 	14.3342
14 	24    	4.26831	2.95045	9.0819e-05 	14.3342
15 	24    	4.21663	2.82344	9.0819e-05 	14.3342
16 	24    	4.19752	2.81783	9.0819e-05 	14.3342
17 	24    	4.18738	2.84678	9.0819e-05 	14.3342
18 	24    	4.14927	2.94217	9.0819e-05 	14.3342
19 	24    	4.12946	2.93405	0.000104173	14.3342
20 	24    	4.0914 	2.90261	0.000104173	14.3342
21 	24    	4.05157	2.86032	0.000104173	14.3342
22 	24    	4.01454	2.88029	5.26078e-05	9.93474
23 	24    	3.98547	2.93851	0.000102605	9.93474
24 	24    	3.95261	2.94219	0.000102605	9.94076
25 	24    	3.93307	2.92794	0.000102605	9.92868
26 	24    	3.87423	2.86818	0.000102605	9.922  
27 	24    	3.74966	2.75254	0.000114624	9.6638 
28 	24    	3.7404 	2.7136 	0.00011015 	9.69557
29 	24    	3.71721	2.60061	0.00011015 	9.69557
30 	24    	3.70574	2.58137	0.00011015 	9.66161
31 	24    	3.67584	2.57942	0.00011015 	9.71444
32 	24    	3.6407 	2.56684	0.00011015 	9.71444
33 	24    	3.6156 	2.56334	0.000120085	9.71444
34 	24    	3.59591	2.54791	7.56263e-05	9.73367
35 	24    	3.5864 	2.50494	7.56263e-05	9.73367
36 	24    	3.57038	2.42015	8.14437e-05	9.72436
37 	24    	3.55915	2.37408	5.22738e-05	9.68809
38 	24    	3.53711	2.35651	5.22738e-05	7.2409 
39 	24    	3.5139 	2.39308	5.22738e-05	14.0119
40 	24    	3.51181	2.39715	5.22738e-05	14.0119
41 	24    	3.50993	2.40284	5.22738e-05	14.0119
42 	24    	3.50603	2.40788	0.000124207	14.0119
43 	24    	3.4996 	2.41601	7.83398e-05	14.0119
44 	24    	3.47463	2.44928	6.39683e-05	14.0119
45 	24    	3.4105 	2.5192 	0.000110257	14.0119
46 	24    	3.35299	2.67247	0.000130693	14.0119
47 	24    	3.24004	2.9873 	4.83059e-05	14.0262
48 	24    	3.19685	2.94067	4.83059e-05	14.0349
49 	24    	3.15663	2.8351 	4.83059e-05	14.0048
50 	24    	3.10295	2.63896	5.65914e-05	13.9902
51 	24    	3.0426 	2.45677	5.65914e-05	9.31745
52 	24    	3.02051	2.45677	5.65914e-05	9.31745
53 	24    	3.01262	2.44907	7.66105e-05	9.31745
54 	24    	2.99494	2.41556	8.89078e-05	9.31745
55 	24    	2.98614	2.37917	8.28508e-05	9.31745
56 	24    	2.98045	2.37665	6.54104e-05	8.50884
57 	24    	2.96731	2.38265	9.47831e-05	8.64383
58 	24    	2.95338	2.39081	6.66739e-05	8.64383
59 	24    	2.9268 	2.3658 	6.2791e-05 	8.01098
60 	24    	2.91205	2.31687	6.38984e-05	8.00642
61 	24    	2.89852	2.27717	6.38984e-05	8.00642
62 	24    	2.86669	2.16922	9.84315e-05	7.66682
63 	24    	2.85462	2.15377	5.45904e-05	7.41501
64 	24    	2.85167	2.16578	5.45904e-05	7.41501
65 	24    	2.84692	2.1784 	5.45904e-05	7.41501
66 	24    	2.83168	2.18361	5.45904e-05	7.41501
67 	24    	2.83012	2.18716	5.45904e-05	7.41501
68 	24    	2.82427	2.20051	5.45904e-05	7.41501
69 	24    	2.80769	2.20942	5.45904e-05	7.41501
70 	24    	2.76512	2.22252	5.59519e-05	7.42345
71 	24    	2.72203	2.20163	5.59519e-05	7.42345
72 	24    	2.63809	2.15756	4.67461e-05	7.41907
73 	24    	2.56612	2.11782	6.82484e-05	7.15623
74 	24    	2.56542	2.11871	6.82484e-05	7.15982
75 	24    	2.56505	2.1191 	6.50728e-05	7.16156
76 	24    	2.56479	2.12007	6.50728e-05	7.16138
77 	24    	2.56439	2.12076	6.50728e-05	7.16138
78 	24    	2.56417	2.12093	6.50728e-05	7.16138
79 	24    	2.56395	2.12119	6.50728e-05	7.16138
80 	24    	2.56372	2.1221 	6.50728e-05	7.16138
81 	24    	2.56369	2.12204	6.50728e-05	7.16138
82 	24    	2.56356	2.12223	0.000115218	7.16138
83 	24    	2.56346	2.12224	0.000115218	7.16138
84 	24    	2.56335	2.12235	0.000115218	7.17369
85 	24    	2.5633 	2.12253	4.85588e-05	7.17369
86 	24    	2.56327	2.12236	4.85588e-05	7.17369
87 	24    	2.56302	2.12238	0.000112608	7.17369
88 	24    	2.56301	2.12231	0.000112608	7.17369
89 	24    	2.56292	2.12221	0.000115218	7.17369
90 	24    	2.56292	2.12221	0.000115218	7.17369
91 	24    	2.56292	2.12221	0.000115218	7.17369
92 	24    	2.56292	2.12178	0.000115218	7.16138
93 	24    	2.5629 	2.12167	0.000115218	7.16138
94 	24    	2.56287	2.12168	0.000115218	7.16223
95 	24    	2.56286	2.12221	0.000115218	7.16669
96 	24    	2.56281	2.12213	0.000116247	7.16669
97 	24    	2.56277	2.12231	0.000116247	7.16669
98 	24    	2.56256	2.1225 	0.000164672	7.16669
99 	24    	2.56038	2.12224	0.000164672	7.16223
100	24    	2.55795	2.12204	0.000164672	7.16223
101	24    	2.55567	2.12198	0.000164672	7.16223
102	24    	2.54908	2.12226	0.000147517	7.16223
103	24    	2.53805	2.12274	0.000147517	7.16223
104	24    	2.52496	2.12295	0.000110331	7.15833
105	24    	2.50939	2.123  	9.21338e-05	7.15555
106	24    	2.50246	2.12297	9.21338e-05	7.15533
107	24    	2.50237	2.12298	9.21338e-05	7.15533
108	24    	2.50187	2.12247	9.21338e-05	7.15969
109	24    	2.49559	2.12231	9.21338e-05	7.15969
110	24    	2.49546	2.12222	9.21338e-05	7.15385
111	24    	2.49542	2.12227	9.21338e-05	7.15385
112	24    	2.49536	2.12207	9.21338e-05	7.15385
113	24    	2.49533	2.12181	9.21338e-05	7.15385
114	24    	2.47753	2.12287	6.01199e-05	7.15561
115	24    	2.44287	2.12529	6.01199e-05	7.15561
116	24    	2.40475	2.12678	5.44072e-05	7.15491
117	24    	2.36621	2.12721	5.44072e-05	7.15888
118	24    	2.36568	2.12686	5.44072e-05	7.16733
119	24    	2.36518	2.12638	6.64546e-05	7.16733
120	24    	2.36468	2.12559	6.64546e-05	7.16733
--- 7212.885945320129 seconds ---
ran GA
