preds
F11R
['CXCR4', 'RAC2', 'ICAM1']
preds
ITGAL
['SIPA1', 'PTK2B', 'NCF1']
preds
RHOA
['CDC42', 'RAC1', 'F11R']
preds
JAM3
['RASSF5', 'PTK2B', 'RHOA']
preds
RAC1
['RHOA', 'CDC42', 'RAC2']
preds
RAC2
['RAC1', 'F11R', 'CXCR4']
preds
RASSF5
['JAM3', 'PECAM1', 'ITGA4']
preds
PTK2B
['JAM3', 'BCAR1', 'ITGAL']
preds
CXCR4
['F11R', 'RHOA', 'RAC2']
preds
ICAM1
['ITGB1', 'F11R', 'RAC1']
preds
CDC42
['RHOA', 'RAC1', 'ICAM1']
gen	nevals	avg    	std    	min        	max    
0  	24    	7.16856	4.76223	0.000109586	19.1078
1  	24    	6.11903	4.19862	0.000122548	19.1078
2  	24    	5.67112	3.76756	2.36148e-05	19.1078
3  	24    	5.37984	3.34674	2.36148e-05	19.1078
4  	24    	5.1454 	3.01391	2.36148e-05	19.1078
5  	24    	4.90725	2.79762	2.36148e-05	19.1078
6  	24    	4.75148	2.30524	2.36148e-05	19.1078
7  	24    	4.66904	2.07707	2.36148e-05	18.0057
8  	24    	4.57584	1.91265	2.36148e-05	11.326 
9  	24    	4.45814	1.95934	8.08546e-05	11.3679
10 	24    	4.3827 	1.90046	8.08546e-05	11.3679
11 	24    	4.31605	1.81395	0.000112164	10.8682
12 	24    	4.27922	1.80421	0.000136178	10.8576
13 	24    	4.23747	1.78746	0.000136178	7.52128
14 	24    	4.19736	1.79741	0.00014178 	7.18171
15 	24    	4.19243	1.78813	5.18946e-05	7.09895
16 	24    	4.18548	1.79375	0.000141297	7.10176
17 	24    	4.17798	1.80093	7.0221e-05 	7.09746
18 	24    	4.16305	1.81063	0.000103186	7.09746
19 	24    	4.14324	1.81867	9.60306e-05	7.04877
20 	24    	4.12528	1.80047	3.40789e-05	7.04563
21 	24    	4.1103 	1.78297	3.40789e-05	7.04822
22 	24    	4.08271	1.7539 	0.000104267	6.83895
23 	24    	4.07987	1.75364	0.000103005	6.8309 
24 	24    	4.07956	1.75346	8.65351e-05	6.8309 
25 	24    	4.07921	1.7538 	8.65351e-05	6.8309 
26 	24    	4.07916	1.75376	8.65351e-05	6.8309 
27 	24    	4.07913	1.75363	8.65351e-05	6.8309 
28 	24    	4.07902	1.75352	8.65351e-05	6.8309 
29 	24    	4.07888	1.75334	8.65351e-05	6.8309 
30 	24    	4.07875	1.75347	8.65351e-05	6.8309 
31 	24    	4.07866	1.75333	8.65351e-05	6.8309 
32 	24    	4.07861	1.75346	8.65351e-05	6.8309 
33 	24    	4.0786 	1.75352	8.65351e-05	6.8309 
34 	24    	4.0786 	1.75352	8.65351e-05	6.8309 
35 	24    	4.07849	1.7534 	8.65351e-05	6.8309 
36 	24    	4.07837	1.75349	8.65351e-05	6.82761
37 	24    	4.0749 	1.75042	8.65351e-05	6.82832
38 	24    	4.07482	1.75042	8.65351e-05	6.82832
39 	24    	4.06765	1.74439	8.65351e-05	6.82913
40 	24    	4.06409	1.74127	8.65351e-05	6.82913
41 	24    	4.05035	1.72901	8.65351e-05	6.83891
42 	24    	4.03637	1.71687	0.000123975	6.83891
43 	24    	4.00125	1.68434	0.000117232	6.83891
44 	24    	3.99348	1.67831	0.000111534	6.83309
45 	24    	3.99275	1.67853	7.8801e-05 	6.83362
46 	24    	3.9907 	1.68668	6.05384e-05	7.44392
47 	24    	3.98817	1.6949 	6.05384e-05	7.44697
48 	24    	3.98157	1.73453	1.91007e-05	7.45542
49 	24    	3.97346	1.78053	1.91007e-05	7.45542
50 	24    	3.96303	1.86162	1.91007e-05	7.45896
51 	24    	3.96176	1.86121	1.91007e-05	7.45542
52 	24    	3.96104	1.86075	1.91007e-05	7.45542
53 	24    	3.96021	1.8597 	1.91007e-05	7.45542
54 	24    	3.95844	1.85641	3.90671e-05	7.45405
55 	24    	3.95678	1.85237	3.90671e-05	7.45405
56 	24    	3.95533	1.85085	3.90671e-05	7.45405
57 	24    	3.95477	1.8508 	3.90671e-05	7.45405
58 	24    	3.95449	1.85059	3.90671e-05	7.45405
59 	24    	3.95396	1.85066	3.90671e-05	7.45537
60 	24    	3.95247	1.85061	3.90671e-05	7.45405
61 	24    	3.95224	1.85052	3.90671e-05	7.45405
62 	24    	3.94998	1.8508 	3.90671e-05	7.45405
63 	24    	3.94609	1.8514 	3.90671e-05	7.45565
64 	24    	3.94039	1.85214	6.30141e-05	7.45565
65 	24    	3.9336 	1.85383	6.30141e-05	7.45495
66 	24    	3.92664	1.8561 	9.57734e-05	7.45689
67 	24    	3.9252 	1.85517	0.000131856	7.45723
68 	24    	3.92322	1.85316	9.46265e-05	7.45723
69 	24    	3.92168	1.85335	9.46265e-05	7.45689
70 	24    	3.92116	1.85354	0.000139275	7.45689
71 	24    	3.92102	1.85334	0.000167866	7.45689
72 	24    	3.92046	1.85315	0.000132193	7.45689
73 	24    	3.91946	1.85285	0.000132193	7.45689
74 	24    	3.91806	1.85199	7.87003e-05	7.45689
75 	24    	3.91472	1.85214	7.87003e-05	7.45465
76 	24    	3.91179	1.85269	0.000123193	7.45465
77 	24    	3.90555	1.85657	0.000123193	7.45465
78 	24    	3.90273	1.85813	0.000123193	7.45657
79 	24    	3.90128	1.85649	9.27607e-05	7.45471
80 	24    	3.90011	1.85514	9.27607e-05	7.45471
81 	24    	3.8975 	1.84779	9.27607e-05	7.45728
82 	24    	3.89548	1.84246	9.03095e-05	7.45   
83 	24    	3.8948 	1.84146	6.15529e-05	7.4545 
84 	24    	3.8946 	1.8366 	9.27607e-05	7.45946
85 	24    	3.89411	1.83418	8.97728e-05	7.45946
86 	24    	3.89381	1.8343 	8.97728e-05	7.45946
87 	24    	3.89364	1.833  	8.97728e-05	7.45946
88 	24    	3.89347	1.83428	8.97728e-05	7.45936
89 	24    	3.89314	1.83293	8.97728e-05	7.45936
90 	24    	3.89314	1.83161	8.97728e-05	7.45936
91 	24    	3.89297	1.83014	8.97728e-05	7.45936
92 	24    	3.89292	1.83025	8.97728e-05	7.45936
93 	24    	3.89272	1.83015	8.97728e-05	7.45936
94 	24    	3.89272	1.83015	8.97728e-05	7.45936
95 	24    	3.89271	1.83009	8.97728e-05	7.45936
96 	24    	3.89247	1.82998	7.09375e-05	7.45936
97 	24    	3.89237	1.83011	7.09375e-05	7.45936
98 	24    	3.89237	1.83011	7.09375e-05	7.45936
99 	24    	3.89237	1.83011	7.09375e-05	7.45936
100	24    	3.89224	1.83034	7.09375e-05	7.45936
101	24    	3.89218	1.83026	7.09375e-05	7.45936
102	24    	3.89171	1.83041	7.09375e-05	7.45936
103	24    	3.89155	1.83053	9.25609e-05	7.45936
104	24    	3.89084	1.83075	9.25609e-05	7.45936
105	24    	3.89023	1.83101	9.25609e-05	7.45936
106	24    	3.88902	1.83201	0.000103316	7.45497
107	24    	3.88806	1.83226	0.000142332	7.45497
108	24    	3.88785	1.83214	9.91858e-05	7.45924
109	24    	3.88735	1.83183	7.00529e-05	7.45497
110	24    	3.88709	1.8321 	7.00529e-05	7.45497
111	24    	3.88686	1.8322 	7.00529e-05	7.45497
112	24    	3.88684	1.8322 	7.00529e-05	7.45497
113	24    	3.88683	1.83209	7.00529e-05	7.45497
114	24    	3.88682	1.83207	7.00529e-05	7.45497
115	24    	3.88679	1.83206	7.00529e-05	7.45497
116	24    	3.88665	1.83195	7.00529e-05	7.45497
117	24    	3.88665	1.83195	7.00529e-05	7.45497
118	24    	3.88404	1.83527	7.00529e-05	7.45464
119	24    	3.88404	1.83527	7.00529e-05	7.45464
120	24    	3.88272	1.83952	9.97134e-05	7.45464
--- 7287.68915438652 seconds ---
ran GA
