preds
WASF1
['NCKAP1', 'ABI2', 'GNG12']
preds
APC
['CXCR4', 'RHOA', 'GIT1']
preds
ABI2
['NCKAP1', 'GNG12', 'WASF1']
preds
NCKAP1
['ABI2', 'BCAR1', 'GNG12']
preds
BAIAP2
['CDC42', 'RHOA', 'APC']
preds
GIT1
['RHOA', 'PTK2', 'APC']
preds
CDC42
['RHOA', 'PTK2', 'WASF2']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['BCAR1', 'GNG12', 'GIT1']
preds
GNG12
['ABI2', 'BCAR1', 'NCKAP1']
preds
CRK
['GSN', 'CDC42', 'PTK2']
preds
BCAR1
['NCKAP1', 'GNG12', 'ARHGEF6']
preds
PTK2
['RHOA', 'CDC42', 'CRK']
preds
FN1
['RHOA', 'CDC42', 'BAIAP2']
gen	nevals	avg    	std   	min      	max    
0  	24    	8.18419	5.8109	0.0936562	21.4042
1  	24    	7.04116	5.11182	0.0936562	20.8918
2  	24    	6.37489	4.57248	0.0953078	20.8918
3  	24    	5.72792	4.00247	0.261387 	20.1086
4  	24    	5.39812	3.60759	0.256996 	19.7118
5  	24    	5.16745	2.92517	0.365223 	19.7118
6  	24    	4.99758	2.66884	0.128582 	19.7118
7  	24    	4.79914	2.26397	0.128582 	11.8306
8  	24    	4.71636	2.16868	0.128582 	10.6933
9  	24    	4.63634	2.11267	0.128568 	10.6933
10 	24    	4.53862	1.98317	0.128493 	10.6944
11 	24    	4.50505	1.94959	0.128493 	10.6944
12 	24    	4.46117	1.88809	0.128493 	9.05701
13 	24    	4.41112	1.88763	0.128404 	9.05701
14 	24    	4.37006	1.86427	0.128404 	9.05701
15 	24    	4.31567	1.77976	0.630735 	9.05701
16 	24    	4.2887 	1.78301	0.932788 	9.05701
17 	24    	4.26218	1.73669	0.932067 	9.05701
18 	24    	4.23478	1.67999	0.932067 	9.05701
19 	24    	4.20158	1.57679	0.932067 	9.05701
20 	24    	4.18958	1.58224	0.932139 	9.05701
21 	24    	4.17964	1.58228	0.932139 	9.05701
22 	24    	4.17235	1.57193	0.932938 	8.00995
23 	24    	4.16095	1.57179	0.932177 	8.00995
24 	24    	4.1542 	1.56445	0.932177 	7.4208 
25 	24    	4.15107	1.55514	0.934906 	7.41743
26 	24    	4.1435 	1.54225	0.932537 	7.41909
27 	24    	4.13494	1.54063	0.934368 	7.41962
28 	24    	4.12613	1.53386	0.934259 	7.42028
29 	24    	4.11096	1.52249	0.934259 	7.42206
30 	24    	4.09666	1.51213	0.934259 	7.42028
31 	24    	4.06268	1.51029	0.933709 	7.42028
32 	24    	4.03051	1.50474	0.933195 	7.41808
33 	24    	4.02519	1.49702	0.933195 	7.41937
34 	24    	4.02132	1.49104	0.933195 	7.41769
35 	24    	4.0125 	1.47752	0.93317  	7.42301
36 	24    	4.01117	1.47593	0.93317  	7.41926
37 	24    	4.01102	1.47588	0.931674 	7.41812
38 	24    	4.0075 	1.47354	0.93317  	7.41812
39 	24    	4.00733	1.47333	0.933113 	7.41681
40 	24    	4.00697	1.4723 	0.930896 	7.41681
41 	24    	4.0031 	1.46888	0.927553 	7.41681
42 	24    	4.00303	1.46872	0.927553 	7.41627
43 	24    	3.99961	1.46637	0.927553 	7.41979
44 	24    	3.98539	1.45488	0.927553 	7.41979
45 	24    	3.96028	1.43393	0.927553 	7.41979
46 	24    	3.92436	1.40743	0.932975 	7.41976
47 	24    	3.91883	1.39672	0.930131 	7.4181 
48 	24    	3.90483	1.39208	0.838473 	7.4181 
49 	24    	3.8966 	1.37822	0.838473 	7.42014
50 	24    	3.88572	1.36265	0.838473 	7.42014
51 	24    	3.86769	1.33165	0.838473 	7.42014
52 	24    	3.859  	1.31278	0.838473 	7.41944
53 	24    	3.84704	1.32635	0.838473 	7.48126
54 	24    	3.82888	1.33651	0.837433 	7.48709
55 	24    	3.82038	1.34941	0.837433 	7.48508
56 	24    	3.80821	1.37951	0.818788 	7.48508
57 	24    	3.79027	1.42151	0.818788 	7.49435
58 	24    	3.76261	1.4901 	0.818788 	7.50059
59 	24    	3.72271	1.5849 	0.818788 	7.49435
60 	24    	3.71691	1.58771	0.818788 	7.49435
61 	24    	3.7056 	1.5932 	0.82888  	7.49435
62 	24    	3.69894	1.59271	0.82888  	7.49435
63 	24    	3.69192	1.58425	0.834467 	7.49441
64 	24    	3.69023	1.58228	0.82658  	7.49272
65 	24    	3.68992	1.58212	0.82658  	7.48833
66 	24    	3.68321	1.56561	0.82658  	7.49486
67 	24    	3.6737 	1.54038	0.843562 	7.49486
68 	24    	3.66399	1.51978	0.83907  	7.49486
69 	24    	3.64847	1.48614	0.838571 	7.49486
70 	24    	3.63903	1.48306	0.83907  	7.48929
71 	24    	3.63766	1.48326	0.837145 	7.48929
72 	24    	3.63285	1.48511	0.832974 	7.48929
73 	24    	3.62949	1.48612	0.844118 	7.48929
74 	24    	3.6221 	1.48867	0.844118 	7.48929
75 	24    	3.61323	1.49348	0.842772 	7.489  
76 	24    	3.61105	1.49534	0.844118 	7.49364
77 	24    	3.60323	1.50384	0.832969 	7.49968
78 	24    	3.58921	1.50888	0.832969 	7.48999
79 	24    	3.56809	1.50469	0.835687 	7.50016
80 	24    	3.55235	1.50945	0.835687 	7.50016
81 	24    	3.53039	1.52045	0.835687 	7.50016
82 	24    	3.52366	1.54592	0.835687 	7.48945
83 	24    	3.52332	1.54704	0.83022  	7.49219
84 	24    	3.52273	1.54714	0.83022  	7.48881
85 	24    	3.5217 	1.54712	0.827288 	7.48787
86 	24    	3.52138	1.54785	0.827288 	7.48787
87 	24    	3.51994	1.54755	0.827288 	7.48522
88 	24    	3.51789	1.54634	0.847323 	7.48102
89 	24    	3.51733	1.54589	0.841931 	7.47032
90 	24    	3.51346	1.54727	0.530438 	7.47112
91 	24    	3.51338	1.54724	0.530438 	7.47041
92 	24    	3.51318	1.54715	0.530438 	7.46991
93 	24    	3.51245	1.54746	0.530438 	7.47413
94 	24    	3.50955	1.54873	0.530438 	7.47413
95 	24    	3.50512	1.55071	0.529242 	7.47413
96 	24    	3.49912	1.55352	0.528218 	7.47413
97 	24    	3.4937 	1.55607	0.528218 	7.48518
98 	24    	3.47393	1.56507	0.528159 	7.49614
99 	24    	3.45842	1.57191	0.526565 	7.49614
100	24    	3.4479 	1.57542	0.526502 	7.50349
101	24    	3.44313	1.57638	0.526502 	7.47422
102	24    	3.4348 	1.57993	0.526398 	7.47422
103	24    	3.4284 	1.58278	0.526344 	7.47422
104	24    	3.41748	1.58763	0.526502 	7.47422
105	24    	3.40962	1.59105	0.526502 	7.47204
106	24    	3.4091 	1.59084	0.526457 	7.47025
107	24    	3.40886	1.59057	0.526457 	7.46892
108	24    	3.40881	1.59055	0.526457 	7.46892
109	24    	3.40873	1.5905 	0.526457 	7.46798
110	24    	3.40647	1.58564	0.526457 	7.46798
111	24    	3.40628	1.58532	0.526457 	7.46798
112	24    	3.39906	1.56993	0.52596  	7.46798
113	24    	3.38904	1.5488 	0.52596  	7.46009
114	24    	3.37823	1.5235 	0.52596  	7.39678
115	24    	3.35588	1.46996	0.522541 	6.16924
116	24    	3.35463	1.47017	0.528204 	6.16935
117	24    	3.3542 	1.47037	0.529677 	6.16935
118	24    	3.35352	1.47071	0.536341 	6.16935
119	24    	3.3533 	1.47064	0.544749 	6.16765
120	24    	3.35317	1.47052	0.544749 	6.16744
--- 8494.790956497192 seconds ---
ran GA
