preds
WASF1
['ARHGEF6', 'ABI2', 'BCAR1']
preds
APC
['CDC42', 'GIT1', 'BAIAP2']
preds
ABI2
['NCKAP1', 'PXN', 'WASF1']
preds
NCKAP1
['ABI2', 'BCAR1', 'GNG12']
preds
BAIAP2
['PTK2', 'RHOA', 'ENAH']
preds
GIT1
['RHOA', 'PTK2', 'CRK']
preds
CDC42
['RHOA', 'APC', 'WASF1']
preds
RHOA
['CDC42', 'SLC9A1', 'PTK2']
preds
ARHGEF6
['WASF1', 'SRC', 'ABI2']
preds
GNG12
['NCKAP1', 'F2R', 'WASF1']
preds
CRK
['RHOA', 'PTK2', 'GIT1']
preds
BCAR1
['NCKAP1', 'WASF1', 'BAIAP2']
preds
PTK2
['RHOA', 'CRK', 'FN1']
preds
FN1
['RHOA', 'PTK2', 'BAIAP2']
gen	nevals	avg    	std    	min     	max    
0  	24    	8.99787	5.99816	0.114933	20.8918
1  	24    	8.22624	5.74858	0.114933	20.8918
2  	24    	7.29402	5.33942	0.119752	20.8918
3  	24    	6.6668 	4.87409	0.143108	20.8918
4  	24    	6.19908	4.66315	0.150254	20.8918
5  	24    	5.83644	4.31665	0.148947	20.8918
6  	24    	5.54716	4.07822	0.132892	18.3756
7  	24    	5.37407	3.73461	0.141432	18.4691
8  	24    	5.27981	3.62649	0.13862 	18.3734
9  	24    	5.18841	3.83835	0.132586	18.3734
10 	24    	4.98056	3.71888	0.132586	18.3679
11 	24    	4.77105	3.32393	0.140966	18.3618
12 	24    	4.64885	3.06413	0.140966	10.9101
13 	24    	4.5532 	3.03298	0.140301	10.9101
14 	24    	4.46462	2.99854	0.141426	10.8683
15 	24    	4.38591	3.06495	0.137659	10.8683
16 	24    	4.35313	3.06561	0.136366	10.8516
17 	24    	4.27679	3.0487 	0.137659	10.8372
18 	24    	4.22682	3.082  	0.139708	10.868 
19 	24    	4.21789	3.05766	0.137567	10.868 
20 	24    	4.2098 	3.02776	0.137567	10.868 
21 	24    	4.19385	2.99159	0.137567	10.868 
22 	24    	4.15817	2.78352	0.137283	10.868 
23 	24    	4.12472	2.56034	0.140199	10.6751
24 	24    	4.1157 	2.56716	0.13813 	10.6751
25 	24    	4.09358	2.58542	0.140285	10.6751
26 	24    	4.05807	2.58131	0.136093	10.6751
27 	24    	4.00367	2.51583	0.139968	10.6751
28 	24    	3.96411	2.3697 	0.108982	9.56041
29 	24    	3.94785	2.37254	0.108982	9.55066
30 	24    	3.93725	2.37943	0.108982	9.56195
31 	24    	3.89343	2.41045	0.108982	9.55651
32 	24    	3.827  	2.38854	0.107956	9.55689
33 	24    	3.7875 	2.3914 	0.107956	9.56004
34 	24    	3.73604	2.37698	0.112629	9.56004
35 	24    	3.68943	2.32415	0.110425	9.56026
36 	24    	3.64885	2.33682	0.110927	9.56315
37 	24    	3.61737	2.28519	0.107168	9.56315
38 	24    	3.56432	2.17456	0.107168	9.54578
39 	24    	3.52583	2.1974 	0.109395	9.56627
40 	24    	3.49134	2.17704	0.108141	9.56627
41 	24    	3.46979	2.02648	0.107968	9.56011
42 	24    	3.44152	1.96128	0.107968	9.56388
43 	24    	3.41907	1.84375	0.105734	9.54929
44 	24    	3.4082 	1.80772	0.105734	9.54929
45 	24    	3.40731	1.80652	0.105734	9.54929
46 	24    	3.40432	1.80681	0.105734	9.54929
47 	24    	3.39275	1.83286	0.105734	9.55002
48 	24    	3.38009	1.87952	0.105734	9.55085
49 	24    	3.36272	1.90623	0.107177	9.55085
50 	24    	3.35769	1.96985	0.105694	9.55085
51 	24    	3.3507 	2.08702	0.107177	9.55618
52 	24    	3.33119	2.2087 	0.109763	9.56044
53 	24    	3.33014	2.22665	0.118307	9.56044
54 	24    	3.27296	2.17108	0.118307	9.54993
55 	24    	3.24266	2.13854	0.118307	9.55963
56 	24    	3.17382	2.0709 	0.118307	9.55963
57 	24    	3.06494	1.96515	0.11719 	7.64756
58 	24    	3.06247	1.96541	0.116869	7.66425
59 	24    	3.06192	1.9653 	0.116869	7.62555
60 	24    	3.06055	1.96002	0.116418	7.62877
61 	24    	3.05601	1.95582	0.116418	7.62877
62 	24    	3.05108	1.95149	0.116418	7.62877
63 	24    	3.04239	1.93477	0.114796	7.65739
64 	24    	3.03298	1.9163 	0.114796	7.62983
65 	24    	3.01229	1.88745	0.116325	7.62983
66 	24    	3.00283	1.87993	0.285593	7.45167
67 	24    	2.99891	1.85453	0.285593	7.45167
68 	24    	2.98781	1.81146	0.285593	7.4521 
69 	24    	2.96626	1.7854 	0.293019	7.51622
70 	24    	2.94343	1.78045	0.293019	7.51622
71 	24    	2.9095 	1.77489	0.293217	7.51622
72 	24    	2.85323	1.76365	0.293588	7.47172
73 	24    	2.84803	1.76598	0.293588	7.47172
74 	24    	2.84754	1.76678	0.293588	7.47172
75 	24    	2.8471 	1.76576	0.293588	7.47172
76 	24    	2.84066	1.77395	0.293588	7.49807
77 	24    	2.83416	1.78139	0.293588	7.49807
78 	24    	2.82021	1.78414	0.304294	7.47172
79 	24    	2.81137	1.78443	0.300469	7.43514
80 	24    	2.79391	1.78141	0.197251	7.80301
81 	24    	2.76508	1.75603	0.197251	7.80301
82 	24    	2.74899	1.83263	0.289439	7.48495
83 	24    	2.73558	1.82912	0.221407	7.48495
84 	24    	2.71622	1.78619	0.221407	7.48495
85 	24    	2.69762	1.73623	0.221407	7.48495
86 	24    	2.67323	1.67938	0.218686	7.40576
